true,forecasted
0.37956747,0.39437562
0.37061894,0.3827924
0.37061894,0.3961659
0.40268457,0.4099567
0.4794929,0.49742344
0.71961224,0.7386874
0.84190905,0.8582904
0.8844146,0.8910858
0.87994033,0.88555163
0.9142431,0.8954977
0.91648024,0.89901465
0.9127517,0.90656835
0.862789,0.8571652
0.83743477,0.8175911
0.81431764,0.81614625
0.81506336,0.84593827
0.81953764,0.9141151
0.9097688,0.9304089
0.90082026,0.8956942
0.84265476,0.8153844
0.71364653,0.7086925
0.606264,0.6236271
0.5212528,0.53840566
0.4668158,0.46178973
0.41312453,0.41368762
0.41461596,0.39217544
0.41536167,0.4070074
0.44966444,0.41195422
0.53765845,0.49708042
0.75540644,0.722958
0.88143176,0.8356393
0.9336316,0.90179783
0.91648024,0.8986941
0.92170024,0.93400866
0.9343773,0.9335188
0.9097688,0.9378411
0.8956003,0.8903465
0.8545861,0.84403527
0.80164057,0.8436524
0.82550335,0.846366
0.8493661,0.90497553
0.8598061,0.9192603
0.86204326,0.8860971
0.7844892,0.81311536
0.6800895,0.7110743
0.60477257,0.62180096
0.52348995,0.53261685
0.47352722,0.46866885
0.4175988,0.39832067
0.39522743,0.3794349
0.3691275,0.39460695
0.3870246,0.40602905
0.3810589,0.5063239
0.44593588,0.70008767
0.5272185,0.8126586
0.6144668,0.84886473
0.65398955,0.8444826
0.6912752,0.87055767
0.7158837,0.8814519
0.6987323,0.8668037
0.6524981,0.8212781
0.6070097,0.7731967
0.5801641,0.77032834
0.5809098,0.7636885
0.6219239,0.835569
0.6763609,0.87228173
0.6674124,0.84853786
0.6144668,0.7703727
0.5406413,0.66427565
0.48098433,0.5884175
0.4161074,0.49108273
0.34451902,0.43247166
0.29306486,0.29369354
0.29008204,0.27808613
0.3079791,0.2905689
0.31021625,0.28189665
0.38255033,0.3701586
0.5697241,0.50917554
0.7069351,0.6254231
0.75540644,0.68453604
0.7576435,0.7066869
0.7912006,0.73290426
0.79567486,0.73790616
0.7986577,0.7104054
0.76435494,0.65521616
0.7367636,0.6237134
0.7076808,0.6155489
0.7061894,0.6314451
0.73900074,0.6988089
0.7867263,0.74357444
0.75838923,0.7106357
0.6800895,0.65353096
0.5943326,0.5544992
0.5272185,0.5016111
0.4414616,0.4060415
0.37136465,0.35572872
0.32960477,0.33424747
0.30201343,0.3104274
0.29604772,0.31628066
0.305742,0.3208533
0.3176734,0.35139248
0.4354959,0.4926656
0.54287845,0.6094962
0.6495153,0.69821376
0.69052947,0.71968395
0.7114094,0.71249455
0.72632366,0.71805376
0.69500375,0.69334143
0.64727813,0.64758945
0.5764355,0.59121907
0.57270694,0.58247924
0.5607755,0.59828854
0.6144668,0.6689132
0.64802384,0.7048667
0.6577181,0.68105245
0.59880686,0.62099826
0.5294556,0.52677596
0.45637584,0.4495541
0.38329604,0.3779017
0.31170768,0.319011
0.27293065,0.29263464
0.25577927,0.2789644
0.24608502,0.28271788
0.2520507,0.26934886
0.25577927,0.31184438
0.33557048,0.3850598
0.41909024,0.47323817
0.5294556,0.56088156
0.5965697,0.6175172
0.6331096,0.6409672
0.6621924,0.65281475
0.62938106,0.62904394
0.51230425,0.5430198
0.4780015,0.50583863
0.46905294,0.4943297
0.47352722,0.523185
0.5503356,0.6101266
0.6510067,0.6805832
0.65920955,0.6851398
0.62416106,0.6554296
0.5287099,0.55514824
0.44295302,0.4923988
0.3922446,0.4051519
0.34675616,0.34646252
0.31021625,0.3070878
0.29008204,0.28345123
0.28038776,0.28655678
0.30947053,0.3108707
0.39746457,0.3973824
0.6964952,0.6461572
0.8322148,0.78093797
0.9082774,0.8401477
0.9127517,0.8296036
0.9194631,0.83755773
0.95227444,0.8392847
0.9328859,0.8564535
0.9038031,0.83444273
0.852349,0.7833451
0.81133485,0.7850056
0.8396719,0.7918532
0.88665175,0.85747623
0.9343773,0.89389646
0.9023117,0.870677
0.8344519,0.80565137
0.7158837,0.681347
0.61372113,0.5898991
0.5264728,0.48850852
0.4466816,0.4333698
0.40790454,0.39014652
0.39597315,0.36922473
0.38329604,0.368837
0.40715882,0.39193732
0.5048471,0.50482816
0.73527217,0.7550583
0.86726326,0.8858404
0.92990303,0.89764404
0.9343773,0.8683006
0.92841166,0.8660539
0.94630873,0.8831478
0.9291573,0.8880634
0.90156597,0.86397326
0.8434004,0.83287346
0.8240119,0.8263917
0.8038777,0.8412679
0.87546605,0.9154403
0.9127517,0.9357807
0.9142431,0.90764433
0.8344519,0.8269795
0.7360179,0.6954589
0.6353468,0.60933447
0.55331844,0.5161428
0.4847129,0.44324613
0.43251306,0.42382708
0.42058167,0.39620975
0.4161074,0.417399
0.43027592,0.43043357
0.5167785,0.52558255
0.70917225,0.73071223
0.82997763,0.8542451
0.8903803,0.8891296
0.87546605,0.8649589
0.8717375,0.859736
0.8985832,0.8692433
0.8702461,0.8465454
0.84190905,0.8033447
0.7919463,0.7654011
0.7770321,0.76030546
0.7934377,0.76282156
0.82475764,0.8372909
0.88665175,0.8881504
0.8702461,0.87004435
0.8225205,0.7944461
0.7181208,0.66670185
0.64354956,0.5958926
0.5443699,0.4985044
0.48396719,0.42367917
0.43325877,0.39070174
0.43102163,0.4056285
0.41237882,0.418455
0.46085012,0.43388593
0.55331844,0.50872606
0.7740492,0.6663526
0.89112604,0.7535377
0.9157345,0.8120653
0.8844146,0.8043594
0.8538404,0.82171094
0.87994033,0.8406796
0.84190905,0.808744
0.78896344,0.7622342
0.7770321,0.7168608
0.7427293,0.68466014
0.7852349,0.6939377
0.8337062,0.77517354
0.9142431,0.849442
0.91051453,0.8794913
0.8322148,0.8162267
0.70320654,0.69343436
0.59806114,0.6228538
0.5108128,0.5400336
0.4474273,0.46702445
0.4049217,0.4315085
0.38329604,0.42274725
0.37733036,0.42882127
0.4116331,0.45433277
0.5167785,0.5557332
0.7472036,0.7528992
0.8881432,0.8514514
0.9336316,0.8844057
0.9030574,0.8669785
0.9194631,0.87761754
0.9075317,0.8619934
0.90678596,0.8435305
0.8478747,0.79542613
0.813572,0.7583059
0.76957494,0.74199873
0.7859806,0.7706101
0.8396719,0.8387459
0.89112604,0.87842304
0.86055183,0.8512672
0.813572,0.77011395
0.6935123,0.6690643
0.60924685,0.58969986
0.5137957,0.5094945
0.43102163,0.43616676
0.39671886,0.40629217
0.37956747,0.37415582
0.36689037,0.37932438
0.36539894,0.37450534
0.398956,0.41328377
0.50633854,0.5120979
0.64056677,0.5971801
0.7494407,0.71318144
0.7658464,0.75678533
0.7792692,0.80317783
0.7912006,0.78903776
0.75988066,0.7772766
0.6823266,0.69536376
0.60924685,0.62949395
0.5771812,0.627415
0.590604,0.6325726
0.6413125,0.70618117
0.6987323,0.7219587
0.6927666,0.68400794
0.6152125,0.6299856
0.53840417,0.54875606
0.46532437,0.4643783
0.3810589,0.39591
0.33706188,0.3478306
0.30499628,0.28657433
0.28635347,0.26678512
0.2647278,0.2883972
0.29381058,0.2595802
0.29157346,0.2873979
0.3609247,0.32893535
0.44295302,0.4079839
0.557047,0.51268137
0.63982105,0.60816044
