true,forecasted
0.37956747,0.38931102
0.37061894,0.36150354
0.37061894,0.35515782
0.40268457,0.3809576
0.4794929,0.47575015
0.71961224,0.7169683
0.84190905,0.8379382
0.8844146,0.87793463
0.87994033,0.867276
0.9142431,0.8803952
0.91648024,0.8773848
0.9127517,0.88728386
0.862789,0.8735678
0.83743477,0.8233895
0.81431764,0.79284847
0.81506336,0.8373861
0.81953764,0.86281127
0.9097688,0.8533045
0.90082026,0.8565068
0.84265476,0.8063789
0.71364653,0.6976149
0.606264,0.6005337
0.5212528,0.5141316
0.4668158,0.44245803
0.41312453,0.41238403
0.41461596,0.38593996
0.41536167,0.38301685
0.44966444,0.41392606
0.53765845,0.5210047
0.75540644,0.75423354
0.88143176,0.8717296
0.9336316,0.912242
0.91648024,0.8963143
0.92170024,0.9113033
0.9343773,0.9096583
0.9097688,0.91625476
0.8956003,0.9056698
0.8545861,0.84902894
0.80164057,0.8135644
0.82550335,0.8493297
0.8493661,0.8860772
0.8598061,0.8798631
0.86204326,0.8811209
0.7844892,0.8338311
0.6800895,0.7163279
0.60477257,0.63426477
0.52348995,0.5314727
0.47352722,0.46024227
0.4175988,0.41174048
0.39522743,0.3907991
0.3691275,0.38585776
0.3870246,0.41462657
0.3810589,0.52700996
0.44593588,0.74049526
0.5272185,0.8496034
0.6144668,0.89019585
0.65398955,0.8728752
0.6912752,0.887607
0.7158837,0.8892926
0.6987323,0.89537424
0.6524981,0.8796611
0.6070097,0.82371294
0.5801641,0.7880449
0.5809098,0.81808615
0.6219239,0.8483079
0.6763609,0.85492057
0.6674124,0.8580133
0.6144668,0.8114463
0.5406413,0.69660133
0.48098433,0.61744434
0.4161074,0.5135313
0.34451902,0.44566104
0.29306486,0.32088566
0.29008204,0.28729188
0.3079791,0.28093964
0.31021625,0.290538
0.38255033,0.34308207
0.5697241,0.51455194
0.7069351,0.6269558
0.75540644,0.70018595
0.7576435,0.67427146
0.7912006,0.70925194
0.79567486,0.72328293
0.7986577,0.69684714
0.76435494,0.67463475
0.7367636,0.6452127
0.7076808,0.6042377
0.7061894,0.64588654
0.73900074,0.66971976
0.7867263,0.70927763
0.75838923,0.70338714
0.6800895,0.68205786
0.5943326,0.5742544
0.5272185,0.4832415
0.4414616,0.4255858
0.37136465,0.34542048
0.32960477,0.33702102
0.30201343,0.32359672
0.29604772,0.31561625
0.305742,0.3394831
0.3176734,0.49029762
