true,forecasted
0.65520334,0.6729175
0.6492103,0.6720433
0.6518427,0.68020993
0.66394085,0.7001479
0.72353536,0.7516674
0.8426123,0.8666287
0.92449874,0.9514575
0.91464096,0.9634826
0.9026549,0.9548162
0.89122885,0.95483667
0.8834995,0.94606835
0.85986334,0.93161
0.85303015,0.91151565
0.8619917,0.91718966
0.86412007,0.9269802
0.8744259,0.9335752
0.9156492,0.93079203
0.90831184,0.9235778
0.87851465,0.893834
0.8430604,0.8675107
0.7959001,0.8121224
0.7141257,0.74283826
0.66494906,0.6838001
0.6131959,0.6497766
0.6035062,0.63479686
0.6067548,0.63436186
0.6107875,0.64432234
0.6246219,0.6641312
0.67872745,0.71865016
0.81841606,0.8375633
0.90052646,0.92559946
0.8999664,0.9284262
0.89929426,0.9196267
0.8869721,0.9121352
0.86860085,0.9071544
0.8256973,0.8948728
0.8319144,0.87660366
0.81908816,0.88126856
0.8231209,0.8904266
0.84591687,0.9048013
0.89453346,0.9154531
0.88327545,0.9031208
0.83549905,0.881424
0.80755013,0.8439898
0.7545088,0.78397244
0.68780106,0.7117189
0.61566037,0.64710045
0.5905119,0.61351645
0.5844629,0.58398193
0.55881035,0.582517
0.5616108,0.58655035
0.57936597,0.6049983
0.61974907,0.6577033
0.74269074,0.7724261
0.82973003,0.8637823
0.8194242,0.8698458
0.81275904,0.86131346
0.8154475,0.855581
0.8004929,0.85374403
0.7881707,0.84057033
0.77769685,0.82395154
0.76666296,0.8269356
0.7771928,0.83079654
0.78318584,0.8370473
0.8387476,0.8471814
0.83096224,0.83387405
0.8030133,0.8069598
0.7540607,0.7673544
0.71575,0.7157409
0.64696985,0.64698815
0.5953848,0.5834873
0.5600986,0.548152
0.5522012,0.5163618
0.5438557,0.5133156
0.55494565,0.51906484
0.562451,0.5355382
0.60781896,0.5837819
0.7373698,0.6994035
0.8214406,0.7995549
0.8272656,0.8162694
0.8211045,0.81109905
0.8079982,0.8066006
0.77192783,0.80094737
0.73708975,0.7845222
0.7238714,0.7605721
0.70393187,0.75258005
0.71054107,0.7485482
0.7347933,0.7607842
0.7773608,0.7939667
0.78268176,0.79217273
0.74638736,0.759987
0.69474626,0.71450466
0.642097,0.6690506
0.60490644,0.61518633
0.5704044,0.56059504
0.5471043,0.52779883
0.5318696,0.4975534
0.5204436,0.4920131
0.51730704,0.49696827
0.5213398,0.5008972
0.5327098,0.5100521
0.55757815,0.5439445
0.6087151,0.58315635
0.636272,0.6201494
0.6745827,0.65151
0.6896494,0.6665974
0.68096787,0.66789204
0.6714462,0.6574582
0.67424667,0.6380089
0.6503305,0.630762
0.6492103,0.6315249
0.6750868,0.6517262
0.71614206,0.7057953
0.69777083,0.7159586
0.6688137,0.6870408
0.6329114,0.6496729
0.5960569,0.60984653
0.54004705,0.56807524
0.516971,0.5293043
0.4932228,0.5020051
0.47552368,0.47286737
0.4727232,0.46568203
0.46790636,0.4691013
0.48325306,0.47477126
0.4869497,0.48513985
0.50935364,0.50771797
0.53898287,0.53500825
0.57006836,0.5626835
0.608155,0.5963428
0.6388484,0.6163573
0.6487062,0.62543833
0.653299,0.62058854
0.6471939,0.60795784
0.6537471,0.6047567
0.6624846,0.61491495
0.68214405,0.63891894
0.7284082,0.6842026
0.74392295,0.6948801
0.7202868,0.67673963
0.6823121,0.63976175
0.6357119,0.5933737
0.59124005,0.54395
0.5554498,0.49599838
0.5138344,0.46709764
0.51137,0.46827167
0.50649714,0.45989668
0.511258,0.4672361
0.52458835,0.4719514
0.56906015,0.5220062
0.6801837,0.63121057
0.7472275,0.7289746
0.76335835,0.7498341
0.7693514,0.751145
0.77993727,0.7572248
0.7780889,0.7508752
0.78307384,0.73978424
0.7788731,0.72821534
0.7627422,0.733471
0.76610285,0.73523206
0.77652067,0.7417597
0.8024532,0.7705016
0.7863224,0.75345
0.75014,0.7270852
0.7134536,0.6880643
0.66601324,0.6390236
0.5984093,0.57995975
0.5267167,0.5153618
0.5140585,0.4737558
0.49131846,0.46629336
0.4749636,0.45783216
0.47473955,0.46498406
0.4932228,0.47476503
