true,forecasted
0.65520334,0.6555985
0.6492103,0.6577479
0.6518427,0.6656805
0.66394085,0.6834109
0.72353536,0.7258713
0.8426123,0.8427541
0.92449874,0.9431621
0.91464096,0.9575276
0.9026549,0.94381493
0.89122885,0.9374609
0.8834995,0.92424595
0.85986334,0.9036261
0.85303015,0.8913833
0.8619917,0.87592983
0.86412007,0.875805
0.8744259,0.8757247
0.9156492,0.91153026
0.90831184,0.91586447
0.87851465,0.8907765
0.8430604,0.8452647
0.7959001,0.8009875
0.7141257,0.7422366
0.66494906,0.68639135
0.6131959,0.6424786
0.6035062,0.6219809
0.6067548,0.62239605
0.6107875,0.6325376
0.6246219,0.64662623
0.67872745,0.69895595
0.81841606,0.8222809
0.90052646,0.9250045
0.8999664,0.9362867
0.89929426,0.9261684
0.8869721,0.9177926
0.86860085,0.90685797
0.8256973,0.88958585
0.8319144,0.87615895
0.81908816,0.8631581
0.8231209,0.8600504
0.84591687,0.87422013
0.89453346,0.90642685
0.88327545,0.894371
0.83549905,0.8734971
0.80755013,0.82922626
0.7545088,0.78372496
0.68780106,0.7129127
0.61566037,0.65727437
0.5905119,0.61225766
0.5844629,0.5800575
0.55881035,0.5762368
0.5616108,0.58203256
0.57936597,0.59260035
0.61974907,0.6391825
0.74269074,0.7547592
0.82973003,0.8534225
0.8194242,0.8665089
0.81275904,0.8619859
0.8154475,0.85917604
0.8004929,0.8514154
0.7881707,0.83932567
0.77769685,0.82691705
0.76666296,0.81579936
0.7771928,0.8138433
0.78318584,0.82568115
0.8387476,0.85099214
0.83096224,0.826564
0.8030133,0.79453707
0.7540607,0.75075
0.71575,0.7086372
0.64696985,0.64111966
0.5953848,0.5860565
0.5600986,0.541658
0.5522012,0.51484126
0.5438557,0.5125396
0.55494565,0.51670706
0.562451,0.53283525
0.60781896,0.583103
0.7373698,0.7006351
0.8214406,0.7895776
0.8272656,0.80904824
0.8211045,0.8072782
0.8079982,0.80217165
0.77192783,0.79200923
0.73708975,0.7758043
0.7238714,0.7564333
0.70393187,0.7378034
0.71054107,0.7257294
0.7347933,0.7344705
0.7773608,0.78657967
0.78268176,0.78436065
0.74638736,0.7455019
0.69474626,0.70079696
0.642097,0.65688163
0.60490644,0.60612756
0.5704044,0.55760145
0.5471043,0.51964366
0.5318696,0.51571643
0.5204436,0.51442134
0.51730704,0.52125585
0.5213398,0.5363978
0.5327098,0.58410907
0.55757815,0.6829653
0.6087151,0.74810153
0.636272,0.76498944
0.6745827,0.76863664
0.6896494,0.76955336
0.68096787,0.7595458
0.6714462,0.7436606
0.67424667,0.72559047
0.6503305,0.7077115
0.6492103,0.6978978
0.6750868,0.7053443
0.71614206,0.74988234
0.69777083,0.757034
0.6688137,0.72754025
0.6329114,0.6866341
0.5960569,0.64558935
0.54004705,0.59545034
0.516971,0.5511588
0.4932228,0.51549655
0.47552368,0.49738324
0.4727232,0.49099976
0.46790636,0.4917685
0.48325306,0.49032295
0.4869497,0.5015729
0.50935364,0.52819526
0.53898287,0.54941005
0.57006836,0.5805208
0.608155,0.61547697
0.6388484,0.63488287
0.6487062,0.6395692
0.653299,0.6325256
0.6471939,0.6240037
0.6537471,0.613286
0.6624846,0.61815476
0.68214405,0.64409566
0.7284082,0.69567555
0.74392295,0.7038059
0.7202868,0.6839855
0.6823121,0.6438056
0.6357119,0.6029817
0.59124005,0.55945987
0.5554498,0.5158678
0.5138344,0.4778142
0.51137,0.47196868
0.50649714,0.47125718
0.511258,0.4765021
0.52458835,0.49120438
0.56906015,0.54522073
0.6801837,0.66757476
0.7472275,0.76526636
0.76335835,0.7822761
0.7693514,0.7771161
0.77993727,0.7800206
0.7780889,0.77955717
0.78307384,0.77045274
0.7788731,0.76778364
0.7627422,0.7615594
0.76610285,0.7663061
0.77652067,0.774371
0.8024532,0.80816
0.7863224,0.7841629
0.75014,0.7590672
0.7134536,0.7225026
0.66601324,0.6725126
0.5984093,0.60651207
0.5267167,0.5448525
0.5140585,0.5014951
0.49131846,0.46748787
0.4749636,0.4653054
0.47473955,0.46579805
0.4932228,0.48172563
0.52318805,0.53161234
0.6454576,0.64968145
0.733057,0.7443968
0.7471155,0.7668479
0.75142825,0.7638981
0.7491879,0.76675
0.73843396,0.7666894
0.7208469,0.75639194
0.7109891,0.7524117
0.71334153,0.7461145
0.71793437,0.75181437
0.72409546,0.7635424
0.7683432,0.8010877
0.77797693,0.7848574
0.7560211,0.7585178
0.7170382,0.7256042
0.67424667,0.6772166
0.6068108,0.61655486
0.5551137,0.55710435
0.51775515,0.51671696
0.49591127,0.48627576
0.49949592,0.485414
0.50599307,0.4897521
0.5279489,0.50714314
0.57740563,0.55549383
0.66959786,0.68138087
0.76431054,0.7765497
0.76386243,0.79269576
0.73434526,0.7805082
0.732721,0.77388096
0.732721,0.7669833
0.71115714,0.7513908
0.70555615,0.7442888
0.6823121,0.7363345
0.68214405,0.73931426
0.69239384,0.75070965
0.7504201,0.7958079
0.75014,0.79315186
0.7142937,0.7711406
0.6912737,0.73655164
0.62876666,0.69005173
0.579254,0.624795
0.51881933,0.56219745
0.5068332,0.52242965
0.4960233,0.49112186
0.4926067,0.48843846
0.4880699,0.49651068
0.5040887,0.51141685
0.54251146,0.555443
0.6584519,0.6734122
0.76923937,0.76422614
0.76800716,0.7799788
0.761454,0.7698124
0.75322056,0.76452965
0.7432508,0.7550362
0.7379299,0.73995423
0.7309846,0.73229873
0.72465557,0.72265977
0.710205,0.7235464
0.721407,0.7283201
0.75882155,0.7613875
0.7659908,0.7633761
0.73496133,0.74096143
0.7057242,0.69951904
0.66517305,0.6525839
0.61566037,0.5908785
0.55998653,0.5350448
0.52750087,0.49642456
0.5082334,0.48512393
0.49759158,0.48004574
0.48650163,0.48434448
0.51775515,0.4977889
0.57959,0.54143536
0.69116163,0.65829444
0.7551249,0.7492391
0.7596057,0.77246577
