true,forecasted
0.65520334,0.62335336
0.6492103,0.62584037
0.6518427,0.6341229
0.66394085,0.6435614
0.72353536,0.69873077
0.8426123,0.7871468
0.92449874,0.87668365
0.91464096,0.88300955
0.9026549,0.87819856
0.89122885,0.86201215
0.8834995,0.84861493
0.85986334,0.8222342
0.85303015,0.8145238
0.8619917,0.804327
0.86412007,0.80822396
0.8744259,0.8180044
0.9156492,0.8540008
0.90831184,0.85463256
0.87851465,0.8244959
0.8430604,0.7924865
0.7959001,0.73386025
0.7141257,0.6712858
0.66494906,0.62218195
0.6131959,0.5828728
0.6035062,0.5844394
0.6067548,0.5884934
0.6107875,0.58665985
0.6246219,0.5945319
0.67872745,0.6417362
0.81841606,0.7717245
0.90052646,0.8682876
0.8999664,0.8777347
0.89929426,0.86421925
0.8869721,0.8444678
0.86860085,0.84105617
0.8256973,0.8253499
0.8319144,0.81277263
0.81908816,0.81521297
0.8231209,0.8211957
0.84591687,0.8302774
0.89453346,0.8572031
0.88327545,0.8526087
0.83549905,0.81445664
0.80755013,0.78774136
0.7545088,0.72263443
0.68780106,0.6623275
0.61566037,0.6052782
0.5905119,0.5622723
0.5844629,0.5564033
0.55881035,0.56163526
0.5616108,0.559578
0.57936597,0.5754718
0.61974907,0.62193835
0.74269074,0.72298735
0.82973003,0.8182985
0.8194242,0.8195357
0.81275904,0.8088432
0.8154475,0.8036347
0.8004929,0.79788625
0.7881707,0.7830923
0.77769685,0.780476
0.76666296,0.76835084
0.7771928,0.7774981
0.78318584,0.7732115
0.8387476,0.7874434
0.83096224,0.7856365
0.8030133,0.74581456
0.7540607,0.72361344
0.71575,0.65426826
0.64696985,0.5945102
0.5953848,0.55415744
0.5600986,0.501754
0.5522012,0.5048164
0.5438557,0.49751058
0.55494565,0.50006086
0.562451,0.50521153
0.60781896,0.5428208
0.7373698,0.67017806
0.8214406,0.757917
0.8272656,0.7624135
0.8211045,0.7657903
0.8079982,0.75734097
0.77192783,0.7522073
0.73708975,0.7361962
0.7238714,0.719931
0.70393187,0.7087399
0.71054107,0.6883721
0.7347933,0.70543516
0.7773608,0.7436744
0.78268176,0.7586345
0.74638736,0.72420686
0.69474626,0.674867
0.642097,0.62681234
0.60490644,0.5824053
0.5704044,0.5305461
0.5471043,0.49418142
0.5318696,0.50331396
0.5204436,0.49934915
0.51730704,0.49185285
0.5213398,0.48950168
0.5327098,0.51146996
0.55757815,0.5527222
0.6087151,0.6052282
0.636272,0.63630855
0.6745827,0.6575026
0.6896494,0.67729753
0.68096787,0.6677782
0.6714462,0.64438015
0.67424667,0.64310753
0.6503305,0.64023185
0.6492103,0.6315113
0.6750868,0.65915114
0.71614206,0.70619357
0.69777083,0.72390974
0.6688137,0.6887905
0.6329114,0.6615571
0.5960569,0.6091999
0.54004705,0.5667919
0.516971,0.5368236
0.4932228,0.4926465
0.47552368,0.46173087
0.4727232,0.45911324
0.46790636,0.46300742
0.48325306,0.46446574
0.4869497,0.481946
0.50935364,0.49975294
0.53898287,0.50854075
0.57006836,0.54692197
0.608155,0.5737832
0.6388484,0.58832306
0.6487062,0.5978428
0.653299,0.5871306
0.6471939,0.5842581
0.6537471,0.586875
0.6624846,0.5777837
0.68214405,0.61115074
0.7284082,0.6633847
0.74392295,0.6758524
0.7202868,0.64081776
0.6823121,0.6133776
0.6357119,0.5629693
0.59124005,0.5054295
0.5554498,0.4699197
0.5138344,0.43725175
0.51137,0.46413907
0.50649714,0.4648191
0.511258,0.47184846
0.52458835,0.47940335
0.56906015,0.5290377
0.6801837,0.6589509
0.7472275,0.7649225
0.76335835,0.77666205
0.7693514,0.76802343
0.77993727,0.76881254
0.7780889,0.76186305
0.78307384,0.7522387
0.7788731,0.74920714
0.7627422,0.7494793
0.76610285,0.75673044
0.77652067,0.75934917
0.8024532,0.796976
0.7863224,0.78156114
0.75014,0.7494676
0.7134536,0.7243876
0.66601324,0.65127075
0.5984093,0.57295775
0.5267167,0.51250744
0.5140585,0.4724598
0.49131846,0.4556095
0.4749636,0.45730847
0.47473955,0.45782405
0.4932228,0.4735247
0.52318805,0.5340183
0.6454576,0.6600211
0.733057,0.76530457
0.7471155,0.77280074
0.75142825,0.7595476
0.7491879,0.76012987
0.73843396,0.7590381
0.7208469,0.7406268
0.7109891,0.7401587
0.71334153,0.7340531
0.71793437,0.748033
0.72409546,0.74864155
0.7683432,0.7847986
0.77797693,0.7856762
0.7560211,0.75596964
0.7170382,0.7218297
0.67424667,0.65399796
0.6068108,0.58836234
0.5551137,0.535997
0.51775515,0.49139684
0.49591127,0.46982735
0.49949592,0.47461984
0.50599307,0.47941086
0.5279489,0.49423292
0.57740563,0.54610926
0.66959786,0.6718007
0.76431054,0.77662975
0.76386243,0.7740882
0.73434526,0.7605625
0.732721,0.752074
0.732721,0.7481581
0.71115714,0.73667645
0.70555615,0.73606217
0.6823121,0.727785
0.68214405,0.7322234
0.69239384,0.7482549
0.7504201,0.77867186
0.75014,0.7782077
0.7142937,0.7479839
0.6912737,0.71425956
0.62876666,0.6504727
0.579254,0.58986783
0.51881933,0.5332211
0.5068332,0.49506986
0.4960233,0.45663592
0.4926067,0.46180373
0.4880699,0.46281365
0.5040887,0.46944818
0.54251146,0.51573205
0.6584519,0.61363935
0.76923937,0.699634
0.76800716,0.709661
0.761454,0.704861
0.75322056,0.7025085
0.7432508,0.70000863
0.7379299,0.68053496
0.7309846,0.6795901
0.72465557,0.6801059
0.710205,0.67904395
0.721407,0.6828696
0.75882155,0.71991813
0.7659908,0.7263266
0.73496133,0.70472276
0.7057242,0.65763056
0.66517305,0.60493153
0.61566037,0.5423112
0.55998653,0.49078122
0.52750087,0.45505485
0.5082334,0.4639442
0.49759158,0.46290028
0.48650163,0.469034
0.51775515,0.48933312
0.57959,0.5321949
0.69116163,0.6454214
0.7551249,0.74109685
0.7596057,0.7554794
0.7628543,0.75133365
0.783802,0.7415568
0.7693514,0.7326627
0.7546768,0.713959
0.74269074,0.7094839
0.71670216,0.7012304
0.69855493,0.6781694
0.71474177,0.6854663
0.7491879,0.71265686
0.74129045,0.7181909
0.7033718,0.68883526
0.66158843,0.6511035
0.6155483,0.5982693
0.5620029,0.5550781
0.5260446,0.51148707
0.4699227,0.4724214
0.45709646,0.46200064
0.45547217,0.4626068
0.45939285,0.46355858
0.46051306,0.46781945
0.47339532,0.48632938
0.51853925,0.5080679
0.5439677,0.5395744
0.59056795,0.5659254
0.61784476,0.5989347
0.63055897,0.6111655
0.62316567,0.60889274
0.6113476,0.59228665
0.5937605,0.58340085
0.57757366,0.5733179
0.5829506,0.57182497
0.6159964,0.5994734
0.6725104,0.6406841
0.664837,0.6626583
0.6385124,0.6316916
0.6031141,0.6028473
0.56726784,0.5588708
0.5387028,0.53444016
0.4972555,0.49530268
0.4629775,0.47166583
0.45423993,0.45397884
0.4522236,0.4483721
0.4504313,0.45245057
0.44964713,0.46172342
0.45754454,0.46574494
0.47305927,0.49706784
0.4960793,0.5121424
0.5336619,0.531242
0.579254,0.56550056
0.5977932,0.5770809
0.6041783,0.59544116
0.59908146,0.58273405
0.59000784,0.57895863
0.58771145,0.57477957
0.59359246,0.57238907
0.6215974,0.5963109
0.6898174,0.6431708
0.698891,0.6581284
0.67749524,0.6519675
0.64478546,0.62188774
0.58496696,0.56782645
0.5505769,0.52113175
0.5065532,0.47855118
0.48504537,0.4492581
0.47574773,0.44324288
0.47182703,0.45406982
0.47697994,0.4573752
0.5075613,0.46139064
0.5600986,0.5219286
0.68841714,0.6463593
0.75747734,0.74063265
0.7739442,0.75688547
0.7721519,0.7475433
0.76716703,0.7373956
0.76744705,0.7340342
0.7659908,0.7182096
0.7551249,0.7115509
0.74974793,0.7144798
0.75086814,0.70544416
0.7658788,0.71897465
0.8060939,0.7647888
0.8035734,0.77617
0.78537023,0.76226497
0.7449311,0.7220749
