true,forecasted
0.65520334,0.65062517
0.6492103,0.6552308
0.6518427,0.65979916
0.66394085,0.6817067
0.72353536,0.74440914
0.8426123,0.8561313
0.92449874,0.95270944
0.91464096,0.9580532
0.9026549,0.9317506
0.89122885,0.9251977
0.8834995,0.90622115
0.85986334,0.88118404
0.85303015,0.87243974
0.8619917,0.8810498
0.86412007,0.88076806
0.8744259,0.88807523
0.9156492,0.92302036
0.90831184,0.9093638
0.87851465,0.8804104
0.8430604,0.8423307
0.7959001,0.78543967
0.7141257,0.72497714
0.66494906,0.66689235
0.6131959,0.62946826
0.6035062,0.6074399
0.6067548,0.6122123
0.6107875,0.6190763
0.6246219,0.64143705
0.67872745,0.70408493
0.81841606,0.81247914
0.90052646,0.91603696
0.8999664,0.9250962
0.89929426,0.8986684
0.8869721,0.8955802
0.86860085,0.8830632
0.8256973,0.857749
0.8319144,0.84938604
0.81908816,0.86021405
0.8231209,0.86580753
0.84591687,0.87591463
0.89453346,0.90895134
0.88327545,0.89390016
0.83549905,0.86270577
0.80755013,0.8196739
0.7545088,0.7643451
0.68780106,0.7020427
0.61566037,0.63933665
0.5905119,0.6003676
0.5844629,0.5708128
0.55881035,0.57460004
0.5616108,0.5762687
0.57936597,0.59578675
0.61974907,0.65476304
0.74269074,0.7706416
0.82973003,0.8704479
0.8194242,0.8760104
0.81275904,0.8553705
0.8154475,0.8539548
0.8004929,0.83453107
0.7881707,0.8122114
0.77769685,0.8006477
0.76666296,0.8058863
0.7771928,0.8056251
0.78318584,0.8064174
0.8387476,0.8364815
0.83096224,0.8211418
0.8030133,0.7888235
0.7540607,0.74082375
0.71575,0.68921334
0.64696985,0.6241361
0.5953848,0.5637536
0.5600986,0.52994865
0.5522012,0.51355135
0.5438557,0.5130483
0.55494565,0.51776266
0.562451,0.52414215
0.60781896,0.5736126
0.7373698,0.679576
0.8214406,0.7737273
0.8272656,0.79739326
0.8211045,0.78309685
0.8079982,0.78763425
0.77192783,0.7728034
0.73708975,0.7478769
0.7238714,0.7345836
0.70393187,0.7290537
0.71054107,0.7209825
0.7347933,0.73358196
0.7773608,0.7659421
0.78268176,0.7616321
0.74638736,0.731937
0.69474626,0.6826295
0.642097,0.6375451
0.60490644,0.5937332
0.5704044,0.5501026
0.5471043,0.516056
0.5318696,0.5046829
0.5204436,0.50135386
0.51730704,0.49775615
0.5213398,0.5020366
0.5327098,0.5257264
0.55757815,0.56572515
0.6087151,0.61026764
0.636272,0.64647007
0.6745827,0.6617568
0.6896494,0.6723143
0.68096787,0.66524374
0.6714462,0.6505992
0.67424667,0.63319105
0.6503305,0.6336988
0.6492103,0.62778884
0.6750868,0.6514656
0.71614206,0.69541806
0.69777083,0.70847064
0.6688137,0.68746936
0.6329114,0.64349586
0.5960569,0.60237527
0.54004705,0.56389433
0.516971,0.53206384
0.4932228,0.502249
0.47552368,0.4707628
0.4727232,0.46411103
0.46790636,0.45124266
0.48325306,0.45336252
0.4869497,0.4679416
0.50935364,0.4881987
0.53898287,0.51991165
0.57006836,0.5599254
0.608155,0.5842428
0.6388484,0.61007994
0.6487062,0.61396843
0.653299,0.6191849
0.6471939,0.6042957
0.6537471,0.61046404
0.6624846,0.61620384
0.68214405,0.6435585
0.7284082,0.69132525
0.74392295,0.7083273
0.7202868,0.6904117
0.6823121,0.64868206
0.6357119,0.6040508
0.59124005,0.54847866
0.5554498,0.51054966
0.5138344,0.47968656
0.51137,0.49252784
0.50649714,0.4893293
0.511258,0.49235204
0.52458835,0.5084449
0.56906015,0.5685755
0.6801837,0.683117
0.7472275,0.77570975
0.76335835,0.7894978
0.7693514,0.7777203
0.77993727,0.7810962
0.7780889,0.76641184
0.78307384,0.7430703
0.7788731,0.7368335
0.7627422,0.73566145
0.76610285,0.73992103
0.77652067,0.7369914
0.8024532,0.77419865
0.7863224,0.76710427
0.75014,0.74334127
0.7134536,0.6956998
0.66601324,0.63699985
0.5984093,0.5752022
0.5267167,0.51417017
0.5140585,0.48402464
0.49131846,0.47755238
0.4749636,0.47299877
0.47473955,0.47743967
0.4932228,0.4847471
0.52318805,0.534474
0.6454576,0.6377971
0.733057,0.74800384
0.7471155,0.75989085
0.75142825,0.74078393
0.7491879,0.7394732
0.73843396,0.7320082
0.7208469,0.70666337
0.7109891,0.7060949
0.71334153,0.7076102
0.71793437,0.71933055
0.72409546,0.7261708
0.7683432,0.7649315
0.77797693,0.7590809
0.7560211,0.7383745
0.7170382,0.70364463
0.67424667,0.64547837
0.6068108,0.59037673
0.5551137,0.52663416
0.51775515,0.4929465
0.49591127,0.48726842
0.49949592,0.48567343
0.50599307,0.49521223
0.5279489,0.5065012
0.57740563,0.5563814
0.66959786,0.6637006
0.76431054,0.7738663
0.76386243,0.7835529
0.73434526,0.7594362
0.732721,0.7511599
0.732721,0.74038035
0.71115714,0.7096575
0.70555615,0.71185464
0.6823121,0.7131303
0.68214405,0.7151139
0.69239384,0.7240765
0.7504201,0.7608119
0.75014,0.75662386
0.7142937,0.7370786
0.6912737,0.7034073
0.62876666,0.64870226
0.579254,0.598063
0.51881933,0.53783184
0.5068332,0.5035211
0.4960233,0.47189164
0.4926067,0.4702328
0.4880699,0.46600586
0.5040887,0.48145348
0.54251146,0.52659523
0.6584519,0.62399805
0.76923937,0.7143351
0.76800716,0.7321815
0.761454,0.71488833
0.75322056,0.7120776
0.7432508,0.7004024
0.7379299,0.6817638
0.7309846,0.6780111
0.72465557,0.6751434
0.710205,0.68431056
0.721407,0.69728094
0.75882155,0.73560005
0.7659908,0.7393099
0.73496133,0.716659
0.7057242,0.68280107
0.66517305,0.62773204
0.61566037,0.566522
0.55998653,0.5104296
0.52750087,0.4780252
0.5082334,0.48024234
0.49759158,0.47656697
0.48650163,0.48105475
0.51775515,0.4884689
0.57959,0.5338171
0.69116163,0.63558084
0.7551249,0.72159636
0.7596057,0.74179953
0.7628543,0.7328255
0.783802,0.7301595
0.7693514,0.71438664
0.7546768,0.6861318
0.74269074,0.6748061
0.71670216,0.66302127
0.69855493,0.65913725
0.71474177,0.66817164
0.7491879,0.7049427
0.74129045,0.70665693
0.7033718,0.6821349
0.66158843,0.64168644
0.6155483,0.5913956
0.5620029,0.5509675
0.5260446,0.5062649
0.4699227,0.477256
0.45709646,0.46792883
0.45547217,0.4653235
0.45939285,0.4641199
0.46051306,0.46807122
0.47339532,0.49022076
0.51853925,0.5222335
0.5439677,0.56688046
0.59056795,0.6015665
0.61784476,0.62433463
0.63055897,0.6355395
0.62316567,0.63524437
0.6113476,0.6170825
0.5937605,0.60635257
0.57757366,0.6050443
0.5829506,0.6087228
0.6159964,0.63274837
0.6725104,0.67235714
0.664837,0.68311596
0.6385124,0.6631524
0.6031141,0.6258482
0.56726784,0.5828371
0.5387028,0.5465478
0.4972555,0.5101368
0.4629775,0.48148638
0.45423993,0.46036932
0.4522236,0.45599973
0.4504313,0.45230365
0.44964713,0.453696
0.45754454,0.46638384
0.47305927,0.49144942
0.4960793,0.52913535
0.5336619,0.55793756
0.579254,0.58154017
0.5977932,0.5958655
0.6041783,0.5952928
0.59908146,0.5859391
0.59000784,0.5786032
0.58771145,0.58166414
0.59359246,0.5903971
0.6215974,0.61415875
0.6898174,0.66231364
0.698891,0.68309
0.67749524,0.67158145
0.64478546,0.6395688
0.58496696,0.5911449
0.5505769,0.5450915
0.5065532,0.50127846
0.48504537,0.47341588
0.47574773,0.4548067
0.47182703,0.4570729
0.47697994,0.47268632
0.5075613,0.4858814
0.5600986,0.543055
0.68841714,0.66678333
0.75747734,0.76526964
0.7739442,0.7893972
0.7721519,0.76887894
0.76716703,0.76992553
0.76744705,0.7585192
0.7659908,0.7289625
0.7551249,0.7299887
0.74974793,0.7291909
0.75086814,0.7424579
0.7658788,0.75220865
0.8060939,0.7871674
0.8035734,0.79782754
0.78537023,0.7810089
0.7449311,0.7482291
0.6885292,0.6900903
0.6358239,0.63253784
0.59152013,0.5688129
0.5532654,0.5321465
0.5421194,0.5267937
0.53170156,0.5275137
0.53618234,0.535193
0.5656996,0.5500008
0.6221575,0.6027157
0.72756803,0.70816994
0.81320715,0.80810404
0.8199283,0.8261196
0.8163997,0.80182177
0.82261676,0.79571426
0.8076621,0.7850377
0.78783464,0.75596756
0.77909714,0.7529431
0.77797693,0.7534776
0.79623616,0.75856787
0.8016131,0.7708795
0.84754115,0.807354
0.85314214,0.8155148
0.8157276,0.7985386
0.78374594,0.76617944
0.7262238,0.7095046
0.67542285,0.65383935
0.63039094,0.5949971
0.59124005,0.5589221
0.5729808,0.5604428
0.57578135,0.56254345
0.5828386,0.5722998
0.602106,0.5899983
0.6429372,0.6465443
0.7809454,0.740136
0.8497816,0.8307929
0.85258204,0.8427472
0.84070796,0.8260084
0.83387476,0.82231927
0.8170718,0.8140359
0.7976924,0.7867059
0.78604233,0.7828583
0.7764087,0.7854741
0.79057914,0.7853725
0.8137672,0.79430205
0.857735,0.82995987
0.86904895,0.8309543
0.84580487,0.8131016
0.81908816,0.7774191
0.761398,0.7206236
0.70594823,0.6656389
0.659124,0.6075722
0.62658226,0.57512814
0.6180128,0.59357864
0.6117397,0.5989459
0.6118517,0.60668427
0.6377282,0.62527573
0.67587095,0.68559223
0.8025653,0.7877651
0.87352973,0.8834144
0.8684328,0.8939635
0.85134983,0.8713619
0.8307382,0.86428195
0.8141593,0.84952664
0.78223366,0.8185435
0.75770134,0.81610876
0.7529965,0.82140034
0.77304804,0.81622845
0.76453453,0.82686245
0.81158286,0.86450756
0.82659346,0.8614982
0.81718385,0.84252983
0.784082,0.80598235
0.7282402,0.74736494
0.67245436,0.6910695
0.6176207,0.63658994
0.57589334,0.5992551
0.56715584,0.5625787
0.56233895,0.56481224
0.55595386,0.5743968
0.5710765,0.5899393
0.64120084,0.6460412
0.75322056,0.74577814
0.8113588,0.8305168
0.8305142,0.8445866
0.8282738,0.8256059
0.83040214,0.80983186
0.8137672,0.7947118
0.8001008,0.7591696
0.7677831,0.7449232
0.75473285,0.7357083
0.7471715,0.7234875
0.7549569,0.73796695
0.79965276,0.7812798
0.82099247,0.7899426
