true,forecasted
0.47547615,0.54027396
0.5434013,0.5459829
0.43603572,0.5533328
0.4100792,0.5328954
0.42946234,0.5460465
0.540536,0.5736156
0.67099273,0.6634053
0.73251307,0.7214295
0.7473453,0.717551
0.75594133,0.7249296
0.7451542,0.71260947
0.6994775,0.6662988
0.6888589,0.66794163
0.6532951,0.6503929
0.6355975,0.6467507
0.6362717,0.6525886
0.6613855,0.69066805
0.71936625,0.71169823
0.6775662,0.67492944
0.5944716,0.59990263
0.5277263,0.54908144
0.51424235,0.5288548
0.47294793,0.5143934
0.47261083,0.51565427
0.56834656,0.5184756
0.5643014,0.523185
0.55048037,0.52864
0.51306254,0.5090324
0.4242373,0.5314629
0.52587223,0.5607439
0.66509354,0.6591267
0.74431145,0.7265937
0.7636946,0.7275591
0.7834148,0.7381267
0.77835834,0.73141414
0.73790663,0.68383926
0.74346876,0.6844309
0.72105175,0.665252
0.7070622,0.6581274
0.69897187,0.66021514
0.7111074,0.69279474
0.7347042,0.71180063
0.67655486,0.6769605
0.59396595,0.60650396
0.5240182,0.5528552
0.50244397,0.530578
0.45862126,0.5060684
0.426597,0.5100172
0.4552503,0.5170094
0.471431,0.52198756
0.4825552,0.53262967
0.45541885,0.50761807
0.43468735,0.52401745
0.54306424,0.5482495
0.67318386,0.63993
0.74414295,0.7032513
0.76554865,0.70127493
0.7739761,0.70875937
0.76285183,0.7070382
0.72273725,0.6571511
0.7207146,0.6566231
0.6961065,0.6370405
0.67234117,0.63113797
0.6642508,0.6328904
0.6880162,0.66650456
0.7264453,0.6889949
0.67486936,0.6602635
0.59565145,0.59145373
0.5260408,0.5405379
0.5059835,0.5211991
0.49890444,0.49766496
0.4436204,0.5010105
0.44395754,0.50062233
0.43435025,0.50248104
0.5053093,0.51368594
0.48744312,0.49080554
0.43755266,0.50966537
0.54188436,0.53720456
0.6676218,0.6193074
0.7481881,0.6763578
0.7601551,0.67492384
0.76318896,0.68084127
0.74363726,0.6803867
0.70723075,0.6340927
0.70200574,0.6306296
0.6704871,0.60948706
0.6386314,0.6049345
0.6217765,0.61441374
0.6480701,0.65759844
0.70385975,0.67424566
0.6613855,0.63782376
