true,forecasted
0.47547615,0.5368242
0.5434013,0.5566434
0.43603572,0.5663527
0.4100792,0.55340284
0.42946234,0.5564172
0.540536,0.60666645
0.67099273,0.69985616
0.73251307,0.7770909
0.7473453,0.76457036
0.75594133,0.78072715
0.7451542,0.77937627
0.6994775,0.71607804
0.6888589,0.725816
0.6532951,0.7056265
0.6355975,0.68347234
0.6362717,0.6940665
0.6613855,0.7281942
0.71936625,0.773573
0.6775662,0.72466475
0.5944716,0.63716614
0.5277263,0.56158954
0.51424235,0.56678444
0.47294793,0.50547695
0.47261083,0.5493923
0.56834656,0.5315299
0.5643014,0.5411333
0.55048037,0.5670379
0.51306254,0.5494809
0.4242373,0.5407318
0.52587223,0.60205185
0.66509354,0.6869446
0.74431145,0.76118386
0.7636946,0.7728138
0.7834148,0.78018427
0.77835834,0.7800577
0.73790663,0.73394114
0.74346876,0.7294178
0.72105175,0.7078181
0.7070622,0.6775646
0.69897187,0.6891503
0.7111074,0.74200845
0.7347042,0.7828134
0.67655486,0.7101522
0.59396595,0.6320605
0.5240182,0.57118785
0.50244397,0.55316323
0.45862126,0.49887422
0.426597,0.53163344
0.4552503,0.5360063
0.471431,0.5466495
0.4825552,0.5700721
0.45541885,0.54734594
0.43468735,0.56637335
0.54306424,0.5956854
0.67318386,0.6935987
0.74414295,0.76899964
0.76554865,0.7538322
0.7739761,0.7709507
0.76285183,0.75706583
0.72273725,0.7032605
0.7207146,0.730461
0.6961065,0.7003207
0.67234117,0.6843707
0.6642508,0.6936669
0.6880162,0.7504805
0.7264453,0.7791796
0.67486936,0.7272957
0.59565145,0.64571875
0.5260408,0.58870924
0.5059835,0.5729185
0.49890444,0.523303
0.4436204,0.54719794
0.44395754,0.5281546
0.43435025,0.52799773
0.5053093,0.5653116
0.48744312,0.5470422
0.43755266,0.5310739
0.54188436,0.5882287
0.6676218,0.66353333
0.7481881,0.7633691
0.7601551,0.75289917
0.76318896,0.76256055
0.74363726,0.7594557
0.70723075,0.69105023
0.70200574,0.7047361
0.6704871,0.6693014
0.6386314,0.6679156
0.6217765,0.6537549
0.6480701,0.7142039
0.70385975,0.7688222
0.6613855,0.7290073
0.58048207,0.6486488
0.51525366,0.5949265
0.5017698,0.5802963
0.47901568,0.54274994
0.4532277,0.5461001
0.51137704,0.5185802
0.50783753,0.5298952
0.48896006,0.539682
0.43367606,0.5261726
0.44463173,0.50416934
0.40249452,0.50383687
0.37518963,0.46525764
0.42996797,0.5374705
0.47867858,0.5744821
0.49873587,0.5828907
0.48997134,0.59852874
0.5388505,0.61754423
0.5669981,0.6331159
0.55739087,0.6049733
0.545761,0.58689
0.52452385,0.57817477
0.50665766,0.61489505
0.56211025,0.67110306
0.5455924,0.63984007
0.49199393,0.5737722
0.42373168,0.54619473
0.45036238,0.54781985
0.5081746,0.5144413
0.48019552,0.54114443
0.5270521,0.50938356
0.53076017,0.4968157
0.5139053,0.50721496
0.49317378,0.49318793
0.4759818,0.4582244
0.44918254,0.42079845
0.43603572,0.3882762
0.42036068,0.39148712
0.4614866,0.4359729
0.47159952,0.44810364
0.5145795,0.45892316
0.5636272,0.49413556
0.5776167,0.5023812
0.54137874,0.45678562
0.4710939,0.44394356
0.44918254,0.46748564
0.4601382,0.50185
0.5250295,0.5381711
0.4894657,0.5159751
0.4331704,0.48942134
0.38884208,0.4691062
0.3858082,0.47025514
0.41395584,0.45027256
0.45390192,0.44680583
0.4707568,0.52032363
0.47648746,0.5398957
0.47851002,0.55156344
0.4825552,0.54661924
0.53564805,0.56026053
0.5133996,0.5865124
0.6329007,0.666784
0.7136356,0.7585354
0.735884,0.7718711
0.7449857,0.79718316
0.7333558,0.78960115
0.6964436,0.74893755
0.6932412,0.7683805
0.67301536,0.73329824
0.64604753,0.70759976
0.6507669,0.71612406
0.6635766,0.73945314
0.73217595,0.77578264
0.6885218,0.71669036
0.60896677,0.64834344
0.554357,0.591078
0.53969324,0.5893591
0.5029496,0.5538626
0.49165684,0.58260405
0.57070625,0.57926464
0.55975056,0.6035653
0.5467723,0.6086807
0.53733355,0.583392
0.5329513,0.5921484
0.5843587,0.6815367
0.6957694,0.77185404
0.7550986,0.8209284
0.75745827,0.8216671
0.74667114,0.81543416
0.7247598,0.80449104
0.6826226,0.74549425
0.6832968,0.7650155
0.657846,0.72988904
0.63155234,0.69704324
0.6345862,0.72555393
0.64958704,0.7643258
0.7277937,0.8441089
0.68936455,0.800788
0.6162144,0.70541555
0.5622788,0.6426919
0.55216587,0.6233494
0.518119,0.563211
0.47968987,0.5853185
0.47817293,0.5457051
0.4877802,0.5470732
0.4759818,0.5619214
0.42794538,0.55227673
0.459464,0.5521747
0.57154894,0.6291626
0.6863307,0.7356911
0.7584696,0.7965236
0.772122,0.78063476
0.7790325,0.792002
0.7647059,0.77493215
0.7156582,0.7140256
0.7050396,0.73141754
0.6688016,0.69855285
0.63964266,0.6694875
0.6317209,0.67028004
0.65683466,0.7212872
0.7404349,0.7876646
0.70385975,0.7521307
0.6374515,0.66522557
0.56278443,0.5926048
0.5369965,0.58214873
0.50278103,0.5102775
0.47985843,0.536537
0.48070115,0.53048813
0.48137537,0.52166003
0.481881,0.55149513
0.4710939,0.5362248
0.4549132,0.54593694
0.54761505,0.68087614
0.6694758,0.77291614
0.7468397,0.8397544
0.7756615,0.84591544
0.8021237,0.8688446
0.7958874,0.8294407
0.76251477,0.78138345
0.75813246,0.77578825
0.73318726,0.7444544
0.7094219,0.72962624
0.7021743,0.7100466
0.6913872,0.7472707
0.73723245,0.76952016
0.6929041,0.73932225
0.609641,0.6733843
0.5329513,0.6096867
0.5145795,0.5720238
0.45912692,0.5140131
0.4249115,0.5018917
0.43485588,0.5077822
0.45154223,0.50904644
0.4496882,0.5312133
0.38766223,0.49541277
0.4031687,0.5010761
0.5272206,0.5382003
0.6329007,0.6509254
0.7090848,0.75934976
0.7360526,0.74982786
0.75391877,0.7671628
0.74481714,0.75451624
0.69678074,0.7047244
0.69105005,0.7198648
0.6635766,0.6906601
0.6364403,0.6837856
0.60660714,0.6612838
0.62801284,0.7018251
0.66863304,0.72356325
0.6259902,0.6842778
0.5600876,0.6133254
0.50497216,0.5505958
0.47379068,0.5375514
0.43805832,0.5148395
0.38749367,0.52378196
0.3890106,0.47282216
0.38311142,0.50886494
0.37417832,0.51858056
0.34872746,0.50739145
0.33271533,0.47447178
0.33102983,0.47770655
0.43064216,0.4776227
0.41951796,0.55712086
0.47851002,0.57680154
0.5125569,0.58684134
0.51356816,0.61629456
0.54137874,0.5947286
0.526715,0.61768675
0.5157593,0.58980924
0.49115118,0.5617489
0.46806002,0.54411054
0.5145795,0.5662428
0.556211,0.59915096
0.53547955,0.60182613
0.47379068,0.53482753
0.42676556,0.47506124
0.42743975,0.47419164
0.43704703,0.45148054
0.41361874,0.50175995
0.46789145,0.47281203
0.47244227,0.4746872
0.48306084,0.48246726
0.4736221,0.47223255
0.4358672,0.46345875
0.40434855,0.456812
0.41227037,0.4262197
0.41682118,0.45997024
0.4045171,0.48831552
0.43536153,0.5111159
0.4598011,0.53502494
0.5012641,0.5384698
0.49620765,0.54756904
0.46688017,0.50102615
0.45676723,0.4892697
0.44378898,0.4910145
0.47210518,0.5243974
0.5412102,0.5743949
0.51997304,0.5715322
0.47294793,0.53274614
0.43030506,0.49340948
0.42305747,0.4910025
0.3962582,0.45455572
0.4147986,0.4699919
0.41260746,0.5103618
0.44884545,0.5102322
0.481881,0.52510875
0.44547448,0.5280162
0.44547448,0.5793412
0.5145795,0.6191678
0.633912,0.7090894
0.7161638,0.78451115
0.7347042,0.78736436
0.7480196,0.8095256
0.75054777,0.8025569
0.7023428,0.7468905
0.70554525,0.76691204
0.71700656,0.7360889
0.68127424,0.711778
0.6502612,0.7010627
0.6485758,0.71460855
0.7057138,0.7627907
0.6597,0.7210998
0.57593125,0.64343375
0.5058149,0.58236533
0.5000843,0.5527987
0.46468902,0.49573168
0.44951963,0.50847536
0.5085117,0.50797004
0.51879317,0.5210613
0.52149,0.5242561
0.4855891,0.48912987
0.52587223,0.50472736
0.5664925,0.5939422
0.668296,0.6799736
0.75981796,0.7648497
0.78526884,0.77581334
0.7854374,0.78207844
0.8061689,0.7785395
0.71599525,0.72290486
0.7129614,0.7395049
0.706388,0.712428
0.68228555,0.6844135
0.6856565,0.7015706
0.6838025,0.7107646
0.73959213,0.7697584
0.69340974,0.72635394
0.621945,0.66358286
0.58806676,0.5876028
0.54255855,0.5743467
0.5133996,0.5157399
0.46721727,0.5268373
0.48929715,0.496632
0.5312658,0.5121021
0.52924323,0.52073115
0.5172762,0.50903225
0.5139053,0.53048134
0.5931232,0.6342879
0.6957694,0.7445618
0.76318896,0.80314195
0.7797067,0.8126391
0.7935277,0.8213371
0.78425753,0.797961
0.75762683,0.76753134
0.76622283,0.77095246
0.7429631,0.7487576
0.73032194,0.69673353
0.7350413,0.7016518
0.7099275,0.73125094
0.75290745,0.78342324
0.7205461,0.7530673
0.6504298,0.6828824
0.58081913,0.6049567
0.5440755,0.5780146
0.52452385,0.50787157
0.47783583,0.52009493
0.48204955,0.5353829
0.5019383,0.53001434
0.51761335,0.5360027
0.52384967,0.5263328
0.5069948,0.53682077
0.59969664,0.64567894
0.71818644,0.7447921
0.7987527,0.8166991
0.82858586,0.817611
0.85049725,0.8379919
0.8508343,0.8202182
0.8090342,0.7950717
0.8295972,0.807435
0.811731,0.7785511
0.7930221,0.7556913
0.7854374,0.728923
0.7866172,0.7430407
0.79083097,0.77753687
0.7485252,0.7674046
0.66610485,0.70037913
0.58638126,0.63024217
0.56902075,0.5991723
0.5230069,0.5460476
0.5059835,0.55072296
0.5068262,0.5363935
0.51929885,0.53550184
0.5184561,0.55645263
0.4569358,0.56453496
0.47968987,0.57864237
0.5936289,0.7099435
0.71936625,0.8290392
0.8044834,0.9000781
0.83381087,0.89901066
0.8538682,0.9168288
0.84544075,0.8786086
0.81881005,0.845797
0.8243722,0.8571307
0.79453903,0.8200444
0.8024608,0.76673836
0.77077365,0.74227494
0.7584696,0.77575153
0.7815608,0.8024766
0.73487276,0.7685011
0.65160966,0.71468765
0.5862127,0.63753504
0.583853,0.62395597
0.5609304,0.5713411
0.5157593,0.54162604
0.53733355,0.5327877
0.5447497,0.5338557
0.5514917,0.53384787
0.5019383,0.5257463
0.49485925,0.5226879
0.44614866,0.5347072
0.43957525,0.5529264
0.49755603,0.6348584
0.5440755,0.66024196
0.55772793,0.6915431
0.55941343,0.6820941
0.5727288,0.67508143
0.57323444,0.69596195
0.5474465,0.66646403
0.54137874,0.6357733
0.5698635,0.61583096
0.5720546,0.6768077
0.61874264,0.734168
0.6000337,0.6948648
0.5348053,0.62663406
0.476656,0.5812298
0.47935277,0.58202344
0.47749874,0.53259355
0.56902075,0.5302271
0.5686836,0.5165713
0.55975056,0.5297992
0.5460981,0.5322067
0.52806336,0.50542676
0.51238835,0.4696965
0.49991572,0.44416413
0.490477,0.4112545
0.523344,0.4484586
0.58419013,0.51374537
0.62986684,0.5345574
0.6411596,0.5374572
0.66610485,0.5765248
0.6452048,0.5877571
0.6126749,0.5407409
0.590595,0.52260953
0.58183044,0.54576457
0.5489634,0.5650647
0.6313838,0.6242296
0.6428451,0.60562044
0.5944716,0.59052926
0.58941513,0.54672104
0.60947245,0.5561612
0.5867184,0.5390826
0.59211195,0.54293555
0.61469746,0.62194705
0.6271701,0.61151737
0.6273386,0.63682884
0.5995281,0.6344686
0.6248104,0.6680876
0.6532951,0.68571484
0.775493,0.79295385
0.8526884,0.86339384
0.8595989,0.8484578
0.86920613,0.878562
0.84021574,0.8792148
0.80836004,0.84623533
0.83161974,0.8976124
0.85117143,0.8749532
0.8334738,0.85332173
0.8287544,0.8461325
0.8011124,0.85663784
0.85993594,0.88139504
0.84375525,0.8645964
0.7596494,0.80847204
0.6954323,0.73573416
0.6802629,0.7269117
0.65127254,0.6903786
0.6184055,0.68625253
0.6923984,0.68531585
0.6740266,0.67555207
0.6600371,0.708282
0.6340806,0.6638356
0.59582,0.6459906
0.7163324,0.74307775
0.83027136,0.82684815
0.89870214,0.88603514
0.91134334,0.8683182
0.9046014,0.8841214
0.86954325,0.89006054
0.8449351,0.85616505
0.85167706,0.8861307
0.8284173,0.8718661
0.9039272,0.8585162
0.81746167,0.8653392
0.8017866,0.8621058
0.86549807,0.87699646
0.8439238,0.8844543
0.76976234,0.81729525
0.703017,0.7579631
0.69172424,0.7206747
0.6607113,0.6841808
0.69897187,0.66756296
0.72897357,0.6265736
0.7073993,0.5894273
0.68683636,0.62963897
0.6524524,0.6212182
0.695938,0.6096231
0.73318726,0.7479451
0.8390359,0.8516851
0.89549977,0.89827704
0.8983651,0.8927245
0.8853868,0.9152229
0.8476319,0.8957041
0.81577617,0.87396204
0.84426093,0.88199925
0.78712285,0.863606
0.7970672,0.84237486
0.801281,0.8308771
0.7883027,0.856692
0.8462835,0.87362874
0.8139221,0.8716369
0.74009776,0.7996577
0.6659363,0.7055002
0.6479016,0.692206
0.6128434,0.63406575
0.5895837,0.5876721
0.5779538,0.60639435
0.5882353,0.6068255
0.58419013,0.6247161
0.56329006,0.5951925
0.6116636,0.60272455
0.6915557,0.71672404
0.7947076,0.8343247
0.8715658,0.88483834
0.9101635,0.8930793
0.9298837,0.9162576
0.91353446,0.87592244
0.8897691,0.84387535
0.88656664,0.8570534
0.8510029,0.81512487
0.8210012,0.80944604
0.8011124,0.7713875
0.7856059,0.8017916
0.84308106,0.8335099
0.8304399,0.8205434
0.7475139,0.7465842
0.6752065,0.67566687
0.6548121,0.6428613
0.6190797,0.5718802
0.6027305,0.5491552
0.6462161,0.58106077
0.6645879,0.57971233
0.64941853,0.59680885
0.61233777,0.58154947
0.6590258,0.55765045
0.67891455,0.7292099
0.78644866,0.82016015
0.85690206,0.87771016
0.8815102,0.8840394
0.8983651,0.88452375
0.87645376,0.8716049
0.85858756,0.809936
0.87190294,0.82913935
0.84948593,0.8043442
0.80144954,0.7823329
0.76049215,0.7538149
0.7502107,0.80015683
0.7953818,0.80198413
0.78459466,0.7870917
0.71127594,0.71010697
0.6416653,0.64569837
0.635766,0.6256646
0.6057644,0.5998121
0.5717175,0.5741571
0.5641328,0.57462925
0.5803135,0.57840943
0.56632394,0.5931463
0.49418506,0.5854701
0.48407215,0.562745
0.47615033,0.6355636
