true,forecasted
0.47547615,0.5555977
0.5434013,0.58780974
0.43603572,0.5857751
0.4100792,0.55775774
0.42946234,0.6127026
0.540536,0.65819263
0.67099273,0.7793139
0.73251307,0.843507
0.7473453,0.8574939
0.75594133,0.86601603
0.7451542,0.84777886
0.6994775,0.8006985
0.6888589,0.78991264
0.6532951,0.7641029
0.6355975,0.74908835
0.6362717,0.7541044
0.6613855,0.7538575
0.71936625,0.7655107
0.6775662,0.72974443
0.5944716,0.6631404
0.5277263,0.59665406
0.51424235,0.58147645
0.47294793,0.5466244
0.47261083,0.5662346
0.56834656,0.5432609
0.5643014,0.55854046
0.55048037,0.55613065
0.51306254,0.50841343
0.4242373,0.56830454
0.52587223,0.58296555
0.66509354,0.7026178
0.74431145,0.7682372
0.7636946,0.7910321
0.7834148,0.81390464
0.77835834,0.8155775
0.73790663,0.76680744
0.74346876,0.7604634
0.72105175,0.7279352
0.7070622,0.73622626
0.69897187,0.73795104
0.7111074,0.734367
0.7347042,0.77269185
0.67655486,0.7103214
0.59396595,0.6500441
0.5240182,0.5905051
0.50244397,0.56195855
0.45862126,0.51618
0.426597,0.5424652
0.4552503,0.5644892
0.471431,0.58161247
0.4825552,0.5758444
0.45541885,0.53069687
0.43468735,0.57642037
0.54306424,0.58133256
0.67318386,0.70006645
0.74414295,0.7864649
0.76554865,0.79827416
0.7739761,0.8113028
0.76285183,0.81938976
0.72273725,0.75201637
0.7207146,0.76056355
0.6961065,0.7497261
0.67234117,0.7215401
0.6642508,0.7236951
0.6880162,0.73378175
0.7264453,0.7726558
0.67486936,0.7295332
0.59565145,0.66234684
0.5260408,0.59594554
0.5059835,0.5637206
0.49890444,0.52418834
0.4436204,0.5489459
0.44395754,0.5588091
0.43435025,0.57663727
0.5053093,0.56389016
0.48744312,0.515845
0.43755266,0.55479735
0.54188436,0.54893214
0.6676218,0.667858
0.7481881,0.7433544
0.7601551,0.7741925
0.76318896,0.7709639
0.74363726,0.7783278
0.70723075,0.7166388
0.70200574,0.7166738
0.6704871,0.68006134
0.6386314,0.6687749
0.6217765,0.6707306
0.6480701,0.67433465
0.70385975,0.7280068
0.6613855,0.6722021
0.58048207,0.618823
0.51525366,0.5583717
0.5017698,0.5508956
0.47901568,0.5142771
0.4532277,0.5072534
0.51137704,0.53336626
0.50783753,0.5594767
0.48896006,0.53850675
0.43367606,0.49854368
0.44463173,0.51570964
0.40249452,0.49160978
0.37518963,0.4646027
0.42996797,0.53132486
0.47867858,0.5990279
0.49873587,0.60893655
