true,forecasted
0.47547615,0.4901904
0.5434013,0.50811476
0.43603572,0.52980965
0.4100792,0.5140184
0.42946234,0.5449555
0.540536,0.5803715
0.67099273,0.68114436
0.73251307,0.7367126
0.7473453,0.7369218
0.75594133,0.7430774
0.7451542,0.72720075
0.6994775,0.68017524
0.6888589,0.6781563
0.6532951,0.66251504
0.6355975,0.65783834
0.6362717,0.66224205
0.6613855,0.69104016
0.71936625,0.73920405
0.6775662,0.6930927
0.5944716,0.62793654
0.5277263,0.5734484
0.51424235,0.5326096
0.47294793,0.49582532
0.47261083,0.49541384
0.56834656,0.488006
0.5643014,0.49955297
0.55048037,0.520582
0.51306254,0.4971518
0.4242373,0.5159139
0.52587223,0.5765283
0.66509354,0.6865676
0.74431145,0.7453759
0.7636946,0.75098956
0.7834148,0.7617933
0.77835834,0.7615422
0.73790663,0.7293746
0.74346876,0.7263527
0.72105175,0.7133344
0.7070622,0.7021624
0.69897187,0.70262176
0.7111074,0.7193686
0.7347042,0.75886095
0.67655486,0.7060356
0.59396595,0.63750273
0.5240182,0.57533205
0.50244397,0.55429673
0.45862126,0.49586013
0.426597,0.48972487
0.4552503,0.4539374
0.471431,0.4736753
0.4825552,0.4769111
0.45541885,0.4581122
0.43468735,0.5015316
0.54306424,0.5739633
0.67318386,0.70094186
0.74414295,0.7554079
0.76554865,0.7584106
0.7739761,0.777543
0.76285183,0.7554611
0.72273725,0.7199057
0.7207146,0.70730364
0.6961065,0.69594115
0.67234117,0.68017805
0.6642508,0.67362165
0.6880162,0.69323534
0.7264453,0.72494066
0.67486936,0.67495656
0.59565145,0.6045421
0.5260408,0.5430901
0.5059835,0.5167934
0.49890444,0.46616074
0.4436204,0.45919928
0.44395754,0.46436703
0.43435025,0.48018026
0.5053093,0.4755884
0.48744312,0.44513664
0.43755266,0.4871274
0.54188436,0.5469305
0.6676218,0.66799325
0.7481881,0.72486347
0.7601551,0.72940665
0.76318896,0.7399443
0.74363726,0.713006
0.70723075,0.6808533
0.70200574,0.665525
0.6704871,0.6574977
0.6386314,0.63996726
0.6217765,0.6396131
0.6480701,0.6759972
0.70385975,0.7095014
0.6613855,0.6578115
0.58048207,0.57544976
0.51525366,0.5261587
0.5017698,0.5105406
0.47901568,0.47479707
0.4532277,0.4643275
0.51137704,0.4603141
0.50783753,0.4531185
0.48896006,0.44625232
0.43367606,0.4265508
0.44463173,0.4332007
0.40249452,0.43024296
0.37518963,0.43931764
0.42996797,0.4857021
0.47867858,0.5259629
0.49873587,0.5426933
0.48997134,0.5419707
0.5388505,0.56363887
0.5669981,0.55778164
0.55739087,0.5556164
0.545761,0.54263765
0.52452385,0.5544045
0.50665766,0.59587896
0.56211025,0.6232028
0.5455924,0.5773566
0.49199393,0.5174227
0.42373168,0.47764415
0.45036238,0.4701742
0.5081746,0.44230714
0.48019552,0.44870418
0.5270521,0.4902919
0.53076017,0.47839242
0.5139053,0.4798372
0.49317378,0.45695895
0.4759818,0.4579226
0.44918254,0.44451725
0.43603572,0.43996403
0.42036068,0.4668271
0.4614866,0.50443256
0.47159952,0.52515644
0.5145795,0.51632553
0.5636272,0.53425324
0.5776167,0.5166463
0.54137874,0.5087025
0.4710939,0.5013989
0.44918254,0.5189221
0.4601382,0.5400962
0.5250295,0.57260215
0.4894657,0.5607716
0.4331704,0.5129299
0.38884208,0.47855434
0.3858082,0.47110105
0.41395584,0.4470003
0.45390192,0.4407821
0.4707568,0.47242963
0.47648746,0.49509728
0.47851002,0.5190218
0.4825552,0.5032448
0.53564805,0.51235664
0.5133996,0.5439763
0.6329007,0.64645326
0.7136356,0.7003498
0.735884,0.7085739
0.7449857,0.7314891
0.7333558,0.7262456
0.6964436,0.7043037
0.6932412,0.71122056
0.67301536,0.7056323
0.64604753,0.6929743
0.6507669,0.6974338
0.6635766,0.7289039
0.73217595,0.7478316
0.6885218,0.69629246
0.60896677,0.6234552
0.554357,0.5592123
0.53969324,0.5382496
0.5029496,0.51229686
0.49165684,0.53037953
0.57070625,0.52884364
0.55975056,0.5438828
0.5467723,0.55801946
0.53733355,0.5413287
0.5329513,0.5643251
0.5843587,0.5998472
0.6957694,0.6968379
0.7550986,0.7557833
0.75745827,0.7618192
0.74667114,0.7599106
0.7247598,0.7477473
0.6826226,0.6967243
0.6832968,0.696353
0.657846,0.67653
0.63155234,0.671332
0.6345862,0.6729451
0.64958704,0.69957215
0.7277937,0.76343167
0.68936455,0.72405446
0.6162144,0.66042566
0.5622788,0.60107815
0.55216587,0.5658786
