true,forecasted
0.47547615,0.49447578
0.5434013,0.49963504
0.43603572,0.5107344
0.4100792,0.4966991
0.42946234,0.5416558
0.540536,0.60731053
0.67099273,0.712062
0.73251307,0.76960164
0.7473453,0.77887887
0.75594133,0.7792988
0.7451542,0.7535278
0.6994775,0.7205408
0.6888589,0.72093296
0.6532951,0.6905917
0.6355975,0.68180364
0.6362717,0.6904604
0.6613855,0.72286034
0.71936625,0.7592429
0.6775662,0.71819586
0.5944716,0.64103496
0.5277263,0.58878785
0.51424235,0.5518775
0.47294793,0.49852136
0.47261083,0.49130487
0.56834656,0.49263036
0.5643014,0.5073421
0.55048037,0.5123276
0.51306254,0.48816818
0.4242373,0.52475804
0.52587223,0.57819086
0.66509354,0.68024826
0.74431145,0.74571353
0.7636946,0.75997955
0.7834148,0.76920575
0.77835834,0.750935
0.73790663,0.7283984
0.74346876,0.7326426
0.72105175,0.7035115
0.7070622,0.6885569
0.69897187,0.6947177
0.7111074,0.7149709
0.7347042,0.7378253
0.67655486,0.69460756
0.59396595,0.6242288
0.5240182,0.57973945
0.50244397,0.5496206
0.45862126,0.5057074
0.426597,0.5056931
0.4552503,0.47171128
0.471431,0.48108074
0.4825552,0.48573524
0.45541885,0.47013497
0.43468735,0.5130194
0.54306424,0.5851123
0.67318386,0.690374
0.74414295,0.7501448
0.76554865,0.76327
0.7739761,0.7673124
0.76285183,0.73993367
0.72273725,0.71143657
0.7207146,0.71523976
0.6961065,0.6850705
0.67234117,0.6727423
0.6642508,0.67689055
0.6880162,0.70103425
0.7264453,0.7139367
0.67486936,0.66865146
0.59565145,0.60285306
0.5260408,0.5540509
0.5059835,0.5133699
0.49890444,0.47285342
0.4436204,0.46934953
0.44395754,0.48080513
0.43435025,0.48748025
0.5053093,0.4884235
0.48744312,0.46731666
0.43755266,0.4975478
0.54188436,0.5528054
0.6676218,0.65143716
0.7481881,0.7123344
0.7601551,0.7235447
0.76318896,0.7276667
0.74363726,0.70654833
0.70723075,0.67305785
0.70200574,0.6770122
0.6704871,0.648755
0.6386314,0.6356639
0.6217765,0.6435754
0.6480701,0.67297244
0.70385975,0.693101
0.6613855,0.645226
0.58048207,0.5754556
0.51525366,0.5299831
0.5017698,0.5051953
0.47901568,0.47203735
0.4532277,0.46558782
0.51137704,0.48766023
0.50783753,0.5106261
0.48896006,0.49950564
0.43367606,0.4699558
0.44463173,0.4798138
0.40249452,0.4654709
0.37518963,0.48052773
0.42996797,0.52782035
0.47867858,0.55793697
0.49873587,0.5790923
0.48997134,0.5711535
0.5388505,0.58352035
0.5669981,0.5945157
0.55739087,0.575329
0.545761,0.56967896
0.52452385,0.56962496
0.50665766,0.5936855
0.56211025,0.62534726
0.5455924,0.58432823
0.49199393,0.5276819
0.42373168,0.49842343
0.45036238,0.49580133
0.5081746,0.46372315
0.48019552,0.4794655
0.5270521,0.46349066
0.53076017,0.46446827
0.5139053,0.44958773
0.49317378,0.4322467
0.4759818,0.4179722
0.44918254,0.398539
0.43603572,0.37371007
0.42036068,0.41367948
0.4614866,0.45493686
0.47159952,0.4642491
0.5145795,0.48801374
0.5636272,0.49705827
0.5776167,0.48202816
0.54137874,0.46623415
0.4710939,0.47988096
0.44918254,0.4948087
0.4601382,0.50946146
0.5250295,0.5323424
0.4894657,0.5220377
0.4331704,0.47635612
0.38884208,0.45983553
0.3858082,0.44211295
0.41395584,0.42644364
0.45390192,0.41616848
0.4707568,0.46187901
0.47648746,0.49548686
0.47851002,0.50292283
0.4825552,0.49039263
0.53564805,0.527605
0.5133996,0.56642175
0.6329007,0.65129393
0.7136356,0.70933217
0.735884,0.72735304
0.7449857,0.74168116
0.7333558,0.6982478
0.6964436,0.71087337
0.6932412,0.707041
0.67301536,0.6804252
0.64604753,0.6579822
0.6507669,0.6622843
0.6635766,0.6827794
0.73217595,0.69000864
0.6885218,0.65101016
0.60896677,0.5957879
0.554357,0.5616561
0.53969324,0.5276574
0.5029496,0.5039341
0.49165684,0.53459233
0.57070625,0.52867746
0.55975056,0.5376987
0.5467723,0.55257946
0.53733355,0.5501832
0.5329513,0.60404223
0.5843587,0.66277057
0.6957694,0.7580676
0.7550986,0.79898006
0.75745827,0.80898887
0.74667114,0.8040448
0.7247598,0.7715478
0.6826226,0.757672
0.6832968,0.7570393
0.657846,0.72443473
0.63155234,0.7123576
