true,forecasted
0.47547615,0.51916116
0.5434013,0.52968526
0.43603572,0.53859913
0.4100792,0.52719
0.42946234,0.55940163
0.540536,0.58327353
0.67099273,0.6878171
0.73251307,0.72767484
0.7473453,0.71864676
0.75594133,0.74084663
0.7451542,0.7241771
0.6994775,0.676184
0.6888589,0.70224994
0.6532951,0.67960584
0.6355975,0.66094327
0.6362717,0.65907365
0.6613855,0.6831027
0.71936625,0.7090582
0.6775662,0.6705295
0.5944716,0.5983017
0.5277263,0.5515625
0.51424235,0.53195137
0.47294793,0.5115192
0.47261083,0.50230813
0.56834656,0.4768464
0.5643014,0.4847292
0.55048037,0.50271916
0.51306254,0.49916196
0.4242373,0.53081113
0.52587223,0.57742316
0.66509354,0.69881046
0.74431145,0.72713065
0.7636946,0.73418546
0.7834148,0.7591174
0.77835834,0.73394024
0.73790663,0.679317
0.74346876,0.67981243
0.72105175,0.6738996
0.7070622,0.6710124
0.69897187,0.6620907
0.7111074,0.6880667
0.7347042,0.70100933
0.67655486,0.6795834
0.59396595,0.59414494
0.5240182,0.5460402
0.50244397,0.5082346
0.45862126,0.47807246
0.426597,0.46877602
0.4552503,0.47714528
0.471431,0.48529392
0.4825552,0.51167196
0.45541885,0.4808386
0.43468735,0.50545585
0.54306424,0.55893433
0.67318386,0.65758425
0.74414295,0.699289
0.76554865,0.7017443
0.7739761,0.7140179
0.76285183,0.6997013
0.72273725,0.6455276
0.7207146,0.63566715
0.6961065,0.6280527
0.67234117,0.6202209
0.6642508,0.6134215
0.6880162,0.6501619
0.7264453,0.68040895
0.67486936,0.6451746
0.59565145,0.5678162
0.5260408,0.5353891
0.5059835,0.50777954
0.49890444,0.46760955
0.4436204,0.46607524
0.44395754,0.47413513
0.43435025,0.48123848
0.5053093,0.5012623
0.48744312,0.48433334
0.43755266,0.50731325
0.54188436,0.55755234
0.6676218,0.65259856
0.7481881,0.6922375
0.7601551,0.7003802
0.76318896,0.71920574
0.74363726,0.6965256
0.70723075,0.6465343
0.70200574,0.6351593
0.6704871,0.62608576
0.6386314,0.61865276
0.6217765,0.60184044
0.6480701,0.6353257
0.70385975,0.65413535
0.6613855,0.62631196
0.58048207,0.5542047
0.51525366,0.5220231
0.5017698,0.49891776
0.47901568,0.45846742
0.4532277,0.46032295
0.51137704,0.46568158
0.50783753,0.47524112
0.48896006,0.46688354
0.43367606,0.47746658
0.44463173,0.45763648
0.40249452,0.43356186
0.37518963,0.42220795
0.42996797,0.45122597
0.47867858,0.4757987
0.49873587,0.49050832
0.48997134,0.48812568
0.5388505,0.48220035
0.5669981,0.5217848
0.55739087,0.49251372
0.545761,0.46690115
0.52452385,0.49698645
0.50665766,0.52332556
0.56211025,0.5583229
0.5455924,0.5303863
0.49199393,0.47495893
0.42373168,0.45066184
0.45036238,0.44355237
0.5081746,0.44382083
0.48019552,0.43780333
0.5270521,0.4810108
0.53076017,0.49554604
0.5139053,0.47235584
0.49317378,0.4930802
0.4759818,0.45488167
0.44918254,0.43595964
0.43603572,0.41916087
0.42036068,0.45695305
0.4614866,0.48715764
0.47159952,0.5011819
0.5145795,0.4927862
0.5636272,0.49404657
0.5776167,0.524974
0.54137874,0.4858199
0.4710939,0.47599834
0.44918254,0.50048256
0.4601382,0.5262945
0.5250295,0.5442252
0.4894657,0.5223441
0.4331704,0.4775592
0.38884208,0.45901737
0.3858082,0.45215967
0.41395584,0.4431675
0.45390192,0.4505344
0.4707568,0.4691885
0.47648746,0.4787739
0.47851002,0.4884704
0.4825552,0.48717016
0.53564805,0.5129152
0.5133996,0.541881
0.6329007,0.63993335
0.7136356,0.67989033
0.735884,0.68579435
0.7449857,0.7057929
0.7333558,0.6942315
0.6964436,0.63944256
0.6932412,0.64865947
0.67301536,0.63317716
0.64604753,0.62970865
0.6507669,0.61180407
0.6635766,0.64388084
0.73217595,0.6660113
0.6885218,0.6288314
0.60896677,0.5553409
0.554357,0.5168334
0.53969324,0.4998449
0.5029496,0.47008282
0.49165684,0.46532822
0.57070625,0.48215547
0.55975056,0.49589056
0.5467723,0.5008226
0.53733355,0.49471053
0.5329513,0.53482765
0.5843587,0.57740366
0.6957694,0.6846321
0.7550986,0.72367203
0.75745827,0.73823535
0.74667114,0.74593997
0.7247598,0.73236126
0.6826226,0.68603456
0.6832968,0.6825613
0.657846,0.6755455
0.63155234,0.6676515
0.6345862,0.64935577
0.64958704,0.68267906
0.7277937,0.6993443
0.68936455,0.6685071
0.6162144,0.58853173
0.5622788,0.5406726
0.55216587,0.5152864
0.518119,0.484927
0.47968987,0.47956455
0.47817293,0.5037508
0.4877802,0.50825614
0.4759818,0.51977295
0.42794538,0.5149842
0.459464,0.5429293
0.57154894,0.5808896
0.6863307,0.6862445
0.7584696,0.7209001
0.772122,0.7211311
0.7790325,0.7432361
0.7647059,0.7263799
0.7156582,0.6722346
0.7050396,0.69651824
0.6688016,0.66820204
0.63964266,0.66006833
0.6317209,0.6570421
0.65683466,0.6971006
0.7404349,0.7093604
0.70385975,0.67689645
0.6374515,0.6023342
0.56278443,0.5465358
0.5369965,0.5275961
0.50278103,0.5008793
0.47985843,0.49173862
0.48070115,0.47150114
0.48137537,0.4866739
0.481881,0.49271533
0.4710939,0.47122058
0.4549132,0.51271707
0.54761505,0.5715129
0.6694758,0.6679621
0.7468397,0.71994865
0.7756615,0.70016634
0.8021237,0.72584087
0.7958874,0.7098774
0.76251477,0.66446537
0.75813246,0.6709381
0.73318726,0.6427886
0.7094219,0.6183195
0.7021743,0.6239419
0.6913872,0.6565461
0.73723245,0.68915474
0.6929041,0.66411746
0.609641,0.59520733
0.5329513,0.5509926
0.5145795,0.52138454
0.45912692,0.47132134
0.4249115,0.45873436
0.43485588,0.4535456
0.45154223,0.45672905
0.4496882,0.47576427
0.38766223,0.47168165
0.4031687,0.5057734
0.5272206,0.5787368
0.6329007,0.6819026
0.7090848,0.72895426
0.7360526,0.72424793
0.75391877,0.7482197
0.74481714,0.72065395
0.69678074,0.6698883
0.69105005,0.6741388
0.6635766,0.64990294
0.6364403,0.63976085
0.60660714,0.6381903
0.62801284,0.65723133
0.66863304,0.68568486
0.6259902,0.65364283
0.5600876,0.57527107
0.50497216,0.5360616
