true,forecasted
0.57167983,0.573894
0.52066845,0.5195875
0.4953093,0.4883412
0.49706832,0.48314595
0.552917,0.53874457
0.7176781,0.7071122
0.86367637,0.8363878
0.8710056,0.86859494
0.8954852,0.8756121
0.89108765,0.8643154
0.8953386,0.86366284
0.8507769,0.8177044
0.8569335,0.8104229
0.8336265,0.79843086
0.8248314,0.8006669
0.8198475,0.8099407
0.8800938,0.87908906
0.9639402,0.9278506
0.90149516,0.8803975
0.81691587,0.7995897
0.7248607,0.70309913
0.7266198,0.7210294
0.73072416,0.7148876
0.66138965,0.63990253
0.5990912,0.59405136
0.5558487,0.53994036
0.51773673,0.5064397
0.52506596,0.5060297
0.5727059,0.56607306
0.7377602,0.7430568
0.8755497,0.88018286
0.89387274,0.9111463
0.9076517,0.91825724
0.8902081,0.90874875
0.87496334,0.9081565
0.8201407,0.85664904
0.81545,0.8537673
0.78965116,0.832702
0.80357665,0.83338493
0.81735563,0.8377379
0.8699795,0.92033315
0.9659924,0.9825826
0.91073,0.91739845
0.832747,0.82863116
0.75989443,0.7354508
0.7683964,0.75409853
0.7588684,0.7420251
0.69275874,0.66504884
0.632659,0.60287386
0.5854588,0.5493188
0.551158,0.5131916
0.5379654,0.50343263
0.59718555,0.5642285
0.7651715,0.7632852
0.89885664,0.9101437
0.91893876,0.9244901
0.9319848,0.91627985
0.9138083,0.8862122
0.89812374,0.88343686
0.8487247,0.8161445
0.82820284,0.81238794
0.79038405,0.7905169
0.7862797,0.7950772
0.7837877,0.80374163
0.8491645,0.89032847
0.9504544,0.96944267
0.88742304,0.91459554
0.8216066,0.8215692
0.7387863,0.72997457
0.7387863,0.7523617
0.7384931,0.74804413
0.65904427,0.6669693
0.5979185,0.60687417
0.5555556,0.5483279
0.5265318,0.5139649
0.513046,0.50970393
0.58032835,0.56460696
0.741718,0.7333975
0.889915,0.87056476
0.8850777,0.908941
0.90647906,0.92204446
0.89885664,0.91257954
0.8927001,0.91601616
0.859572,0.8659304
0.8544415,0.85544884
0.86646146,0.8317634
0.8658751,0.8229209
0.8642627,0.82155126
0.88199943,0.8646752
0.92714745,0.89437926
0.8642627,0.82944286
0.77719146,0.7504268
0.6942246,0.6655327
0.71870416,0.6944739
0.7316036,0.70005095
0.661243,0.6136888
0.58135444,0.5725159
0.51759017,0.50585294
0.4828496,0.45397487
0.44898856,0.42187685
0.45558488,0.4171649
0.49369687,0.485591
0.52242744,0.5566047
0.5949868,0.6196091
0.6666667,0.66832954
0.6871885,0.6812708
0.6720903,0.69303966
0.63617706,0.67920357
0.5784227,0.6432816
0.5447083,0.6072894
0.54397535,0.60229707
0.55834067,0.6107641
0.6347112,0.69559157
0.73321605,0.7624014
0.7012606,0.6984809
0.60788625,0.6230199
0.5259455,0.5559169
0.54998535,0.58599347
0.57651716,0.60614777
0.5083553,0.53002244
0.45397243,0.45750892
0.39856347,0.39332667
0.3718851,0.35150543
0.3582527,0.32656616
0.35546762,0.32614762
0.3765758,0.3697829
0.37716213,0.37660354
0.42172384,0.42190224
0.492231,0.4941332
0.5408971,0.53543055
0.5898563,0.5714705
0.59381413,0.57470286
0.53283495,0.5276568
0.479185,0.4900438
0.4703899,0.47807917
0.47302845,0.4751852
0.55438286,0.54041845
0.67692757,0.66786253
0.67253006,0.69268084
0.61169744,0.62699896
0.56713575,0.5576742
0.5778364,0.572885
0.58501905,0.578263
0.5279977,0.5051988
0.47229552,0.4726269
0.4218704,0.4202567
0.40428028,0.39310947
0.4097039,0.39899445
0.48153034,0.4675005
0.63720316,0.6553567
0.7537379,0.7858042
0.8069481,0.8106442
0.8289358,0.8126326
0.80753446,0.79900825
0.7936089,0.7981198
0.78364116,0.74464595
0.7788039,0.7371404
0.7546174,0.7206901
0.7673703,0.7210827
0.7535913,0.72946256
0.79331577,0.8077377
0.8965113,0.89855844
0.8641161,0.87414956
0.7821753,0.7834784
0.69349164,0.6810406
0.7081501,0.69747734
0.7044855,0.69556326
0.6427734,0.6152015
0.5828203,0.584493
0.52741134,0.5255598
0.49501613,0.48782617
0.5,0.48364764
0.557168,0.54121614
0.68806803,0.7389196
0.7930226,0.8788344
0.81427735,0.8958472
0.807681,0.8945402
0.7689827,0.8645764
0.7531516,0.861794
0.69451773,0.79871756
0.6926121,0.7985463
0.6808854,0.7849434
0.6920258,0.78566474
0.71225446,0.7765961
0.78598654,0.8301623
0.883905,0.9163222
0.85883904,0.9090984
0.7845207,0.8271684
0.69539726,0.72074014
0.7159191,0.74662226
0.71240103,0.75179183
0.64204043,0.6689712
0.5847259,0.5672682
0.53620636,0.5125016
0.5105541,0.47202188
0.5158311,0.46442902
0.5741718,0.5071035
0.71606565,0.67839277
0.8164761,0.8076393
0.83787745,0.8285965
0.84022284,0.83151066
0.80474937,0.8091965
0.7861331,0.81801087
0.7313105,0.7585875
0.73424214,0.7567238
0.71811783,0.7444783
0.7544708,0.7521905
0.7801231,0.7553992
0.8114922,0.83049214
0.88273233,0.9073277
0.8424216,0.8886889
0.76443857,0.803055
0.6858692,0.6961441
0.6946643,0.7134492
0.6942246,0.71231055
0.6124304,0.6262306
0.5477866,0.5573334
0.5114336,0.49585816
0.47874522,0.45882082
0.4771328,0.4457026
0.5294635,0.49123016
0.66754615,0.6783278
0.76473176,0.8060157
0.82175314,0.82731336
0.8633832,0.83931595
0.87525654,0.81944025
0.8855174,0.8197561
0.8528291,0.7667025
0.82922894,0.7499797
0.79067725,0.7244037
0.7758722,0.7137592
0.7515391,0.6920793
0.7681032,0.7174986
0.859572,0.80817133
0.8271768,0.81896734
0.7515391,0.74000627
0.675022,0.66017157
0.6874817,0.68898386
0.6807388,0.6875938
0.59454703,0.60156405
0.53151566,0.5453638
0.49296394,0.4800525
0.46745822,0.44910687
0.47185576,0.44827682
0.52316034,0.49700084
0.6728232,0.66780597
0.7767517,0.7824597
0.79917914,0.8066101
0.79141015,0.8196217
0.766051,0.7990303
0.7430372,0.79937565
0.70287305,0.75168806
0.6720903,0.7388266
0.64204043,0.7195078
0.6505424,0.7048079
0.65933746,0.682537
0.70785695,0.69921905
0.81134564,0.7564183
0.7793902,0.7625741
0.7241278,0.7004691
0.63647026,0.6270211
0.6635884,0.6600037
0.66402817,0.6724024
0.59205514,0.5808145
0.5205218,0.5148755
0.46086192,0.44640574
0.41234243,0.4042809
0.3954852,0.38241875
0.39372617,0.38664976
0.44151276,0.46185738
0.47903842,0.49639326
0.5351803,0.54012465
0.6077397,0.591506
0.6150689,0.59854823
0.6043682,0.6053337
0.58164763,0.58644396
0.52887714,0.5481111
0.47126943,0.51183695
0.4646731,0.5021929
0.47566697,0.49445182
0.54148346,0.5428957
0.6684257,0.654398
0.66783935,0.67928123
0.6130167,0.6090906
0.54529464,0.54467547
0.57050717,0.57129806
0.5828203,0.58881724
0.5249194,0.51814336
0.4639402,0.46271127
0.40178832,0.40191457
0.370859,0.3622152
0.35209617,0.3407517
0.36338317,0.3387353
0.39519203,0.38945946
0.3915274,0.397776
0.4352096,0.42802072
0.47405452,0.4727414
0.4828496,0.48000753
0.5008795,0.5030718
0.46789798,0.48160404
0.4136617,0.4349326
0.38859573,0.40029833
0.3907945,0.3943994
0.40413368,0.39780945
0.4849018,0.47714233
0.6380827,0.62874
0.6694518,0.6850318
0.6228379,0.6197891
0.5599531,0.5468123
0.5592202,0.5641206
0.54353565,0.5710822
0.4761067,0.5008501
0.4218704,0.46514884
0.38361186,0.41002735
0.37320435,0.3822528
0.3888889,0.38527346
0.46760482,0.44236338
0.65713865,0.62963176
0.7937555,0.7578199
0.82351214,0.7897138
0.85810614,0.80894804
0.8559074,0.80307996
0.8710056,0.81576145
0.83289355,0.7674428
0.8298153,0.76314473
0.8185283,0.74833006
0.8090003,0.7489971
0.8057754,0.7436463
0.83318675,0.7883033
0.90853125,0.85571605
0.87393725,0.8580971
0.7808561,0.7767467
0.69041336,0.68023306
0.69334507,0.69964916
0.67091763,0.697956
0.598798,0.6157937
0.5428027,0.56907684
0.50014657,0.5080551
0.4695104,0.47431862
0.4705365,0.4720748
0.52345353,0.5246621
0.6956904,0.7080086
0.8175022,0.8401201
0.83289355,0.86296964
0.8372911,0.8736644
0.8286426,0.8564118
0.8283495,0.8593131
0.76927584,0.8091672
0.7780709,0.8079233
0.76678395,0.7960121
0.7741132,0.79303485
0.7805629,0.7768052
0.804163,0.81808245
0.8730578,0.8801316
0.8437408,0.88246334
0.7612137,0.8147238
0.6741425,0.71780103
0.6805922,0.7390668
0.67663443,0.7397546
0.6007036,0.6583859
0.5501319,0.56383735
0.5096746,0.50292194
0.47962475,0.46585143
0.47566697,0.45969933
0.5389915,0.5052623
0.70785695,0.68017375
0.83318675,0.7862817
0.8280563,0.80745333
0.82746994,0.82789475
0.79214305,0.8180203
0.7697156,0.8259984
0.70961595,0.774328
0.6873351,0.76902205
0.6808854,0.74827933
0.70111406,0.7425438
0.7022867,0.7210319
0.75403106,0.7632523
0.859572,0.8700714
0.85576075,0.889464
0.78173554,0.8017312
0.7040457,0.70307314
0.70888305,0.72628003
0.6926121,0.72751296
0.619613,0.6483605
0.5615655,0.5594169
0.52535915,0.4999403
0.49252418,0.4658779
0.50058633,0.46006072
0.5549692,0.51377803
0.71826446,0.6891972
0.84637934,0.7889035
0.84022284,0.803807
0.8161829,0.814448
0.7622398,0.79573464
0.733949,0.7975708
0.6606567,0.746504
0.65831137,0.7387856
0.64702433,0.71850485
0.65831137,0.7133627
0.68029904,0.7013584
0.7302844,0.74045527
0.838757,0.83958787
0.84828496,0.8512055
0.77601874,0.7614774
0.6899736,0.6730464
0.70595133,0.70050216
0.69744945,0.7066608
0.6212255,0.6237757
0.57725006,0.57160217
0.52917033,0.50731224
0.50014657,0.47623357
0.49882734,0.47604346
0.56039286,0.5288033
0.73512167,0.68697655
0.8444738,0.767448
0.8306948,0.7899859
0.8151568,0.8112649
0.758282,0.79975176
0.7317502,0.796334
0.6728232,0.7532441
0.6609499,0.74066067
0.63954854,0.7161947
0.64204043,0.70095927
0.6531809,0.6798286
0.70668423,0.6903973
0.7994723,0.775083
0.8032835,0.79497576
0.7484609,0.71885496
0.6778071,0.6370434
0.69539726,0.6711304
0.7063911,0.6889751
0.63691,0.6102158
0.573732,0.5428709
0.5152448,0.4752172
0.47390795,0.43354917
0.44503078,0.41378683
0.45016125,0.4181547
0.49780124,0.47364765
0.52272063,0.48557013
0.568455,0.5332756
0.6012899,0.58550936
0.59352094,0.59379244
0.5637643,0.59790057
0.52403986,0.58846015
0.49076518,0.54895
0.4705365,0.52463
0.48314276,0.5179336
0.5105541,0.51747507
0.568455,0.5650587
0.6890941,0.6599323
0.6977426,0.6827878
0.6253298,0.61568654
0.5727059,0.54739255
0.5790091,0.5681179
0.5913222,0.5910762
0.54133683,0.5248083
0.49413663,0.487517
0.43227792,0.42710206
0.40911755,0.38333574
0.39211375,0.36092085
0.38566402,0.35776293
0.4193785,0.401633
0.41454118,0.40721428
0.441073,0.44500905
0.479185,0.49985746
0.48534155,0.52187103
0.47962475,0.5487043
0.47317502,0.53343916
0.43022573,0.49655813
0.3965113,0.46231672
0.40515977,0.45797065
0.42362943,0.45656854
0.51744354,0.522466
0.66314864,0.6587173
0.7298446,0.7127534
0.68103194,0.6571618
0.6134565,0.57722855
0.6159484,0.5965075
0.6225447,0.604456
0.5602463,0.5400794
0.5143653,0.52990043
0.47889182,0.47718766
0.448842,0.4469822
0.4703899,0.45151436
0.5340076,0.51249677
0.7159191,0.7031405
0.84432715,0.8406312
0.8501906,0.86750996
0.8669012,0.8712678
0.87012607,0.8561553
0.87188506,0.85972804
0.7977133,0.80094045
0.78334796,0.8046751
0.7764585,0.797715
0.7987394,0.80240256
0.81061274,0.8028626
0.85033715,0.85571116
0.9299326,0.9192853
0.93682206,0.9146317
0.85678685,0.84318554
0.77059513,0.7313667
0.77689826,0.75109
0.77250075,0.7595735
0.71459985,0.68469834
0.65537965,0.65278727
0.61184406,0.5943147
0.5655233,0.55249953
0.5633245,0.5427148
0.62107885,0.59100914
0.7663442,0.7842322
0.86045146,0.92685336
0.8573732,0.9449453
0.84095573,0.9428452
0.79712695,0.91242945
0.7767517,0.91547436
0.71709174,0.8464668
0.73013777,0.85028356
0.697596,0.8398239
0.7338024,0.8471836
0.7544708,0.836196
0.8097332,0.8808606
0.9116095,0.94696903
0.9374084,0.94493246
0.8608912,0.8826886
0.7748461,0.7721018
0.7845207,0.79507834
0.7700088,0.8045026
0.7159191,0.7305438
0.6523014,0.63746053
0.61829376,0.5794529
0.58883023,0.542203
0.5750513,0.5415851
0.6300205,0.59623915
0.7909704,0.77824414
0.8780416,0.89469177
0.8798006,0.91156805
0.8748168,0.9153365
0.8299619,0.8947858
0.80079156,0.895607
0.75241864,0.8341797
0.7424509,0.8346864
0.7298446,0.8245931
0.75403106,0.8287996
0.76956904,0.8145399
0.82175314,0.84923106
0.92509526,0.92466646
0.93579596,0.9410044
0.8545881,0.8752665
0.76678395,0.7703472
0.78290826,0.7870428
0.7842275,0.7928036
0.74934036,0.7243031
0.6902668,0.6514956
0.6350044,0.58973205
0.5882439,0.549176
0.5856054,0.5318821
0.6414541,0.57736546
0.7922897,0.76669574
0.89885664,0.8964795
0.9327177,0.91160005
0.9495749,0.9108441
0.93682206,0.88095224
0.90955734,0.88014776
0.8430079,0.8145808
0.8471123,0.8015851
0.8104661,0.7822626
0.8224861,0.78177774
0.8258575,0.7760772
0.8680739,0.8150767
0.9379947,0.89575267
0.9362357,0.895959
0.8619173,0.81904066
0.77792436,0.7199934
0.78026974,0.7462955
0.7823219,0.7587398
0.7216359,0.6819204
0.66754615,0.6544298
0.6187335,0.5906929
0.5804749,0.5475037
0.58208734,0.5333569
0.63647026,0.5732488
0.781589,0.7545285
0.8855174,0.903978
0.92245674,0.9355683
0.96892405,0.9384068
0.9727353,0.9119254
0.98270303,0.91386336
0.95866317,0.84671676
0.9508942,0.8369271
0.9252419,0.81398076
0.9114629,0.8092779
0.8919672,0.800528
0.8840516,0.8443777
0.92348284,0.8929891
0.90472,0.85117984
0.8192612,0.784215
0.7308707,0.68732935
0.758282,0.7232106
0.76986223,0.74110335
0.70492524,0.6564419
0.6391088,0.6033786
0.5760774,0.5370344
0.54250956,0.47814792
0.5137789,0.43924874
0.4953093,0.4384299
0.54045737,0.5306299
0.54720026,0.5923277
0.6272354,0.63523686
0.6965699,0.66940546
0.7034594,0.65996957
0.675022,0.6628635
0.6336851,0.62943214
0.57563764,0.59657115
0.54866606,0.5645854
0.5504251,0.56736726
0.5845793,0.5732042
0.6300205,0.65405244
0.6970097,0.76021725
0.7126942,0.7331265
0.6455585,0.6467087
0.58062154,0.56157863
0.59146875,0.5875808
0.59923774,0.6166654
0.53649956,0.54383284
0.47977132,0.4825448
0.41424802,0.42034146
0.3752565,0.37506244
0.3604515,0.3486328
0.370859,0.34231514
0.39988273,0.38273865
0.3831721,0.3978939
0.41879213,0.4367568
0.46921724,0.48374778
0.47009674,0.5027349
0.49193785,0.5361965
0.5334213,0.5278299
0.5255057,0.48082352
0.49765465,0.4529781
0.49736148,0.44750068
0.5033714,0.4490045
0.54602754,0.52255106
0.6322193,0.63954943
0.66212255,0.66551256
0.6111111,0.61559886
0.54119027,0.54537725
0.5407505,0.5635146
0.52711815,0.5692699
0.46144825,0.4855031
0.4163002,0.45439848
0.37965405,0.39691362
0.35092348,0.36526442
0.3696863,0.36404574
0.45411903,0.42832467
0.6376429,0.6346276
0.7398124,0.7678347
0.7578423,0.7816564
0.77689826,0.77477
0.7619466,0.74247915
0.7414248,0.7431366
0.69349164,0.67526954
0.682791,0.66043705
0.6788332,0.6400972
0.69070655,0.642208
0.69613016,0.6431157
0.7225154,0.713455
0.7959543,0.82632697
0.8034301,0.8308332
0.7338024,0.73560816
0.6417473,0.62741166
0.6396951,0.6447347
0.617854,0.6450379
0.5344474,0.55427283
0.46804455,0.47769263
0.42245677,0.4157779
0.39900324,0.3873887
0.41204926,0.3916909
0.49267077,0.44978827
0.65068895,0.6366117
0.7471416,0.7618022
0.7780709,0.78441447
0.7977133,0.7925231
0.76004106,0.7679564
0.7398124,0.7706478
0.69378483,0.71788543
0.68880093,0.6996262
0.6844034,0.6840419
0.6929053,0.6761364
0.699355,0.6573379
0.72031665,0.678503
0.7795368,0.75549895
0.8022574,0.78152925
0.7151862,0.7140211
0.638669,0.6344087
0.6424802,0.6561316
0.6284081,0.6522014
0.5238933,0.56186706
0.47302845,0.48196778
0.41864556,0.42321086
0.40076223,0.39303347
0.40340075,0.39794427
0.4695104,0.44758075
0.6329522,0.601729
0.73717386,0.7061089
0.7774846,0.7328713
0.8063618,0.7579943
0.78862506,0.7578835
0.8202873,0.77080464
0.7930226,0.7392723
0.7974201,0.7279131
0.78261507,0.71714336
0.7663442,0.7118887
0.74464965,0.7018172
0.7458223,0.73118454
0.77983,0.79424363
0.7741132,0.80894566
0.70888305,0.7273486
0.6226913,0.6376355
0.63177955,0.6526739
0.6191733,0.6491482
0.54192317,0.5578548
0.47903842,0.4831153
0.44136617,0.4218947
0.4105834,0.39293897
0.43491644,0.3991307
0.4951627,0.45459348
0.65039575,0.63791054
0.7455292,0.75166017
0.7804163,0.7835429
0.8050425,0.8194723
0.8126649,0.8235658
0.8504837,0.8342146
0.8326004,0.79379916
0.8286426,0.79039013
0.7908238,0.7724901
0.7566696,0.75580156
0.7245676,0.72024626
0.72207564,0.69868386
0.786866,0.76861566
0.8202873,0.8110124
0.7305775,0.73215336
0.65171504,0.6440814
0.6599238,0.6668952
0.6350044,0.66360605
0.5515978,0.5756847
0.48021108,0.49650547
0.44077983,0.44019517
0.41439462,0.41237342
0.43946058,0.42617327
0.5108473,0.4877871
0.66417474,0.6500975
0.7619466,0.7588763
0.7855468,0.782663
0.79903257,0.79310495
0.8016711,0.78234494
0.7909704,0.78982407
0.75813544,0.7506615
0.75168574,0.7392577
0.7292583,0.72333306
0.71328056,0.7126814
0.7082967,0.70286345
0.714893,0.7306945
0.7566696,0.76582915
0.7348285,0.7528124
0.67150396,0.6812236
0.5965992,0.60060495
0.6027558,0.62078017
0.59308124,0.6156496
0.4989739,0.5130179
0.4097039,0.40593347
0.34828496,0.3510829
0.313691,0.3094831
0.28657284,0.29980832
0.2927294,0.30553693
0.34300792,0.35788727
0.370859,0.40198606
0.43975374,0.4550065
0.5090882,0.51277304
0.5247728,0.54186857
0.54793316,0.56632435
0.54763997,0.55300087
0.52975667,0.5223777
0.50219876,0.48961362
0.5073292,0.47717842
0.50513047,0.46091327
0.53312814,0.48834163
0.58106124,0.55014145
0.5854588,0.57621926
0.5085019,0.52203417
0.44048667,0.46104705
0.44444445,0.47172832
0.4401935,0.46098453
0.37818822,0.36941692
0.30680153,0.28763673
0.25535035,0.24321328
0.23629434,0.21443614
0.224421,0.21303572
0.24508941,0.22208552
0.2719144,0.2580464
0.2746995,0.27724814
0.34960422,0.31088614
0.4209909,0.36703497
0.44429785,0.39716405
0.46701846,0.42673567
0.47185576,0.39297393
0.41292876,0.34854454
0.3649956,0.31125274
0.34725887,0.29822853
0.33069482,0.28932726
0.38141307,0.31500316
0.47390795,0.43019044
0.5639109,0.53083146
0.5212548,0.506854
0.44708297,0.4524037
0.44327176,0.44556415
0.42143068,0.40251857
0.3413955,0.31994906
0.283348,0.27625972
0.25417766,0.233626
0.24670185,0.22373293
0.26751685,0.25550228
0.3537086,0.3442061
0.53488714,0.5003655
0.6376429,0.58728445
0.66241574,0.6175315
0.6855761,0.6360729
0.6759015,0.6357342
0.7047787,0.6441692
0.68117857,0.6179914
0.6786866,0.6105056
0.6701847,0.5997961
0.65904427,0.59876055
0.66681325,0.60233235
0.68968046,0.6478302
0.7442099,0.68631035
0.75271183,0.67787653
0.66007036,0.59929514
0.57739663,0.53245634
0.57050717,0.53532124
0.54426855,0.5056429
0.45367926,0.40361112
0.3850777,0.38570097
0.3450601,0.33468124
0.33025506,0.31807277
0.36147758,0.34492403
0.4305189,0.4241283
0.5980651,0.59215295
0.6978892,0.70289993
0.7447963,0.74420476
0.7834946,0.7795321
0.78759897,0.79289615
0.79976547,0.80393857
0.77118146,0.7728742
0.77968335,0.76582325
0.75798887,0.75259143
0.7613603,0.73995674
0.7478745,0.72277886
0.7578423,0.7267935
0.77895045,0.7519623
0.7805629,0.7510928
0.71034884,0.6834573
0.6216652,0.60489815
0.6306069,0.6121215
0.60319555,0.58678055
0.52887714,0.4965928
0.46056876,0.43458536
0.41190267,0.37904507
0.39680445,0.35591868
0.41190267,0.36645508
0.46775138,0.4261874
0.62401056,0.58883286
0.699355,0.68665254
0.7033128,0.71244663
0.6844034,0.73567456
0.6483436,0.7300289
0.6492231,0.743306
0.6248901,0.69717234
0.6309,0.6933943
