true,forecasted
0.57167983,0.5613121
0.52066845,0.50079304
0.4953093,0.47623792
0.49706832,0.48275882
0.552917,0.5346322
0.7176781,0.7090285
0.86367637,0.85208666
0.8710056,0.88762516
0.8954852,0.8994143
0.89108765,0.8920936
0.8953386,0.8960083
0.8507769,0.8551376
0.8569335,0.8659721
0.8336265,0.845095
0.8248314,0.8431499
0.8198475,0.8323219
0.8800938,0.9083076
0.9639402,0.9440817
0.90149516,0.8817076
0.81691587,0.79318416
0.7248607,0.71779567
0.7266198,0.73546016
0.73072416,0.7429513
0.66138965,0.6536406
0.5990912,0.5822893
0.5558487,0.52325153
0.51773673,0.495392
0.52506596,0.50333613
0.5727059,0.56031823
0.7377602,0.7355846
0.8755497,0.8812089
0.89387274,0.9139467
0.9076517,0.9172482
0.8902081,0.90088433
0.87496334,0.9053577
0.8201407,0.8622075
0.81545,0.8741349
0.78965116,0.8521667
0.80357665,0.8548327
0.81735563,0.84106594
0.8699795,0.93422604
0.9659924,0.99173754
0.91073,0.9409897
0.832747,0.83411485
0.75989443,0.7308356
0.7683964,0.7505679
0.7588684,0.7674919
0.69275874,0.6814544
0.632659,0.579862
0.5854588,0.52128416
0.551158,0.49275497
0.5379654,0.5042749
0.59718555,0.5664296
0.7651715,0.7348278
0.89885664,0.8729284
0.91893876,0.89977545
0.9319848,0.8993939
0.9138083,0.8777155
0.89812374,0.87968206
0.8487247,0.83377784
0.82820284,0.8422936
0.79038405,0.8201545
0.7862797,0.8226639
0.7837877,0.80581886
0.8491645,0.89207035
0.9504544,0.9573581
0.88742304,0.92900735
0.8216066,0.8243722
0.7387863,0.71927863
0.7387863,0.7394607
0.7384931,0.7489627
0.65904427,0.6634928
0.5979185,0.60794586
0.5555556,0.53700566
0.5265318,0.5038103
0.513046,0.49575686
0.58032835,0.5380239
0.741718,0.6916187
0.889915,0.82861733
0.8850777,0.87708026
0.90647906,0.90517753
0.89885664,0.89891326
0.8927001,0.9137555
0.859572,0.88109183
0.8544415,0.8854115
0.86646146,0.8644567
0.8658751,0.8572749
0.8642627,0.8565719
0.88199943,0.93347967
0.92714745,0.95810413
0.8642627,0.8834328
0.77719146,0.78622466
0.6942246,0.7095975
0.71870416,0.731035
0.7316036,0.7447723
0.661243,0.6591134
0.58135444,0.5566831
0.51759017,0.48344406
0.4828496,0.44471958
0.44898856,0.41538313
0.45558488,0.405827
0.49369687,0.46373504
0.52242744,0.5363544
0.5949868,0.61156064
0.6666667,0.6849369
0.6871885,0.6779965
0.6720903,0.727504
0.63617706,0.69869554
0.5784227,0.6721299
0.5447083,0.6310397
0.54397535,0.62657
0.55834067,0.6308217
0.6347112,0.7167568
0.73321605,0.7903219
0.7012606,0.77826995
0.60788625,0.6860993
0.5259455,0.59803516
0.54998535,0.62270033
0.57651716,0.6525619
0.5083553,0.56667787
0.45397243,0.4559147
0.39856347,0.39437023
0.3718851,0.34833345
0.3582527,0.3266678
0.35546762,0.3042794
0.3765758,0.33610204
0.37716213,0.3879454
0.42172384,0.44681543
0.492231,0.51791924
0.5408971,0.5637214
0.5898563,0.6024903
0.59381413,0.5961905
0.53283495,0.5646905
0.479185,0.51977634
0.4703899,0.513409
0.47302845,0.5052513
0.55438286,0.599056
0.67692757,0.6830415
0.67253006,0.6763469
0.61169744,0.61357105
0.56713575,0.52981544
0.5778364,0.5581112
0.58501905,0.57721305
0.5279977,0.4947438
0.47229552,0.48834434
0.4218704,0.43403393
0.40428028,0.40846318
0.4097039,0.43300384
0.48153034,0.47741055
0.63720316,0.65047586
0.7537379,0.7951759
0.8069481,0.82353383
0.8289358,0.83086544
0.80753446,0.8175832
0.7936089,0.83326644
0.78364116,0.7853039
0.7788039,0.7931387
0.7546174,0.7650033
0.7673703,0.7700795
0.7535913,0.75191283
0.79331577,0.8466646
0.8965113,0.9163295
0.8641161,0.8825869
0.7821753,0.7805015
0.69349164,0.6904163
0.7081501,0.7047652
0.7044855,0.7186473
0.6427734,0.6197716
0.5828203,0.5521658
0.52741134,0.49433932
0.49501613,0.4689258
0.5,0.48873156
0.557168,0.5465756
0.68806803,0.71727407
0.7930226,0.85420454
0.81427735,0.8723143
0.807681,0.8710271
0.7689827,0.84536576
0.7531516,0.84846556
0.69451773,0.79684275
0.6926121,0.8039475
0.6808854,0.7792144
0.6920258,0.783486
0.71225446,0.76305646
0.78598654,0.8418305
0.883905,0.9217523
0.85883904,0.91512305
0.7845207,0.81637347
0.69539726,0.71163034
0.7159191,0.73111814
0.71240103,0.738599
0.64204043,0.6483214
0.5847259,0.561652
0.53620636,0.5017068
0.5105541,0.4730521
0.5158311,0.49282598
0.5741718,0.55580276
0.71606565,0.71121156
0.8164761,0.83957946
0.83787745,0.8629121
0.84022284,0.86193585
0.80474937,0.8449921
0.7861331,0.8431464
0.7313105,0.80181855
0.73424214,0.8050383
0.71811783,0.78444624
0.7544708,0.78535736
0.7801231,0.7744971
0.8114922,0.86533755
0.88273233,0.9312403
0.8424216,0.91154456
0.76443857,0.80694294
0.6858692,0.69854015
0.6946643,0.71369874
0.6942246,0.7194103
0.6124304,0.6314305
0.5477866,0.51062375
0.5114336,0.4581457
0.47874522,0.43540075
0.4771328,0.44993484
0.5294635,0.50613964
0.66754615,0.67744035
0.76473176,0.8165491
0.82175314,0.8349326
0.8633832,0.84617144
0.87525654,0.82457393
0.8855174,0.8310586
0.8528291,0.7795754
0.82922894,0.78660446
0.79067725,0.7607279
0.7758722,0.7603576
0.7515391,0.7367874
0.7681032,0.7831792
0.859572,0.8391205
0.8271768,0.82711726
0.7515391,0.748629
0.675022,0.6807319
0.6874817,0.70038396
0.6807388,0.68845415
0.59454703,0.5894132
0.53151566,0.51777816
0.49296394,0.46364436
0.46745822,0.4382315
0.47185576,0.44866222
0.52316034,0.50449955
0.6728232,0.6538077
0.7767517,0.7747128
0.79917914,0.7987181
0.79141015,0.80951667
0.766051,0.7833454
0.7430372,0.7912586
0.70287305,0.7440488
0.6720903,0.7409231
0.64204043,0.7187119
0.6505424,0.7146859
0.65933746,0.6974828
0.70785695,0.740766
0.81134564,0.8042204
0.7793902,0.8104127
0.7241278,0.73141795
0.63647026,0.6568662
0.6635884,0.6764214
0.66402817,0.6634895
0.59205514,0.57631904
0.5205218,0.48491296
0.46086192,0.42638585
0.41234243,0.39164028
0.3954852,0.3713202
0.39372617,0.3573768
0.44151276,0.40760437
0.47903842,0.45882034
0.5351803,0.5115309
0.6077397,0.57189906
0.6150689,0.5776529
0.6043682,0.61232805
0.58164763,0.5803948
0.52887714,0.5481195
0.47126943,0.50645804
0.4646731,0.50159454
0.47566697,0.48716074
0.54148346,0.5505957
0.6684257,0.6481584
0.66783935,0.68718153
0.6130167,0.6298982
0.54529464,0.55330104
0.57050717,0.58153033
0.5828203,0.590696
0.5249194,0.5111727
0.4639402,0.43898153
0.40178832,0.38930085
0.370859,0.35342094
0.35209617,0.34614113
0.36338317,0.33837724
0.39519203,0.37274414
0.3915274,0.408845
0.4352096,0.4538015
0.47405452,0.50198007
0.4828496,0.5278013
0.5008795,0.5482185
0.46789798,0.52598214
0.4136617,0.49230614
0.38859573,0.4509495
0.3907945,0.44831994
0.40413368,0.43163443
0.4849018,0.5160723
0.6380827,0.62491786
0.6694518,0.6719143
0.6228379,0.61668336
0.5599531,0.5281984
0.5592202,0.5484371
0.54353565,0.55660224
0.4761067,0.47996107
0.4218704,0.46269703
0.38361186,0.40870062
0.37320435,0.3876814
0.3888889,0.41027123
0.46760482,0.4524861
0.65713865,0.62126946
0.7937555,0.7595209
0.82351214,0.79349023
0.85810614,0.80839634
0.8559074,0.8070213
0.8710056,0.81887424
0.83289355,0.77506006
0.8298153,0.78180254
0.8185283,0.75594825
0.8090003,0.7553996
0.8057754,0.743207
0.83318675,0.82328504
0.90853125,0.8662518
0.87393725,0.81632644
0.7808561,0.73211926
0.69041336,0.6718438
0.69334507,0.6813905
0.67091763,0.6838959
0.598798,0.5841829
0.5428027,0.5303678
0.50014657,0.474346
0.4695104,0.45182058
0.4705365,0.46886486
0.52345353,0.5273071
0.6956904,0.6937986
0.8175022,0.82796514
0.83289355,0.84929633
0.8372911,0.8516767
0.8286426,0.83040243
0.8283495,0.8324819
0.76927584,0.78318805
0.7780709,0.78882736
0.76678395,0.7661492
0.7741132,0.76621747
0.7805629,0.7460495
0.804163,0.80553603
0.8730578,0.868177
0.8437408,0.8570978
0.7612137,0.7749535
0.6741425,0.6913297
0.6805922,0.7105082
0.67663443,0.7057538
0.6007036,0.6169833
0.5501319,0.53992385
0.5096746,0.4862093
0.47962475,0.4622887
0.47566697,0.47851944
0.5389915,0.5302246
0.70785695,0.69258916
0.83318675,0.8228251
0.8280563,0.8468099
0.82746994,0.847994
0.79214305,0.82671446
0.7697156,0.8291858
0.70961595,0.7786352
0.6873351,0.784237
0.6808854,0.7604024
0.70111406,0.7608031
0.7022867,0.7388921
0.75403106,0.80860406
0.859572,0.8780257
0.85576075,0.87031585
0.78173554,0.7842946
0.7040457,0.69500935
0.70888305,0.7137113
0.6926121,0.71628565
0.619613,0.6309763
0.5615655,0.53660375
0.52535915,0.48245162
0.49252418,0.45905635
0.50058633,0.4766724
0.5549692,0.53362566
0.71826446,0.693702
0.84637934,0.82146037
0.84022284,0.84648985
0.8161829,0.8471261
0.7622398,0.8274767
0.733949,0.82736135
0.6606567,0.77852273
0.65831137,0.7834065
0.64702433,0.7616934
0.65831137,0.76062137
0.68029904,0.74166244
0.7302844,0.8099082
0.838757,0.872214
0.84828496,0.8601169
0.77601874,0.7756551
0.6899736,0.6902616
0.70595133,0.70556974
0.69744945,0.70404494
0.6212255,0.6208221
0.57725006,0.542075
0.52917033,0.48499775
0.50014657,0.46011397
0.49882734,0.4648612
0.56039286,0.49949914
0.73512167,0.6399895
0.8444738,0.7543538
0.8306948,0.79228705
0.8151568,0.81030846
0.758282,0.7928422
0.7317502,0.80409056
0.6728232,0.75691855
0.6609499,0.7542784
0.63954854,0.7290956
0.64204043,0.7245041
0.6531809,0.70865625
0.70668423,0.7694083
0.7994723,0.8298191
0.8032835,0.8191108
0.7484609,0.743045
0.6778071,0.6719882
0.69539726,0.68929815
0.7063911,0.6943185
0.63691,0.61420906
0.573732,0.5265433
0.5152448,0.46665874
0.47390795,0.43024507
0.44503078,0.40924507
0.45016125,0.4019326
0.49780124,0.4458937
0.52272063,0.48514616
0.568455,0.54072195
0.6012899,0.5956915
0.59352094,0.6017244
0.5637643,0.62604004
0.52403986,0.5968333
0.49076518,0.56337243
0.4705365,0.5271623
0.48314276,0.5184877
0.5105541,0.51018536
0.568455,0.57589513
0.6890941,0.667667
0.6977426,0.7067198
0.6253298,0.6486421
0.5727059,0.57069135
0.5790091,0.5926793
0.5913222,0.60723233
0.54133683,0.5348254
0.49413663,0.4921443
0.43227792,0.4362825
0.40911755,0.39444444
0.39211375,0.37275726
0.38566402,0.35206634
0.4193785,0.39695376
0.41454118,0.43973014
0.441073,0.49454325
0.479185,0.5492519
0.48534155,0.58711535
0.47962475,0.61028683
0.47317502,0.598429
0.43022573,0.56671375
0.3965113,0.5295796
0.40515977,0.5216333
0.42362943,0.51395595
0.51744354,0.6075202
0.66314864,0.7004245
0.7298446,0.7113525
0.68103194,0.65053916
0.6134565,0.564437
0.6159484,0.58831084
0.6225447,0.61731714
0.5602463,0.5431472
0.5143653,0.5452121
0.47889182,0.48370582
0.448842,0.45977572
0.4703899,0.47636408
0.5340076,0.5114364
0.7159191,0.68420446
0.84432715,0.820254
0.8501906,0.85775506
0.8669012,0.86882186
0.87012607,0.86277694
0.87188506,0.8720197
0.7977133,0.8272586
0.78334796,0.8331201
0.7764585,0.8112734
0.7987394,0.8073882
0.81061274,0.79706854
0.85033715,0.8833413
0.9299326,0.93043953
0.93682206,0.8763489
0.85678685,0.7912199
0.77059513,0.7202865
0.77689826,0.73403084
0.77250075,0.7527336
0.71459985,0.6632714
0.65537965,0.6272483
0.61184406,0.558346
0.5655233,0.5306091
0.5633245,0.5322456
0.62107885,0.5700173
0.7663442,0.7386479
0.86045146,0.872516
0.8573732,0.90711814
0.84095573,0.9191546
0.79712695,0.90356475
0.7767517,0.90869945
0.71709174,0.86251897
0.73013777,0.86818856
0.697596,0.84773105
0.7338024,0.84324646
0.7544708,0.8313452
0.8097332,0.90768814
0.9116095,0.9593451
0.9374084,0.91748786
0.8608912,0.83030546
0.7748461,0.7449308
0.7845207,0.7692938
0.7700088,0.78932846
0.7159191,0.70612216
0.6523014,0.6531084
0.61829376,0.58339256
0.58883023,0.55332476
0.5750513,0.55408376
0.6300205,0.5874565
0.7909704,0.7534825
0.8780416,0.8817053
0.8798006,0.91669685
0.8748168,0.92796046
