true,forecasted
0.57167983,0.56295484
0.52066845,0.51013005
0.4953093,0.4812071
0.49706832,0.4827787
0.552917,0.5493076
0.7176781,0.7191154
0.86367637,0.85339427
0.8710056,0.8875113
0.8954852,0.89184636
0.89108765,0.88487357
0.8953386,0.880023
0.8507769,0.84312874
0.8569335,0.8368267
0.8336265,0.8212457
0.8248314,0.8282302
0.8198475,0.83733284
0.8800938,0.9184545
0.9639402,0.946702
0.90149516,0.884043
0.81691587,0.79321593
0.7248607,0.70158637
0.7266198,0.7206697
0.73072416,0.72588634
0.66138965,0.64068764
0.5990912,0.58409154
0.5558487,0.52673054
0.51773673,0.4954411
0.52506596,0.4941528
0.5727059,0.5525267
0.7377602,0.7208158
0.8755497,0.8528176
0.89387274,0.8869083
0.9076517,0.8981188
0.8902081,0.88752675
0.87496334,0.889215
0.8201407,0.8485615
0.81545,0.84247565
0.78965116,0.8207885
0.80357665,0.8277351
0.81735563,0.83869493
0.8699795,0.93289787
0.9659924,0.9817058
0.91073,0.91613626
0.832747,0.811619
0.75989443,0.7153451
0.7683964,0.7359967
0.7588684,0.74064577
0.69275874,0.6518374
0.632659,0.59892124
0.5854588,0.54061943
0.551158,0.5039652
0.5379654,0.49742994
0.59718555,0.5556625
0.7651715,0.72916996
0.89885664,0.85571617
0.91893876,0.87718505
0.9319848,0.8772231
0.9138083,0.8506763
0.89812374,0.851287
0.8487247,0.79899216
0.82820284,0.79097235
0.79038405,0.7712215
0.7862797,0.780942
0.7837877,0.7957079
0.8491645,0.89052063
0.9504544,0.95430243
0.88742304,0.9082902
0.8216066,0.80466783
0.7387863,0.69880885
0.7387863,0.7282762
0.7384931,0.73435587
0.65904427,0.6407292
0.5979185,0.609614
0.5555556,0.554065
0.5265318,0.5167991
0.513046,0.51696897
0.58032835,0.5730333
0.741718,0.7204633
0.889915,0.84711206
0.8850777,0.89409363
0.90647906,0.9069639
0.89885664,0.90641224
0.8927001,0.90579766
0.859572,0.8768393
0.8544415,0.8652717
0.86646146,0.8420629
0.8658751,0.83407
0.8642627,0.8401768
0.88199943,0.89144427
0.92714745,0.8996789
0.8642627,0.830769
0.77719146,0.7484775
0.6942246,0.6627112
0.71870416,0.6933859
0.7316036,0.7073566
0.661243,0.6200245
0.58135444,0.56991416
0.51759017,0.50907373
0.4828496,0.45962402
0.44898856,0.43155235
0.45558488,0.42953998
0.49369687,0.47608474
0.52242744,0.5415096
0.5949868,0.6137818
0.6666667,0.67368275
0.6871885,0.6995479
0.6720903,0.7179016
0.63617706,0.7153302
0.5784227,0.67733335
0.5447083,0.64261323
0.54397535,0.625017
0.55834067,0.634025
0.6347112,0.71003383
0.73321605,0.7631619
0.7012606,0.7074511
0.60788625,0.6207658
0.5259455,0.54835707
0.54998535,0.5823823
0.57651716,0.6105877
0.5083553,0.53412914
0.45397243,0.45914897
0.39856347,0.4007715
0.3718851,0.35517386
0.3582527,0.33117345
0.35546762,0.33384353
0.3765758,0.37268248
0.37716213,0.374323
0.42172384,0.4227907
0.492231,0.49916548
0.5408971,0.55343956
0.5898563,0.58990484
0.59381413,0.59724116
0.53283495,0.5537056
0.479185,0.50414556
0.4703899,0.49609584
0.47302845,0.4931444
0.55438286,0.56630707
0.67692757,0.66915417
0.67253006,0.6881816
0.61169744,0.6164926
0.56713575,0.55131227
