true,forecasted
0.30717257,0.32166597
0.26507276,0.2931781
0.25987527,0.28313243
0.27234927,0.2968483
0.34511435,0.34897986
0.5540541,0.5195362
0.69282746,0.6690956
0.7655925,0.74800915
0.78118503,0.76319253
0.76871103,0.73803437
0.79002076,0.7444238
0.7796258,0.7303418
0.7510395,0.70396817
0.73128897,0.6716618
0.71257794,0.6562312
0.739605,0.71566397
0.82952183,0.805496
0.85446984,0.8609177
0.86434513,0.8583466
0.8264033,0.79545486
0.80457383,0.7673286
0.6969854,0.65693766
0.56912684,0.5103541
0.4246362,0.3805891
0.35239086,0.36140066
0.32016632,0.3412216
0.29885656,0.33540156
0.31392932,0.33803537
0.3783784,0.38565522
0.57484406,0.5350175
0.6871102,0.6672142
0.758316,0.73802125
0.77650726,0.75997627
0.7635135,0.7472131
0.79365903,0.76144844
0.78118503,0.7494812
0.745842,0.7190654
0.7240125,0.6889181
0.71465695,0.66957897
0.72557175,0.7118538
0.8160083,0.7656066
0.8477131,0.8078897
0.8570686,0.8192562
0.8154886,0.7894784
0.80613303,0.765359
0.6985447,0.6569527
0.57172555,0.50745445
0.43866944,0.3865563
0.34927234,0.37455812
0.30405405,0.35515136
0.28586277,0.34895533
0.30405405,0.3567406
0.36694387,0.4014712
0.5608108,0.53011614
0.6746362,0.6597391
0.7432432,0.7284033
0.76611227,0.7543688
0.75363827,0.75462365
0.7759875,0.76678085
0.76299375,0.74781203
0.73492724,0.7198434
0.7047817,0.68829894
0.67411643,0.6681814
0.6787942,0.6992509
0.7817048,0.7464766
0.81912684,0.81209177
0.82276505,0.82730615
0.7889813,0.7840687
0.7723493,0.76354235
0.6678794,0.6575466
0.54106027,0.5158367
0.3960499,0.40092853
0.3108108,0.34264705
0.27702704,0.31841904
0.26767153,0.30683148
0.28222454,0.31702524
0.3508316,0.3661693
0.55093557,0.51133025
0.6720374,0.6471446
0.73700625,0.70804006
0.7442827,0.7176725
0.71361744,0.70131534
0.71465695,0.6993465
0.6923077,0.6747798
0.6621622,0.64725053
0.63461536,0.6119949
0.6029106,0.5900377
0.60758835,0.62568766
0.7318087,0.72897613
0.7962578,0.8056626
0.7962578,0.800416
0.7577963,0.74942267
0.7448025,0.7361169
0.6486486,0.63744265
0.5306653,0.5007501
0.3991684,0.3789939
0.31652805,0.3331022
0.27546778,0.314136
0.25987527,0.29387408
0.26195425,0.29268423
0.29054055,0.32137385
0.38929313,0.36977336
0.46933472,0.430456
0.5810811,0.52664435
0.6351351,0.5879301
0.64449066,0.6120916
0.66268194,0.6293221
0.6512474,0.598105
0.6081081,0.54802775
0.5644491,0.5011883
0.54365903,0.47671297
0.55717254,0.5008033
0.65800416,0.598559
0.720894,0.686083
0.7323285,0.70444953
0.6923077,0.67156994
0.6756757,0.6682307
0.59719336,0.5878674
0.47661123,0.45670068
0.3601871,0.35754913
0.27390853,0.31950334
0.22141372,0.2999602
0.20322245,0.27842847
0.20426196,0.26727295
0.23284823,0.2977666
0.2920998,0.2968013
0.3300416,0.31626892
0.44074845,0.42312947
0.52858627,0.5060729
0.5821206,0.564318
0.5987526,0.5759676
0.5587318,0.5353013
0.491684,0.47527847
0.43035343,0.41150463
0.39449066,0.3769072
0.40072766,0.39744022
0.5155925,0.50714624
0.62785864,0.6290314
0.6621622,0.6550181
0.6543659,0.64094687
0.6408524,0.64358383
0.5654886,0.56335735
0.42931393,0.4322281
0.31860706,0.34860623
0.24532224,0.27863973
0.20841996,0.25280493
0.19698545,0.2420685
0.21413721,0.2558449
0.29781705,0.32123026
0.5181913,0.4812213
0.65904367,0.62475425
0.74948025,0.71280867
0.7780665,0.7472166
0.7676715,0.738252
0.79002076,0.7452586
0.78222454,0.72407377
0.75623703,0.6905024
0.7297297,0.65769595
0.6969854,0.6346692
0.7110187,0.6707304
0.8165281,0.74997056
0.85862786,0.8276246
0.8674636,0.83248645
0.8274428,0.7822641
0.79781705,0.76542336
0.6824324,0.6541058
0.54365903,0.49929595
0.4043659,0.37025526
0.32588357,0.35973907
0.28430355,0.3399335
0.27027026,0.33431277
0.28638253,0.3387215
0.35862786,0.38506448
0.5504158,0.5360859
0.6725572,0.6786458
0.7577963,0.75850254
0.7848233,0.78562117
0.7655925,0.7769276
0.77079004,0.7880922
0.758316,0.76871616
0.7193347,0.7327367
0.68087316,0.7007133
0.65488565,0.6734202
0.6720374,0.69443464
0.774948,0.7469879
0.84511435,0.8283056
0.85862786,0.8513146
0.82172555,0.8126012
0.80717254,0.7931946
0.6943867,0.6849237
0.56133056,0.5310866
0.42099792,0.41117018
0.3435551,0.36433733
0.2983368,0.33641464
0.2827443,0.32600468
0.2952183,0.33354855
0.37785864,0.38301387
0.57016635,0.52208143
0.69542617,0.66368586
0.766632,0.7396682
0.77286905,0.7545757
