true,forecasted
0.30717257,0.3141295
0.26507276,0.27695125
0.25987527,0.2727591
0.27234927,0.2902578
0.34511435,0.35509664
0.5540541,0.53067416
0.69282746,0.6951323
0.7655925,0.760764
0.78118503,0.7770163
0.76871103,0.7449585
0.79002076,0.7563541
0.7796258,0.7300089
0.7510395,0.69782865
0.73128897,0.6650093
0.71257794,0.64627564
0.739605,0.69303036
0.82952183,0.7945133
0.85446984,0.8455573
0.86434513,0.8500298
0.8264033,0.7893962
0.80457383,0.75727224
0.6969854,0.65242714
0.56912684,0.5098435
0.4246362,0.38370502
0.35239086,0.35239813
0.32016632,0.31658104
0.29885656,0.31458014
0.31392932,0.33063206
0.3783784,0.37991324
0.57484406,0.54757935
0.6871102,0.6956857
0.758316,0.7657939
0.77650726,0.78391796
0.7635135,0.7698364
0.79365903,0.7856389
0.78118503,0.7709812
0.745842,0.7401841
0.7240125,0.7030421
0.71465695,0.68223715
0.72557175,0.7126364
0.8160083,0.7813155
0.8477131,0.82166916
0.8570686,0.8436273
0.8154886,0.803473
0.80613303,0.77137554
0.6985447,0.66804224
0.57172555,0.5203089
0.43866944,0.3963705
0.34927234,0.38833907
0.30405405,0.3485108
0.28586277,0.35138512
0.30405405,0.3636426
0.36694387,0.41495228
0.5608108,0.5374563
0.6746362,0.6639963
0.7432432,0.72926605
0.76611227,0.7584634
0.75363827,0.7624315
0.7759875,0.7790099
0.76299375,0.76155055
0.73492724,0.7270505
0.7047817,0.68862194
0.67411643,0.662608
0.6787942,0.6896234
0.7817048,0.757088
0.81912684,0.8160972
0.82276505,0.82895535
0.7889813,0.7853523
0.7723493,0.7624964
0.6678794,0.66962856
0.54106027,0.5272878
0.3960499,0.41103786
0.3108108,0.35014698
0.27702704,0.31185845
0.26767153,0.31082934
0.28222454,0.32123184
0.3508316,0.37840444
0.55093557,0.52000093
0.6720374,0.6609364
0.73700625,0.72331583
0.7442827,0.7365033
0.71361744,0.71166
0.71465695,0.71890295
0.6923077,0.6931365
0.6621622,0.6583607
0.63461536,0.6217968
0.6029106,0.59468555
0.60758835,0.6221988
0.7318087,0.7307682
0.7962578,0.8070312
0.7962578,0.8110278
0.7577963,0.76232666
0.7448025,0.746853
0.6486486,0.6629649
0.5306653,0.52209705
0.3991684,0.3868391
0.31652805,0.33545128
0.27546778,0.30631754
0.25987527,0.29755038
0.26195425,0.28967193
0.29054055,0.30958062
0.38929313,0.34513775
0.46933472,0.4040048
0.5810811,0.5125583
0.6351351,0.5737075
0.64449066,0.59467757
0.66268194,0.613278
0.6512474,0.58871603
0.6081081,0.53413695
0.5644491,0.49009532
0.54365903,0.4633735
0.55717254,0.48863894
0.65800416,0.59681237
0.720894,0.6684348
0.7323285,0.709285
0.6923077,0.67904115
0.6756757,0.67203796
0.59719336,0.6057504
0.47661123,0.47008088
0.3601871,0.3679147
0.27390853,0.30175814
0.22141372,0.2878199
0.20322245,0.26602075
0.20426196,0.2545514
0.23284823,0.3044574
0.2920998,0.30169523
0.3300416,0.3080071
0.44074845,0.4101114
0.52858627,0.49408472
0.5821206,0.5488452
0.5987526,0.56507915
0.5587318,0.53300285
0.491684,0.46898687
0.43035343,0.4088746
0.39449066,0.38071007
0.40072766,0.38972685
0.5155925,0.49575284
