true,forecasted
0.30717257,0.31953055
0.26507276,0.27358896
0.25987527,0.26546827
0.27234927,0.2658014
0.34511435,0.3256753
0.5540541,0.51266634
0.69282746,0.66338414
0.7655925,0.7471704
0.78118503,0.7650893
0.76871103,0.7502388
0.79002076,0.7507713
0.7796258,0.73532706
0.7510395,0.7001055
0.73128897,0.6658307
0.71257794,0.6498139
0.739605,0.6750694
0.82952183,0.79184127
0.85446984,0.8441881
0.86434513,0.8224344
0.8264033,0.77615654
0.80457383,0.7554349
0.6969854,0.65096664
0.56912684,0.50220436
0.4246362,0.3800175
0.35239086,0.36099386
0.32016632,0.32534015
0.29885656,0.31507757
0.31392932,0.31562075
0.3783784,0.3463042
0.57484406,0.50922596
0.6871102,0.6494517
0.758316,0.73539835
0.77650726,0.7588726
0.7635135,0.7496823
0.79365903,0.7588709
0.78118503,0.748084
0.745842,0.7112419
0.7240125,0.6805008
0.71465695,0.65866137
0.72557175,0.6900943
0.8160083,0.762583
0.8477131,0.81838703
0.8570686,0.8044849
0.8154886,0.7739111
0.80613303,0.75782454
0.6985447,0.6563157
0.57172555,0.50691634
0.43866944,0.38292637
0.34927234,0.39807576
0.30405405,0.36762568
0.28586277,0.35570574
0.30405405,0.35486424
0.36694387,0.38680422
0.5608108,0.5071079
0.6746362,0.64191586
0.7432432,0.7178086
0.76611227,0.7432333
0.75363827,0.7434455
0.7759875,0.7507296
0.76299375,0.7355463
0.73492724,0.7007164
0.7047817,0.6675906
0.67411643,0.6513945
0.6787942,0.68563515
0.7817048,0.74690044
0.81912684,0.81119245
0.82276505,0.7915084
0.7889813,0.7725333
0.7723493,0.7639094
0.6678794,0.67354304
0.54106027,0.52978724
0.3960499,0.39663944
0.3108108,0.34879622
0.27702704,0.31424677
0.26767153,0.30232608
0.28222454,0.3109209
0.3508316,0.36657017
0.55093557,0.5014925
0.6720374,0.6470963
0.73700625,0.71990764
0.7442827,0.73036695
0.71361744,0.70751476
0.71465695,0.7050858
0.6923077,0.6905951
0.6621622,0.6530994
0.63461536,0.6170522
0.6029106,0.5947077
0.60758835,0.6223946
0.7318087,0.7150619
0.7962578,0.8023365
0.7962578,0.78612566
0.7577963,0.7482753
0.7448025,0.73731184
0.6486486,0.65825444
0.5306653,0.5277836
0.3991684,0.37751678
0.31652805,0.33985806
0.27546778,0.3017621
0.25987527,0.28325748
0.26195425,0.27771392
0.29054055,0.3093534
0.38929313,0.36929354
0.46933472,0.44546703
0.5810811,0.5436297
0.6351351,0.59418595
0.64449066,0.60761213
0.66268194,0.6193216
0.6512474,0.60153157
0.6081081,0.55243754
0.5644491,0.50837624
0.54365903,0.48718262
0.55717254,0.5066809
0.65800416,0.6066916
0.720894,0.707781
0.7323285,0.7099238
0.6923077,0.67881924
0.6756757,0.6806704
0.59719336,0.61205935
0.47661123,0.48262823
0.3601871,0.36075485
0.27390853,0.31203264
0.22141372,0.27551615
0.20322245,0.2495131
0.20426196,0.24356946
0.23284823,0.28857028
0.2920998,0.32156897
0.3300416,0.34397665
0.44074845,0.44373772
0.52858627,0.52195114
0.5821206,0.5700859
0.5987526,0.5863666
0.5587318,0.5532015
0.491684,0.49113846
0.43035343,0.43336496
0.39449066,0.40160108
0.40072766,0.4012202
0.5155925,0.51299006
0.62785864,0.6269469
0.6621622,0.65588766
0.6543659,0.6523801
0.6408524,0.65993714
0.5654886,0.5888208
0.42931393,0.44815725
0.31860706,0.33238083
0.24532224,0.2584672
0.20841996,0.21932869
0.19698545,0.2106864
0.21413721,0.22507833
0.29781705,0.2994139
0.5181913,0.4911871
0.65904367,0.6360405
0.74948025,0.7317157
0.7780665,0.7602478
0.7676715,0.75705326
0.79002076,0.76084375
0.78222454,0.74357337
0.75623703,0.71013594
0.7297297,0.6742586
0.6969854,0.64546394
0.7110187,0.6488169
0.8165281,0.75613654
0.85862786,0.8239256
0.8674636,0.81066906
0.8274428,0.76648045
0.79781705,0.74986434
0.6824324,0.6407539
0.54365903,0.4933042
0.4043659,0.36692604
0.32588357,0.32960543
0.28430355,0.29193848
0.27027026,0.28372
0.28638253,0.28233302
0.35862786,0.34199235
0.5504158,0.5212475
0.6725572,0.6752064
0.7577963,0.7700737
0.7848233,0.80482924
0.7655925,0.8029051
0.77079004,0.8022555
0.758316,0.7792478
0.7193347,0.73488307
0.68087316,0.6967883
0.65488565,0.67075264
0.6720374,0.6597115
0.774948,0.7602782
0.84511435,0.83228046
0.85862786,0.8233204
0.82172555,0.7926872
0.80717254,0.77440965
0.6943867,0.66849
0.56133056,0.51987565
0.42099792,0.39666322
0.3435551,0.37554878
0.2983368,0.32711095
0.2827443,0.30994263
0.2952183,0.3187171
0.37785864,0.35636902
0.57016635,0.49614385
0.69542617,0.6451141
0.766632,0.7298408
0.77286905,0.7483858
0.75051975,0.730988
0.76091474,0.7304705
0.74636173,0.7081603
0.70842,0.6761906
0.6730769,0.63572204
0.6470894,0.6037589
0.6668399,0.62117517
0.77546775,0.72345495
0.8466736,0.8326824
0.8591476,0.8244492
0.8264033,0.79212284
0.8024948,0.7824259
0.6891892,0.68941504
0.55093557,0.5422864
0.41476092,0.39772937
0.32796258,0.37670934
0.28794178,0.32333094
0.2765073,0.30851683
0.28638253,0.32142064
0.36278588,0.37249708
0.55925155,0.51541805
0.68659043,0.66500545
0.76611227,0.7378225
0.77182955,0.74490464
0.74116427,0.7242894
0.74376297,0.7198389
0.71569645,0.6948256
0.6756757,0.65758973
0.63461536,0.6194383
0.6070686,0.58928025
0.6237006,0.5818119
0.735447,0.70746696
0.83575886,0.82453287
0.8570686,0.8262194
0.82276505,0.79389703
0.8118503,0.7819015
0.70114344,0.68568987
0.5535343,0.5361063
0.39968815,0.39606005
0.32224533,0.33984312
0.28014553,0.2972805
0.27027026,0.28455797
0.29158005,0.290679
0.35966736,0.3525209
0.5535343,0.5092931
0.68659043,0.649417
0.75051975,0.72471887
0.75363827,0.73665047
0.7219335,0.7113862
0.7240125,0.71270424
0.6995842,0.6968897
0.6621622,0.65631616
0.6273389,0.6189596
0.6060291,0.5934344
0.62681913,0.5943941
0.737526,0.7088561
0.82068604,0.8119472
0.8279626,0.7958646
0.78222454,0.7491151
0.7676715,0.73717785
0.67047817,0.6544741
0.5379418,0.5215803
0.40072766,0.37525615
0.32068607,0.34322947
0.27286902,0.30433255
0.25675675,0.28997427
0.25987527,0.2862543
0.29313928,0.30816117
0.3846154,0.40181375
0.46933472,0.49692926
0.58627856,0.59849477
0.63357586,0.64391446
0.63201666,0.64129734
0.6351351,0.6505699
0.6159044,0.6336687
0.5743243,0.58880866
0.53222454,0.549373
0.51299375,0.52887964
0.529106,0.5344681
0.63565487,0.64347005
0.71569645,0.7382761
0.71881497,0.7249417
0.67723495,0.6788057
0.6621622,0.6746148
0.5831601,0.5961397
0.44698545,0.46878296
0.3383576,0.33532026
0.262474,0.29955366
0.21673597,0.26475084
0.20322245,0.24305707
0.20738046,0.23812672
0.23752598,0.28273523
0.29417878,0.2977902
0.33887735,0.30890372
0.4454262,0.41793224
0.5556133,0.51876104
0.6330561,0.5940753
0.6756757,0.62045485
0.64553016,0.58569664
0.5800416,0.52285475
0.52079004,0.46910363
0.48856547,0.43829304
0.49324325,0.41804188
0.5769231,0.50221133
0.6491684,0.6125684
0.67619544,0.6314557
0.65904367,0.6254783
0.6496881,0.6309789
0.5800416,0.5526887
0.44074845,0.4196971
0.32120582,0.312025
0.24532224,0.25990152
0.21361746,0.221554
0.20322245,0.21325645
0.22453223,0.22992508
0.30093554,0.29381198
0.50727654,0.46996605
0.6564449,0.6280829
0.7546778,0.7247708
0.78430355,0.75548446
0.77286905,0.74721587
0.7869023,0.7489969
0.77286905,0.7268993
0.74116427,0.6941026
0.70893973,0.65878195
0.68191266,0.63215196
0.7058212,0.62651455
0.7827443,0.7273052
0.8487526,0.81098294
0.8627859,0.80274296
0.8144491,0.76189715
0.7926195,0.74879146
0.66943866,0.64034873
0.5358628,0.4972762
0.40176716,0.35822174
0.32224533,0.32045013
0.27962577,0.27987617
0.26923078,0.2707383
0.28586277,0.2731015
0.35862786,0.32422966
0.55457383,0.4961913
0.6839917,0.6537562
0.7739085,0.74732864
0.7972973,0.7809763
0.78846157,0.77398574
0.81133056,0.77576107
0.7941788,0.75366575
0.75727654,0.7151416
0.7162162,0.6786412
0.6845114,0.6577669
0.6933472,0.6449874
0.76871103,0.74093604
0.8466736,0.8272834
0.8570686,0.81912094
0.82484406,0.77781975
0.8087318,0.76240647
0.6850312,0.6601668
0.5472973,0.5110711
0.4137214,0.38109237
0.33991683,0.34562358
0.30197504,0.30244023
0.28430355,0.2912968
0.29885656,0.29672953
0.36590436,0.33954751
0.56133056,0.50601786
