true,forecasted
0.30717257,0.32247034
0.26507276,0.28911778
0.25987527,0.27993912
0.27234927,0.2961501
0.34511435,0.37351412
0.5540541,0.5421722
0.69282746,0.6767222
0.7655925,0.746686
0.78118503,0.7606096
0.76871103,0.7308984
0.79002076,0.7369933
0.7796258,0.71796274
0.7510395,0.6915932
0.73128897,0.65969914
0.71257794,0.64840335
0.739605,0.71098006
0.82952183,0.82909054
0.85446984,0.8378063
0.86434513,0.8294828
0.8264033,0.7898661
0.80457383,0.7655671
0.6969854,0.66256595
0.56912684,0.50656664
0.4246362,0.3797088
0.35239086,0.37041882
0.32016632,0.34791172
0.29885656,0.33747342
0.31392932,0.34218076
0.3783784,0.40222216
0.57484406,0.55507135
0.6871102,0.6653374
0.758316,0.73332036
0.77650726,0.75462395
0.7635135,0.7419723
0.79365903,0.75497067
0.78118503,0.7387612
0.745842,0.70710546
0.7240125,0.6724318
0.71465695,0.6568257
0.72557175,0.7070507
0.8160083,0.79521483
0.8477131,0.7952136
0.8570686,0.7907298
0.8154886,0.7814593
0.80613303,0.7610954
0.6985447,0.6624637
0.57172555,0.5059781
0.43866944,0.39003038
0.34927234,0.3995368
0.30405405,0.37516135
0.28586277,0.3611119
0.30405405,0.36006203
0.36694387,0.4004045
0.5608108,0.52855766
0.6746362,0.63369936
0.7432432,0.71031487
0.76611227,0.7392965
0.75363827,0.7332656
0.7759875,0.7494641
0.76299375,0.73543525
0.73492724,0.6984326
0.7047817,0.6644355
0.67411643,0.64188415
0.6787942,0.6830716
0.7817048,0.7602315
0.81912684,0.7762099
0.82276505,0.7813501
0.7889813,0.77649313
0.7723493,0.759731
0.6678794,0.67335665
0.54106027,0.5191232
0.3960499,0.4042019
0.3108108,0.36719823
0.27702704,0.3377548
0.26767153,0.32737878
0.28222454,0.33520088
0.3508316,0.38097635
0.55093557,0.51094294
0.6720374,0.6295653
0.73700625,0.69540066
0.7442827,0.704496
0.71361744,0.68261397
0.71465695,0.6838156
0.6923077,0.6683996
0.6621622,0.6311259
0.63461536,0.59919226
0.6029106,0.5786459
0.60758835,0.61875796
0.7318087,0.7248193
0.7962578,0.7704519
0.7962578,0.7807493
0.7577963,0.75147116
0.7448025,0.739466
0.6486486,0.6497437
0.5306653,0.49960425
0.3991684,0.3794665
0.31652805,0.3424311
0.27546778,0.32125407
0.25987527,0.29839465
0.26195425,0.29886717
0.29054055,0.3224553
0.38929313,0.3708905
0.46933472,0.43765068
0.5810811,0.5331636
0.6351351,0.5895969
0.64449066,0.60323197
0.66268194,0.6197734
0.6512474,0.59508526
0.6081081,0.5431192
0.5644491,0.4968724
0.54365903,0.46870178
0.55717254,0.49470612
0.65800416,0.5971027
0.720894,0.6727301
0.7323285,0.7004972
0.6923077,0.68330914
0.6756757,0.6887835
0.59719336,0.6050809
0.47661123,0.46132115
0.3601871,0.35672933
0.27390853,0.3095531
0.22141372,0.2874049
0.20322245,0.27353033
0.20426196,0.26832327
0.23284823,0.29855102
0.2920998,0.30906904
0.3300416,0.32972816
