true,forecasted
0.35940224,0.35297343
0.3499436,0.3442154
0.3504819,0.34832215
0.37596124,0.3731245
0.4461448,0.45306957
0.6134266,0.64169824
0.79824156,0.81828773
0.8351533,0.8628343
0.822388,0.84704185
0.8292833,0.8491739
0.8096996,0.8334008
0.774736,0.7994363
0.7811699,0.785171
0.7554342,0.7686358
0.73126215,0.7468301
0.7488209,0.78368783
0.8818825,0.891901
0.86306775,0.86692625
0.7704296,0.7891969
0.68558395,0.7003407
0.609351,0.620455
0.5281708,0.52849305
0.44181278,0.4445597
0.38049832,0.38499856
0.35589048,0.34919536
0.3435097,0.33951935
0.351943,0.33984077
0.3729878,0.36486676
0.44483748,0.44676137
0.61988616,0.6314778
0.7914744,0.7923225
0.8211832,0.83260185
0.81177586,0.8182341
0.81874806,0.816365
0.8032913,0.7958996
0.7697119,0.7645801
0.762227,0.75336
0.73897773,0.7324756
0.70911515,0.7056471
0.72357225,0.72538316
0.8548908,0.8372257
0.85253257,0.8332481
0.77148056,0.75923246
0.68296933,0.66703165
0.6077361,0.59250677
0.5113298,0.49695992
0.42689428,0.41096607
0.36973238,0.3491952
0.34481698,0.33908913
0.3341536,0.3286222
0.33730647,0.32795012
0.35978672,0.3464611
0.42699683,0.42614332
0.60463446,0.6154233
0.7793243,0.7810211
0.8076746,0.8198389
0.80464983,0.8018707
0.79760075,0.80508554
0.7740182,0.7874449
0.72831434,0.757744
0.7175228,0.7459653
0.6889162,0.723916
0.6579258,0.694582
0.6914027,0.707048
0.8522762,0.81861097
0.83664,0.81522083
0.75474215,0.74278563
0.67389524,0.65975106
0.5973034,0.5830766
0.5037937,0.49184608
0.42358762,0.403375
0.37024504,0.34515667
0.34125397,0.34050405
0.3332308,0.32985002
0.34030554,0.33015054
0.36352918,0.35340187
0.4293807,0.42967674
0.601174,0.6105171
0.76953244,0.7656301
0.80882806,0.81281596
0.7954219,0.80267453
0.79739565,0.8052673
0.76743054,0.77632606
0.7163437,0.73137736
0.6856096,0.6988266
0.6403671,0.6648945
0.6228853,0.6412429
0.6649236,0.6493881
0.7898339,0.76330507
0.79521686,0.77411574
0.69319695,0.69702494
0.6043012,0.60943705
0.5330155,0.54673713
0.46390855,0.47169274
0.395263,0.39497167
0.34481698,0.33403966
0.30803344,0.31004184
0.29465294,0.29167104
0.29342255,0.28118482
0.2968061,0.28995982
0.3202348,0.3209734
0.37037322,0.39062387
0.44957963,0.46037441
0.52688915,0.538974
0.5833077,0.5785216
0.60599303,0.59383935
0.5934328,0.5845695
