true,forecasted
0.6635317,0.64557797
0.6628135,0.6496891
0.6753877,0.65982777
0.7161314,0.7024937
0.8084631,0.7897545
0.8535641,0.8275431
0.8417342,0.8443407
0.83681786,0.8431661
0.82922506,0.8320481
0.82820934,0.82824725
0.824435,0.81367403
0.8179801,0.802232
0.8160278,0.79489267
0.8102481,0.8090591
0.80692846,0.8209765
0.83607465,0.83154625
0.8416951,0.8295377
0.8341904,0.8204236
0.8134565,0.8038031
0.74442106,0.75034124
0.74695736,0.7564949
0.7181658,0.72291577
0.6727843,0.6817204
0.6415897,0.6416603
0.6209209,0.6176722
0.6193843,0.619624
0.62987995,0.6295286
0.6714741,0.67146224
0.7606575,0.7590324
0.7978271,0.7955625
0.79038256,0.80869925
0.78976256,0.80735934
0.7860573,0.7981685
0.78061914,0.79543215
0.7719295,0.78338516
0.76687396,0.77110773
0.76671165,0.76563543
0.76852876,0.78007305
0.76923794,0.7903107
0.81295466,0.8096058
0.8282965,0.81442803
0.83472735,0.80177605
0.8090501,0.7847296
0.7479541,0.7284789
0.75312877,0.73680186
0.7340155,0.7033922
0.6836737,0.6645759
0.6521215,0.6262592
0.63616055,0.6088564
0.6235523,0.6112082
0.6372945,0.61826867
0.6846133,0.65774864
0.7636585,0.749095
0.79997575,0.78693944
0.7934177,0.7956581
0.7828299,0.7938328
0.7717041,0.7795838
0.76414037,0.7693719
0.7577195,0.75398195
0.7501678,0.73631066
0.7477848,0.730598
0.74855506,0.74004424
0.7403382,0.740939
0.77678466,0.7578703
0.7766725,0.766208
0.7800812,0.7612411
0.76025677,0.74677193
0.70175713,0.69241333
0.7116238,0.7026452
0.6814379,0.66864157
0.632253,0.6270543
0.6012557,0.58720654
0.5837141,0.5816499
0.5803435,0.5826293
0.59271634,0.59097344
0.6365933,0.6309839
0.7259329,0.7162276
0.76941526,0.74939233
0.76881725,0.760716
0.775815,0.7634747
0.7711041,0.75713074
0.7719004,0.753508
0.7725065,0.7412262
0.7652552,0.7251807
0.7522974,0.7204249
0.75025696,0.73127323
0.7504212,0.7400564
0.78181815,0.7687478
0.7880056,0.7836351
0.78015435,0.7732371
0.75441295,0.75723356
0.7005281,0.7015411
0.704042,0.7100148
0.6762031,0.6794713
0.62744385,0.6385878
0.5928085,0.6010384
0.5728418,0.58202523
0.5629451,0.5801403
0.56160885,0.5795686
0.5730141,0.5987366
0.6014981,0.6357864
0.61522025,0.6376009
0.6299461,0.6552914
0.6537923,0.6646384
0.6669525,0.67234504
0.6706597,0.6726852
0.6653187,0.6572415
0.6526824,0.64126366
0.649483,0.6407809
0.6527105,0.6517867
0.6728865,0.67306507
0.72542405,0.7172718
0.75410044,0.7470545
0.7359448,0.7417705
0.6944048,0.7176612
0.65216357,0.6687782
0.6640716,0.6890111
0.65026134,0.6635503
0.6155298,0.62836426
0.5785334,0.59850353
0.55671763,0.5688166
0.5483515,0.56490314
0.54551274,0.56300545
0.5512554,0.58304864
0.57088053,0.6081364
0.57546425,0.60248
0.58971226,0.6228531
0.609108,0.6340264
0.63573986,0.64483726
0.64381945,0.6511147
0.64362514,0.6405354
0.6407503,0.6269123
0.63299525,0.62270916
0.63020355,0.6325943
0.6362016,0.6447923
0.68181455,0.6804942
0.7049515,0.71150726
0.70156085,0.705781
0.68323594,0.68253237
0.63194144,0.640488
0.6558578,0.6624739
0.64635974,0.6397927
0.6142707,0.6068523
0.5784152,0.5750554
0.562854,0.54797995
0.5596215,0.5504199
0.56739765,0.56092113
0.605549,0.6078187
0.70554256,0.7025996
0.76134163,0.7427897
0.7548807,0.75780046
0.7476796,0.75091565
0.75287235,0.7397925
0.759207,0.7339696
0.75649947,0.7194825
0.7511865,0.70446986
0.7517855,0.6972031
0.7353097,0.7042904
0.72631055,0.7020496
0.75713253,0.7201893
0.7602788,0.72520524
0.7555198,0.71919066
0.73484194,0.7003652
0.68266,0.6507343
0.69225615,0.6567881
0.6644543,0.6196395
0.6142937,0.57768613
0.5790012,0.53954583
0.5589684,0.52768326
0.55126745,0.5280611
0.55962354,0.53771526
0.5960309,0.57866085
0.6830256,0.6672686
0.73034537,0.71403044
0.7241319,0.7272742
0.72707784,0.72136927
0.72158056,0.7115356
0.7195181,0.7011822
0.7188249,0.6914022
0.7072594,0.6759402
0.69674873,0.667876
0.6880671,0.67646575
0.68122655,0.6780794
0.7195492,0.69880724
0.73053867,0.71259445
0.7309814,0.71240544
0.7027438,0.69086933
0.6413433,0.6330806
0.65691656,0.63799787
0.6308296,0.6029861
0.5775237,0.5592677
0.5405133,0.52271456
0.52701354,0.507423
0.51952493,0.5073716
0.52085716,0.5154229
0.5573567,0.5554091
0.64911944,0.6330209
0.68537956,0.6752657
0.6787103,0.6864924
0.67569023,0.6847446
0.66965806,0.67857546
0.66473573,0.6685441
0.66241485,0.65803915
0.6543072,0.6426817
0.65218556,0.63434803
0.6463307,0.6414365
0.64838415,0.6440009
0.6875843,0.6716069
0.71017635,0.6977701
0.7180657,0.70596707
0.6943116,0.68406636
0.63957435,0.6279795
0.6416348,0.6338154
0.62323076,0.60285205
0.5754412,0.5610227
0.5411113,0.5266954
0.5287234,0.51981914
0.5217607,0.5182425
0.53181463,0.5244384
0.575936,0.5618734
0.663721,0.64729875
0.71368825,0.693205
0.7109026,0.7031405
0.7143414,0.703863
0.7107253,0.6949004
0.7074718,0.685775
0.70015043,0.675893
0.6881342,0.66003495
0.6880931,0.6526273
0.6863101,0.66015977
0.68722266,0.66697377
0.7243603,0.6966486
0.74623615,0.72192115
0.7498893,0.7323562
0.72794133,0.7145064
0.6662844,0.65462065
0.6817424,0.66854477
0.6525732,0.64291924
0.60388213,0.60067016
0.5681389,0.5676184
0.5511512,0.5551396
0.5514277,0.55855644
0.5638026,0.56661123
0.6104552,0.6092054
0.70679367,0.7111866
0.749695,0.758728
0.7549118,0.76772547
0.7620598,0.76709807
0.7588474,0.7527521
0.7543929,0.7446761
0.74481475,0.72865885
0.7311487,0.7107964
0.7188159,0.7061448
0.7172553,0.7144188
0.7161274,0.7189369
0.7406998,0.7476956
0.76415235,0.7615046
0.7617473,0.7596329
0.7365518,0.7429659
0.6874651,0.68578434
0.69421244,0.69569683
0.6728204,0.6656008
0.62552464,0.62273455
0.5922295,0.5835125
0.5736502,0.56345314
0.5665933,0.56450903
0.56627876,0.5610053
0.5803284,0.5753762
0.61290735,0.6197992
0.62040603,0.62526035
0.6355035,0.6437189
0.65459865,0.6537043
0.6650944,0.6602247
0.66059476,0.6577483
0.6469598,0.64507896
0.64059305,0.6302226
0.6364671,0.6283032
0.6389022,0.64210325
0.65838605,0.6562613
0.71104383,0.69652855
0.76166517,0.72670084
0.7521261,0.7283664
0.70766014,0.7074144
0.6649561,0.6586658
0.6841014,0.6776669
0.6682116,0.65692455
0.62761414,0.62102747
0.599042,0.5890209
0.5795181,0.56721103
0.5676791,0.56408244
0.57144344,0.57113093
0.5835859,0.5894719
0.60287344,0.6125995
0.6001939,0.61376774
0.6158153,0.62428236
0.6410548,0.6421534
0.66147226,0.64933807
0.6610215,0.6556594
0.6486296,0.64344424
0.6385236,0.62518305
0.6291257,0.61904776
0.6306853,0.6295641
0.64303815,0.63520074
0.6886991,0.6769996
0.73615015,0.71615106
0.7404013,0.72909766
0.7246548,0.7127236
0.6884147,0.6682682
0.7179204,0.69117105
0.7131143,0.6722221
0.6721472,0.64269847
0.65531284,0.6110697
0.64297205,0.6079134
0.64272463,0.61428714
0.65880275,0.62655747
0.70330775,0.6738502
0.7913001,0.76625496
0.8165948,0.80191714
0.82548374,0.80687815
0.82931525,0.8047564
0.8031812,0.79224396
0.79824686,0.78286105
0.7812091,0.7674473
0.7666516,0.7454557
0.76028985,0.73325086
0.7506386,0.7356339
0.7394577,0.7321757
0.7676963,0.7574582
0.8084681,0.7883695
0.8093486,0.80279005
0.80027527,0.79196006
0.76031387,0.7350458
0.7713735,0.7484417
0.75187564,0.72074276
0.7134008,0.6842059
0.6941293,0.6502597
0.6839591,0.6421675
0.68559194,0.65108806
0.6953634,0.66331697
0.7358817,0.70991963
0.81460845,0.8016319
0.84250546,0.8368991
0.85201347,0.83938766
0.8540329,0.83863235
0.83928,0.825115
0.82068765,0.8152439
0.79574865,0.7990822
0.76973677,0.7774531
0.7652352,0.76583445
0.7589225,0.7701742
0.7548567,0.770123
0.77788454,0.8008124
0.82385004,0.83424205
0.8359153,0.841254
0.8214169,0.82894343
0.7709899,0.7651292
0.78241014,0.7736045
0.7714226,0.7431068
