true,forecasted
0.6635317,0.64779556
0.6628135,0.64663565
0.6753877,0.66621345
0.7161314,0.7076519
0.8084631,0.7969346
0.8535641,0.829907
0.8417342,0.83477736
0.83681786,0.82193536
0.82922506,0.81278956
0.82820934,0.80594224
0.824435,0.79752225
0.8179801,0.7884503
0.8160278,0.78190196
0.8102481,0.78404933
0.80692846,0.79711795
0.83607465,0.8097416
0.8416951,0.8201698
0.8341904,0.8188163
0.8134565,0.793192
0.74442106,0.7378396
0.74695736,0.7427795
0.7181658,0.7143142
0.6727843,0.6705307
0.6415897,0.6322801
0.6209209,0.6157763
0.6193843,0.6113562
0.62987995,0.62708926
0.6714741,0.66110444
0.7606575,0.75512946
0.7978271,0.79699343
0.79038256,0.8018803
0.78976256,0.78735644
0.7860573,0.77827084
0.78061914,0.7724308
0.7719295,0.7699445
0.76687396,0.7618797
0.76671165,0.7591506
0.76852876,0.76058125
0.76923794,0.7748151
0.81295466,0.7854308
0.8282965,0.79284036
0.83472735,0.7981711
0.8090501,0.7791249
0.7479541,0.719228
0.75312877,0.7259718
0.7340155,0.69851065
0.6836737,0.655704
0.6521215,0.6157671
0.63616055,0.6272425
0.6235523,0.62218416
0.6372945,0.6392687
0.6846133,0.6787447
0.7636585,0.76736975
0.79997575,0.7940716
0.7934177,0.7932882
0.7828299,0.78279716
0.7717041,0.7727849
0.76414037,0.7620616
0.7577195,0.7526423
0.7501678,0.739877
0.7477848,0.72864056
0.74855506,0.7176695
0.7403382,0.71336997
0.77678466,0.72902346
0.7766725,0.7558795
0.7800812,0.76858944
0.76025677,0.7473606
0.70175713,0.6900712
0.7116238,0.6985612
0.6814379,0.6738025
0.632253,0.6304043
0.6012557,0.59048617
0.5837141,0.5797114
0.5803435,0.5751568
0.59271634,0.5924706
0.6365933,0.63029873
0.7259329,0.72218335
0.76941526,0.7602323
0.76881725,0.7673115
0.775815,0.75727046
0.7711041,0.7467159
0.7719004,0.7381672
0.7725065,0.7310979
0.7652552,0.7186489
0.7522974,0.71137494
0.75025696,0.70931745
0.7504212,0.7156435
0.78181815,0.73581934
0.7880056,0.762393
0.78015435,0.7758308
0.75441295,0.74736464
0.7005281,0.6871754
0.704042,0.7000356
0.6762031,0.67840576
0.62744385,0.63183284
0.5928085,0.5897303
0.5728418,0.5616601
0.5629451,0.55302596
0.56160885,0.560015
0.5730141,0.5700901
0.6014981,0.60865664
0.61522025,0.6200413
0.6299461,0.630662
0.6537923,0.6394506
0.6669525,0.638576
0.6706597,0.63763934
0.6653187,0.63314545
0.6526824,0.6229961
0.649483,0.6222565
0.6527105,0.6310465
0.6728865,0.6625173
0.72542405,0.7079979
0.75410044,0.7458958
0.7359448,0.74611276
0.6944048,0.7115058
0.65216357,0.6483189
0.6640716,0.67280686
0.65026134,0.6592097
0.6155298,0.6194212
0.5785334,0.58035606
0.55671763,0.55260247
0.5483515,0.54696083
0.54551274,0.54919887
0.5512554,0.55325806
0.57088053,0.577125
0.57546425,0.5794047
0.58971226,0.58790857
0.609108,0.6058288
0.63573986,0.61630124
0.64381945,0.62299407
0.64362514,0.6193919
0.6407503,0.6114811
0.63299525,0.6066532
0.63020355,0.60860145
0.6362016,0.6231438
0.68181455,0.6649798
0.7049515,0.69886
0.70156085,0.6952059
0.68323594,0.66697025
0.63194144,0.6220232
0.6558578,0.64181566
0.64635974,0.6229379
0.6142707,0.5887424
0.5784152,0.5528945
0.562854,0.5557327
0.5596215,0.5543546
0.56739765,0.56823015
0.605549,0.604827
0.70554256,0.69807684
0.76134163,0.7367375
0.7548807,0.7389384
0.7476796,0.73155123
0.75287235,0.7224734
0.759207,0.71792316
0.75649947,0.71063393
0.7511865,0.70069873
0.7517855,0.6906816
0.7353097,0.6830494
0.72631055,0.6777779
0.75713253,0.6938175
0.7602788,0.71266866
0.7555198,0.72161573
0.73484194,0.70283604
0.68266,0.6466923
0.69225615,0.6496632
0.6644543,0.61664724
0.6142937,0.5736489
0.5790012,0.53784543
0.5589684,0.5477988
0.55126745,0.5418572
0.55962354,0.5567291
0.5960309,0.5961698
0.6830256,0.6765729
0.73034537,0.70944923
0.7241319,0.71280825
0.72707784,0.70099145
0.72158056,0.6917912
0.7195181,0.6847543
0.7188249,0.6778726
0.7072594,0.6663772
0.69674873,0.65688086
0.6880671,0.65116715
0.68122655,0.65078235
0.7195492,0.66863704
0.73053867,0.69912136
0.7309814,0.7126539
0.7027438,0.68819445
0.6413433,0.6251137
0.65691656,0.63126147
0.6308296,0.6019383
0.5775237,0.5588107
0.5405133,0.51969165
0.52701354,0.5148674
0.51952493,0.50621706
0.52085716,0.5193296
0.5573567,0.55834156
0.64911944,0.6411184
0.68537956,0.67875075
0.6787103,0.68701524
0.67569023,0.67500955
0.66965806,0.66347677
0.66473573,0.65570086
0.66241485,0.6504617
0.6543072,0.6404978
0.65218556,0.63321346
0.6463307,0.6309789
0.64838415,0.6336198
0.6875843,0.6519755
0.71017635,0.6903327
0.7180657,0.71184397
0.6943116,0.6897111
0.63957435,0.6198267
0.6416348,0.6325271
0.62323076,0.6088454
0.5754412,0.56509507
0.5411113,0.52495366
0.5287234,0.5176564
0.5217607,0.5125077
0.53181463,0.5247044
0.575936,0.5618628
0.663721,0.6521431
0.71368825,0.6903034
0.7109026,0.69597036
0.7143414,0.6887161
0.7107253,0.6778074
0.7074718,0.6723005
0.70015043,0.66883826
0.6881342,0.6572987
0.6880931,0.6500845
0.6863101,0.6463077
0.68722266,0.64869535
0.7243603,0.67326546
0.74623615,0.7092186
0.7498893,0.7308199
0.72794133,0.71107394
0.6662844,0.65025306
0.6817424,0.66462505
0.6525732,0.64318526
0.60388213,0.6004674
0.5681389,0.5623802
0.5511512,0.5501356
0.5514277,0.5481794
0.5638026,0.5663726
0.6104552,0.6053241
0.70679367,0.708045
0.749695,0.7499492
0.7549118,0.7533497
0.7620598,0.7457451
0.7588474,0.73456776
0.7543929,0.7273161
0.74481475,0.719702
0.7311487,0.7041327
0.7188159,0.69946
0.7172553,0.6945149
0.7161274,0.704035
0.7406998,0.73548377
0.76415235,0.75562465
0.7617473,0.7623012
0.7365518,0.7358779
0.6874651,0.67694366
0.69421244,0.68857014
0.6728204,0.6631537
0.62552464,0.61564225
0.5922295,0.5747302
0.5736502,0.55980235
0.5665933,0.5533699
0.56627876,0.5587106
0.5803284,0.5729703
0.61290735,0.6013545
0.62040603,0.6048115
0.6355035,0.61653596
0.65459865,0.6313219
0.6650944,0.6351459
0.66059476,0.63325036
0.6469598,0.6302173
