true,forecasted
0.65791273,0.66030735
0.6222629,0.62827694
0.58408976,0.58848846
0.5864582,0.59175366
0.6509933,0.66334945
0.761364,0.7795533
0.82060504,0.86157835
0.83110034,0.8600189
0.843964,0.86987764
0.8483293,0.8674249
0.8622146,0.86999124
0.8537782,0.85602874
0.82851523,0.8312237
0.7944907,0.7938387
0.78411925,0.7794143
0.7811471,0.7749479
0.814506,0.85126877
0.9014713,0.9193702
0.8584221,0.8672268
0.78464556,0.78749734
0.7276181,0.73098904
0.7717509,0.7743106
0.75040436,0.7569467
0.6812098,0.6890552
0.67910457,0.68898034
0.6416435,0.65818405
0.610684,0.6175823
0.61478615,0.6207704
0.6718755,0.6872224
0.7751565,0.79789704
0.84277207,0.8754378
0.86497,0.8811543
0.8777718,0.8907241
0.87551177,0.88934
0.88882434,0.8905414
0.8781433,0.87868875
0.8493664,0.8502528
0.81921184,0.80870837
0.79766405,0.79051507
0.78907275,0.7794813
0.8244905,0.8492987
0.92348355,0.9385507
0.8800318,0.904144
0.79958355,0.8259
0.7472929,0.76658463
0.79097676,0.81693757
0.7777261,0.8043374
0.7144294,0.7417973
0.71331483,0.72127736
0.67902714,0.69049835
0.644337,0.65253824
0.64682925,0.654569
0.7066895,0.7245522
0.820249,0.8330924
0.8876324,0.90130556
0.8943971,0.90454644
0.897524,0.901622
0.88117737,0.8890795
0.87490803,0.87963015
0.85402584,0.8623257
0.812602,0.82505035
0.77348465,0.777993
0.74898016,0.7531954
0.7438564,0.741205
0.78738546,0.79880893
0.89690477,0.89990973
0.86145616,0.87524635
0.7930975,0.8008768
0.74167377,0.74652594
0.78427404,0.7950603
0.7734073,0.78443384
0.70747894,0.7200751
0.7045068,0.7208593
0.6733461,0.68817544
0.6472782,0.6488062
0.64749485,0.6507927
0.70685977,0.7155634
0.81702924,0.81591743
0.884103,0.89015466
0.894459,0.8901032
0.89695126,0.89661235
0.8839482,0.8872739
0.88111544,0.8874057
0.8652642,0.8710776
0.82357717,0.83400506
0.7860542,0.78689533
0.75549716,0.7640532
0.74029607,0.7525171
0.776658,0.8036705
0.867292,0.8722396
0.8340415,0.83096695
0.7662711,0.7660558
0.71987826,0.722505
0.76785004,0.7672728
0.7526334,0.7457624
0.67747915,0.6815359
0.66908914,0.6655783
0.6274021,0.629225
0.59159744,0.58048314
0.5829598,0.5663788
0.6044302,0.5882098
0.640529,0.621245
0.67473924,0.6584325
0.7218132,0.6881338
0.73969233,0.7137544
0.725064,0.7147762
0.72004855,0.71721274
0.72275746,0.72314864
0.6643833,0.6595458
0.61854774,0.614549
0.5961795,0.587495
0.59625685,0.5858474
0.6410708,0.6448667
0.74006385,0.7254088
0.72501755,0.71522206
0.67630273,0.6651886
0.6409315,0.6182583
0.69562143,0.68128574
0.6906834,0.68384814
0.62901205,0.61642337
0.6114735,0.6110032
0.5684552,0.5643524
0.5199107,0.51398385
0.4980997,0.4879954
0.50201607,0.50366974
0.515468,0.5080783
0.5259323,0.5172019
0.5614429,0.55799544
0.5962104,0.60187274
0.6139657,0.6221406
0.626365,0.64038146
0.6408231,0.66167325
0.5809319,0.6001568
0.542217,0.5526147
0.5257775,0.5320507
0.5256072,0.5151665
0.5679134,0.5639007
0.68011075,0.6822181
0.68040484,0.6744123
0.64065284,0.6361597
0.59949213,0.5927526
0.65042055,0.6445993
0.646272,0.6406793
0.5905294,0.58352345
0.5791982,0.5886159
0.5542448,0.56049645
0.5283007,0.52610797
0.5384709,0.534948
0.6121391,0.61000663
0.7320918,0.72758424
0.79938227,0.8040518
0.81724596,0.81327885
0.8081748,0.8157627
0.78187466,0.8042253
0.7768283,0.8017958
0.7593671,0.78438795
0.7250485,0.7571807
0.68331504,0.7149822
0.663052,0.6964353
0.6587641,0.6905247
0.69540477,0.7483758
0.8253573,0.85879385
0.80554324,0.8232042
0.73715365,0.7454024
0.68864006,0.6854971
0.7378038,0.73267746
0.7276336,0.71802175
0.6639963,0.65506554
0.66771144,0.6579128
0.63500273,0.62865305
0.60795957,0.5901252
0.61495644,0.59335023
0.6806835,0.6649154
0.7936548,0.7775037
0.8544438,0.8548539
0.8680196,0.85527694
0.8640722,0.8545333
0.856224,0.845509
0.8590413,0.8437485
0.85114664,0.8288649
0.8180199,0.7994933
0.7843824,0.76092464
0.76659614,0.7430321
0.7600637,0.7342826
0.78992414,0.78464067
0.8920596,0.8793223
0.8522457,0.8350778
0.7773546,0.7596857
0.7222776,0.6987398
0.7605126,0.7415648
0.7451257,0.7250753
0.6794761,0.6588564
0.67908907,0.67378694
0.64359397,0.64442456
0.6078048,0.6005445
0.6098636,0.60185295
0.66534305,0.6611228
0.7653268,0.7663556
0.82404155,0.84466195
0.8472457,0.84602576
0.85577506,0.8485785
0.8483448,0.844243
0.8468742,0.84359854
0.83897954,0.82901126
0.81280327,0.8006343
0.77743196,0.76166135
0.75207615,0.74080634
0.7410236,0.73198485
0.7678965,0.7758291
0.863066,0.856354
0.82060504,0.81389457
0.73679763,0.73913217
0.68179804,0.6693412
0.7190888,0.70946515
0.695575,0.69554484
0.6258851,0.62593263
0.6146623,0.6158983
0.5764583,0.57939094
0.5341211,0.5405086
0.52859485,0.5346769
0.5783623,0.59892327
0.67955345,0.7077542
0.73237044,0.76153684
0.7460081,0.7695453
0.74797404,0.765982
0.7399555,0.7588996
0.74603903,0.75588244
0.7335933,0.7434763
0.70096195,0.7126833
0.66503346,0.67138445
0.6360089,0.6442808
0.6252195,0.62154293
0.6473246,0.6480361
0.7492588,0.7462108
0.71436745,0.71783966
0.64102435,0.6511337
0.58946127,0.6041912
0.62795943,0.64484245
0.6142908,0.62895876
0.54588574,0.5630613
0.53148955,0.54943687
0.49862602,0.51858914
0.4683321,0.4866906
0.4746943,0.49103612
0.53662884,0.5599272
0.65134937,0.665432
0.71741694,0.72285587
0.73470783,0.72903764
0.7286862,0.7209131
0.70823747,0.7007548
0.69915086,0.6909871
0.68011075,0.6668619
0.64186025,0.630294
0.5988265,0.58627015
0.5737493,0.56092155
0.559059,0.5527127
0.5935789,0.5912947
0.6953738,0.6844069
0.6701108,0.6573947
0.60814536,0.59454364
0.5654831,0.5632775
0.61017317,0.6085478
0.5940123,0.5872456
0.5226506,0.52449304
0.4972793,0.5204309
0.4517533,0.48058426
0.4117536,0.4366838
0.406862,0.41973746
0.42879683,0.4439083
0.46415257,0.48424128
0.4927437,0.5193644
0.5442294,0.5508832
0.57946134,0.577121
