true,forecasted
0.65791273,0.646233
0.6222629,0.6135134
0.58408976,0.58694315
0.5864582,0.5935817
0.6509933,0.6538724
0.761364,0.7621698
0.82060504,0.8448858
0.83110034,0.85651416
0.843964,0.8592314
0.8483293,0.8578406
0.8622146,0.85849524
0.8537782,0.8496288
0.82851523,0.8207326
0.7944907,0.7855733
0.78411925,0.7692909
0.7811471,0.77521956
0.814506,0.84987634
0.9014713,0.9078292
0.8584221,0.85496163
0.78464556,0.7783619
0.7276181,0.7305666
0.7717509,0.76995784
0.75040436,0.7447407
0.6812098,0.6723867
0.67910457,0.674491
0.6416435,0.6443478
0.610684,0.61899745
0.61478615,0.62367606
0.6718755,0.6816099
0.7751565,0.7870681
0.84277207,0.8619635
0.86497,0.8748906
0.8777718,0.8792213
0.87551177,0.8782535
0.88882434,0.87472296
0.8781433,0.86487836
0.8493664,0.83337206
0.81921184,0.7970155
0.79766405,0.7783847
0.78907275,0.7841859
0.8244905,0.86638933
0.92348355,0.92759985
0.8800318,0.8868457
0.79958355,0.8152204
0.7472929,0.76959956
0.79097676,0.8094004
0.7777261,0.7892263
0.7144294,0.72164404
0.71331483,0.70931524
0.67902714,0.6793615
0.644337,0.65291154
0.64682925,0.652568
0.7066895,0.7128242
0.820249,0.82409996
0.8876324,0.891304
0.8943971,0.89791244
0.897524,0.8948532
0.88117737,0.88119334
0.87490803,0.8709547
0.85402584,0.8495565
0.812602,0.8107047
0.77348465,0.7668613
0.74898016,0.7477977
0.7438564,0.7494705
0.78738546,0.81629467
0.89690477,0.89630836
0.86145616,0.8602454
0.7930975,0.789448
0.74167377,0.7461628
0.78427404,0.7864383
0.7734073,0.76381654
0.70747894,0.69810355
0.7045068,0.7003326
0.6733461,0.67035156
0.6472782,0.64243054
0.64749485,0.6498329
0.70685977,0.70508385
0.81702924,0.798865
0.884103,0.8704152
0.894459,0.8798639
0.89695126,0.8871464
0.8839482,0.87825936
0.88111544,0.8752222
0.8652642,0.8663427
0.82357717,0.8285465
0.7860542,0.7843571
0.75549716,0.75893486
0.74029607,0.7565986
0.776658,0.8010109
0.867292,0.85466236
0.8340415,0.8114379
0.7662711,0.75115335
0.71987826,0.71688974
0.76785004,0.75714517
0.7526334,0.72547615
0.67747915,0.65950656
0.66908914,0.6603125
0.6274021,0.619899
0.59159744,0.5833981
0.5829598,0.5676483
0.6044302,0.57866335
0.640529,0.6080894
0.67473924,0.6421616
0.7218132,0.6799211
0.73969233,0.7047668
0.725064,0.704405
0.72004855,0.71278113
0.72275746,0.71172553
0.6643833,0.6468455
0.61854774,0.60191005
0.5961795,0.5761999
0.59625685,0.58258927
0.6410708,0.6477809
0.74006385,0.7301224
0.72501755,0.6994763
0.67630273,0.6479706
0.6409315,0.6266385
0.69562143,0.6810078
0.6906834,0.66254574
0.62901205,0.60449916
0.6114735,0.5998227
0.5684552,0.5560807
0.5199107,0.5187824
0.4980997,0.49507987
0.50201607,0.5043381
0.515468,0.51196754
0.5259323,0.5310912
0.5614429,0.572456
0.5962104,0.61236745
0.6139657,0.6308872
0.626365,0.6448833
0.6408231,0.6539671
0.5809319,0.5926621
0.542217,0.5487555
0.5257775,0.5268922
0.5256072,0.5274009
0.5679134,0.59348094
0.68011075,0.67626363
0.68040484,0.66386694
0.64065284,0.6215017
0.59949213,0.6016191
0.65042055,0.6440233
0.646272,0.62614954
0.5905294,0.5721572
0.5791982,0.58397573
0.5542448,0.55577546
0.5283007,0.5327687
0.5384709,0.5416436
0.6121391,0.6085254
0.7320918,0.7266986
0.79938227,0.81020963
0.81724596,0.8180917
0.8081748,0.8218192
0.78187466,0.81081074
0.7768283,0.8059774
0.7593671,0.7891041
0.7250485,0.75832295
0.68331504,0.72114027
0.663052,0.7030028
0.6587641,0.70499253
0.69540477,0.7666876
0.8253573,0.8610663
0.80554324,0.8225176
0.73715365,0.74101126
0.68864006,0.6933341
0.7378038,0.73720366
0.7276336,0.71665907
0.6639963,0.65242517
0.66771144,0.6500048
0.63500273,0.62218016
0.60795957,0.59502995
0.61495644,0.605833
0.6806835,0.66233665
0.7936548,0.7675428
0.8544438,0.8438277
0.8680196,0.8468401
0.8640722,0.8471859
0.856224,0.84038764
0.8590413,0.8350741
0.85114664,0.81921184
0.8180199,0.7878945
0.7843824,0.7499607
0.76659614,0.73281443
0.7600637,0.7320602
0.78992414,0.78868765
0.8920596,0.8641717
0.8522457,0.82506484
0.7773546,0.75640684
0.7222776,0.7072297
0.7605126,0.74417853
0.7451257,0.7188647
0.6794761,0.65911686
0.67908907,0.6655008
0.64359397,0.6331398
0.6078048,0.60411036
0.6098636,0.6106933
0.66534305,0.66649896
0.7653268,0.7706111
0.82404155,0.8441843
0.8472457,0.8503864
0.85577506,0.847526
0.8483448,0.8432017
0.8468742,0.84094864
0.83897954,0.8253238
0.81280327,0.7936282
0.77743196,0.7539274
0.75207615,0.733037
0.7410236,0.7331078
0.7678965,0.78873235
0.863066,0.8623408
0.82060504,0.8089365
0.73679763,0.7287929
0.68179804,0.6783956
0.7190888,0.7128058
0.695575,0.68540704
0.6258851,0.6198249
0.6146623,0.61173886
0.5764583,0.57674724
0.5341211,0.54445183
0.52859485,0.534658
0.5783623,0.5892603
0.67955345,0.69600123
0.73237044,0.76179564
0.7460081,0.7709127
0.74797404,0.7683318
0.7399555,0.7605967
0.74603903,0.7562793
0.7335933,0.7433888
0.70096195,0.71028733
0.66503346,0.6689586
0.6360089,0.6423304
0.6252195,0.6341069
0.6473246,0.6699086
0.7492588,0.74830323
0.71436745,0.7152984
0.64102435,0.6466457
0.58946127,0.6060138
0.62795943,0.64140373
0.6142908,0.62235034
0.54588574,0.54948175
0.53148955,0.54796714
0.49862602,0.5173821
0.4683321,0.48551476
0.4746943,0.48912555
0.53662884,0.5340527
0.65134937,0.63667756
0.71741694,0.6993228
0.73470783,0.70861447
0.7286862,0.7094111
0.70823747,0.6955113
0.69915086,0.68878824
0.68011075,0.67643386
0.64186025,0.63283116
0.5988265,0.59459984
0.5737493,0.5672969
0.559059,0.5592787
0.5935789,0.5940102
0.6953738,0.68308175
0.6701108,0.6577325
0.60814536,0.6015375
0.5654831,0.56264716
0.61017317,0.61643326
0.5940123,0.59619635
0.5226506,0.52554923
0.4972793,0.5008694
0.4517533,0.46656778
0.4117536,0.42476615
0.406862,0.40965754
0.42879683,0.4167828
0.46415257,0.44770843
0.4927437,0.48008588
0.5442294,0.5202889
0.57946134,0.5525808
0.58648914,0.55784166
0.59819186,0.5661413
0.6102351,0.5720373
0.5535637,0.5113018
0.50936896,0.4771209
0.4785952,0.45124406
0.46511233,0.45330936
0.49460128,0.50283736
0.5974333,0.5932695
0.593842,0.5790271
0.5473718,0.5443052
0.5179912,0.52800715
0.583517,0.5854638
0.5864272,0.57359946
0.5235329,0.51309437
0.50955474,0.49817353
0.47207823,0.45919356
0.434385,0.42074624
0.42105693,0.40089995
0.43275964,0.40169573
0.45461705,0.40519774
0.46692348,0.415561
0.50628847,0.45975372
0.54198486,0.49616745
0.55820763,0.50447464
0.5709784,0.51327753
0.57737154,0.5168348
0.5148024,0.449213
0.4678987,0.408726
0.44779047,0.38981703
0.44299176,0.3911908
0.48508123,0.45072094
0.6042599,0.56574327
0.6105447,0.5806768
0.57311463,0.5422771
0.53675264,0.51857007
0.5875108,0.5708988
0.5813189,0.56086445
0.52330077,0.51313156
0.5147095,0.5223711
0.48223296,0.4926723
0.455035,0.46834362
0.4655922,0.47911024
0.53048337,0.53992
0.64046705,0.63371795
0.7007453,0.7032933
0.73094624,0.71531713
0.7428812,0.7291452
0.7399555,0.73055965
0.7492124,0.73427886
0.7379741,0.7310701
0.7091972,0.6999247
0.67268044,0.6660981
0.6517518,0.6473362
0.6452503,0.64415526
0.66757214,0.69787407
0.7653733,0.768385
0.73172027,0.73413694
0.6539809,0.66831326
0.59800607,0.61198574
0.6388417,0.6503199
0.6242443,0.6275445
0.55376494,0.56269777
0.5375886,0.5440945
0.5007777,0.5143874
0.46994203,0.48280084
0.4735488,0.48043376
0.52738744,0.53903973
0.63145787,0.6516831
0.68743265,0.7229066
0.715482,0.7310057
0.72396487,0.72697777
0.7218442,0.71926045
0.7278503,0.71649486
0.7174789,0.70550317
0.68523455,0.6773704
0.65472394,0.64383703
0.63534325,0.62532353
0.6263495,0.6259723
0.65799016,0.67189986
0.7620606,0.7563905
0.7331289,0.7261618
0.6619839,0.6557263
0.6127583,0.61146426
0.6563338,0.65155965
0.6415042,0.6337728
0.57689166,0.5665274
0.5660249,0.5588951
0.5344926,0.53290147
0.5075269,0.50151503
0.5173411,0.50474334
0.5807152,0.56188786
0.6852655,0.6742426
0.74433625,0.7397404
0.77986234,0.75276834
0.7803112,0.74856275
0.76546615,0.7380965
0.7667664,0.7330716
0.74797404,0.7250154
0.7188411,0.6902486
0.6781138,0.65648955
0.65555984,0.6347387
0.6467983,0.63403857
0.6802191,0.68186086
0.80591476,0.777778
0.7901873,0.7576689
0.7213179,0.68939924
0.6722935,0.6427709
0.7180826,0.69512534
0.7085161,0.67660093
0.65003353,0.6121453
0.6393835,0.62430364
0.6112413,0.5972124
0.5823096,0.5686549
0.59060675,0.5722714
0.6549871,0.63210416
0.76082224,0.74447876
0.81905705,0.8088443
0.8474779,0.81824964
0.8438557,0.81258553
0.82427377,0.8001707
0.8238403,0.79149455
0.80524915,0.77504426
0.7699862,0.73892796
0.72998655,0.7000616
0.70735514,0.67894614
0.6977267,0.6750915
0.726937,0.7193269
0.8426018,0.81192464
0.8275555,0.7955168
0.762494,0.72724915
0.713191,0.68018234
0.75737023,0.7270989
0.74572945,0.70470744
0.6833615,0.63863504
0.6755597,0.6600258
0.6468912,0.6316034
0.6193217,0.6061779
0.626721,0.61487913
0.6918444,0.6741392
0.7900016,0.7822811
0.8385925,0.85141027
0.8654344,0.86334074
0.86281836,0.85715216
0.8447225,0.8376915
0.8361777,0.8305326
0.8174472,0.81136495
0.77371687,0.77288324
0.73274195,0.73200774
0.7031291,0.7073953
0.688702,0.70469594
0.7202188,0.74680066
0.8203419,0.8275559
0.8156825,0.8042797
0.75398016,0.73752093
0.71162754,0.69822216
0.7611318,0.7446371
0.74418145,0.71806085
0.67785066,0.65171397
0.67446065,0.65744156
0.6351575,0.62197113
0.6002661,0.58780086
0.5920619,0.5764485
0.61545175,0.5981469
0.6526187,0.6387002
0.67716956,0.67181206
0.7250485,0.71229273
0.74433625,0.7303876
0.7295376,0.72485775
0.72247887,0.72704405
0.72363985,0.72907096
0.66210777,0.6677363
0.61326915,0.6208032
0.5872786,0.58855546
0.5753437,0.58396685
0.60520416,0.6272299
0.712386,0.7157524
0.7193984,0.7097184
0.6759002,0.66265285
0.6421079,0.6346509
0.705513,0.69098395
0.7022468,0.6749536
0.6461791,0.6140537
0.6356219,0.6273314
0.599972,0.59092647
0.56367195,0.55848634
