true,forecasted
0.4557221,0.43386605
0.43341586,0.41466257
0.43668774,0.4165049
0.46009275,0.4445361
0.5294144,0.513435
0.69004357,0.6896565
0.8210329,0.83731
0.85895,0.87862295
0.86486316,0.8782515
0.8773919,0.8868124
0.8856317,0.89841855
0.87333,0.8852353
0.8583814,0.8761479
0.83746153,0.85234827
0.81023335,0.84305114
0.7967365,0.850116
0.86383665,0.90987736
0.9097184,0.9265803
0.872719,0.88111883
0.7904033,0.7936981
0.71463835,0.71615326
0.65779924,0.6428034
0.57483226,0.556719
0.5055743,0.48721626
0.46535683,0.4469769
0.44009224,0.42524564
0.4456054,0.42605206
0.46952796,0.45066756
0.5322537,0.516157
0.69713,0.6904224
0.8266019,0.8418522
0.8694413,0.883774
0.87598723,0.88500184
0.8871597,0.8920643
0.8955301,0.90554714
0.8861555,0.8918627
0.8734897,0.8819798
0.8441875,0.85649514
0.8217833,0.84589666
0.804322,0.84896433
0.8631363,0.9077298
0.91109353,0.93341297
0.879026,0.895221
0.7934626,0.80863374
0.7218541,0.73661256
0.66489965,0.6646187
0.57930493,0.5774259
0.51417285,0.50862336
0.47388896,0.455036
0.45484963,0.43304095
0.45644593,0.43430966
0.47848055,0.4567904
0.5428298,0.5192122
0.70334697,0.6918094
0.8349027,0.8381115
0.8696329,0.88030744
0.876269,0.87975323
0.8845457,0.8860502
0.8902354,0.8985802
0.87828755,0.88287926
0.86099744,0.8691276
0.8379165,0.8434275
0.81613994,0.8299391
0.7967126,0.8270217
0.85046995,0.87395376
0.8977518,0.90564334
0.86650205,0.8764152
0.79036164,0.79657435
0.720302,0.7293104
0.6629583,0.6610987
0.58105236,0.5735772
0.52494943,0.50260997
0.48220012,0.46300396
0.45763278,0.44240433
0.46145597,0.44541112
0.4852916,0.47112697
0.54404753,0.5349159
0.70184547,0.69350564
0.83150315,0.8321446
0.8760361,0.876118
0.88975054,0.88170725
0.90039223,0.88543415
0.91152525,0.89293087
0.89847004,0.872447
0.8652368,0.84327805
0.83302265,0.8077951
0.8086037,0.79739076
0.8002421,0.79359376
0.85322404,0.8384555
0.88189566,0.8760132
0.8390189,0.8356242
0.7473651,0.7461866
0.6673076,0.66958207
0.61212605,0.6144697
0.53881836,0.5337275
0.4687834,0.45997873
0.41384798,0.40967232
0.3826662,0.3819984
0.36835834,0.3733932
0.36632085,0.3725767
0.36550245,0.3718484
0.38209596,0.39126503
0.4486142,0.46582887
0.531149,0.54307264
0.60863686,0.6075154
0.65224034,0.6366729
0.6679961,0.65194154
0.6473215,0.63991606
0.6033806,0.5932467
0.5654236,0.5615228
0.55505604,0.5524576
0.555547,0.56205285
0.61751825,0.62434113
0.66602325,0.6753805
0.6285806,0.63405263
0.55213416,0.55021465
0.49608934,0.49806634
0.47316805,0.47136942
0.4018188,0.40545747
0.3392021,0.3413184
0.28895736,0.29443875
0.26849267,0.2716263
0.2629714,0.25896865
0.26464787,0.2550316
0.26232257,0.23956747
0.26448572,0.22138463
0.31093118,0.27019542
0.3917429,0.34592527
0.4782837,0.4277658
0.5377968,0.48280814
0.5843956,0.5291523
0.56684494,0.52206355
0.5150568,0.47603905
0.47763827,0.43779585
0.46254194,0.42181632
0.46339074,0.43758598
0.53022724,0.50692266
0.615474,0.5734606
0.58703125,0.5579824
0.5330919,0.5116757
0.5023369,0.483732
0.50809395,0.48067638
0.45064023,0.41387305
0.40004346,0.34663248
0.3617698,0.33101755
0.3448801,0.31686676
0.35070565,0.3272415
0.38473904,0.36618745
0.46857622,0.44787484
0.6376944,0.6394638
0.7733344,0.78725624
0.8241903,0.8410102
0.85266286,0.8508437
0.88051575,0.867022
0.891121,0.8861492
0.8793654,0.87374747
0.8508098,0.8594987
0.8149585,0.8345804
0.7883618,0.8155239
0.7658389,0.8058164
0.8144655,0.84821343
0.8829483,0.8801033
0.85753685,0.8517498
0.76944995,0.7759161
0.7001656,0.7048326
0.65856403,0.6373742
0.57833,0.5465504
0.5226865,0.4729798
0.4794055,0.4482542
0.4553487,0.42607707
0.45695198,0.4279208
0.47659507,0.45614737
0.54278225,0.52625763
0.6851211,0.6905637
0.79252684,0.82900983
0.82878464,0.8699406
0.83573306,0.8680074
0.83849007,0.87852556
0.8467333,0.88623834
0.8344834,0.8684324
0.812617,0.8581086
0.78391814,0.828808
0.75120586,0.81624246
0.7286818,0.8088573
0.78248334,0.8620409
0.8658782,0.919857
0.8504981,0.8938031
0.773858,0.80087113
0.7080298,0.72147846
0.6494689,0.65447015
0.5660839,0.572774
0.502688,0.5043229
0.4607461,0.45280004
0.44304252,0.4338395
0.4497029,0.43664506
0.4747772,0.46843386
0.5415195,0.53687483
0.6953367,0.68913245
0.8147968,0.8195243
0.8469373,0.8566784
0.84708685,0.8550273
0.8573564,0.86003006
0.86196065,0.8677738
0.8520077,0.85303175
0.8346665,0.8378065
0.80581087,0.8101857
0.7836398,0.79782885
0.7632927,0.7961724
0.82143533,0.8585271
0.9056416,0.92236507
0.8877581,0.90347207
0.8117952,0.8069457
0.73506045,0.71867526
0.6753148,0.65065175
0.5845501,0.57002467
0.52172846,0.50496626
0.4813056,0.46032217
0.46565548,0.43690163
0.45688352,0.4360086
0.4812119,0.45695782
0.54410744,0.51374376
0.71681523,0.6889875
0.84220177,0.8387315
0.89242625,0.88440293
0.91422826,0.8910347
0.9359505,0.90106577
0.9565465,0.9251472
0.9483121,0.91814935
0.92797464,0.9025272
0.90991527,0.8794485
0.8941352,0.8638292
0.8765591,0.866043
0.898032,0.90601116
0.929155,0.914796
0.89091396,0.8755516
0.79718506,0.79832494
0.7251377,0.7289136
0.66261196,0.6610795
0.5725601,0.5690662
0.50454915,0.49096718
0.45458704,0.44030595
0.4317117,0.4177454
0.43639407,0.42184874
0.46276873,0.45145005
0.53927416,0.52554053
0.7006057,0.69902635
0.8197897,0.84473467
0.8624532,0.8877931
0.8720154,0.8898201
0.8853778,0.89538634
0.8969451,0.90488374
0.8821819,0.87977755
0.85357136,0.8529459
0.8164449,0.81718856
0.78398955,0.80592674
0.7511725,0.8003421
0.7902497,0.84775275
0.85308105,0.8929422
0.82295436,0.847893
0.73903614,0.75118035
0.6613517,0.6757653
0.60069907,0.6165187
0.51659703,0.5309402
0.44828835,0.45187226
0.39914396,0.39116153
0.3679255,0.36246264
0.36166126,0.35152486
0.35999152,0.3486181
0.3606388,0.33884925
0.37948376,0.3598611
0.44191217,0.43801472
0.5246215,0.52206314
0.59792334,0.590821
0.6403249,0.6241428
0.6569628,0.6498574
0.6416942,0.6343986
0.6008612,0.5883561
0.5626447,0.55309355
0.5439466,0.53785783
0.5302678,0.54368305
0.5714149,0.5983468
0.6433796,0.64587736
0.61014485,0.60631275
0.5305797,0.5374091
0.48116302,0.49635926
0.45922795,0.4755006
0.40017027,0.40816906
0.33791503,0.34102595
0.29454055,0.28724787
0.2713373,0.26368073
0.26465058,0.25743797
0.26394612,0.2634737
0.25477734,0.2624575
0.2438402,0.23332377
0.27656874,0.26118198
0.35777164,0.33304077
0.43068835,0.40888232
0.47434095,0.4615499
0.51463366,0.5011586
0.49319515,0.48791438
0.45106137,0.4391008
0.42131913,0.40393022
0.40639442,0.38689205
0.41988274,0.3990669
0.48638454,0.47849357
0.5918825,0.5742873
0.581528,0.5607393
0.53327566,0.50525284
0.50040346,0.46445438
0.502631,0.46898094
0.4431641,0.40956324
0.3906418,0.35694328
0.35183078,0.33207706
0.33873907,0.32109755
0.34606045,0.33410332
0.38088185,0.37624162
0.47065943,0.46169972
0.6572504,0.65151656
0.78392154,0.79477787
0.8275397,0.84489876
0.8416962,0.8531679
0.8577542,0.86810654
0.87742364,0.8847779
0.8660728,0.8753985
0.8521975,0.860457
0.8313214,0.8357953
0.80886316,0.8168206
0.7822052,0.8080486
0.80922574,0.8496787
0.87376845,0.88051355
0.8490597,0.85823965
0.762086,0.7800195
0.6886058,0.7007006
0.62718385,0.6282564
0.5447959,0.5368566
0.48417726,0.4640043
0.44917837,0.4260141
0.43129528,0.40763038
0.43717262,0.4113979
0.46904376,0.4448267
0.5370565,0.5156617
0.6921067,0.6809931
0.80450714,0.81813186
0.84590244,0.8599923
0.8494806,0.860614
0.8637993,0.86873746
0.87721777,0.87859035
0.86914647,0.8614427
0.85980064,0.8482234
0.8421135,0.82191956
0.8228321,0.8077366
0.7987215,0.803036
0.82495743,0.8534755
0.8917941,0.9006233
0.8791744,0.8757229
0.8053771,0.78619146
0.71907526,0.70249355
0.65182304,0.63270783
0.56751716,0.54931337
0.503142,0.480202
0.46368825,0.45134506
0.4420975,0.4303469
0.44576892,0.43075356
0.46774453,0.4583168
0.5352361,0.5230008
0.69463605,0.68602765
0.8044914,0.82613283
0.84415615,0.8687739
0.843277,0.8721035
0.85861987,0.87921774
0.8678621,0.8940268
0.85012853,0.8789953
0.8371726,0.86633116
0.81395495,0.83826625
0.7936752,0.8240316
0.7676649,0.8172362
0.8020514,0.86858904
0.8816209,0.91915107
0.8727305,0.9005301
0.7873927,0.8106298
0.7150561,0.7307887
0.6536364,0.66270417
0.5655876,0.57866293
0.50022376,0.50993645
0.46405694,0.4498972
0.44317785,0.42860156
0.44241554,0.43026546
0.4658433,0.45557994
0.5368716,0.5186934
0.69277424,0.68508875
0.8026158,0.824017
0.8424317,0.8681488
0.84572816,0.87085456
0.8659176,0.8788854
0.88070315,0.8950392
0.86613154,0.881088
0.85325897,0.8660653
0.83053005,0.8399301
0.8106277,0.8229357
0.788948,0.81387806
0.8167773,0.85578656
0.8863091,0.89703614
0.87370247,0.8749896
0.7908319,0.79417276
0.71034473,0.722213
0.6581499,0.65579194
0.5702364,0.5695625
0.5078093,0.49866077
0.46950814,0.45789382
0.4537551,0.43753886
0.45961893,0.44000018
0.4824152,0.46643388
0.555742,0.52717394
0.7110219,0.6881808
0.8162625,0.8277552
0.85487646,0.87516516
0.8643004,0.8815821
0.88344395,0.88439137
0.89301455,0.89272153
0.8790765,0.8694855
0.8453408,0.8412457
0.81302774,0.80566734
0.7873377,0.7897962
0.7659225,0.7735331
0.7909177,0.80123526
0.86626625,0.8457444
0.85760623,0.8270176
0.77180654,0.7491499
0.6938762,0.6781784
0.6428423,0.6243381
0.5665979,0.54358727
0.5099738,0.47192642
0.46535593,0.44464466
0.4379676,0.41525015
0.4270622,0.40415874
0.4196332,0.39899582
0.42328566,0.39529443
0.44662315,0.4132909
0.4992227,0.48644325
0.5809084,0.56191665
0.6507582,0.6218142
0.6758093,0.6485049
0.6894598,0.65641224
0.6581132,0.6413967
0.6082477,0.5956727
0.5650831,0.5609103
0.5514407,0.54923195
0.55184317,0.5427388
0.6092172,0.5866005
0.70064914,0.6561167
0.6762789,0.6454736
0.5901412,0.5713015
0.53581333,0.5247052
0.51670736,0.49985218
0.45835954,0.43733612
0.40940323,0.3790105
0.36706427,0.37354177
0.33716035,0.3500188
0.3187631,0.3230792
