true,forecasted
0.4793316,0.476679
0.429476,0.42502376
0.4081278,0.40709528
0.44370627,0.44163284
0.5473253,0.5504431
0.76809055,0.7751251
0.85547715,0.85325384
0.87763333,0.8609418
0.8945387,0.8657793
0.90218335,0.8732645
0.91326696,0.88585216
0.9186971,0.8910162
0.8984107,0.8764779
0.89113283,0.87697864
0.8997813,0.9016427
0.8928123,0.93065876
0.9356631,0.9438071
0.9361375,0.9373057
0.90879655,0.9172154
0.8527993,0.84039605
0.78419614,0.7802961
0.7154385,0.7053164
0.6517111,0.6381291
0.5633951,0.5534157
0.5080873,0.5026448
0.45220307,0.44521275
0.42572537,0.4254345
0.45787036,0.4520346
0.5569777,0.5700171
0.78104943,0.79269564
0.8743019,0.86304736
0.89588726,0.8776671
0.91494095,0.88799524
0.92949116,0.89781415
0.94053894,0.91358393
0.93721026,0.92296696
0.9122907,0.9077487
0.8899635,0.89893305
0.88698786,0.91736645
0.87023693,0.94325703
0.92109364,0.94565463
0.9240197,0.9088222
0.90122086,0.8882296
0.843147,0.8435544
0.7806303,0.78482634
0.7101573,0.70563483
0.64620376,0.6335517
0.5652925,0.5488052
0.50991017,0.49904457
0.4564225,0.44079533
0.42710978,0.4233362
0.45764422,0.4500077
0.55812764,0.56245524
0.7729443,0.77798414
0.8662271,0.8495258
0.8894009,0.88656
0.91804904,0.8998978
0.94099396,0.9248596
0.9599677,0.93893343
0.96084464,0.94570893
0.93756324,0.933245
0.9243037,0.92060727
0.92166173,0.9436559
0.91079324,0.9642525
0.9326185,0.95142555
0.92013943,0.91272724
0.89677805,0.8932538
0.8409242,0.8432418
0.77626467,0.78151023
0.7046224,0.71004236
0.6409805,0.6349097
0.54934406,0.5485153
0.49610737,0.5027562
0.4436456,0.4418684
0.426823,0.42541382
0.45616052,0.45569405
0.5577085,0.5590276
0.762517,0.77321637
0.8374135,0.85155624
0.85385,0.8662857
0.8613899,0.8730823
0.8643242,0.8749413
0.8720957,0.88367
0.87440675,0.8824382
0.85890234,0.85987014
0.8483041,0.84867036
0.85260075,0.8671846
0.84913695,0.87574214
0.8820376,0.89594483
0.87096775,0.88705623
0.8442115,0.8650272
0.7948137,0.7962786
0.7436812,0.7399143
0.6815175,0.67398405
0.6171199,0.60744524
0.530602,0.5243581
0.47228268,0.46620542
0.40909305,0.41279617
0.37861928,0.38001713
0.3838784,0.39210424
0.41723132,0.4295733
0.50578177,0.5095389
0.59651357,0.58547163
0.66645706,0.6586353
0.7247516,0.70359015
0.7569628,0.72481585
0.7846374,0.7479009
0.7803545,0.72387344
0.73187226,0.6772221
0.6934284,0.64969635
0.68587756,0.6495972
0.68040884,0.66861457
0.73880816,0.72190726
0.7441638,0.7371626
0.7276445,0.71723413
0.6759715,0.663952
0.6182506,0.6007394
0.55241627,0.53584087
0.48590624,0.47392103
0.41490373,0.40232384
0.38059664,0.38449535
0.33440888,0.33349314
0.30369794,0.29966378
0.30477348,0.29501027
0.3295579,0.31312594
0.3848602,0.36612126
0.4684052,0.45214626
0.5477252,0.5295309
0.61454964,0.5957553
0.6397753,0.6278529
0.6508865,0.64924616
0.62413853,0.62204015
0.5811333,0.5769399
0.56113094,0.558025
0.56685334,0.56512415
0.58721423,0.6061122
0.67042553,0.65735674
0.70802,0.7039281
0.7087315,0.6989264
0.6704559,0.64305216
0.60335296,0.5844026
0.53711045,0.5206461
0.4714636,0.45445487
0.4008996,0.38849282
0.37133038,0.3784978
0.3215851,0.33331314
0.3039158,0.3110505
0.34532702,0.34500247
0.4720786,0.4692742
0.70857704,0.69155145
0.8051224,0.7812989
0.8364593,0.80797595
0.8534502,0.8152434
0.8634058,0.8291934
0.86660486,0.8457464
0.88102823,0.8401065
0.86455035,0.8281788
0.8555406,0.83006495
0.86287355,0.84869903
0.8526862,0.86429715
0.89464074,0.8829729
0.8971118,0.877336
0.8777409,0.8685559
0.81218785,0.81721807
0.7501455,0.7544175
0.67611766,0.6774454
0.6051731,0.61048776
0.52027404,0.52798164
0.46791983,0.4728251
0.41534498,0.41792342
0.39533433,0.39811182
0.43247923,0.42630365
0.5402736,0.5313021
0.7539623,0.74100924
0.848271,0.8200877
0.8800354,0.8441798
0.9039042,0.8545034
0.9221471,0.87089676
0.9394027,0.8813117
0.9443447,0.8830786
0.9243478,0.87077814
0.9151699,0.862473
0.9178339,0.88075453
0.9047619,0.8901966
0.9431368,0.89587104
0.9408423,0.879238
0.915054,0.8706211
0.8564975,0.8135141
0.7903957,0.7521185
0.72216755,0.6794157
0.6491463,0.6125535
0.5594597,0.5282805
0.503923,0.49359637
0.4484497,0.43649116
0.42789853,0.41610092
0.45785657,0.44613528
0.5586875,0.56253785
0.76747274,0.779446
0.8567016,0.8520456
0.87744033,0.87536925
0.90051764,0.88258255
0.9129774,0.89820653
0.9195989,0.9107583
0.9169652,0.91547686
0.9046957,0.90557534
0.88930714,0.89582855
0.89275163,0.9157993
0.87978166,0.9327697
0.9124286,0.93611956
0.9202139,0.9084275
0.9002722,0.8972744
0.84164673,0.8446921
0.7807571,0.7832026
0.71164376,0.7092254
0.64649606,0.6394596
0.55624133,0.55422336
0.5015706,0.4990185
0.4470708,0.4411625
0.42672646,0.4233187
0.46013176,0.45469943
0.5623002,0.5624725
0.7682753,0.76673555
0.8493934,0.8406389
0.85511035,0.8453668
0.85821563,0.84734344
0.8553475,0.8403239
0.85561776,0.849346
0.856743,0.8474789
0.8392695,0.8311517
0.8351356,0.82336855
0.85146177,0.8361329
0.8355437,0.83262247
0.88878596,0.86543316
0.9143784,0.88819766
0.90147734,0.87957144
0.8423362,0.81117713
0.77866673,0.7510974
0.7038419,0.6827052
0.64050335,0.61442316
0.55401856,0.53531295
0.5006743,0.49371183
0.44327605,0.43602958
0.41500303,0.41200605
0.44856277,0.4403621
0.55407095,0.54740375
0.7559755,0.7607584
0.83482116,0.84123397
0.85188097,0.8534726
0.86886626,0.8570218
0.8826305,0.852536
