true,forecasted
0.4793316,0.47019768
0.429476,0.41274503
0.4081278,0.38809142
0.44370627,0.42197594
0.5473253,0.5597533
0.76809055,0.76755154
0.85547715,0.85219693
0.87763333,0.8618293
0.8945387,0.8642079
0.90218335,0.8644606
0.91326696,0.8738042
0.9186971,0.8905532
0.8984107,0.8779861
0.89113283,0.87259746
0.8997813,0.89015776
0.8928123,0.9123429
0.9356631,0.934246
0.9361375,0.92767006
0.90879655,0.88578093
0.8527993,0.82401687
0.78419614,0.760685
0.7154385,0.6978167
0.6517111,0.63699436
0.5633951,0.5470142
0.5080873,0.49705052
0.45220307,0.441056
0.42572537,0.41989806
0.45787036,0.45812443
0.5569777,0.6028801
0.78104943,0.79585737
0.8743019,0.8663573
0.89588726,0.8808606
0.91494095,0.8886995
0.92949116,0.89338744
0.94053894,0.90569896
0.93721026,0.92009795
0.9122907,0.9058416
0.8899635,0.9025526
0.88698786,0.90820146
0.87023693,0.9309542
0.92109364,0.9378204
0.9240197,0.9214177
0.90122086,0.87296295
0.843147,0.8219859
0.7806303,0.76674944
0.7101573,0.7003788
0.64620376,0.63042647
0.5652925,0.54094183
0.50991017,0.49793673
0.4564225,0.442262
0.42710978,0.41930827
0.45764422,0.44767573
0.55812764,0.5896361
0.7729443,0.79951763
0.8662271,0.87717044
0.8894009,0.8936619
0.91804904,0.9086697
0.94099396,0.91306406
0.9599677,0.92993313
0.96084464,0.93983555
0.93756324,0.92161906
0.9243037,0.9207927
0.92166173,0.9275929
0.91079324,0.9538679
0.9326185,0.9550202
0.92013943,0.91538686
0.89677805,0.85985816
0.8409242,0.8181799
0.77626467,0.76811165
0.7046224,0.69995874
0.6409805,0.62685746
0.54934406,0.53700423
0.49610737,0.50906014
0.4436456,0.45400435
0.426823,0.4320693
0.45616052,0.46316168
0.5577085,0.588294
0.762517,0.7589602
0.8374135,0.8335147
0.85385,0.85676277
0.8613899,0.8755653
0.8643242,0.87718487
0.8720957,0.89022833
0.87440675,0.8971637
0.85890234,0.87425697
0.8483041,0.86890376
0.85260075,0.8727431
0.84913695,0.9000238
0.8820376,0.9222534
0.87096775,0.9079666
0.8442115,0.8647554
0.7948137,0.806502
0.7436812,0.7492972
0.6815175,0.683471
0.6171199,0.6205004
0.530602,0.5330522
0.47228268,0.48637027
0.40909305,0.42249122
0.37861928,0.38954356
0.3838784,0.39232552
0.41723132,0.42758545
0.50578177,0.50067025
0.59651357,0.58413
0.66645706,0.65259457
0.7247516,0.7116621
0.7569628,0.7284747
0.7846374,0.75206417
0.7803545,0.72747093
0.73187226,0.6767185
0.6934284,0.66200554
0.68587756,0.6506735
0.68040884,0.6933708
0.73880816,0.7367444
0.7441638,0.73816633
0.7276445,0.7215336
0.6759715,0.6774564
0.6182506,0.6189269
0.55241627,0.5583756
0.48590624,0.4944459
0.41490373,0.41838282
0.38059664,0.3947971
0.33440888,0.32810852
0.30369794,0.2928998
0.30477348,0.2949541
0.3295579,0.31816733
0.3848602,0.39398044
0.4684052,0.4976735
0.5477252,0.5702062
0.61454964,0.6274805
0.6397753,0.6500753
0.6508865,0.6739251
0.62413853,0.64905727
0.5811333,0.60362375
0.56113094,0.5816841
0.56685334,0.5805519
0.58721423,0.6198622
0.67042553,0.6766999
0.70802,0.69971776
0.7087315,0.6933651
0.6704559,0.64725596
0.60335296,0.5808413
0.53711045,0.5202355
0.4714636,0.46306846
0.4008996,0.3849392
0.37133038,0.35751718
0.3215851,0.30144283
0.3039158,0.2799457
0.34532702,0.32247818
0.4720786,0.45690817
0.70857704,0.65472287
0.8051224,0.7540091
0.8364593,0.7794218
0.8534502,0.79170376
0.8634058,0.80006856
0.86660486,0.8213213
0.88102823,0.8322326
0.86455035,0.8229954
0.8555406,0.8133195
0.86287355,0.82788587
0.8526862,0.8459017
0.89464074,0.8706057
0.8971118,0.87213707
0.8777409,0.84302425
0.81218785,0.7845178
0.7501455,0.72262484
0.67611766,0.6540924
0.6051731,0.5981554
0.52027404,0.5040655
0.46791983,0.47651592
0.41534498,0.4128423
0.39533433,0.3862567
0.43247923,0.41597483
0.5402736,0.5484576
0.7539623,0.7550191
0.848271,0.844458
0.8800354,0.85808706
0.9039042,0.8659507
0.9221471,0.87504435
0.9394027,0.88700706
0.9443447,0.8995094
0.9243478,0.8889304
0.9151699,0.8811046
0.9178339,0.8979575
0.9047619,0.91598487
0.9431368,0.9292445
0.9408423,0.91525036
0.915054,0.8725413
0.8564975,0.824268
0.7903957,0.76562685
0.72216755,0.69802374
0.6491463,0.6345473
0.5594597,0.54047906
0.503923,0.51085705
0.4484497,0.44879252
0.42789853,0.4224917
0.45785657,0.4477433
0.5586875,0.579278
0.76747274,0.7831589
0.8567016,0.86632884
0.87744033,0.8799023
0.90051764,0.8929617
0.9129774,0.89954543
0.9195989,0.91223556
0.9169652,0.92089385
0.9046957,0.9052738
0.88930714,0.8991504
0.89275163,0.91162527
0.87978166,0.93471956
0.9124286,0.9428053
0.9202139,0.9198784
0.9002722,0.8727693
0.84164673,0.8287439
0.7807571,0.77346236
0.71164376,0.70648956
0.64649606,0.63967067
0.55624133,0.5468261
0.5015706,0.51124614
0.4470708,0.45210892
0.42672646,0.4298565
0.46013176,0.46791795
0.5623002,0.6016221
0.7682753,0.7790748
0.8493934,0.85165083
0.85511035,0.85982364
0.85821563,0.8676387
0.8553475,0.86718285
0.85561776,0.87536925
0.856743,0.8851808
0.8392695,0.86989856
0.8351356,0.8646007
0.85146177,0.8737571
0.8355437,0.89067733
0.88878596,0.9158999
0.9143784,0.9263896
0.90147734,0.8880266
0.8423362,0.82471395
0.77866673,0.75864166
0.7038419,0.69715995
0.64050335,0.63755184
0.55401856,0.5479773
0.5006743,0.50167614
0.44327605,0.44303355
0.41500303,0.41940638
0.44856277,0.4525983
0.55407095,0.5782164
0.7559755,0.7473948
0.83482116,0.82084197
0.85188097,0.83880264
0.86886626,0.8574904
0.8826305,0.8607915
0.8961769,0.8757936
0.90262187,0.87799793
0.88298905,0.85817766
0.8751817,0.85338473
0.87753683,0.85645497
0.8702673,0.8775356
0.89076054,0.8922676
0.8902641,0.8919333
0.8577247,0.85790014
0.80275065,0.8044674
0.7517119,0.7473286
0.6899398,0.68178254
0.6253354,0.6198499
0.5348876,0.52983135
0.4816454,0.49393222
0.42030904,0.42695013
0.38965327,0.39454064
0.40063486,0.40035847
0.4356507,0.43558326
0.52266777,0.50101453
0.61538523,0.5839342
0.69790435,0.65218896
0.75207317,0.70955515
0.7745659,0.7288976
0.7905363,0.75048953
0.7773264,0.72925603
0.7307167,0.68000257
0.69452876,0.6640846
0.6882272,0.6515569
0.6949893,0.6931292
0.7456861,0.73751044
0.75066394,0.74263906
0.7334249,0.72593415
0.68688416,0.6812032
0.6283745,0.62052083
0.56310827,0.56028086
0.5034514,0.49532685
0.4314092,0.42049992
0.3971407,0.40099013
0.34090626,0.33475548
0.30132347,0.29788458
0.30079398,0.2926852
0.32991365,0.31279904
0.38379568,0.39939007
0.4744834,0.50621915
0.5734225,0.5815272
0.65137464,0.6419309
0.68957853,0.66613686
0.6933181,0.6914951
0.6548357,0.66488564
0.5970486,0.6181574
0.57385266,0.5952138
0.57206285,0.5966276
0.5875617,0.6371473
0.66831034,0.69001013
0.7208521,0.69879985
0.7207969,0.68746436
0.67493457,0.64773387
0.6126771,0.58626646
0.5416801,0.5227025
0.47843534,0.4638836
0.40919507,0.38368946
0.38393632,0.37034583
0.3342048,0.3169853
0.31582677,0.297785
0.35870516,0.3456664
0.48762986,0.4863881
0.72113883,0.6791157
0.80846757,0.7716528
0.8176483,0.7928367
