true,forecasted
0.44397727,0.43271142
0.37843376,0.3691078
0.3382725,0.32922694
0.31800532,0.30938357
0.30721867,0.31468502
0.3353901,0.3355161
0.44924995,0.45760497
0.64356744,0.6399286
0.70798177,0.7106419
0.7454342,0.75009173
0.7588492,0.7647692
0.7504817,0.7762882
0.7572729,0.775912
0.7272999,0.75276256
0.7200713,0.74380976
0.73321605,0.7617017
0.7722642,0.8307846
0.86931837,0.94277513
0.9379148,0.96072114
0.8824952,0.8920344
0.8093853,0.81643647
0.7153101,0.7045116
0.5970043,0.5819545
0.5380975,0.5287225
0.45692897,0.45057425
0.39807364,0.37878573
0.36162165,0.3404723
0.33823714,0.31428868
0.33015922,0.3174661
0.34500897,0.3318233
0.45460308,0.45330766
0.66415954,0.6339925
0.72256446,0.7071457
0.772351,0.748798
0.7871847,0.76310396
0.78629357,0.771376
0.78275484,0.77364326
0.7698514,0.7534854
0.76783115,0.7434387
0.7792805,0.7637432
0.81459045,0.8324766
0.9055806,0.9383685
0.93079233,0.9613039
0.8709301,0.88605726
0.78451777,0.80754507
0.6919288,0.6996376
0.5662786,0.58695436
0.5115153,0.5332228
0.4295554,0.43060002
0.36444616,0.36046678
0.3261122,0.31931305
0.30598333,0.30416346
0.30435875,0.30734608
0.33323145,0.32421315
0.43947023,0.43217662
0.63249767,0.6195192
0.689471,0.68894196
0.7199201,0.72051316
0.72800124,0.738587
0.7287894,0.74022144
0.73286855,0.73939806
0.70791095,0.7186935
0.70471,0.70748484
0.71337026,0.72176373
0.752843,0.77190113
0.8429806,0.87362117
0.90534574,0.90050805
0.84791875,0.8551198
0.78201497,0.78194517
0.6976326,0.6663645
0.57578164,0.55315673
0.52371424,0.5126354
0.44690797,0.4397024
0.38485494,0.36360797
0.34623143,0.32192647
0.32767245,0.29701415
0.324523,0.30094317
0.3383594,0.3159758
0.45133778,0.4313368
0.6385135,0.6069445
0.6963265,0.68169653
0.75257283,0.7240914
0.75446117,0.73919755
0.7495231,0.73390186
0.7383021,0.7320166
0.70820695,0.70584047
0.69164896,0.6892942
0.6986202,0.69230455
0.7258651,0.72798306
0.80760634,0.8309896
0.87555295,0.8952879
0.8206706,0.82736564
0.7303722,0.73839366
0.6387226,0.633011
0.5493957,0.53566813
0.54307425,0.5139769
0.4719846,0.4416479
0.40187615,0.35831702
0.34449744,0.30671474
0.32077518,0.27957624
0.29788932,0.27365583
0.29020065,0.26030815
0.33593374,0.29228163
0.4105074,0.35531262
0.4642863,0.45403606
0.5463073,0.5497199
0.5996165,0.61097896
0.6116096,0.62188786
0.6188093,0.6310439
0.5967309,0.6147826
0.5736616,0.57956964
0.58153045,0.5710756
0.62207776,0.6135141
0.7091752,0.69450897
0.752872,0.7455633
0.70085925,0.6944628
0.6412126,0.609304
0.55831325,0.5376176
0.4917371,0.48870432
0.48698556,0.47756508
0.42152572,0.41261566
0.36240014,0.33963215
0.30349335,0.28581297
0.27804354,0.2583932
0.26963425,0.2522121
0.2653106,0.23343962
0.26955062,0.2519431
0.3128227,0.29528716
0.3490045,0.35427105
0.45161447,0.46023285
0.54038805,0.5386865
0.5822768,0.5713202
0.6199899,0.5946229
0.6069899,0.5754261
0.577017,0.5426433
0.5543016,0.5323097
0.57564974,0.5722367
0.66094893,0.68526477
0.7406634,0.7422352
0.6993505,0.72512764
0.6356246,0.6553151
0.56821525,0.55379355
0.47316846,0.47665495
0.45296562,0.4528134
0.39100587,0.38898498
0.33090556,0.3294838
0.29894128,0.297285
0.27870625,0.27496552
0.26929003,0.27986762
0.29443103,0.29686022
0.4028316,0.4207711
0.5751929,0.600387
0.6552999,0.68045574
0.7347345,0.73059595
0.76688856,0.75332683
0.7637069,0.7677959
0.7652318,0.772852
0.7518104,0.7469963
0.738463,0.7376223
0.7478599,0.75010943
0.791666,0.7980976
0.88580877,0.87370133
0.94077796,0.9238875
0.88014036,0.86358553
0.79587066,0.7832193
0.7048741,0.6721728
0.6022481,0.5543315
0.56080323,0.50540227
0.4602811,0.46896723
0.38642806,0.3882211
0.34500575,0.34045926
0.34084293,0.30950177
0.3444653,0.30707917
0.35393938,0.31582886
0.45275006,0.42048833
0.6197004,0.59353936
0.6961399,0.6804385
0.74539244,0.7300644
0.7517621,0.75109696
0.7564847,0.7532074
0.7513729,0.7537006
0.7333029,0.730606
0.7155868,0.70654905
0.72601634,0.71474016
0.7529524,0.76172745
0.83098435,0.8841371
0.9138193,0.93773603
0.86431265,0.86466455
0.78432155,0.79436
0.7016603,0.6923056
0.5872503,0.5755564
0.5318533,0.5286042
0.45824474,0.4480074
0.399843,0.3710388
0.35801214,0.3255467
0.33513916,0.3056391
0.32907185,0.3097947
0.3501176,0.3316211
0.44889608,0.43075565
0.62162733,0.6084316
0.70105875,0.6957904
0.75805783,0.72766364
0.7660939,0.7501333
0.7449163,0.75119585
0.75666165,0.7552626
0.7183244,0.7336082
0.7348985,0.71186805
0.7372791,0.7180107
0.7548118,0.7496168
0.8221183,0.8431306
0.90983665,0.9039089
0.84557676,0.8591802
0.76222706,0.78294754
0.67860395,0.682483
0.5540861,0.55777407
0.51050514,0.5112678
0.43941554,0.4315029
0.3878178,0.3605888
0.34860557,0.31931993
0.33504906,0.30016628
0.32852498,0.3031962
0.35309333,0.33530456
0.4433982,0.44742635
0.58208376,0.6224379
0.67135924,0.682441
0.75298136,0.7226502
0.7712058,0.7440243
0.77222556,0.7424226
0.77912927,0.74281
0.7529267,0.72799534
0.72777605,0.7155087
0.72606456,0.7306262
0.7505268,0.7713034
0.81128335,0.8618637
0.90202254,0.9096138
0.8662107,0.8681612
0.7865123,0.7899156
0.68495756,0.68377566
0.56925434,0.5682407
0.5241003,0.5260015
0.44686294,0.44217283
0.3897287,0.36381814
0.35223758,0.32182717
0.3335403,0.29768425
0.3258838,0.30438283
0.34158605,0.3222757
0.4326791,0.4308911
0.57752204,0.59976256
0.6626218,0.68633974
0.74262255,0.72585326
0.7624619,0.7435109
0.7626324,0.73868716
0.7645819,0.74108255
0.7314788,0.7167012
0.7244979,0.6983289
0.71643287,0.7004532
0.7422301,0.72209525
0.8130077,0.796819
0.87123567,0.8618983
0.82045186,0.8162171
0.7325662,0.7352678
0.64416575,0.6289039
0.5422378,0.52504843
0.5220092,0.5052432
0.44479117,0.44682115
0.3723504,0.3673975
0.3250538,0.31423822
0.30303332,0.2860857
0.28445506,0.28294316
0.28369585,0.270536
0.32975066,0.3038354
0.39642975,0.36525115
0.46335658,0.44866937
0.56969506,0.55118716
0.6108182,0.60450715
0.62701267,0.616923
0.62612474,0.6245191
0.6005527,0.5984687
0.5695889,0.55911034
0.5551606,0.55312824
0.5781655,0.5966361
0.6618111,0.701538
0.7548891,0.7694627
0.70391864,0.7365029
0.62235117,0.6448378
0.5499265,0.55555314
0.4764402,0.4890497
0.46639344,0.4754069
0.39858195,0.40329194
0.3353418,0.33466864
0.28789082,0.28739676
0.25853875,0.2585752
0.24177489,0.24855629
0.23987041,0.23392893
0.2589216,0.24760924
0.2937233,0.27267438
0.32442006,0.32200748
0.41693503,0.42857563
0.4906787,0.5111142
0.5364536,0.55226237
0.57608086,0.58329475
0.5772711,0.5667677
0.55019027,0.53241056
0.5373737,0.5219366
0.55965155,0.55655915
0.64429444,0.64944774
0.7199651,0.7317598
0.6769182,0.70305353
0.6166828,0.6234121
0.5392299,0.53465635
0.446538,0.45722437
0.41702187,0.4248405
0.3511245,0.3504507
0.29319248,0.29043278
0.25603592,0.2554873
0.23994441,0.23856877
0.23997337,0.24122071
0.26511756,0.27036196
0.37606603,0.38465676
0.56899375,0.5575541
0.63178027,0.6302335
0.6756089,0.6756569
0.68808126,0.69990844
0.69135296,0.70663255
0.6931481,0.70944226
0.6699309,0.6882974
0.65771586,0.67671037
0.67098606,0.6864268
0.7073995,0.71403205
0.77938986,0.7881138
0.84493655,0.86840034
0.80281293,0.8252129
0.72887945,0.73386925
0.6290265,0.631622
0.51996964,0.5244511
0.4766525,0.47725973
0.3976265,0.39052713
0.3390446,0.32319543
0.3065077,0.2844342
0.29241395,0.26429054
0.29742286,0.26579595
0.31660914,0.2909519
0.42353633,0.41143796
0.6091003,0.5845989
0.6587099,0.6635157
0.6992797,0.6943123
0.69792855,0.69949996
0.6935888,0.69956243
0.69149774,0.6991084
0.6673444,0.67246664
0.66055006,0.6562648
0.6685508,0.65772676
0.7002384,0.68577266
0.76395464,0.77172214
0.8669924,0.8886254
0.8479252,0.8407323
0.77634656,0.75442785
0.68016744,0.65195924
0.55657285,0.53020036
0.49799418,0.47082332
0.4237937,0.41207886
0.3666112,0.34514707
0.32973456,0.30524388
0.31101474,0.28523874
0.31320876,0.28878766
0.33435097,0.3159836
0.44508392,0.4266096
0.63911825,0.6049295
0.6974203,0.6808671
0.7319807,0.7141134
0.72634125,0.7209859
0.7128137,0.72146183
0.7085093,0.71941996
0.6821684,0.6956646
0.6757955,0.6757472
0.69335395,0.68010783
0.7312247,0.708959
0.7908714,0.800072
0.88022405,0.88822067
0.8538445,0.8489932
0.77906495,0.77154875
0.6765804,0.67920476
0.55261916,0.55352455
0.49261856,0.48909953
0.41401076,0.41509432
0.35556078,0.34331495
0.3148591,0.30098614
0.29942384,0.2853214
0.29230136,0.28938183
0.32251558,0.31226873
0.42493895,0.4229662
0.6095957,0.59868014
0.67477894,0.67298704
0.70571697,0.7053322
0.7040763,0.7177966
0.70178574,0.7150153
0.7123151,0.716432
0.6970568,0.6948751
0.6932446,0.67923075
0.70921385,0.6907952
0.74210465,0.7210593
0.79508567,0.79757816
0.88246953,0.86735106
0.8469472,0.8439194
0.7811013,0.76440233
0.6786297,0.65918905
0.5629104,0.53934956
0.50189,0.48844638
0.42602953,0.42054325
0.36443332,0.34689718
0.3230657,0.30187583
0.30847007,0.28221682
0.29322463,0.2818658
0.32016715,0.2907288
0.43397877,0.3831063
0.61276126,0.54598904
0.68053097,0.62713134
0.7356931,0.6829664
0.74904054,0.7051424
0.74983513,0.6983231
0.7454696,0.700765
0.72354245,0.6734004
0.7164843,0.65391624
0.71836305,0.6534211
0.7347473,0.67015076
0.7898291,0.749903
0.86447996,0.8331224
0.82930833,0.80184734
0.7499413,0.7070752
0.66077524,0.60844827
0.56428725,0.51233375
0.54281044,0.4938411
0.46320215,0.45298398
0.39551935,0.37078035
0.34763727,0.31588843
0.31971034,0.28595424
0.3007589,0.27332595
0.30002862,0.25957307
0.3388741,0.30134553
0.41004738,0.37649435
0.48808578,0.46580005
0.58970493,0.56599426
0.6408555,0.62091887
0.6567218,0.6260899
0.6631751,0.6311616
0.6389156,0.6017708
0.5986836,0.5600811
0.5779049,0.5449698
0.5970429,0.5740948
0.65661883,0.6693567
0.7411202,0.76565796
0.7272645,0.7356883
0.64958966,0.6376851
0.57426965,0.5592173
0.50426096,0.4932784
0.4939858,0.47775173
0.4332131,0.43290794
0.3760017,0.35820138
0.324449,0.30063072
0.29632905,0.26778996
0.2760104,0.25430098
0.27159664,0.23820895
0.2967537,0.24430542
0.3256393,0.28136405
0.38446888,0.34495366
0.48167104,0.45199066
0.54976887,0.5283231
0.566996,0.5592856
0.59356534,0.58061194
0.5854906,0.5567021
0.54540014,0.5080262
0.516447,0.48442587
0.5370777,0.50200856
0.6011414,0.59989154
0.7145123,0.7148529
0.7149723,0.7102274
0.65085715,0.64234716
0.5713325,0.55467343
0.487822,0.47184932
0.4671816,0.44126767
0.39806077,0.3960103
0.34634402,0.3333236
0.30466112,0.29464686
0.28682277,0.27351457
0.28596383,0.27403393
0.31963313,0.29606825
0.44565976,0.40177265
0.62886566,0.586459
0.70017403,0.6689849
0.75849533,0.73129445
0.77053344,0.75088656
0.7772184,0.7592358
0.786152,0.75877047
0.7802585,0.73015296
0.78203744,0.7176591
0.8047335,0.7272562
0.8465644,0.7608026
0.89129376,0.83102816
0.9492934,0.902246
0.9161806,0.87954164
0.8356201,0.7932647
0.7393959,0.6779152
0.6108568,0.5658183
0.5602885,0.51557237
0.47774306,0.47104153
0.41916442,0.39511576
0.37860748,0.34872636
0.35842392,0.32433814
0.35362414,0.3234798
0.3761111,0.34131092
0.4948544,0.44549382
0.68002266,0.6231854
0.7470653,0.71020234
0.79343534,0.7603428
0.79106766,0.78136134
0.7902409,0.7799149
0.793741,0.77910674
0.7637455,0.75621605
