true,forecasted
0.44397727,0.43281022
0.37843376,0.36873022
0.3382725,0.33076546
0.31800532,0.3054898
0.30721867,0.30413142
0.3353901,0.33808511
0.44924995,0.45805812
0.64356744,0.6590475
0.70798177,0.71902966
0.7454342,0.75150067
0.7588492,0.75712144
0.7504817,0.7532001
0.7572729,0.7653095
0.7272999,0.73689866
0.7200713,0.74064666
0.73321605,0.7598505
0.7722642,0.84056306
0.86931837,0.9447947
0.9379148,0.9520198
0.8824952,0.88793707
0.8093853,0.8022271
0.7153101,0.69412935
0.5970043,0.58547586
0.5380975,0.5418035
0.45692897,0.4496341
0.39807364,0.3815969
0.36162165,0.34201416
0.33823714,0.31606674
0.33015922,0.31423044
0.34500897,0.34637618
0.45460308,0.45919478
0.66415954,0.6562929
0.72256446,0.71703243
0.772351,0.7532184
0.7871847,0.7640986
0.78629357,0.76262987
0.78275484,0.7732283
0.7698514,0.7448566
0.76783115,0.7536958
0.7792805,0.7767223
0.81459045,0.86080974
0.9055806,0.9630177
0.93079233,0.967716
0.8709301,0.8979221
0.78451777,0.80763954
0.6919288,0.69693446
0.5662786,0.5857015
0.5115153,0.5490216
0.4295554,0.44313264
0.36444616,0.373943
0.3261122,0.3324142
0.30598333,0.30834764
0.30435875,0.30142218
0.33323145,0.33441
0.43947023,0.44999588
0.63249767,0.64994514
0.689471,0.71092504
0.7199201,0.73438764
0.72800124,0.7408877
0.7287894,0.7348877
0.73286855,0.74645257
0.70791095,0.71899986
0.70471,0.7152329
0.71337026,0.73076797
0.752843,0.80690545
0.8429806,0.90596014
0.90534574,0.90092933
0.84791875,0.83874434
0.78201497,0.7637787
0.6976326,0.67151564
0.57578164,0.5731087
0.52371424,0.5398911
0.44690797,0.43784973
0.38485494,0.37214467
0.34623143,0.3285332
0.32767245,0.29974687
0.324523,0.29055715
0.3383594,0.31721193
0.45133778,0.4200632
0.6385135,0.6000614
0.6963265,0.67035353
0.75257283,0.70708454
0.75446117,0.7174955
0.7495231,0.71524906
0.7383021,0.7156642
0.70820695,0.6786814
0.69164896,0.6799391
0.6986202,0.68730044
0.7258651,0.7636983
0.80760634,0.8563557
0.87555295,0.86399865
0.8206706,0.805007
0.7303722,0.72437656
0.6387226,0.63148445
0.5493957,0.5523496
0.54307425,0.5283896
0.4719846,0.43311906
0.40187615,0.36376873
0.34449744,0.31683213
0.32077518,0.28904027
0.29788932,0.26764774
0.29020065,0.28425902
0.33593374,0.35636204
0.4105074,0.4479744
0.4642863,0.5020507
0.5463073,0.5604908
0.5996165,0.60711616
0.6116096,0.62962854
0.6188093,0.6433763
0.5967309,0.6220318
0.5736616,0.5942174
0.58153045,0.5968026
0.62207776,0.64768654
0.7091752,0.71148735
0.752872,0.6935988
0.70085925,0.6582791
0.6412126,0.614265
0.55831325,0.5512796
0.4917371,0.49019572
0.48698556,0.47432134
0.42152572,0.41533482
0.36240014,0.33885828
0.30349335,0.2885465
0.27804354,0.25931585
0.26963425,0.24392167
0.2653106,0.2463076
0.26955062,0.2777575
0.3128227,0.34482032
0.3490045,0.4019533
0.45161447,0.5007842
0.54038805,0.55735224
0.5822768,0.5868531
0.6199899,0.61302394
0.6069899,0.58920634
0.577017,0.5629178
0.5543016,0.56654024
0.57564974,0.62290186
0.66094893,0.7289545
0.7406634,0.75102377
0.6993505,0.70512956
0.6356246,0.63200194
0.56821525,0.5389876
0.47316846,0.47488043
0.45296562,0.46133867
0.39100587,0.3776152
0.33090556,0.31828833
0.29894128,0.28250554
0.27870625,0.26374954
0.26929003,0.25916737
0.29443103,0.29991308
0.4028316,0.42553222
0.5751929,0.62139845
0.6552999,0.6836424
0.7347345,0.7135923
0.76688856,0.73383504
0.7637069,0.7343519
0.7652318,0.74417263
0.7518104,0.71797025
0.738463,0.72757953
0.7478599,0.7515967
0.791666,0.82854134
0.88580877,0.9138927
0.94077796,0.9077524
0.88014036,0.840341
0.79587066,0.7577232
0.7048741,0.65091246
0.6022481,0.5472567
0.56080323,0.5045674
0.4602811,0.43947825
0.38642806,0.37241432
