true,forecasted
0.2401181,0.24399674
0.21374194,0.21610777
0.20654401,0.20299321
0.21732871,0.2080137
0.26644543,0.25365973
0.41860238,0.40913957
0.6039918,0.58163553
0.72625905,0.71659833
0.77405816,0.7665761
0.7724966,0.7662079
0.7693246,0.7602668
0.70559245,0.6942937
0.69302654,0.67871684
0.7297482,0.70525134
0.74680364,0.71534187
0.7607603,0.73125625
0.7812073,0.7682785
0.79472476,0.7679803
0.76322466,0.7324943
0.6941977,0.66985995
0.59715986,0.58782077
0.48160258,0.4761397
0.38124633,0.38096848
0.30880344,0.30044404
0.25368437,0.25803813
0.22347745,0.22862488
0.21332715,0.21730825
0.22633223,0.22680451
0.28091452,0.27319306
0.4381466,0.42540702
0.61016494,0.59681404
0.73206615,0.7246887
0.77642494,0.77316827
0.7826225,0.7724367
0.78376925,0.76191086
0.7290894,0.69470394
0.7174751,0.68031657
0.7224039,0.7058753
0.7300898,0.71562237
0.7375561,0.73268294
0.76356626,0.7753874
0.7922848,0.7818245
0.7692514,0.7477884
0.69456375,0.6709527
0.6105309,0.5865959
0.49551043,0.47507176
0.39695978,0.3819137
0.30485067,0.29986092
0.25534356,0.25830856
0.23140737,0.23020242
0.2193539,0.21689728
0.23011419,0.23087071
0.27749854,0.27798623
0.43970817,0.4281927
0.6163137,0.5985738
0.7294798,0.72352415
0.7652742,0.7692487
0.76834863,0.7670309
0.75412357,0.7526193
0.68238825,0.685988
0.66528404,0.67239314
0.70037085,0.695228
0.71422994,0.7075892
0.72440463,0.7161741
0.7438757,0.74732804
0.7799385,0.7726357
0.75688076,0.7500724
0.6869998,0.6724831
0.5968671,0.58888876
0.480407,0.47799483
0.38873708,0.38423738
0.3118534,0.2997726
0.25439197,0.25429198
0.23162697,0.22510554
0.22340426,0.21377537
0.23211497,0.22678511
0.28923482,0.2722964
0.44266054,0.42306185
0.6125317,0.59114933
0.7341158,0.7151941
0.7788893,0.7621463
0.7785233,0.7525449
0.7704714,0.7337267
0.7074712,0.66512764
0.6883662,0.6481044
0.707276,0.6668657
0.6990533,0.6738519
0.6990533,0.68598175
0.72130585,0.7154045
0.76808023,0.7488416
0.74350965,0.7342683
0.67289674,0.6571396
0.59669626,0.5730589
0.48177338,0.46625286
0.39464182,0.37577888
0.32002732,0.29283655
0.27449736,0.25823304
0.23772691,0.22735627
0.21249756,0.20694318
0.21042357,0.20734277
0.23165138,0.23422909
0.30658305,0.31098223
0.38810268,0.39909172
0.48523813,0.4879193
0.55589986,0.5448881
0.5619754,0.53842294
0.5507271,0.51095486
0.5076127,0.4798873
0.4472477,0.4349077
0.42118874,0.41412374
0.4151132,0.40974954
0.42079836,0.4221833
0.4707203,0.48076034
0.563659,0.54886484
0.5717109,0.56632715
0.5176166,0.50299126
0.43951297,0.434417
0.37138882,0.3634105
0.3000439,0.29219732
0.22767422,0.22144379
0.18394983,0.17200862
0.14415382,0.14343159
0.12604919,0.12449467
0.12214523,0.12774383
0.13263713,0.14474815
0.16521081,0.17615147
0.19190416,0.22332756
0.2513176,0.31026027
0.3233945,0.37141544
0.36763126,0.3930901
0.3767568,0.38867098
0.37343842,0.37970242
0.31648937,0.33182728
0.2907964,0.3049335
0.3012639,0.3020478
0.29470038,0.3038844
0.35069785,0.35910982
0.45071247,0.4540999
0.47237948,0.49069867
0.45076126,0.44687006
0.39976576,0.39271212
0.32698125,0.32136604
0.2405573,0.25002012
0.17467792,0.18474145
0.13883467,0.14227933
0.12197443,0.11896823
0.118534066,0.1127239
0.13222232,0.13217153
0.20044407,0.19431987
0.37226722,0.34712952
0.54877514,0.5242173
0.69248974,0.6598017
0.749146,0.71955657
0.75522155,0.7176735
0.7508052,0.7120389
0.68817097,0.65923357
0.67148155,0.6495061
0.7112288,0.6734401
0.7267226,0.68503886
0.7374097,0.69078267
0.7490484,0.7107616
0.77657133,0.74292344
0.7432169,0.7277282
0.6778011,0.6554177
0.5902059,0.5749754
0.47420946,0.46338445
0.3750732,0.36752704
0.29733554,0.28447178
0.24563244,0.25713864
0.2193051,0.22692607
0.21152157,0.21303487
0.22281866,0.22481157
0.2802557,0.26621032
0.43055826,0.4187901
0.5916943,0.59302956
0.7318466,0.72828305
0.78623366,0.7847949
0.7923824,0.7832143
0.78301287,0.76988333
0.7096184,0.7029547
0.68499905,0.68771094
0.68495023,0.70591307
0.705446,0.7146712
0.71440077,0.7263293
0.7268934,0.7553889
0.7841353,0.7746424
0.76620144,0.7571085
0.6955397,0.6850831
0.6058706,0.60477763
0.49211887,0.4906942
0.39268982,0.39224532
0.3148546,0.3081975
0.26590866,0.2650712
0.24043529,0.2359542
0.23187098,0.22285324
0.23777571,0.23623084
0.29421237,0.2862093
0.4567148,0.43368715
0.6158501,0.5983856
0.7412649,0.72813994
0.78913724,0.7783838
0.7810121,0.7759751
0.7876976,0.7585792
0.73138297,0.69928557
0.71427876,0.68212223
0.7399717,0.69979143
0.7505856,0.70845455
0.750244,0.71597755
0.75722235,0.75110614
0.80980384,0.7762633
0.7858189,0.76323014
0.71286356,0.6866079
0.6186805,0.6034183
0.503294,0.49083033
0.40857407,0.39320013
0.3232481,0.30822346
0.27176458,0.2719209
0.24619363,0.24435316
0.23858091,0.22836769
0.24433926,0.24286604
0.3018251,0.29440778
0.45922798,0.44311237
0.6196076,0.6102562
0.7487312,0.7355224
0.79855555,0.78290766
0.7962375,0.7805975
0.7761077,0.7617684
0.7094232,0.7016193
0.7013957,0.68675894
0.72560024,0.7029507
0.726625,0.71358734
0.7369949,0.7148447
0.744876,0.7359218
0.80631465,0.7683942
0.7905036,0.7625266
0.7192075,0.6916711
0.6365167,0.6091705
0.52191097,0.49578375
0.42118874,0.3984326
0.32766446,0.3111829
0.27564415,0.27654636
0.24838962,0.24760139
0.24194808,0.2339485
0.25319636,0.246853
0.30753464,0.3023529
