true,forecasted
0.2401181,0.2427046
0.21374194,0.21431379
0.20654401,0.2070554
0.21732871,0.209856
0.26644543,0.274546
0.41860238,0.43045408
0.6039918,0.6025838
0.72625905,0.73248446
0.77405816,0.78872806
0.7724966,0.7808666
0.7693246,0.76968443
0.70559245,0.70378876
0.69302654,0.6863879
0.7297482,0.7153249
0.74680364,0.72472787
0.7607603,0.7454039
0.7812073,0.78443813
0.79472476,0.80207944
0.76322466,0.7590215
0.6941977,0.68523026
0.59715986,0.5999169
0.48160258,0.4837977
0.38124633,0.38375735
0.30880344,0.30360135
0.25368437,0.25874424
0.22347745,0.23097609
0.21332715,0.22087918
0.22633223,0.22584471
0.28091452,0.29128408
0.4381466,0.44238088
0.61016494,0.61538434
0.73206615,0.7464279
0.77642494,0.80169904
0.7826225,0.7987008
0.78376925,0.7861486
0.7290894,0.7216388
0.7174751,0.69994354
0.7224039,0.7237944
0.7300898,0.7365011
0.7375561,0.75022805
0.76356626,0.7873252
0.7922848,0.8192358
0.7692514,0.781471
0.69456375,0.69571245
0.6105309,0.6083223
0.49551043,0.49590945
0.39695978,0.40052268
0.30485067,0.31530228
0.25534356,0.25958407
0.23140737,0.2321728
0.2193539,0.22197504
0.23011419,0.22309154
0.27749854,0.28353488
0.43970817,0.4318877
0.6163137,0.59841835
0.7294798,0.7278929
0.7652742,0.7797462
0.76834863,0.7734237
0.75412357,0.7592312
0.68238825,0.6951636
0.66528404,0.67397594
0.70037085,0.69598174
0.71422994,0.7087643
0.72440463,0.72450715
0.7438757,0.7611003
0.7799385,0.79410434
0.75688076,0.7626652
0.6869998,0.6879045
0.5968671,0.60538214
0.480407,0.49386522
0.38873708,0.39854795
0.3118534,0.3102025
0.25439197,0.25862956
0.23162697,0.22931238
0.22340426,0.22102287
0.23211497,0.22385135
0.28923482,0.27982378
0.44266054,0.4254807
0.6125317,0.5917801
0.7341158,0.7189474
0.7788893,0.7688619
0.7785233,0.75901186
0.7704714,0.74090093
0.7074712,0.67582357
