true,forecasted
0.2401181,0.24775186
0.21374194,0.22740953
0.20654401,0.21912695
0.21732871,0.22438681
0.26644543,0.27528328
0.41860238,0.4380793
0.6039918,0.6204228
0.72625905,0.7403051
0.77405816,0.78309876
0.7724966,0.782491
0.7693246,0.7632274
0.70559245,0.6964342
0.69302654,0.6909149
0.7297482,0.7189814
0.74680364,0.7295552
0.7607603,0.7462227
0.7812073,0.78167236
0.79472476,0.7864249
0.76322466,0.74461573
0.6941977,0.6801262
0.59715986,0.59532106
0.48160258,0.4810101
0.38124633,0.38666058
0.30880344,0.3025452
0.25368437,0.26542324
0.22347745,0.24580117
0.21332715,0.23485328
0.22633223,0.24155805
0.28091452,0.2900141
0.4381466,0.44538492
0.61016494,0.621794
0.73206615,0.74472415
0.77642494,0.78687364
0.7826225,0.78521967
0.78376925,0.76864636
0.7290894,0.7025136
0.7174751,0.69373375
0.7224039,0.72055864
0.7300898,0.7323354
0.7375561,0.7469106
0.76356626,0.78869915
0.7922848,0.79988813
0.7692514,0.7636307
0.69456375,0.6868379
0.6105309,0.59923565
0.49551043,0.48671308
0.39695978,0.39580348
0.30485067,0.309644
0.25534356,0.26607764
0.23140737,0.2438248
0.2193539,0.23245542
0.23011419,0.2409713
0.27749854,0.2876773
0.43970817,0.43754673
0.6163137,0.61032057
0.7294798,0.73393524
0.7652742,0.7714241
0.76834863,0.77023506
0.75412357,0.75128245
0.68238825,0.68509954
0.66528404,0.67320246
0.70037085,0.694503
0.71422994,0.70301694
0.72440463,0.71642554
0.7438757,0.7534503
0.7799385,0.77920425
0.75688076,0.7524798
0.6869998,0.6758526
0.5968671,0.58978873
0.480407,0.4838224
0.38873708,0.3924526
0.3118534,0.3061824
0.25439197,0.26385266
0.23162697,0.23964551
0.22340426,0.22937347
0.23211497,0.23710471
0.28923482,0.2892356
0.44266054,0.4323653
0.6125317,0.6050315
0.7341158,0.7245959
0.7788893,0.7595969
0.7785233,0.75707024
0.7704714,0.73020804
0.7074712,0.66326296
0.6883662,0.6481536
0.707276,0.6634171
0.6990533,0.67120415
0.6990533,0.68258375
0.72130585,0.7090959
0.76808023,0.7499641
0.74350965,0.73181486
0.67289674,0.6550308
0.59669626,0.5695095
0.48177338,0.46929204
0.39464182,0.38004154
0.32002732,0.29493058
0.27449736,0.25649884
0.23772691,0.22840028
0.21249756,0.2122788
0.21042357,0.2073327
0.23165138,0.23216765
0.30658305,0.30229402
0.38810268,0.3941455
0.48523813,0.48061058
0.55589986,0.5339954
0.5619754,0.5399233
0.5507271,0.51579344
0.5076127,0.47191715
0.4472477,0.42173302
0.42118874,0.40533233
0.4151132,0.40980625
0.42079836,0.42645758
0.4707203,0.48044953
0.563659,0.5586009
0.5717109,0.5652653
0.5176166,0.49833402
0.43951297,0.42609626
0.37138882,0.3601983
0.3000439,0.29156598
0.22767422,0.21548578
0.18394983,0.17687145
0.14415382,0.14754725
0.12604919,0.1294732
0.12214523,0.13125667
0.13263713,0.14237392
0.16521081,0.16901867
0.19190416,0.20679069
0.2513176,0.2725268
0.3233945,0.3352029
0.36763126,0.36985892
0.3767568,0.37591383
0.37343842,0.3680635
0.31648937,0.31871438
0.2907964,0.29631546
0.3012639,0.28782594
0.29470038,0.29982704
0.35069785,0.36400136
0.45071247,0.45075718
0.47237948,0.48502082
0.45076126,0.44871616
0.39976576,0.392412
0.32698125,0.3284121
0.2405573,0.25276443
0.17467792,0.18137085
0.13883467,0.14452755
0.12197443,0.12824756
0.118534066,0.124363646
0.13222232,0.14160049
0.20044407,0.20609985
0.37226722,0.3678285
0.54877514,0.5490849
0.69248974,0.6744487
0.749146,0.71780705
0.75522155,0.7187647
0.7508052,0.7050773
0.68817097,0.6481116
0.67148155,0.6432592
0.7112288,0.6676755
0.7267226,0.67511535
0.7374097,0.69062877
0.7490484,0.7226651
0.77657133,0.7480149
0.7432169,0.72349185
0.6778011,0.65546995
0.5902059,0.5694668
0.47420946,0.46077985
0.3750732,0.36795413
0.29733554,0.28391546
0.24563244,0.2600519
0.2193051,0.23909484
0.21152157,0.23002963
0.22281866,0.23783037
0.2802557,0.294046
0.43055826,0.44836283
0.5916943,0.63488686
0.7318466,0.75928074
0.78623366,0.80037427
0.7923824,0.8040493
0.78301287,0.7798632
0.7096184,0.7122091
0.68499905,0.70307857
0.68495023,0.7257874
0.705446,0.73308355
0.71440077,0.7401707
0.7268934,0.76094943
0.7841353,0.7962183
0.76620144,0.77018875
0.6955397,0.697521
0.6058706,0.60762
0.49211887,0.49521276
0.39268982,0.400249
0.3148546,0.31267112
0.26590866,0.26301357
0.24043529,0.24083778
0.23187098,0.23264141
0.23777571,0.24283758
0.29421237,0.29452288
0.4567148,0.4453495
0.6158501,0.62298226
0.7412649,0.7427977
0.78913724,0.7811801
0.7810121,0.7830263
0.7876976,0.7612024
0.73138297,0.69615287
0.71427876,0.6884351
0.7399717,0.7074371
0.7505856,0.7144709
0.750244,0.72472215
0.75722235,0.7536934
0.80980384,0.79114723
0.7858189,0.77416
0.71286356,0.6977702
0.6186805,0.607156
0.503294,0.4928956
0.40857407,0.39901525
0.3232481,0.31088403
0.27176458,0.27111626
0.24619363,0.24852124
0.23858091,0.23938261
0.24433926,0.25068477
0.3018251,0.29829115
0.45922798,0.44876796
0.6196076,0.62831426
0.7487312,0.7510085
0.79855555,0.78584284
0.7962375,0.786748
0.7761077,0.76375026
0.7094232,0.6962945
0.7013957,0.6877434
0.72560024,0.7051021
0.726625,0.71037817
0.7369949,0.7174598
0.744876,0.73939955
0.80631465,0.78477824
0.7905036,0.7735345
0.7192075,0.69994384
0.6365167,0.61089987
0.52191097,0.4994033
0.42118874,0.40548578
0.32766446,0.31718478
0.27564415,0.27507004
0.24838962,0.25141132
0.24194808,0.24251749
0.25319636,0.2558991
0.30753464,0.3150491
0.46203396,0.46232727
0.6246828,0.6385712
0.7535624,0.7600235
0.79877514,0.787503
0.7850625,0.78315026
0.76551825,0.7530647
0.6980773,0.684395
0.67462915,0.67601126
0.68541384,0.6957876
0.69234335,0.7040488
0.7078616,0.7140175
0.72350186,0.7393304
0.76781183,0.7948235
0.75334275,0.77676135
0.6802655,0.6918188
0.5878392,0.6037515
0.4901669,0.49579144
0.3946906,0.40289417
0.3126342,0.31456953
0.25683194,0.26109254
0.22386785,0.2329653
0.20608042,0.2158166
0.2087156,0.21088013
0.22755222,0.23184457
0.3006783,0.29892683
0.3872243,0.38451216
0.47491705,0.46490237
0.52325296,0.52152354
0.5132491,0.52942026
0.48414016,0.5096984
0.45088327,0.46966982
0.40274253,0.42167485
0.3849551,0.4048107
0.3847355,0.408438
0.40896448,0.42842728
0.47030547,0.49758986
0.55582666,0.5639937
0.560121,0.55758554
0.49873123,0.4948518
0.4253123,0.42645508
0.3628489,0.3608655
0.3018983,0.2920173
0.22281866,0.2193084
0.16869998,0.1807172
0.13910307,0.15099403
0.1254392,0.1319166
0.11807047,0.1247102
0.12968476,0.1296565
0.16194125,0.15484887
0.1873658,0.19184175
0.24555925,0.24822244
0.30958423,0.31967857
0.33993754,0.3621304
0.36026254,0.37112495
0.36040893,0.37002024
0.3103406,0.321998
0.2928216,0.29547203
0.29762834,0.28902036
0.31685537,0.2986977
0.36826566,0.36462572
0.4585204,0.43479213
0.4794066,0.46104792
0.45405525,0.43728298
0.40574372,0.38867927
0.34559828,0.32481927
0.26512787,0.25276446
0.1863898,0.18340275
0.14727698,0.15570894
0.13246633,0.14065698
0.122072026,0.13437538
0.14186023,0.1504571
0.21444954,0.21416241
0.38888347,0.37729135
0.5556071,0.5639157
0.7033476,0.6948157
0.7644203,0.7396864
0.76617706,0.7409053
0.7575883,0.72633654
0.6964913,0.66477555
0.68043625,0.65756816
0.69915086,0.6829395
0.7221355,0.69130355
0.72538066,0.70241445
0.72189146,0.72588116
0.75878394,0.7600099
0.74202126,0.73807245
0.6779963,0.667615
0.58827835,0.5816675
0.4786258,0.4725206
0.3874927,0.38005543
0.30685145,0.29336348
0.25197637,0.25913006
0.23101698,0.2380717
0.22154987,0.22917415
0.23216377,0.23710105
0.2925044,0.29181147
0.44707692,0.44764298
0.60989654,0.6343426
0.7376049,0.75903445
0.7896496,0.798863
0.79065,0.801261
0.77669334,0.7775926
0.71383953,0.70719045
0.69563735,0.69947314
0.7219891,0.7244997
0.72269666,0.73155147
0.73335934,0.7386779
0.7383125,0.7556299
0.78577006,0.79483783
0.7749122,0.7705421
0.69334376,0.6992149
0.60848135,0.61016953
0.4906793,0.49692678
0.38798067,0.39981526
0.29892153,0.31267634
0.25751513,0.26083913
0.22730821,0.24030837
0.2179387,0.23151393
0.23216377,0.24057925
0.2917724,0.29095033
0.4464181,0.44348028
0.6054558,0.62074226
0.73582375,0.74065536
0.77720577,0.778117
0.78403765,0.77849394
0.7845989,0.7571477
0.72330666,0.6897846
0.687195,0.68237853
0.7038112,0.70552933
0.71332717,0.7127239
0.7292358,0.7205729
0.73138297,0.7419764
0.77810854,0.7795881
0.75634396,0.7635941
0.6851942,0.69030476
0.5970623,0.60114855
0.49363166,0.48812303
0.38595548,0.39349812
0.3029719,0.30636066
0.25580713,0.26463097
0.22991899,0.24243483
0.2202323,0.23285966
0.22740582,0.23787096
0.2814025,0.27568412
0.43714622,0.435632
0.5962083,0.6158034
0.7176703,0.7361954
0.7718378,0.78199345
