true,forecasted
0.33974895,0.32629284
0.3338912,0.32657954
0.34476987,0.34341532
0.40920502,0.40783945
0.6,0.5920682
0.776569,0.7733275
0.86443514,0.8691002
0.9054393,0.90210545
0.8953975,0.9124713
0.883682,0.909683
0.8594142,0.8863851
0.8761506,0.88797426
0.8577406,0.8751856
0.8384937,0.8620406
0.81506276,0.8685425
0.8376569,0.87551236
0.8761506,0.8727801
0.832636,0.82257247
0.7740586,0.80536205
0.683682,0.71177346
0.54811716,0.5613864
0.44518828,0.4528347
0.39246863,0.38879555
0.34728032,0.3447177
0.32301256,0.32312223
0.31882846,0.32193127
0.3330544,0.33913377
0.3958159,0.42277542
0.58075315,0.59597266
0.7364017,0.7609852
0.8284519,0.84882504
0.865272,0.87212884
0.86025107,0.8774755
0.8493724,0.8684129
0.8276151,0.83883804
0.8292887,0.8395742
0.8142259,0.82594067
0.7899582,0.8077741
0.76401675,0.8135482
0.8058577,0.841715
0.87196654,0.8569285
0.8301255,0.8189666
0.776569,0.78809077
0.69707114,0.68419224
0.56736404,0.54830253
0.45355648,0.4480633
0.38995817,0.38850617
0.35146442,0.34424353
0.3380753,0.3326378
0.33221757,0.32657447
0.34476987,0.33995312
0.4,0.42103842
0.58577406,0.591815
0.7539749,0.7580121
0.85857743,0.848767
0.90962344,0.87695706
0.92050207,0.8792134
0.91046023,0.86787134
0.8811715,0.8438562
0.8786611,0.84408575
0.86108786,0.83007497
0.83933055,0.8089227
0.8050209,0.8058792
0.8334728,0.8230653
0.8761506,0.84036773
0.8351464,0.80773836
0.7841004,0.7817166
0.6979079,0.6852614
0.5690377,0.5522946
0.46025103,0.45249337
0.40334728,0.38759935
0.36569038,0.34158903
0.3422594,0.3414938
0.3380753,0.33593172
0.35564855,0.34993216
0.42008367,0.43677315
0.5882845,0.60880095
0.7539749,0.7711574
0.865272,0.859413
0.93389124,0.8820822
0.9372385,0.8808527
0.9221757,0.8658084
0.8887029,0.838004
0.88619244,0.83122647
0.8577406,0.80482715
0.82594144,0.7737501
0.7958159,0.7616457
0.8200837,0.7898011
0.8577406,0.82587355
0.82343096,0.7824406
0.76903766,0.75012934
0.68953973,0.6676466
0.57824266,0.5490564
0.47782427,0.45448267
0.40753138,0.38831937
0.3665272,0.34410194
0.34811714,0.32801726
0.33640167,0.3243385
0.34476987,0.32301486
0.37405857,0.3520235
0.45188284,0.42489332
0.525523,0.52260315
0.5983264,0.5936308
0.683682,0.6704004
0.72384936,0.71202207
0.7280335,0.71947527
0.71297073,0.7202961
0.69121337,0.6909809
0.6585774,0.6793814
0.6384937,0.6730217
0.63514644,0.68872297
0.67280334,0.72819793
0.7221757,0.73265284
0.70209205,0.70696545
0.6635983,0.68120605
0.5983264,0.6109907
0.5037657,0.5006273
0.42594144,0.41186956
0.34560668,0.35117233
0.31715482,0.3094931
0.30125523,0.28334862
0.29372385,0.27914137
0.2828452,0.28217196
0.30376568,0.3049656
0.35648537,0.35518014
0.41841003,0.42966172
0.474477,0.4866796
0.5665272,0.56902176
0.6251046,0.62067944
0.6451883,0.633595
0.64351463,0.64010113
0.632636,0.6233576
0.6167364,0.6208529
0.60585773,0.62397474
0.60167366,0.6493815
0.6677824,0.68990827
0.7288703,0.7104274
0.71297073,0.70784265
0.6736402,0.68496907
0.60251045,0.6005944
0.4828452,0.47919324
0.3882845,0.38367087
0.316318,0.3242606
0.28535566,0.2818331
0.26861924,0.28079107
0.26443514,0.2766328
0.2761506,0.2881528
0.33891213,0.39471957
0.5422594,0.58617425
0.7121339,0.7486856
0.8209205,0.8359628
0.8736402,0.8673338
0.8786611,0.87606287
0.8661088,0.85989225
0.85606694,0.8527677
0.87280333,0.84865975
0.8619247,0.83771044
0.8460251,0.8169294
0.81757325,0.79328716
0.81087863,0.7918116
0.8661088,0.81369066
0.8301255,0.7890712
0.7790795,0.7549667
0.6920502,0.6613723
0.5573222,0.52476156
0.4334728,0.42273998
0.3665272,0.36157352
0.32301256,0.31968474
0.3046025,0.31443065
0.2995816,0.30885968
0.31046024,0.3210782
0.37238494,0.40814847
0.57824266,0.5889002
0.73472804,0.75474524
0.8217573,0.85005563
0.87196654,0.87244177
0.8702929,0.87335324
0.8569038,0.8573633
0.8292887,0.84118503
0.83933055,0.83549637
0.8217573,0.8220986
0.81004184,0.80322427
0.78493726,0.78856176
0.7866109,0.787431
0.84853554,0.8094991
0.81757325,0.781283
0.76987445,0.75974935
0.6870293,0.66454977
0.55648535,0.5225019
0.43849373,0.42339543
0.36736402,0.36319464
0.33891213,0.3206284
0.32301256,0.31137997
0.316318,0.30806163
0.32552302,0.32367867
0.39748955,0.41029248
0.5790795,0.57992697
0.7213389,0.7352157
0.8217573,0.8227131
0.8736402,0.84723383
0.8736402,0.8527973
0.8669456,0.83965784
0.832636,0.8207921
0.8351464,0.8190371
0.81841004,0.80478954
0.8050209,0.78297776
0.7866109,0.7668552
0.7824268,0.774004
0.8435146,0.8070131
0.81004184,0.79427266
0.758159,0.7697745
0.6794979,0.66735774
0.5656904,0.53069717
0.45523012,0.43205896
0.37154812,0.3732537
0.3506276,0.33002278
0.34058577,0.32372695
0.3380753,0.3193323
0.34728032,0.3357867
0.40167364,0.41813025
0.5740586,0.5844141
0.72719663,0.7446273
0.8410042,0.8309705
0.8878661,0.858196
0.8820084,0.8622894
0.8677824,0.8492441
0.8301255,0.8317987
0.82594144,0.8306349
0.80251044,0.81883156
0.7715481,0.7975411
0.74728036,0.7848884
0.76485354,0.8011043
0.8251046,0.834276
0.78828454,0.8123904
0.73138076,0.78167206
0.6493724,0.6779359
0.53974897,0.5413324
0.43849373,0.44101733
0.35648537,0.3793313
0.31464434,0.33396754
0.2912134,0.3151341
0.28200838,0.31416187
0.28033474,0.33054847
0.2995816,0.42236888
0.358159,0.5978018
0.41422594,0.75617653
0.47698745,0.8391761
0.57238495,0.8656509
0.6142259,0.8708005
0.62343097,0.85618824
0.6209205,0.8445758
0.6117155,0.83837306
0.5924686,0.815808
0.5690377,0.78446704
0.5623431,0.76821005
0.5924686,0.78194666
0.6502092,0.80267483
0.6292887,0.7576622
0.60585773,0.7271766
0.5548117,0.6438978
0.4661088,0.5209908
0.3707113,0.42818618
0.30627614,0.36401388
0.27280334,0.32218093
0.24853556,0.25230023
0.241841,0.23912239
0.24518828,0.2292794
0.26778242,0.2684301
0.33556485,0.3138488
0.3916318,0.3831225
0.4661088,0.4386298
0.56987447,0.51455873
0.609205,0.5680727
0.6167364,0.58085126
0.6125523,0.5876991
