true,forecasted
0.33974895,0.31503442
0.3338912,0.3074643
0.34476987,0.31986982
0.40920502,0.36946344
0.6,0.5875277
0.776569,0.77754945
0.86443514,0.8754924
0.9054393,0.90940607
0.8953975,0.9113042
0.883682,0.90605533
0.8594142,0.87164724
0.8761506,0.88438815
0.8577406,0.87400883
0.8384937,0.86627567
0.81506276,0.8875009
0.8376569,0.9136045
0.8761506,0.8838771
0.832636,0.8391221
0.7740586,0.7899005
0.683682,0.70252055
0.54811716,0.5694868
0.44518828,0.45365757
0.39246863,0.37373692
0.34728032,0.3222369
0.32301256,0.29741314
0.31882846,0.29580748
0.3330544,0.31833088
0.3958159,0.37854207
0.58075315,0.5850808
0.7364017,0.75718415
0.8284519,0.84742725
0.865272,0.8808674
0.86025107,0.8834395
0.8493724,0.8707607
0.8276151,0.83314383
0.8292887,0.84606045
0.8142259,0.830329
0.7899582,0.8152822
0.76401675,0.8365692
0.8058577,0.88354653
0.87196654,0.8835625
0.8301255,0.8473175
0.776569,0.78763384
0.69707114,0.684241
0.56736404,0.5516576
0.45355648,0.43602663
0.38995817,0.36547995
0.35146442,0.3143994
0.3380753,0.31232613
0.33221757,0.30940422
0.34476987,0.32963592
0.4,0.3911757
0.58577406,0.5979768
0.7539749,0.7671294
0.85857743,0.85525286
0.90962344,0.8902542
0.92050207,0.8914495
0.91046023,0.88300717
0.8811715,0.8484234
0.8786611,0.85499686
0.86108786,0.83838594
0.83933055,0.8216732
0.8050209,0.82953405
0.8334728,0.8542723
0.8761506,0.8493284
0.8351464,0.82282835
0.7841004,0.7697812
0.6979079,0.6846435
0.5690377,0.5594236
0.46025103,0.4456905
0.40334728,0.3725158
0.36569038,0.32244518
0.3422594,0.32012254
0.3380753,0.31657466
0.35564855,0.332079
0.42008367,0.3970095
0.5882845,0.59228003
0.7539749,0.7573348
0.865272,0.8485446
0.93389124,0.8820992
0.9372385,0.88460225
0.9221757,0.8659036
0.8887029,0.8313535
0.88619244,0.83000815
0.8577406,0.8060126
0.82594144,0.7823974
0.7958159,0.7853552
0.8200837,0.8190679
0.8577406,0.82386625
0.82343096,0.7986185
0.76903766,0.74630284
0.68953973,0.6608046
0.57824266,0.54618907
0.47782427,0.43792796
0.40753138,0.36611363
0.3665272,0.31506845
0.34811714,0.33048728
0.33640167,0.3162133
0.34476987,0.3188386
0.37405857,0.33658612
0.45188284,0.4270933
0.525523,0.5150044
0.5983264,0.58823836
0.683682,0.6557655
0.72384936,0.69533664
0.7280335,0.708295
0.71297073,0.69592977
0.69121337,0.6833226
0.6585774,0.6676718
0.6384937,0.66341484
0.63514644,0.7087945
0.67280334,0.7568359
0.7221757,0.7533909
0.70209205,0.72154385
0.6635983,0.6745352
0.5983264,0.6176254
0.5037657,0.5198896
0.42594144,0.42580628
0.34560668,0.3451369
0.31715482,0.30129382
0.30125523,0.2738676
0.29372385,0.26486665
0.2828452,0.27672976
0.30376568,0.28391773
0.35648537,0.34849358
0.41841003,0.40770623
0.474477,0.47616035
0.5665272,0.5569057
0.6251046,0.605797
0.6451883,0.6304367
0.64351463,0.6210019
0.632636,0.6166508
0.6167364,0.61025596
0.60585773,0.6136538
0.60167366,0.6690031
0.6677824,0.73281246
0.7288703,0.7513283
0.71297073,0.73311836
0.6736402,0.67356324
0.60251045,0.58974314
0.4828452,0.4817345
0.3882845,0.38603303
0.316318,0.31088442
0.28535566,0.27413768
0.26861924,0.24591282
0.26443514,0.2471858
0.2761506,0.27194953
0.33891213,0.34133172
0.5422594,0.5709366
0.7121339,0.7465695
0.8209205,0.8451772
0.8736402,0.8837977
0.8786611,0.8828575
0.8661088,0.87933576
0.85606694,0.84312296
0.87280333,0.85540897
0.8619247,0.84262085
0.8460251,0.82348645
0.81757325,0.82283056
0.81087863,0.84133583
0.8661088,0.83533674
0.8301255,0.8054738
0.7790795,0.7473197
0.6920502,0.6601321
0.5573222,0.5271407
0.4334728,0.41244698
0.3665272,0.3386107
0.32301256,0.29362926
0.3046025,0.3012203
0.2995816,0.29524636
0.31046024,0.31251025
0.37238494,0.36805505
0.57824266,0.57810175
0.73472804,0.75162816
0.8217573,0.84653836
0.87196654,0.87994033
0.8702929,0.8746985
0.8569038,0.8666033
0.8292887,0.8297372
0.83933055,0.8402646
0.8217573,0.82415426
0.81004184,0.8051981
0.78493726,0.79986894
0.7866109,0.81854594
0.84853554,0.8235951
0.81757325,0.8030287
0.76987445,0.75753164
0.6870293,0.6635193
0.55648535,0.5332922
0.43849373,0.42072377
0.36736402,0.3454543
0.33891213,0.2958317
0.32301256,0.2959494
0.316318,0.29263437
0.32552302,0.31431645
0.39748955,0.36998004
0.5790795,0.57309484
0.7213389,0.73833686
0.8217573,0.828198
0.8736402,0.8633727
0.8736402,0.86274165
0.8669456,0.8522277
0.832636,0.8145765
0.8351464,0.8250193
0.81841004,0.80657834
0.8050209,0.7831464
0.7866109,0.7771951
0.7824268,0.8040839
0.8435146,0.8228132
0.81004184,0.8102639
0.758159,0.76556754
0.6794979,0.6694221
0.5656904,0.53928536
0.45523012,0.4249827
0.37154812,0.35274595
0.3506276,0.3002564
0.34058577,0.3093179
0.3380753,0.30660006
0.34728032,0.32752573
0.40167364,0.38124573
0.5740586,0.57761765
0.72719663,0.7403034
0.8410042,0.8283999
0.8878661,0.86500466
0.8820084,0.8667014
0.8677824,0.8586037
0.8301255,0.82343155
0.82594144,0.8307919
0.80251044,0.81524384
0.7715481,0.799176
0.74728036,0.80508435
0.76485354,0.8286719
0.8251046,0.83765084
0.78828454,0.8201374
0.73138076,0.77025914
0.6493724,0.674069
0.53974897,0.5461628
0.43849373,0.4341495
0.35648537,0.3618694
0.31464434,0.31163004
0.2912134,0.29317248
0.28200838,0.29230347
0.28033474,0.31003314
0.2995816,0.37776923
0.358159,0.5719863
0.41422594,0.7294172
0.47698745,0.8167008
0.57238495,0.8515444
0.6142259,0.8547138
0.62343097,0.8430624
0.6209205,0.8156227
0.6117155,0.8141804
0.5924686,0.79628664
0.5690377,0.78057396
0.5623431,0.7927685
0.5924686,0.8098994
0.6502092,0.79334205
0.6292887,0.758016
0.60585773,0.7069938
0.5548117,0.62571406
0.4661088,0.51058245
0.3707113,0.408737
0.30627614,0.33698988
0.27280334,0.29260814
0.24853556,0.22488113
0.241841,0.21522215
0.24518828,0.22159614
0.26778242,0.23225574
0.33556485,0.28440917
0.3916318,0.3287981
0.4661088,0.38862678
0.56987447,0.47178236
0.609205,0.5235765
0.6167364,0.55097544
0.6125523,0.5503924
0.6041841,0.5432492
0.59163177,0.53143066
0.57740587,0.52343696
0.5832636,0.5557178
0.6083682,0.61074585
0.6828452,0.63394505
0.65941423,0.6295227
0.6209205,0.58744615
0.5573222,0.5324115
0.46861926,0.43535388
0.390795,0.33874956
0.32384938,0.26863772
0.28117156,0.22801985
0.2577406,0.23598231
0.24351464,0.23343506
0.24435146,0.24074413
0.26610878,0.25829834
0.32552302,0.36568573
0.37154812,0.4652251
0.43179917,0.544227
0.51380754,0.61389667
0.5690377,0.6504779
0.5824268,0.6562569
0.58912134,0.6414565
0.58158994,0.64359087
0.57238495,0.6309272
0.5615063,0.62038773
0.5623431,0.639176
0.6066946,0.6980501
0.7112971,0.72437054
0.69958156,0.7208835
0.6736402,0.6766538
0.59748954,0.58077973
0.47782427,0.46696615
0.38493723,0.36160225
0.31464434,0.2920858
0.27698743,0.24773042
0.26025105,0.22653474
0.2543933,0.22511902
0.26861924,0.25095826
0.33138075,0.31270027
0.5230126,0.54644614
0.6585774,0.7255846
0.7824268,0.8284209
0.8468619,0.8678822
0.8569038,0.866101
0.85523015,0.86657846
0.83430964,0.8262156
0.84267783,0.84493536
0.82259417,0.83256805
0.7983264,0.81053346
0.748954,0.7999456
0.74811715,0.8134138
0.8359833,0.8163305
0.81087863,0.8006645
0.7548117,0.75176615
0.6794979,0.67309123
0.54309624,0.53516054
0.42343095,0.41401047
0.36150628,0.33873665
0.3246862,0.28971753
0.30794978,0.2841206
0.30209205,0.2784196
0.3129707,0.29498672
0.3748954,0.3353536
0.5464435,0.533422
0.6794979,0.7011659
0.8033473,0.80035913
0.85857743,0.83967966
0.85271966,0.84066325
0.8518829,0.8323555
0.83430964,0.79409593
0.8410042,0.80953556
0.8251046,0.794954
0.79916316,0.7713569
0.7715481,0.76012516
0.7623431,0.7903163
0.83682007,0.82234055
0.8125523,0.82341605
0.7682008,0.78095806
0.6794979,0.68143374
0.5548117,0.54124314
0.44937238,0.4204355
0.38912135,0.34713027
0.34728032,0.29418153
0.33556485,0.30690905
0.33472803,0.30157888
0.3539749,0.32163537
0.40167364,0.3706873
0.58075315,0.5582685
0.7112971,0.7151438
0.832636,0.8001906
0.88284516,0.84006643
0.86861926,0.84466296
0.86025107,0.83784115
0.8493724,0.8048896
0.85857743,0.814521
0.8443515,0.7974563
0.8167364,0.7801652
0.7824268,0.7761899
0.77322173,0.79577017
0.865272,0.8143849
0.8543933,0.8112656
0.81506276,0.7719408
0.7288703,0.685899
0.61087865,0.5540865
0.5179916,0.43914983
0.46108785,0.3673151
0.41422594,0.3174564
0.40083683,0.3479485
0.4,0.3419795
0.41422594,0.34929657
0.46945608,0.3886236
0.64351463,0.5763555
0.7790795,0.74684405
0.9004184,0.842908
0.95648533,0.8836596
0.93891215,0.89280796
0.9029289,0.8775109
0.87698746,0.84178853
0.88284516,0.8404375
0.85857743,0.816016
0.83179915,0.7944379
0.7974895,0.7896457
0.78493726,0.79499835
0.87447697,0.8140592
0.86945605,0.8125554
0.82259417,0.7855842
0.7523013,0.7161319
0.63514644,0.5925821
0.5305439,0.47907406
0.4794979,0.40154243
0.44937238,0.3443838
0.4251046,0.3673365
0.42677826,0.3594707
0.4376569,0.3635286
0.483682,0.41081583
0.65104604,0.55306673
0.7874477,0.69001377
0.9221757,0.768899
0.99330544,0.8159082
0.9732218,0.83903384
0.9380753,0.82326484
0.90209204,0.8029903
0.89288706,0.7876947
0.8677824,0.76161903
0.8351464,0.74149936
0.8050209,0.74925566
0.81087863,0.77892905
0.8845188,0.7884757
0.8677824,0.77736366
0.8167364,0.7432426
0.7380753,0.6734718
0.61338913,0.57018954
0.52133894,0.4682498
0.45690376,0.39387465
0.4125523,0.34160966
0.3832636,0.3745274
0.37154812,0.3573734
0.37405857,0.3605889
0.39330545,0.38603866
0.4594142,0.476959
0.5171548,0.5676455
0.60753137,0.64074486
0.68535566,0.7048074
0.7138075,0.7434831
0.72301257,0.7476293
0.71799165,0.73413247
0.7054393,0.7166422
0.6711297,0.6943504
0.6359833,0.6835443
0.63179916,0.70999026
0.6493724,0.748989
0.7414226,0.7684984
0.74811715,0.7593354
0.7079498,0.7176254
0.64769876,0.66500866
0.5523012,0.5634067
0.47698745,0.47031102
0.42343095,0.38687602
0.4,0.34390548
0.37322176,0.34411743
0.37405857,0.3353477
0.38242677,0.34887582
0.40251046,0.36799508
0.45606694,0.427073
0.49121338,0.488599
0.5790795,0.5398341
0.64853555,0.6216964
0.6702929,0.6748429
0.67280334,0.6976373
0.6711297,0.6952016
0.6543933,0.67991644
0.64016736,0.67124116
0.6259414,0.6851553
0.62677824,0.74681115
0.65606695,0.78094274
0.7598326,0.78436875
0.78493726,0.7705855
0.7523013,0.7272109
0.6962343,0.66306466
0.57238495,0.5613897
0.48033473,0.46787983
0.4175732,0.39489335
0.38661087,0.35834986
0.37322176,0.3305453
0.37238494,0.3331927
0.3916318,0.3625219
0.46025103,0.4504041
0.6794979,0.6815014
0.8217573,0.863402
0.94393307,0.94581836
0.9924686,0.98062974
0.96317995,0.98036224
0.9464435,0.96905565
0.92635983,0.93775815
0.9288703,0.93723035
0.91046023,0.9206549
0.89623433,0.9021239
0.8661088,0.8916639
0.8502092,0.889552
0.9288703,0.8897148
0.9280335,0.879003
0.87698746,0.829984
0.7916318,0.74915844
0.6468619,0.61982596
0.53472805,0.5061595
0.47364017,0.43530428
0.43012553,0.38767025
0.4209205,0.4128664
0.4251046,0.40672588
0.43598327,0.42755717
0.4962343,0.49521565
0.692887,0.7057729
0.83179915,0.8918256
0.94393307,0.96900004
0.98242676,1.0018307
0.9748954,1.0038944
0.96317995,0.98991716
0.94811714,0.95853984
0.9506276,0.9539546
0.925523,0.93625385
0.8995816,0.9313855
0.86945605,0.94338346
0.85271966,0.9328819
0.93054396,0.9111996
0.93054396,0.883331
0.87698746,0.8527413
0.79414225,0.7749452
0.65355647,0.65070564
0.54895395,0.54309905
0.48117155,0.46678388
0.44686192,0.41343656
0.4284519,0.41543323
0.42594144,0.4118537
0.4368201,0.4351738
0.5004184,0.50552064
0.6979079,0.7182758
0.832636,0.9059674
0.9430962,0.9847167
0.99079496,1.0166346
0.99330544,1.0195682
0.98159,1.0010046
0.97154814,0.9682475
0.96820086,0.9646133
0.9456067,0.9478459
0.9221757,0.94615716
0.8845188,0.97010005
0.86443514,0.9623145
0.934728,0.94032687
0.9372385,0.90479034
0.90125525,0.8707112
0.8125523,0.7813917
0.68033475,0.6503872
0.5497908,0.54471195
0.47698745,0.46994704
0.4376569,0.4180982
0.42343095,0.41855678
0.41589957,0.41489157
0.43012553,0.43438178
0.49288702,0.49901557
0.68535566,0.7091534
0.81841004,0.89749175
0.9372385,0.97827613
0.9807531,1.0111178
0.97405857,1.0153542
0.9648536,0.9986634
0.9514644,0.967269
0.9656904,0.96289337
0.9506276,0.94734377
0.9355649,0.9481551
0.9079498,0.97805953
0.87196654,0.9700151
0.9322176,0.94093955
0.9246862,0.8988191
0.8887029,0.86223245
0.80167365,0.77206516
0.64351463,0.6426355
0.53221756,0.5381117
0.4753138,0.46179026
0.43012553,0.41053098
0.40753138,0.38902175
0.40334728,0.38398498
0.41506276,0.3996488
0.46694562,0.46634448
0.6577406,0.6701374
0.78493726,0.84458536
0.8945607,0.921341
0.9372385,0.9560885
0.92301255,0.9620909
0.9087866,0.9443646
0.88619244,0.91638744
0.8811715,0.9088502
0.8577406,0.88392943
0.82259417,0.8644419
0.79414225,0.8646662
0.78828454,0.8697821
0.8493724,0.8513851
0.86443514,0.8185579
0.80753136,0.7873044
0.7305439,0.71887875
0.62426776,0.6074153
0.5246862,0.50105315
0.4753138,0.42443097
0.4410042,0.37020427
0.42008367,0.3830614
0.42008367,0.36492342
0.42594144,0.35977083
0.46192467,0.3507607
0.5179916,0.4448999
0.5849372,0.5428323
0.70460254,0.6241017
0.78577405,0.70116454
0.7949791,0.74430984
0.77322173,0.75814885
0.76401675,0.74201894
0.73974895,0.7272422
0.7054393,0.7084853
0.6786611,0.70036805
0.66694564,0.7261611
0.6577406,0.74199504
0.74058574,0.7536995
0.7832636,0.7460915
0.7389121,0.7260709
0.6443515,0.69086415
0.5456067,0.5871124
0.48200837,0.48545402
0.42677826,0.39727557
0.36736402,0.34699365
0.35146442,0.32767144
0.35230127,0.31848145
0.3573222,0.3281511
0.38158995,0.33085442
0.43012553,0.42026898
0.4661088,0.49610788
0.5573222,0.56726134
0.62677824,0.6463664
0.65104604,0.681765
0.65606695,0.6998141
0.6518828,0.68462986
0.63179916,0.6772174
0.6125523,0.66419035
0.6008368,0.6522105
0.6,0.65686595
0.6200837,0.6899069
0.72301257,0.74023074
0.7757322,0.76092345
0.7464435,0.71831393
0.6610879,0.64284015
0.52384937,0.53208876
0.4334728,0.4277677
0.39665273,0.3512113
0.36317992,0.30998543
0.35481173,0.2957018
0.36066946,0.2980729
0.3790795,0.3227213
0.45104602,0.39045578
0.6585774,0.62665164
0.8008368,0.8121466
0.9355649,0.9159648
0.98242676,0.9515782
0.948954,0.94387746
0.916318,0.9296245
0.88284516,0.88859165
0.87698746,0.89752537
0.8535565,0.8843491
0.841841,0.8576162
0.80753136,0.8373623
0.7841004,0.8499604
0.84853554,0.8848689
0.8702929,0.88121724
0.8158996,0.8225824
0.73138076,0.7066832
0.58577406,0.56010234
0.47196653,0.44244656
0.42259413,0.3705026
0.3665272,0.32360956
0.34895396,0.334921
0.3506276,0.3328926
0.36485356,0.35852826
0.4083682,0.4303043
0.6008368,0.63669133
0.7330544,0.8009287
0.8443515,0.8848074
0.88284516,0.91051775
0.8820084,0.8987878
0.86359835,0.8819768
0.8334728,0.84886444
0.83179915,0.8519119
0.809205,0.8348225
0.7891213,0.80641437
0.74058574,0.776592
0.7246862,0.79054177
0.7891213,0.8283829
0.8359833,0.8330509
0.78577405,0.7831609
0.6987448,0.6629649
0.56401676,0.527665
0.45104602,0.4214919
0.3882845,0.35242122
0.3506276,0.30465385
0.3422594,0.31135216
0.33556485,0.30936548
0.35230127,0.33330292
0.40083683,0.39435792
0.5824268,0.6033949
0.7196653,0.77033824
0.8301255,0.85761034
0.8887029,0.8902309
0.88284516,0.8875833
0.8794979,0.87791765
0.85606694,0.8445903
0.8627615,0.8512881
0.8518829,0.8375051
0.8376569,0.819842
0.8033473,0.8217194
0.7866109,0.8367986
0.8410042,0.83550674
0.8594142,0.8073961
0.80669457,0.7587322
0.7213389,0.6580731
0.58075315,0.52743185
0.4702929,0.42082012
0.40669456,0.34702182
0.34728032,0.29931247
0.3338912,0.31981373
0.3288703,0.31609064
0.3414226,0.33486092
0.40251046,0.38897407
0.58158994,0.60059685
0.70711297,0.77481407
0.82677823,0.8662188
0.87447697,0.8998537
0.87782425,0.8987494
0.8711297,0.88934356
0.84518826,0.8549019
0.8502092,0.8629288
0.83682007,0.8474015
0.8217573,0.8293197
0.7874477,0.829412
0.758159,0.84174436
0.7958159,0.83844787
0.80753136,0.8115515
0.7623431,0.7683048
0.6794979,0.6736654
0.5447699,0.54133517
0.4167364,0.43178898
0.3531381,0.35557035
0.316318,0.30501348
0.29707113,0.2910063
0.2953975,0.28821272
0.30627614,0.3051213
0.35899583,0.36505753
0.5372385,0.56283426
0.6761506,0.72357035
0.7958159,0.8120016
0.8209205,0.8483714
0.82343096,0.85148454
0.80251044,0.841979
0.7790795,0.8130381
0.7740586,0.81572026
0.7464435,0.7973108
0.7213389,0.7807709
0.6962343,0.7870678
0.6962343,0.7998241
0.7414226,0.7833944
0.76485354,0.7492705
0.71548116,0.7070007
0.6259414,0.6260976
0.51380754,0.5074478
0.41506276,0.40425575
0.3464435,0.33051467
0.29037657,0.2839264
0.27196652,0.2732961
0.26025105,0.26037782
0.26443514,0.26218617
0.2870293,0.26595533
0.33640167,0.34119564
0.39414227,0.40920386
0.507113,0.48806524
0.58912134,0.5596835
0.6217573,0.5982404
0.6292887,0.6155425
0.61924684,0.6044564
0.60502094,0.5964586
0.5824268,0.57910556
0.5656904,0.56624323
0.55899584,0.5803493
0.5665272,0.6127634
0.61841005,0.6430861
0.6527197,0.65011996
0.6142259,0.61685383
0.5447699,0.55980164
0.432636,0.45411086
0.3539749,0.36077598
0.2920502,0.28217965
0.25941423,0.24113367
0.24016736,0.22690468
0.22761506,0.21712533
0.22594142,0.22643317
0.24769874,0.22661053
0.27782428,0.2811872
0.31380752,0.3287393
0.40585774,0.39741766
0.48702928,0.47834778
0.52970713,0.524969
0.5414226,0.55502886
0.54309624,0.5489844
0.53221756,0.5484064
0.525523,0.54164815
0.5154812,0.5416326
0.5196653,0.57521677
0.54309624,0.62927926
0.6167364,0.6598676
0.6543933,0.6633758
0.6209205,0.6124103
0.5447699,0.5296869
0.42259413,0.42049766
