true,forecasted
0.4083558,0.39603925
0.38391733,0.37713516
0.37816712,0.3718853
0.3831087,0.3795351
0.42362982,0.42513248
0.5572327,0.562042
0.74681044,0.72595537
0.8395328,0.8226414
0.8591195,0.8548523
0.8291105,0.84892493
0.7933513,0.82615083
0.76154536,0.80797523
0.75696313,0.8085666
0.7628931,0.81412035
0.78778076,0.8213142
0.82120395,0.84766626
0.875292,0.8890499
0.8900269,0.8698352
0.8513926,0.83222866
0.78238994,0.77001
0.6960467,0.69015473
0.59685534,0.58979416
0.51401615,0.5185798
0.44357592,0.44798157
0.4024259,0.3990686
0.38185084,0.3786645
0.37915543,0.37262756
0.38823,0.3784741
0.42848158,0.4245721
0.55498654,0.55872685
0.74357593,0.7248052
0.8407008,0.8251479
0.8534591,0.8604828
0.8185085,0.8552732
0.77439356,0.8342218
0.73468107,0.8174766
0.72686434,0.8184116
0.7315364,0.823018
0.7601078,0.8308578
0.8079964,0.8612801
0.8744834,0.8991112
0.8814915,0.8818587
0.8395328,0.82969403
0.7725966,0.7630592
0.6929919,0.6835182
0.6008086,0.58631325
0.52021563,0.51440763
0.45013478,0.4450368
0.4083558,0.3981248
0.38831985,0.37734336
0.38113207,0.37411067
0.3901168,0.37904957
0.4328841,0.42548943
0.56244385,0.56239927
0.74995506,0.73134303
0.841779,0.8277873
0.86433065,0.8517971
0.8373765,0.83749765
0.79712486,0.8100747
0.75732255,0.78633815
0.74761903,0.7848015
0.74483377,0.7894625
0.76756513,0.798563
0.8114106,0.8342221
0.8713387,0.88414603
0.8885894,0.88419116
0.85184187,0.8421314
0.7881402,0.77097756
0.701168,0.6851272
0.6027853,0.58499527
0.52803236,0.5156783
0.45822102,0.4441476
0.41302785,0.4033348
0.39074573,0.38326776
0.38598382,0.37582743
0.39362085,0.38587776
0.43153638,0.43163037
0.55606467,0.563574
0.74797845,0.72817993
0.8448338,0.8326925
0.87879604,0.8789532
0.8667565,0.880595
0.85085356,0.8632064
0.8345013,0.83894634
0.8365678,0.83473027
0.8397125,0.8300323
0.84645104,0.8307095
0.8490566,0.8534477
0.8867026,0.8792064
0.87888587,0.85753554
0.8184187,0.8063098
0.7410602,0.7409012
0.65453726,0.6547411
0.5725067,0.56462693
0.508266,0.50750476
0.43980235,0.43947482
0.3984726,0.40093637
0.3674753,0.3631537
0.35300988,0.34767908
0.3495957,0.34273478
0.36307278,0.35756588
0.40979335,0.4249928
