true,forecasted
0.4083558,0.38902482
0.38391733,0.36563796
0.37816712,0.35396525
0.3831087,0.35979906
0.42362982,0.3988468
0.5572327,0.5237313
0.74681044,0.7134881
0.8395328,0.8182554
0.8591195,0.85135925
0.8291105,0.84288573
0.7933513,0.8276219
0.76154536,0.80029684
0.75696313,0.80688614
0.7628931,0.8047216
0.78778076,0.8057402
0.82120395,0.83672553
0.875292,0.8965192
0.8900269,0.88369554
0.8513926,0.8392732
0.78238994,0.7697839
0.6960467,0.6913607
0.59685534,0.5912896
0.51401615,0.5126884
0.44357592,0.43894058
0.4024259,0.3926746
0.38185084,0.36980563
0.37915543,0.35989723
0.38823,0.36673072
0.42848158,0.41080466
0.55498654,0.5411423
0.74357593,0.73767155
0.8407008,0.8451155
0.8534591,0.8768991
0.8185085,0.8695521
0.77439356,0.8552897
0.73468107,0.8300785
0.72686434,0.8400081
0.7315364,0.8381288
0.7601078,0.8404502
0.8079964,0.8701534
0.8744834,0.9334244
0.8814915,0.91409636
0.8395328,0.8576009
0.7725966,0.7786471
0.6929919,0.6926
0.6008086,0.5932429
0.52021563,0.5164705
0.45013478,0.4441661
0.4083558,0.38599974
0.38831985,0.36141053
0.38113207,0.35037488
0.3901168,0.35471472
0.4328841,0.39361805
0.56244385,0.5200547
0.74995506,0.7163276
0.841779,0.82208157
0.86433065,0.8519449
0.8373765,0.83946705
0.79712486,0.8233528
0.75732255,0.7927215
0.74761903,0.80211896
0.74483377,0.80004036
0.76756513,0.80379784
0.8114106,0.83445895
0.8713387,0.90408397
0.8885894,0.8971317
0.85184187,0.857212
0.7881402,0.7800786
0.701168,0.6889237
0.6027853,0.58603936
0.52803236,0.5066755
0.45822102,0.4313339
0.41302785,0.4004077
0.39074573,0.37292665
0.38598382,0.36208376
0.39362085,0.36589393
0.43153638,0.40035382
0.55606467,0.51896214
0.74797845,0.7189603
0.8448338,0.84214437
0.87879604,0.89137614
0.8667565,0.8914271
0.85085356,0.8757637
0.8345013,0.84570587
0.8365678,0.848329
0.8397125,0.8396553
0.84645104,0.8330275
0.8490566,0.8492417
0.8867026,0.90782243
0.87888587,0.87936115
0.8184187,0.8126
0.7410602,0.74040705
0.65453726,0.66509914
0.5725067,0.57753193
0.508266,0.51085323
0.43980235,0.4348382
0.3984726,0.38046217
0.3674753,0.3473416
0.35300988,0.32863832
0.3495957,0.32447025
0.36307278,0.3392049
0.40979335,0.39698702
0.48796046,0.48344907
0.5714286,0.5776359
0.65579516,0.64179367
0.6854448,0.67228633
0.67268646,0.67017925
0.64402515,0.65584326
0.5933513,0.64333296
0.5670261,0.6220802
0.56055707,0.6083238
0.59694517,0.6264682
0.66531897,0.70116794
0.7073675,0.7209871
0.6689128,0.67499226
0.61698115,0.62152535
0.55516624,0.56373435
0.49955076,0.5081743
0.44052112,0.44282168
0.39442948,0.3811904
0.35597485,0.3327775
0.33072776,0.30257148
0.32021564,0.28556344
0.3159928,0.27557936
0.3239892,0.2824886
0.3502246,0.31215277
0.39398023,0.35276893
0.45040432,0.41255337
0.5043127,0.48826542
0.52955973,0.54317915
0.5398922,0.5650979
0.539982,0.5714624
0.51814914,0.5681761
0.5079964,0.54185045
0.5186882,0.5323469
0.54663074,0.5547505
0.6197664,0.62997353
0.6773585,0.6728672
0.6539084,0.64649683
0.6035939,0.6002093
0.54555255,0.5476097
0.4857143,0.48748434
0.42461815,0.4126898
0.3831087,0.354535
0.3507637,0.3330603
0.33890387,0.31610367
0.3362983,0.30603966
0.34968552,0.31969008
0.39380053,0.3618606
0.51177,0.48594743
0.68472594,0.68042076
0.77439356,0.80067956
0.7948787,0.8396004
0.76253366,0.8435594
0.7387242,0.83730155
0.73144656,0.815988
0.731177,0.8211841
0.72075474,0.8099716
0.7274933,0.79715556
0.7574124,0.8096065
0.8008985,0.8715023
0.82461816,0.85621154
0.7928122,0.8186019
0.7273136,0.75271624
0.65013474,0.6667452
0.5630728,0.56723017
0.4865229,0.49118835
0.42255166,0.4123353
0.38553458,0.36355892
0.36585805,0.34278822
0.35876012,0.3317395
0.36738545,0.34195974
0.40907457,0.38381076
0.5314465,0.50636005
0.7071878,0.6913873
0.7891285,0.8013106
0.79739445,0.82617134
0.755885,0.8153915
0.71761006,0.79454994
0.68167114,0.7651267
0.6659479,0.7695315
0.6760108,0.76122165
0.7021563,0.75448096
0.74582213,0.77114093
0.8060198,0.8233885
0.83414197,0.825637
0.80368376,0.80853033
0.7422282,0.7466212
0.66801435,0.66571367
0.5795148,0.56420827
0.5015274,0.4891358
0.4374663,0.41127717
0.39991015,0.37522957
0.38032344,0.35279047
0.37484276,0.34243023
0.38086253,0.35421744
0.4203055,0.39228886
0.54438454,0.511914
0.72677445,0.70524
0.8141959,0.81278795
0.82228214,0.8364513
0.78068286,0.8250603
0.7422282,0.80560327
0.7010782,0.77840453
0.69856244,0.7853768
0.7073675,0.7824867
0.74159926,0.7793435
0.7912848,0.8008838
0.8458221,0.8616948
0.8552561,0.86351943
0.8135669,0.8395546
0.7456424,0.769418
0.6674753,0.6758766
0.57574123,0.5699251
0.49362084,0.4951986
0.43279424,0.41674396
0.39577717,0.3722114
0.38068283,0.34941614
0.37574124,0.3392012
0.3831087,0.34479356
0.42362982,0.3817851
0.54950583,0.5083312
0.7306379,0.69576824
0.8383648,0.79625773
0.8859838,0.83706653
0.8965858,0.8280576
0.89766395,0.81198525
0.8771788,0.7796802
0.8468104,0.781874
0.82246184,0.7707492
0.80242586,0.76466984
0.80350405,0.78233063
0.8271339,0.82593536
0.85390836,0.8325448
0.8277628,0.8131382
0.76361185,0.7538908
0.6768194,0.6739231
0.5807727,0.5731959
0.5008086,0.49285793
0.43683738,0.41143456
0.3982929,0.36293107
0.37690926,0.34109387
0.37088948,0.33180833
0.3756514,0.34268504
0.41644204,0.38949263
0.5356694,0.5142523
0.7108715,0.69505763
0.79514825,0.80632967
0.8034142,0.8277173
0.76163524,0.8127895
0.72354,0.79037637
0.69739443,0.75580215
0.6874214,0.75991374
0.6762803,0.7514
0.68400717,0.7453649
0.72165316,0.75882715
0.7743037,0.8179152
0.80449235,0.81624454
0.77385443,0.7914089
0.7100629,0.71425825
0.6230009,0.6229325
0.54141957,0.52996856
0.48427674,0.4642098
0.41725066,0.3914115
0.37286612,0.36014983
0.34663072,0.33106023
0.33369273,0.3134659
0.3328841,0.30788842
0.34510332,0.32226053
0.39595687,0.37015265
0.4703504,0.4369387
0.54663074,0.51652616
0.6195867,0.57487786
0.6299191,0.59698594
0.6090746,0.5881607
0.56837374,0.56740737
0.5309973,0.5523142
0.502965,0.5253867
0.49937108,0.5125227
0.5431267,0.5312484
0.6176999,0.60517734
0.67969453,0.654346
0.66208446,0.6459389
0.6098832,0.6037777
0.54330635,0.5482179
0.49020666,0.48995095
0.43297395,0.42192125
0.3831087,0.35819355
0.35049415,0.31662077
0.3255166,0.2902665
0.31356692,0.27831304
0.30880502,0.27667794
0.3163522,0.28385764
0.34249777,0.30884603
0.38032344,0.34897244
0.42255166,0.40739304
0.45462713,0.46065274
0.44591194,0.49154052
0.43530998,0.49582735
0.4349506,0.49260238
0.41985625,0.48251086
0.419407,0.46520847
0.42857143,0.4606687
0.48086253,0.49439585
0.5814915,0.5774864
0.65867025,0.64298356
0.6499551,0.65174735
0.60224617,0.6064082
0.541779,0.5345758
0.47996405,0.46112937
0.4025157,0.3909148
0.35938904,0.33688986
0.33620843,0.31514725
0.32345015,0.29690957
0.32327044,0.28702304
0.33566937,0.2934514
0.38319856,0.3150583
0.5180593,0.4014194
0.7075472,0.5673496
0.81185985,0.6794871
0.8492363,0.7227818
0.8532794,0.72622544
0.85058403,0.7213338
0.8207547,0.6960352
0.82443845,0.6976791
0.8249775,0.6848763
0.8211141,0.6765329
0.83081764,0.69908005
0.8655885,0.7650836
0.86001796,0.7683808
0.8245283,0.7580762
0.75507635,0.70399266
0.6678347,0.62572587
0.5705301,0.53152984
0.48607367,0.45725518
0.42695418,0.3794075
0.39667565,0.3689492
0.38203055,0.34793192
0.37385446,0.3367744
0.3824798,0.3462936
0.42362982,0.38921246
0.55049413,0.51490915
0.7234501,0.6956446
0.8085355,0.80123246
0.84231806,0.82441473
0.82407904,0.8104877
0.80440253,0.7909071
0.78571427,0.76019216
0.78867924,0.7642345
0.78769094,0.75735617
0.7957772,0.7515848
0.81698114,0.76947844
0.8469901,0.8190885
0.85274035,0.82484627
0.83198565,0.810578
0.76684636,0.7473691
0.6821204,0.6662337
0.5836478,0.56645507
0.5021563,0.48996234
0.43423182,0.41341347
0.3973046,0.37744257
0.38050315,0.35624588
0.3732255,0.34544528
0.38023362,0.35291916
0.42192274,0.3935424
0.54708,0.51782465
0.7254268,0.7023485
0.8148248,0.80581415
0.8221024,0.82935953
0.77484274,0.8151267
0.7286613,0.7969971
0.6925427,0.7648244
0.69227314,0.7729705
0.6931716,0.7660947
0.71545374,0.7644828
0.76567835,0.78903484
0.8249775,0.8501584
0.84123987,0.8578279
0.828212,0.8387517
0.7631626,0.7677691
0.6814016,0.6781099
0.5834681,0.57594556
0.5020665,0.49709123
0.43261456,0.42177576
0.39424977,0.3715913
0.3783468,0.34841496
0.37538186,0.33916333
0.38140163,0.34564438
0.42075473,0.3851063
0.54950583,0.51150185
0.7275831,0.69426477
0.8030548,0.7923485
0.8038634,0.8187748
0.7567835,0.8042075
0.7184187,0.7876919
0.6911051,0.7548049
0.6877808,0.7617932
0.6831986,0.75462544
0.70467204,0.7531911
0.757053,0.7770861
0.8165319,0.83369005
0.84743935,0.84143734
0.84016174,0.82427704
0.7779874,0.75684875
0.68912846,0.667096
0.58966756,0.56811553
0.5081761,0.48732817
0.43827492,0.4119763
0.40080863,0.37910917
0.38149145,0.35364598
0.37457323,0.34267998
0.38283917,0.3429728
0.4243486,0.37039357
0.544115,0.4715321
0.7124888,0.6450662
0.8114106,0.7628958
0.82839173,0.8061969
0.78463614,0.7988241
0.746451,0.78176856
0.7009883,0.7435363
0.6864331,0.74192446
0.6737646,0.7265912
0.6878706,0.7167584
0.73108715,0.7341123
0.7902965,0.79701155
0.8157233,0.79870284
0.804133,0.77365905
0.7419587,0.71004623
0.65597486,0.63649875
0.5731357,0.5540368
0.5091644,0.48499203
0.44761905,0.41031197
0.40143755,0.37300366
0.3758311,0.33995056
0.36720574,0.32162613
0.36433065,0.31867212
0.3725966,0.3286775
0.4248877,0.37219703
0.49514824,0.4422363
0.56001794,0.5228053
0.6015274,0.5834991
0.584097,0.61016315
0.55525607,0.6022661
0.52542675,0.5871716
0.501168,0.57056266
0.5015274,0.5467249
0.5229111,0.5333492
0.5601078,0.5529789
0.63036835,0.6330134
0.67960465,0.6748166
0.67861634,0.654738
0.62955976,0.6167773
0.56460017,0.5594404
0.5091644,0.5013258
0.44681042,0.43330503
0.39451933,0.36958066
0.3591195,0.3403443
0.33602875,0.308961
0.32803234,0.29447222
0.32515723,0.29279244
0.33189577,0.29438633
0.36082658,0.31978163
0.3931716,0.3639992
0.43036836,0.4305567
0.4538185,0.4969431
0.43899372,0.5384386
0.4250674,0.5452181
0.42389938,0.5494875
0.40925425,0.53288203
0.40709794,0.5206337
0.4262354,0.5096266
0.49496856,0.53827566
0.5977538,0.62938106
0.6657682,0.6799219
0.6743037,0.66553193
0.63063794,0.62793034
0.57493263,0.5660846
0.5139263,0.49667346
0.44366577,0.42685974
0.389398,0.37312493
0.36280322,0.3542604
0.35561547,0.33587548
0.35354897,0.32794768
0.3657682,0.3415344
0.41392633,0.3788601
0.5386343,0.49859148
0.6959569,0.69641316
0.7913747,0.81031513
0.8124888,0.8529086
0.775292,0.8542917
0.74483377,0.8457578
0.7231806,0.82475686
0.73009884,0.8284787
0.73962265,0.81980705
0.7633423,0.8094026
0.805301,0.82527584
0.8447439,0.8810808
0.84537286,0.86771
0.8383648,0.83016014
0.777628,0.77342063
0.69874215,0.6909661
0.60197663,0.5910756
0.5238994,0.5118747
0.4591195,0.43260592
0.4192273,0.39608744
0.40314466,0.37177962
0.39604673,0.36108726
0.40116802,0.37151983
0.44537288,0.40738264
0.5637017,0.5300894
0.71743035,0.7243644
0.7967655,0.8355423
0.80754715,0.8753549
0.7757412,0.8702151
0.7380054,0.85267353
0.7105121,0.8235357
0.710602,0.82596666
0.71662176,0.8170613
0.74779874,0.8088382
0.79191375,0.8258754
0.83602875,0.8751879
0.84330636,0.86898303
0.8504043,0.83254397
0.78661275,0.7759909
0.7083558,0.698651
0.61796945,0.59866065
0.53845465,0.52215505
0.4737646,0.44366166
0.4328841,0.41918203
0.41455525,0.39372614
0.40907457,0.38132274
0.41482478,0.38775837
0.45300987,0.4192549
0.5716981,0.5392806
0.7209344,0.74307716
0.81707096,0.86473364
0.8381851,0.91448545
0.80880505,0.9135347
0.79083556,0.8952084
0.7725966,0.8613501
0.77439356,0.8635215
0.7686433,0.84865725
0.77502245,0.8383107
0.81185985,0.8546403
0.8650494,0.91223085
0.86963165,0.9012609
0.8719677,0.85183275
0.8124888,0.79514843
0.7350404,0.7225922
0.64528304,0.6258605
0.5650494,0.55097425
0.48409703,0.47096756
0.43980235,0.42203495
0.42596585,0.39502746
0.41859838,0.3850862
0.4239892,0.38385126
0.45849058,0.4155916
0.5802336,0.53813124
0.72767293,0.74032545
0.81626236,0.8516513
0.8405211,0.902544
0.8196766,0.8920075
0.8104223,0.8705593
0.8009883,0.8326408
0.7955975,0.834521
0.7851752,0.8215537
0.7945193,0.8188586
0.82533693,0.8399417
0.8573226,0.885873
0.8724169,0.88454354
0.874124,0.84693265
0.8114106,0.7905562
0.7250674,0.7208333
0.63486075,0.6240068
0.55507636,0.5414639
0.4910153,0.4610131
0.45148247,0.42665794
0.43261456,0.39505485
0.42884097,0.3810669
0.43674752,0.3836492
0.46945193,0.4093872
0.57825696,0.5072123
0.7150943,0.6900429
0.80979335,0.81441885
0.83944297,0.86448514
0.82102424,0.8617142
0.8081761,0.8331619
0.7881402,0.7987025
0.7942498,0.79026586
0.79496855,0.7777107
0.7952381,0.76566976
0.8227314,0.781637
0.84249777,0.84901434
0.8361186,0.84483796
0.82246184,0.79859793
0.76172507,0.7407654
0.6749326,0.6708834
0.59254265,0.5897234
0.51940703,0.5218189
0.45768195,0.44465414
0.41473496,0.40370065
0.39344114,0.36898986
0.38625336,0.349865
0.37879604,0.3474215
0.38742137,0.35866052
0.42740342,0.40579516
0.48355794,0.48415002
0.56855345,0.5669347
0.6396226,0.6344149
0.6562444,0.6636303
0.6502246,0.6506541
0.62920034,0.6361918
0.60539085,0.6172612
0.5859838,0.59240913
0.5755615,0.5768002
0.6007188,0.5935552
0.6490566,0.66992253
0.6819407,0.7134533
0.6855346,0.68154216
0.63755614,0.64167637
0.5731357,0.58487964
0.51662177,0.5274654
0.45031446,0.45894915
0.3952381,0.39315248
0.35543576,0.33875498
0.33189577,0.30607513
0.3214735,0.293243
0.3159928,0.28620955
0.3211141,0.30029067
0.34402516,0.32245767
0.368823,0.35365453
0.4260557,0.40479505
0.4690027,0.4678773
0.4754717,0.51479006
0.4555256,0.52293324
0.42938006,0.5334444
0.40314466,0.52351
0.41581312,0.50616705
0.45974842,0.50123477
0.51608264,0.52695465
0.5924528,0.6025833
0.6340521,0.66377443
0.6309973,0.65146804
0.58625335,0.6041321
0.533513,0.53889656
0.46765497,0.4726658
0.39442948,0.40366894
0.35004494,0.34915182
0.3230009,0.30446124
0.31212938,0.28915957
0.31248876,0.2795854
0.3255166,0.29362306
0.3725966,0.31109938
0.5042228,0.38877305
0.65139264,0.5437948
0.736478,0.65222067
0.7327044,0.6923804
0.68921834,0.69107413
0.6585804,0.678184
0.6331536,0.6440428
0.6393531,0.64055824
0.6522911,0.62043023
0.6731357,0.60683405
0.7161725,0.6209203
0.7630728,0.68366414
0.7649596,0.7217772
0.7798742,0.744264
0.7168913,0.69032395
0.6332435,0.59766996
0.5419587,0.4957198
0.4560647,0.42763746
0.3914645,0.3462386
0.35408804,0.34866652
0.33719677,0.3259718
0.33090746,0.31431603
0.34312668,0.32822916
0.38562444,0.36751187
