true,forecasted
0.4083558,0.40232232
0.38391733,0.3813717
0.37816712,0.37160707
0.3831087,0.3807191
0.42362982,0.42521107
0.5572327,0.55756634
0.74681044,0.7438461
0.8395328,0.84296834
0.8591195,0.8633201
0.8291105,0.85591626
0.7933513,0.8343014
0.76154536,0.812928
0.75696313,0.8150695
0.7628931,0.82242465
0.78778076,0.8332551
0.82120395,0.8703884
0.875292,0.9253906
0.8900269,0.8994414
0.8513926,0.85239446
0.78238994,0.7768771
0.6960467,0.69516444
0.59685534,0.59731907
0.51401615,0.51662195
0.44357592,0.4506063
0.4024259,0.40471455
0.38185084,0.38220534
0.37915543,0.37320793
0.38823,0.38169995
0.42848158,0.428226
0.55498654,0.5630802
0.74357593,0.75220823
0.8407008,0.8488064
0.8534591,0.8675476
0.8185085,0.8615341
0.77439356,0.8400696
0.73468107,0.81922174
0.72686434,0.8254668
0.7315364,0.8353733
0.7601078,0.84493715
0.8079964,0.88145566
0.8744834,0.93216956
0.8814915,0.9069188
0.8395328,0.8615904
0.7725966,0.7826949
0.6929919,0.69498646
0.6008086,0.5950116
0.52021563,0.51507145
0.45013478,0.44802535
0.4083558,0.4059014
0.38831985,0.38273436
0.38113207,0.37289798
0.3901168,0.3774933
0.4328841,0.4178189
0.56244385,0.54843765
0.74995506,0.7471976
0.841779,0.8498259
0.86433065,0.87011033
0.8373765,0.85761607
0.79712486,0.83226997
0.75732255,0.80455405
0.74761903,0.8065448
0.74483377,0.81606025
0.76756513,0.8247978
0.8114106,0.8605538
0.8713387,0.92018354
0.8885894,0.90329427
0.85184187,0.86635715
0.7881402,0.78267616
0.701168,0.6919557
0.6027853,0.5952578
0.52803236,0.51865834
0.45822102,0.44852072
0.41302785,0.41183546
0.39074573,0.3866557
0.38598382,0.37694103
0.39362085,0.3831043
0.43153638,0.42366827
0.55606467,0.5556845
0.74797845,0.7493833
0.8448338,0.8619323
0.87879604,0.9037163
0.8667565,0.90657973
0.85085356,0.88529116
0.8345013,0.86179173
0.8365678,0.85569006
0.8397125,0.85785425
0.84645104,0.8551156
0.8490566,0.8779228
0.8867026,0.9171319
0.87888587,0.88595337
0.8184187,0.8252306
0.7410602,0.74694663
0.65453726,0.66403615
0.5725067,0.58136946
0.508266,0.51196206
0.43980235,0.445058
0.3984726,0.38839784
0.3674753,0.3544258
0.35300988,0.33791903
0.3495957,0.33318362
0.36307278,0.34847218
0.40979335,0.40479404
0.48796046,0.48385215
0.5714286,0.56685716
0.65579516,0.63331795
0.6854448,0.6583917
0.67268646,0.651618
0.64402515,0.63828766
0.5933513,0.62322676
0.5670261,0.61567825
0.56055707,0.6058193
0.59694517,0.6307974
0.66531897,0.68608314
0.7073675,0.7089413
0.6689128,0.6811634
0.61698115,0.6180111
0.55516624,0.55633104
0.49955076,0.4992412
0.44052112,0.43548918
0.39442948,0.38044316
0.35597485,0.34507468
0.33072776,0.31484494
0.32021564,0.29776597
0.3159928,0.29349074
0.3239892,0.30679294
0.3502246,0.34067166
0.39398023,0.38096046
0.45040432,0.43696535
0.5043127,0.5038939
0.52955973,0.54593545
0.5398922,0.56293535
0.539982,0.5724168
0.51814914,0.5640687
0.5079964,0.5496213
0.5186882,0.5412699
0.54663074,0.56147826
0.6197664,0.62985903
0.6773585,0.67201704
0.6539084,0.6683567
0.6035939,0.612279
0.54555255,0.5559987
0.4857143,0.49607322
0.42461815,0.41878685
0.3831087,0.36385703
0.3507637,0.34163085
0.33890387,0.32792583
0.3362983,0.32488507
0.34968552,0.3385032
0.39380053,0.3957786
0.51177,0.53383154
0.68472594,0.716972
0.77439356,0.8111732
0.7948787,0.83953273
0.76253366,0.83908355
0.7387242,0.8304302
0.73144656,0.82166135
0.731177,0.8185503
0.72075474,0.8125242
0.7274933,0.81101424
0.7574124,0.8259754
0.8008985,0.8668002
0.82461816,0.85895425
0.7928122,0.83140373
0.7273136,0.75559235
0.65013474,0.67113876
0.5630728,0.57459503
0.4865229,0.4889872
0.42255166,0.4214837
0.38553458,0.38517502
0.36585805,0.36576113
0.35876012,0.35812303
0.36738545,0.36803985
0.40907457,0.41674465
0.5314465,0.5471859
0.7071878,0.7191269
0.7891285,0.80929303
0.79739445,0.82720447
0.755885,0.81224865
0.71761006,0.7883046
0.68167114,0.76468706
0.6659479,0.7589435
0.6760108,0.7585191
0.7021563,0.76519966
0.74582213,0.7913097
0.8060198,0.82893574
0.83414197,0.83079475
0.80368376,0.8153769
0.7422282,0.74399245
0.66801435,0.6665851
0.5795148,0.5718304
0.5015274,0.49191177
0.4374663,0.42618775
0.39991015,0.39167863
0.38032344,0.3715076
0.37484276,0.36325848
0.38086253,0.373318
0.4203055,0.41363287
0.54438454,0.53567666
0.72677445,0.71658134
0.8141959,0.8069784
0.82228214,0.82220006
0.78068286,0.8078792
0.7422282,0.7861194
0.7010782,0.76321626
0.69856244,0.7613046
0.7073675,0.7676096
0.74159926,0.7747796
0.7912848,0.80485225
0.8458221,0.85310715
0.8552561,0.8539453
0.8135669,0.8414955
0.7456424,0.7674284
0.6674753,0.67745763
0.57574123,0.5762656
0.49362084,0.49776798
0.43279424,0.42863828
0.39577717,0.3906829
0.38068283,0.3726982
0.37574124,0.36402386
0.3831087,0.37171328
0.42362982,0.41766322
0.54950583,0.5442205
0.7306379,0.7250034
0.8383648,0.8212476
0.8859838,0.84944195
0.8965858,0.84065783
0.89766395,0.8174248
0.8771788,0.79017913
0.8468104,0.7831269
0.82246184,0.78105086
0.80242586,0.7805611
0.80350405,0.7952305
0.8271339,0.8263655
0.85390836,0.8288051
0.8277628,0.8266866
0.76361185,0.75999165
0.6768194,0.6752616
0.5807727,0.5799707
0.5008086,0.50067025
0.43683738,0.4293002
0.3982929,0.3811082
0.37690926,0.35735542
0.37088948,0.34931788
0.3756514,0.36060256
0.41644204,0.40574265
0.5356694,0.53137606
0.7108715,0.69695324
0.79514825,0.7912029
0.8034142,0.81242025
0.76163524,0.8011464
0.72354,0.77263373
0.69739443,0.744774
0.6874214,0.7390716
0.6762803,0.73951924
0.68400717,0.73704857
0.72165316,0.760225
0.7743037,0.80166525
0.80449235,0.8054073
0.77385443,0.78277266
0.7100629,0.70429236
0.6230009,0.6110977
0.54141957,0.52863574
0.48427674,0.4617023
0.41725066,0.39826846
0.37286612,0.37663728
0.34663072,0.34785408
0.33369273,0.33161446
0.3328841,0.32800356
0.34510332,0.3450747
0.39595687,0.39115715
0.4703504,0.45651335
0.54663074,0.5289875
0.6195867,0.58586967
0.6299191,0.59921575
0.6090746,0.58384436
0.56837374,0.5616045
0.5309973,0.54230636
0.502965,0.53013223
0.49937108,0.52666503
0.5431267,0.55153924
0.6176999,0.6069524
0.67969453,0.6541416
0.66208446,0.66227365
0.6098832,0.60892123
0.54330635,0.5471283
0.49020666,0.48945978
0.43297395,0.42557764
0.3831087,0.36969018
0.35049415,0.33690837
0.3255166,0.31666094
