true,forecasted
0.597234,0.6346645
0.6029095,0.62963164
0.6039533,0.6313203
0.6246331,0.64057463
0.660578,0.67132735
0.7532781,0.77241176
0.865288,0.89258426
0.881597,0.92604387
0.86607087,0.91387343
0.86352664,0.90018344
0.84349924,0.89602447
0.83586663,0.8688081
0.82790786,0.86324364
0.82732075,0.8489524
0.8386718,0.84414554
0.8432383,0.8618163
0.85674214,0.8659872
0.8436297,0.87808156
0.83221346,0.8636747
0.8187749,0.85303324
0.7874617,0.8197846
0.72777086,0.7807041
0.66866726,0.7196256
0.6397025,0.6863114
0.6096288,0.6276719
0.6012134,0.6189672
0.60023487,0.6284868
0.6084546,0.64080215
0.63826734,0.67532706
0.7307717,0.7703913
0.8448692,0.89874417
0.8743558,0.9239356
0.8758562,0.90282166
0.86307,0.8938582
0.84460825,0.8762998
0.8241242,0.85420257
0.8070324,0.8548001
0.8126427,0.8476189
0.8147302,0.84342074
0.8236676,0.86195827
0.84108555,0.8664604
0.83841085,0.8739145
0.82503754,0.8596948
0.80487967,0.8333448
0.7707613,0.79556423
0.7232044,0.75935566
0.6773436,0.69459176
0.64720464,0.6536599
0.62150174,0.6036485
0.6084546,0.5938357
0.6079327,0.59635663
0.6196099,0.6073314
0.6451171,0.63489413
0.73383784,0.72032607
0.8364538,0.8416876
0.86124337,0.8628537
0.85002285,0.84264696
0.837628,0.83679634
0.816883,0.82712966
0.80775,0.80574304
0.8014221,0.80774975
0.79939985,0.7992516
0.7931372,0.7909826
0.80018264,0.79750615
0.81831825,0.7806574
0.80057406,0.7741221
0.77617586,0.7663136
0.75282145,0.7358722
0.72516143,0.6985774
0.6744732,0.6588028
0.6272425,0.58901715
0.5841216,0.55171657
0.5573097,0.53589696
0.5475243,0.5250325
0.54765475,0.52428746
0.5544393,0.53005123
0.58581775,0.5631242
0.67108095,0.64929694
0.77539307,0.7536425
0.80103076,0.77849364
0.79744273,0.76198524
0.78785306,0.7557317
0.7708265,0.7501458
0.75066864,0.72571224
0.752691,0.7223911
0.7574532,0.7160061
0.7539957,0.71281105
0.757127,0.72151065
0.7731098,0.72618556
0.77056557,0.72107816
0.7391219,0.7072001
0.71113575,0.67787904
0.6770174,0.6433297
0.6311566,0.6096559
0.60167,0.5553887
0.56435513,0.5311521
0.5442625,0.532036
0.5234523,0.5199329
0.512297,0.51112527
0.5138626,0.50932807
0.5263879,0.51742977
0.5472634,0.53966516
0.5801422,0.57914263
0.6372888,0.62496746
0.66879773,0.66115916
0.69156504,0.6853733
0.69893664,0.6933042
0.6945006,0.6737208
0.6746037,0.669179
0.68269295,0.66275656
0.67936593,0.66614705
0.6890208,0.69108284
0.7110053,0.7080697
0.70996153,0.71363246
0.68784654,0.68684506
0.66051275,0.66288227
0.62972146,0.63309056
0.6054537,0.6066305
0.57642376,0.56050074
0.550199,0.5394736
0.52867115,0.524666
0.51418877,0.5129086
0.51157933,0.5073463
0.52103853,0.50917214
0.5205819,0.51420474
