true,forecasted
0.597234,0.6243797
0.6029095,0.6160774
0.6039533,0.6195279
0.6246331,0.627072
0.660578,0.67309815
0.7532781,0.77531433
0.865288,0.8845277
0.881597,0.90215486
0.86607087,0.89033896
0.86352664,0.87766016
0.84349924,0.85826415
0.83586663,0.8433444
0.82790786,0.8381134
0.82732075,0.8326993
0.8386718,0.8326258
0.8432383,0.8433987
0.85674214,0.84977263
0.8436297,0.85730124
0.83221346,0.845419
0.8187749,0.8197521
0.7874617,0.8037551
0.72777086,0.75619084
0.66866726,0.69956577
0.6397025,0.65763175
0.6096288,0.64281285
0.6012134,0.6341389
0.60023487,0.6388208
0.6084546,0.6519804
0.63826734,0.69258255
0.7307717,0.79153
0.8448692,0.90315247
0.8743558,0.92393094
0.8758562,0.9138218
0.86307,0.89707947
0.84460825,0.8716696
0.8241242,0.8561394
0.8070324,0.8522669
0.8126427,0.8460667
0.8147302,0.8495704
0.8236676,0.86222595
0.84108555,0.8706332
0.83841085,0.878047
0.82503754,0.8600851
0.80487967,0.8284064
0.7707613,0.808991
0.7232044,0.7565403
0.6773436,0.69509834
0.64720464,0.6460483
0.62150174,0.61937135
0.6084546,0.60704535
0.6079327,0.6109101
0.6196099,0.6175006
0.6451171,0.6520775
0.73383784,0.75060964
0.8364538,0.86288035
0.86124337,0.88792026
0.85002285,0.8758546
0.837628,0.85899997
0.816883,0.83725554
0.80775,0.8207195
0.8014221,0.8181555
0.79939985,0.8092309
0.7931372,0.8075518
0.80018264,0.81175846
0.81831825,0.8116509
0.80057406,0.80920184
0.77617586,0.7830979
0.75282145,0.7420623
0.72516143,0.7192806
0.6744732,0.66199607
0.6272425,0.60422784
0.5841216,0.56078434
0.5573097,0.54835963
0.5475243,0.5333222
0.54765475,0.53683627
0.5544393,0.53853667
0.58581775,0.5658065
0.67108095,0.6535127
0.77539307,0.7610024
0.80103076,0.79339916
0.79744273,0.785208
0.78785306,0.77546966
0.7708265,0.7562197
0.75066864,0.73982537
0.752691,0.7289381
0.7574532,0.725363
0.7539957,0.72215575
0.757127,0.7304495
0.7731098,0.7426396
0.77056557,0.74861145
0.7391219,0.72196364
0.71113575,0.6755618
0.6770174,0.64211464
0.6311566,0.59734666
0.60167,0.5551711
0.56435513,0.52937555
0.5442625,0.53190994
0.5234523,0.5185578
0.512297,0.5151205
0.5138626,0.5149649
0.5263879,0.52362883
0.5472634,0.5595442
0.5801422,0.59794104
0.6372888,0.64521426
0.66879773,0.68290883
