true,forecasted
0.47930577,0.44227797
0.46325248,0.41299444
0.467335,0.4184176
0.48809358,0.42822957
0.5426886,0.4577472
0.7045363,0.63137
0.80535376,0.7537719
0.8704665,0.81669027
0.89309335,0.85760146
0.87987703,0.8567481
0.89703745,0.878596
0.89177865,0.86765313
0.90437216,0.8950609
0.8750334,0.8411629
0.85655826,0.8526428
0.8701205,0.8831667
0.9433291,0.92544633
0.93121994,0.91949993
0.9204947,0.89398384
0.8716428,0.8624149
0.77117133,0.7649574
0.67498994,0.6553851
0.5835138,0.5750093
0.50926733,0.48570853
0.46864972,0.4380538
0.44816792,0.4104175
0.45626375,0.41726664
0.47681475,0.4188756
0.5240751,0.4540088
0.6958869,0.61716217
0.8115122,0.7364055
0.8909483,0.8018742
0.91163766,0.8422666
0.89745265,0.8419981
0.90886986,0.8545342
0.9084547,0.8538698
0.9150282,0.8715849
0.8897028,0.82150686
0.8688058,0.82781017
0.88160694,0.86678964
0.944713,0.9068678
0.94111484,0.893663
0.9346797,0.8744591
0.88700414,0.84672135
0.78120464,0.74654627
0.674298,0.6409278
0.59562296,0.55773425
0.51888543,0.47123843
0.4861561,0.43303627
0.46643546,0.40570652
0.4647748,0.4129992
0.47999772,0.41951892
0.5312022,0.455811
0.69775516,0.62477386
0.80701447,0.74440444
0.8754486,0.8059537
0.90741676,0.84639853
0.90201956,0.84494364
0.9218786,0.86605763
0.92845213,0.8564074
0.9300436,0.878266
0.9112225,0.8281956
0.8819529,0.8336172
0.87849313,0.8665876
0.942222,0.9036452
0.9318427,0.8977667
0.9196643,0.8750372
0.8739955,0.8424162
0.7773297,0.74458367
0.68211704,0.63675606
0.5911945,0.55413383
0.519785,0.46936673
0.48068967,0.43489355
0.45937756,0.40783185
0.4619378,0.41527718
0.48241955,0.42004162
0.53798336,0.4524882
0.70619696,0.6202448
0.8173246,0.73968804
0.88735014,0.80290574
0.9210482,0.8440084
0.9081779,0.8435559
0.9280369,0.86135817
0.9288673,0.854524
0.9320503,0.8764298
0.8981446,0.82508755
0.8587033,0.8334002
0.8702589,0.86711615
0.93807024,0.907113
0.9234009,0.8979842
0.9148899,0.87567776
0.85946447,0.8463437
0.7592006,0.748435
0.6646106,0.6405007
0.5834446,0.5598795
0.51660204,0.47247463
0.46166098,0.38117632
0.44332424,0.34676546
0.43626633,0.3454343
0.43875736,0.33779836
0.45453387,0.31989223
0.5171556,0.41962945
0.57278854,0.51309013
0.66931593,0.59312063
0.7326296,0.66148496
0.7567787,0.65272886
0.7690955,0.6688545
0.7654973,0.66336393
0.7510355,0.6737634
0.70225286,0.6278186
0.6801104,0.6290086
0.68045634,0.6804685
0.74999756,0.7305883
0.74764496,0.7413824
0.73449785,0.72627085
0.6802488,0.7062761
0.5997747,0.6279073
0.53625345,0.54108816
0.45833963,0.461462
0.39239654,0.39050704
0.35143298,0.32839322
0.32929048,0.29699528
0.3174581,0.28506583
0.31801167,0.27640894
0.32790658,0.24548182
0.34271437,0.30217907
0.36340374,0.3801733
0.43031555,0.4684201
0.49868044,0.5361851
0.5287112,0.52490455
0.54324216,0.53840566
0.55216837,0.537513
0.56033343,0.54138434
0.53175575,0.50153947
0.511274,0.49704832
0.51224273,0.5459618
0.606971,0.60515404
0.63513345,0.6397699
0.64260656,0.63184106
0.6027501,0.6055601
0.542827,0.53664696
0.4831807,0.46052068
0.4175836,0.38531178
0.3654796,0.33414754
0.33690196,0.37236038
0.3231321,0.35622895
0.32223257,0.35894537
0.353924,0.37088117
0.42678657,0.4357305
0.6317429,0.5855444
0.7551872,0.6957314
0.83773714,0.74921924
0.87759364,0.7644978
0.8711585,0.77233833
0.88306004,0.7835024
0.8883881,0.7840615
0.8894952,0.7935853
0.85496676,0.7582315
0.8211303,0.7568344
0.82908773,0.7747766
0.89295495,0.8061929
0.89323175,0.8143524
0.8824373,0.806242
0.8396746,0.75821364
0.7363661,0.6658224
0.6361714,0.5616557
0.54531807,0.48652503
0.48124325,0.41535962
0.43841138,0.43562615
0.4224273,0.40933758
0.4264406,0.41357005
0.44339344,0.42773643
0.49819607,0.48202863
0.6599054,0.6585578
0.77407753,0.7756083
0.85039985,0.83871025
0.8726807,0.8691265
0.8531677,0.8641407
0.8643081,0.890538
0.8764865,0.8803417
0.8877653,0.9016248
0.86091757,0.85357165
0.83621484,0.8564834
0.8281882,0.8846461
0.90305746,0.91850424
0.9112917,0.92295164
0.89994365,0.9004058
0.8503307,0.85162956
0.7480601,0.75223964
0.6551309,0.6384318
0.56185573,0.5541207
0.49349082,0.4769215
0.45612538,0.43630913
0.42637143,0.40928626
0.43142268,0.41363806
0.44906744,0.42472154
0.5029706,0.47176087
0.6724989,0.6442627
0.78431845,0.7632961
0.8560047,0.8262934
0.87980783,0.8610558
0.8853435,0.85577154
0.9049949,0.8811278
0.9084547,0.87213767
0.91876477,0.8924271
0.8892876,0.8442863
0.8526833,0.8467839
0.851507,0.8787381
0.9037494,0.91215336
0.90430295,0.9121965
0.9025731,0.88943523
0.86340857,0.8478663
0.7594773,0.74898005
0.6635727,0.63754135
0.5780474,0.552318
0.5036625,0.47437674
0.4643596,0.43904793
0.44346264,0.4127956
0.44775274,0.41789138
0.46830374,0.42743874
0.5195774,0.46743146
0.67755014,0.6393302
0.79089195,0.7597854
0.8715736,0.82456267
0.8964147,0.86214536
0.89170945,0.85765445
0.9023655,0.88030577
0.9068632,0.87232417
0.9127448,0.89423275
0.88306004,0.84387016
0.8532369,0.8493984
0.85206056,0.8817393
0.9135751,0.91996205
0.9204255,0.91617876
0.90720916,0.89306116
0.85759616,0.8556588
0.7631447,0.75612694
0.65692997,0.6453648
0.569398,0.5617638
0.5037317,0.47966248
0.46408284,0.43110222
0.4399337,0.4072163
0.4443622,0.4112764
0.46325248,0.4233652
0.5116891,0.47743496
0.6639879,0.6486907
0.7760842,0.7647977
0.84908515,0.827057
0.87607133,0.8593588
0.87468743,0.85493505
0.8998053,0.8770417
0.8995285,0.8702347
0.9067248,0.88738334
0.87185043,0.8402996
0.8386367,0.84219587
0.82507443,0.8724107
0.889426,0.9063407
0.8920554,0.9091241
0.8689442,0.88768834
0.82486683,0.84394056
0.72903144,0.7426574
0.6419146,0.6324987
0.5556281,0.54646343
0.48857793,0.4698434
0.44450057,0.36414117
0.41765282,0.33919972
0.40796548,0.34253404
0.40969536,0.34344307
0.42969278,0.3676828
0.48020533,0.4859091
0.54808587,0.5822018
0.63541025,0.6452289
0.70778847,0.69035345
0.7307613,0.6910734
0.7407254,0.7056417
0.72474134,0.70095575
0.7147772,0.70570505
0.6670325,0.66892815
0.6346491,0.6647688
0.6405307,0.6992459
0.7095876,0.73774993
0.7251565,0.7488897
0.7053667,0.73908025
0.6635035,0.7054041
0.58877265,0.61943674
0.52213764,0.5292983
0.4393801,0.45028493
0.37751958,0.381358
0.3289445,0.31213874
0.30327308,0.2828443
0.29725307,0.27247834
0.29877537,0.26860657
0.30797836,0.2467671
0.32991323,0.30710953
0.35634583,0.38462755
0.42699417,0.46489152
0.48636368,0.52594936
0.5370838,0.5192552
0.5474631,0.5352813
0.55064607,0.5305379
0.5568736,0.5337596
0.5253206,0.49819535
0.49695057,0.49168867
0.502763,0.53149825
0.58752716,0.5863968
0.63949275,0.6251215
0.6448208,0.61955065
0.6110535,0.58695513
0.5487086,0.5197009
0.4909306,0.44360644
0.4193827,0.3706283
0.36624074,0.32050616
0.34548217,0.36862433
0.3333038,0.35344625
0.33717874,0.35627618
0.3580757,0.36767426
0.43412128,0.42767283
0.612991,0.5756459
0.7509663,0.6861613
0.8331011,0.73823005
0.8653461,0.75500053
0.8614019,0.76513314
0.87447983,0.77442664
0.8753794,0.7749227
0.8822989,0.7861295
0.8513686,0.7497488
0.8198848,0.7508589
0.81379557,0.7658408
0.8722656,0.80186445
0.90298826,0.80806804
0.90167356,0.79984784
0.84929276,0.7555973
0.746607,0.6623534
0.6479346,0.5608323
0.563378,0.48779973
0.48926988,0.4144393
0.45474148,0.43282163
0.43301415,0.40764952
0.44027966,0.41298145
0.4598619,0.42221376
0.5198542,0.47064462
0.6641263,0.6410603
