true,forecasted
0.38777885,0.39188635
0.38603297,0.39067158
0.4017459,0.40444607
0.42909795,0.45044944
0.53482056,0.5536682
0.68535405,0.7119548
0.80058193,0.7905989
0.82696414,0.81234986
0.82618815,0.7915553
0.785451,0.7659512
0.7670223,0.748168
0.756935,0.7473503
0.72124153,0.7226143
0.6979631,0.708923
0.7078565,0.72178745
0.7817653,0.79266
0.86673135,0.85529417
0.857226,0.86638165
0.82502425,0.823815
0.7346266,0.73314035
0.62192047,0.6006387
0.5253152,0.50167996
0.456838,0.44152546
0.42386034,0.40487057
0.4073715,0.38780102
0.40698352,0.3828903
0.41745877,0.39465955
0.45877787,0.43711293
0.5414161,0.5410005
0.6927255,0.69942075
0.8085354,0.78698784
0.83918524,0.81599784
0.84073716,0.8038548
0.83355963,0.7827247
0.82948595,0.76269746
0.828904,0.764018
0.7755577,0.7431911
0.757517,0.7268256
0.7650824,0.74076986
0.8023278,0.7993122
0.87972844,0.8313422
0.87643063,0.84156626
0.8387973,0.82216346
0.76217264,0.7412988
0.63918525,0.60516685
0.53928226,0.50348234
0.46789524,0.43770564
0.42812803,0.39689898
0.40232784,0.39587453
0.40872937,0.39094183
0.4242483,0.39993763
0.4655674,0.4452549
0.56469446,0.54785585
0.7123181,0.6812104
0.8339476,0.7739348
0.87216294,0.81109184
0.871193,0.8039928
0.84675074,0.7989912
0.842871,0.78835344
0.83821535,0.77118605
0.7968962,0.75375056
0.77361786,0.73773044
0.75674105,0.7411814
0.7961203,0.789832
0.8758487,0.83498156
0.8688652,0.83471113
0.8413191,0.82483053
0.75674105,0.7342982
0.6312318,0.6115405
0.5299709,0.51105535
0.46207565,0.44822785
0.4440349,0.39979994
0.43045586,0.40480995
0.42677012,0.40219885
0.44073716,0.41225466
0.47410282,0.45834544
0.5613967,0.5599678
0.70882636,0.69173044
0.7947624,0.7753621
0.83045584,0.80374897
0.8186227,0.7908612
0.78642094,0.7742946
0.77904946,0.76123667
0.77846754,0.73948985
0.74781764,0.71909386
0.7326867,0.7022716
0.7371484,0.7055604
0.7782735,0.7537133
0.85121244,0.80837965
0.8614937,0.82561946
0.81823474,0.8169054
0.7328807,0.73031986
0.60814744,0.61187845
0.5196896,0.5135931
0.45548013,0.45101163
0.42308438,0.40758133
0.41125122,0.39833346
0.39922404,0.39447466
0.4114452,0.39978224
0.42308438,0.42829618
0.47216296,0.49123552
0.53055286,0.5916884
0.5930165,0.6569616
0.6409311,0.688982
0.6415131,0.68130904
0.63103783,0.6724522
0.6114452,0.65700936
0.6027158,0.63706774
0.56915617,0.6100636
0.57129,0.600846
0.59088266,0.61584973
0.6630456,0.6795499
0.7456838,0.7483105
0.74180406,0.7837726
0.71445197,0.7624533
0.6494665,0.68202996
0.56585836,0.5685984
0.48923376,0.47012055
0.42386034,0.41197294
0.39262852,0.36970282
0.35693502,0.34447706
0.34781766,0.33478054
0.3600388,0.3342293
0.37342387,0.34606412
0.39883608,0.37728086
0.43200776,0.42955416
0.500097,0.47395983
0.54335594,0.51791364
0.5643065,0.5238349
0.5604268,0.5243628
0.55771095,0.5255593
0.5474297,0.5158032
0.5245393,0.49726748
0.5243453,0.49349943
0.5606208,0.5203657
0.6254122,0.5857384
0.70649856,0.64367425
0.72356933,0.6815722
0.70009696,0.6668458
0.62735206,0.60182273
0.528807,0.5090082
0.45257032,0.42552173
0.39806014,0.3658854
0.35402521,0.32831848
0.34258002,0.3348595
0.3414161,0.3334639
0.34956354,0.3470557
0.40814742,0.3944755
0.5439379,0.5133382
0.70688653,0.69062275
0.829098,0.792396
0.8595538,0.83472306
0.85645,0.82600844
0.8273521,0.8036757
0.81260914,0.78534746
0.81066924,0.784627
0.7844811,0.7627274
0.75499517,0.7461885
0.757517,0.7572141
0.8011639,0.8136894
0.8688652,0.8532229
0.86498547,0.865935
0.83491755,0.84492016
0.74917555,0.75755966
0.6199806,0.6259925
0.51367605,0.5207641
0.4527643,0.45631436
0.42870998,0.41741198
0.4042677,0.40799588
0.38739088,0.40365544
0.4027158,0.41888112
0.44578078,0.4611983
0.56100875,0.5622153
0.7066925,0.7189341
0.8015519,0.8017981
0.8265761,0.831967
0.8155189,0.8162783
0.7811833,0.79571384
0.7695441,0.7780018
0.77400583,0.77533346
0.75033945,0.7561963
0.7241513,0.73877454
0.7365664,0.749375
0.7771096,0.8030658
0.8671193,0.8461176
0.86498547,0.8666059
0.8353055,0.84232056
0.75596505,0.75211227
0.6265761,0.61898637
0.53501457,0.5206281
0.47681862,0.45620653
0.45528612,0.416875
0.43452957,0.40000248
0.42774007,0.39647818
0.4486906,0.40947637
0.48671192,0.4542045
0.6046557,0.5674083
0.7489816,0.71619457
0.84558684,0.8085243
0.8742968,0.8534747
0.8958293,0.852258
0.8905917,0.8468272
0.8839961,0.8377346
0.88205624,0.82623667
0.85354024,0.806085
0.82871,0.78594595
0.82754606,0.78914964
0.85179436,0.8274884
0.9028128,0.8414494
0.89796317,0.85819256
0.8620756,0.8600632
0.78331715,0.7636378
0.65373427,0.6296073
0.53346264,0.5315488
0.47468477,0.46724412
0.44112512,0.4239803
0.42463627,0.41891006
0.42192048,0.41726008
0.43123183,0.43247598
0.46071774,0.48054278
0.5757517,0.5964468
0.71930164,0.74388164
0.8267701,0.8259373
0.84616876,0.8536318
0.8444229,0.8358249
0.81959265,0.82053465
0.80387974,0.803444
