true,forecasted
0.38777885,0.38192433
0.38603297,0.37815005
0.4017459,0.39694095
0.42909795,0.44056234
0.53482056,0.54797506
0.68535405,0.69210374
0.80058193,0.78250635
0.82696414,0.80893564
0.82618815,0.80000865
0.785451,0.76684356
0.7670223,0.75229853
0.756935,0.752859
0.72124153,0.7310263
0.6979631,0.7252539
0.7078565,0.7441089
0.7817653,0.82905453
0.86673135,0.90079993
0.857226,0.8955199
0.82502425,0.8334037
0.7346266,0.7396268
0.62192047,0.6212232
0.5253152,0.52720827
0.456838,0.45609885
0.42386034,0.41285884
0.4073715,0.38575166
0.40698352,0.3811807
0.41745877,0.3944276
0.45877787,0.43182644
0.5414161,0.54467463
0.6927255,0.6948723
0.8085354,0.78632987
0.83918524,0.8127102
0.84073716,0.8049487
0.83355963,0.77637506
0.82948595,0.7628352
0.828904,0.7612467
0.7755577,0.737727
0.757517,0.73176515
0.7650824,0.74734545
0.8023278,0.8222969
0.87972844,0.87200844
0.87643063,0.8481893
0.8387973,0.8095099
0.76217264,0.73574877
0.63918525,0.6217767
0.53928226,0.5230409
0.46789524,0.44790834
0.42812803,0.40797567
0.40232784,0.39880905
0.40872937,0.3948837
0.4242483,0.39860058
0.4655674,0.43136397
0.56469446,0.5321307
0.7123181,0.67133677
0.8339476,0.77810264
0.87216294,0.81640065
0.871193,0.82724166
0.84675074,0.7980597
0.842871,0.79087776
0.83821535,0.7796007
0.7968962,0.755819
0.77361786,0.751114
0.75674105,0.76157725
0.7961203,0.8216986
0.8758487,0.864371
0.8688652,0.8438017
0.8413191,0.8156066
0.75674105,0.74861956
0.6312318,0.6319314
0.5299709,0.53111124
0.46207565,0.45627284
0.4440349,0.4102232
0.43045586,0.41892824
0.42677012,0.4138662
0.44073716,0.42109844
0.47410282,0.4510363
0.5613967,0.53972507
0.70882636,0.65998745
0.7947624,0.7541841
0.83045584,0.7862369
0.8186227,0.7912596
0.78642094,0.7628143
0.77904946,0.75200456
0.77846754,0.73991746
0.74781764,0.7154969
0.7326867,0.70990723
0.7371484,0.72220695
0.7782735,0.7904249
0.85121244,0.840471
0.8614937,0.83828974
0.81823474,0.8066169
0.7328807,0.73765916
0.60814744,0.6263341
0.5196896,0.52860105
0.45548013,0.45357257
0.42308438,0.4099058
0.41125122,0.39565068
0.39922404,0.38771665
0.4114452,0.3956093
0.42308438,0.41163418
0.47216296,0.46152315
0.53055286,0.5330207
0.5930165,0.6044133
0.6409311,0.6375332
0.6415131,0.645678
0.63103783,0.62616843
0.6114452,0.6156836
0.6027158,0.599816
0.56915617,0.58262736
0.57129,0.5783843
0.59088266,0.6074898
0.6630456,0.6894533
0.7456838,0.75740415
0.74180406,0.7664482
0.71445197,0.7258234
0.6494665,0.65724933
0.56585836,0.5614787
0.48923376,0.4735249
0.42386034,0.40353382
0.39262852,0.36445484
0.35693502,0.35212234
0.34781766,0.34097138
0.3600388,0.33654064
0.37342387,0.3400772
0.39883608,0.3588382
0.43200776,0.4072285
0.500097,0.4738443
0.54335594,0.51510936
0.5643065,0.53212816
0.5604268,0.5235123
0.55771095,0.514021
0.5474297,0.49507964
0.5245393,0.48062575
0.5243453,0.48058942
0.5606208,0.5139602
0.6254122,0.5854154
0.70649856,0.6457209
0.72356933,0.66186666
0.70009696,0.646134
0.62735206,0.59931546
0.528807,0.51445067
0.45257032,0.4372901
0.39806014,0.36432987
0.35402521,0.3267592
0.34258002,0.3314112
0.3414161,0.32839978
0.34956354,0.34255332
0.40814742,0.3901009
0.5439379,0.5154811
0.70688653,0.68719745
0.829098,0.7978989
0.8595538,0.83464575
0.85645,0.83801585
0.8273521,0.80027187
0.81260914,0.7867438
0.81066924,0.79150945
0.7844811,0.7706841
0.75499517,0.762497
0.757517,0.77820593
0.8011639,0.8464307
0.8688652,0.9020733
0.86498547,0.8882784
0.83491755,0.85234725
0.74917555,0.7770527
0.6199806,0.65606797
0.51367605,0.55258536
0.4527643,0.4759345
0.42870998,0.4306637
0.4042677,0.39515534
0.38739088,0.39178336
0.4027158,0.4063827
0.44578078,0.44910565
0.56100875,0.56112707
0.7066925,0.7099784
0.8015519,0.8043265
0.8265761,0.8336766
0.8155189,0.82897943
0.7811833,0.7960301
0.7695441,0.7833067
0.77400583,0.78174204
0.75033945,0.7585806
0.7241513,0.7536572
0.7365664,0.7699199
0.7771096,0.8466365
0.8671193,0.90569764
0.86498547,0.890596
0.8353055,0.8422111
0.75596505,0.7572516
0.6265761,0.63783133
0.53501457,0.542238
0.47681862,0.4670112
0.45528612,0.42648718
0.43452957,0.41050532
0.42774007,0.40842107
0.4486906,0.41045824
0.48671192,0.44595137
0.6046557,0.5598728
0.7489816,0.71673304
0.84558684,0.82519954
0.8742968,0.8664261
0.8958293,0.87759864
0.8905917,0.8467072
0.8839961,0.84080493
0.88205624,0.82784706
0.85354024,0.80225235
0.82871,0.79701054
0.82754606,0.80815685
0.85179436,0.86753875
0.9028128,0.89329153
0.89796317,0.8596658
0.8620756,0.8411728
0.78331715,0.77801406
0.65373427,0.65834236
0.53346264,0.5602288
0.47468477,0.48126143
0.44112512,0.4399708
0.42463627,0.42984724
0.42192048,0.42905897
0.43123183,0.43923104
0.46071774,0.47759816
0.5757517,0.5861337
0.71930164,0.72464937
0.8267701,0.81649953
0.84616876,0.84597826
0.8444229,0.8446419
0.81959265,0.8125291
0.80387974,0.8030302
0.80892336,0.79003173
0.7870029,0.7644686
0.76547045,0.75892806
0.76236665,0.770967
0.7885548,0.8387666
0.86362755,0.88383204
0.8785645,0.87488973
0.83821535,0.84119
0.76100874,0.759864
0.6407372,0.64023507
0.54471385,0.54643106
0.47759455,0.47236234
0.4415131,0.43341446
0.4188167,0.4297997
0.4089234,0.4260978
0.4254122,0.4363248
0.46614936,0.468259
0.5687682,0.55464363
0.71251214,0.664958
0.80620754,0.74663556
0.8413191,0.77281535
0.81648886,0.770813
0.7743938,0.74110043
0.76799226,0.7283891
0.7842871,0.7158617
0.7515034,0.6921109
0.73482054,0.6852338
0.73947626,0.69778705
0.7743938,0.7629177
0.85548013,0.81851953
0.8626576,0.8371554
0.8190107,0.81217206
0.7328807,0.73829055
0.61357903,0.6278442
0.52473325,0.53291833
0.4558681,0.45709425
0.4197866,0.418045
0.3968962,0.3981158
0.3798254,0.39286307
0.39243454,0.40214673
0.4042677,0.41975877
0.4630456,0.45962209
0.53035885,0.51244074
0.6269641,0.5734535
0.6599418,0.60227674
0.6688652,0.6071844
0.6440349,0.5847334
0.6259942,0.57353073
0.61357903,0.55550295
0.57633364,0.54025596
0.571096,0.53664464
0.58952475,0.5637249
0.64034915,0.6359141
0.7482056,0.7144436
0.7619787,0.75622815
0.7303589,0.72412944
0.65974784,0.6474876
0.5474297,0.5518724
0.45955384,0.46671432
0.39903006,0.3978734
0.36682832,0.36165565
0.34665373,0.33891535
0.32783705,0.33036724
0.3355965,0.32683244
0.3468477,0.33620802
0.37478176,0.36499074
0.40659553,0.41630057
0.47119302,0.47867945
0.5008729,0.51345634
0.5121242,0.5245965
0.50688654,0.51290095
0.51115423,0.503375
0.50126094,0.48564908
0.47468477,0.4701301
0.47235695,0.4709727
0.49117362,0.5019096
0.54975754,0.56830496
0.6525703,0.6330039
0.67953444,0.6587277
0.6607177,0.64655054
0.6056256,0.59142965
0.5016489,0.50125396
0.4316198,0.42503133
0.37866148,0.35480767
0.3526673,0.32005444
0.33753636,0.3224198
0.33482057,0.3209646
0.3485936,0.3332774
0.3959263,0.3813402
0.53540254,0.5056719
0.7084384,0.677337
0.82871,0.7906493
0.8684772,0.8313426
0.8607178,0.83947635
0.8366634,0.8006245
0.8192046,0.7888742
0.8180407,0.79130304
0.78894275,0.7707456
0.7645005,0.76365083
0.7617847,0.7797711
0.7806014,0.84638983
0.8772066,0.89970064
0.8880698,0.88548046
0.8473327,0.8516686
0.76100874,0.77505404
0.63355964,0.65322804
0.51503396,0.55188054
0.4698351,0.47572207
0.44675073,0.43101633
0.4325897,0.4129081
0.4298739,0.41091082
0.44364694,0.42490113
0.48380214,0.4667022
0.58933073,0.583593
0.7443259,0.7360968
0.84481084,0.8246157
0.88923377,0.85184157
0.8700291,0.84323335
0.83821535,0.8105347
0.8267701,0.79751253
0.842871,0.7912582
0.8056256,0.76630896
0.80892336,0.7605807
0.8048497,0.7751739
0.83511156,0.8488992
0.8950533,0.8977824
0.9059166,0.88651484
0.87410283,0.8475461
0.78913677,0.76349723
0.65160036,0.64335096
0.5414161,0.5510502
0.47526672,0.47525024
0.4484966,0.43674904
0.42929196,0.42484394
0.4298739,0.42399144
0.45315227,0.43244183
0.4956353,0.47156444
0.59631425,0.58471334
0.7396702,0.72866446
