true,forecasted
0.37956747,0.392589
0.37061894,0.37345928
0.37061894,0.3780899
0.40268457,0.40076673
0.4794929,0.48521024
0.71961224,0.7175447
0.84190905,0.84638226
0.8844146,0.88723814
0.87994033,0.87639153
0.9142431,0.87404466
0.91648024,0.89390266
0.9127517,0.8901421
0.862789,0.8725653
0.83743477,0.8284761
0.81431764,0.8095259
0.81506336,0.83582956
0.81953764,0.86747056
0.9097688,0.88309664
0.90082026,0.87859803
0.84265476,0.80311424
0.71364653,0.6906934
0.606264,0.59559953
0.5212528,0.5137989
0.4668158,0.44412115
0.41312453,0.4078506
0.41461596,0.3913409
0.41536167,0.39457914
0.44966444,0.4233268
0.53765845,0.5175396
0.75540644,0.7514099
0.88143176,0.8873786
0.9336316,0.9302872
0.91648024,0.93370557
0.92170024,0.9391511
0.9343773,0.96243435
0.9097688,0.9571916
0.8956003,0.9372305
0.8545861,0.88111913
0.80164057,0.858563
0.82550335,0.87251323
0.8493661,0.8889168
0.8598061,0.90014625
0.86204326,0.8882533
0.7844892,0.807137
0.6800895,0.69181836
0.60477257,0.59972084
0.52348995,0.51424176
0.47352722,0.44808832
0.4175988,0.40475443
0.39522743,0.38392615
0.3691275,0.38520736
0.3870246,0.40919834
0.3810589,0.4977353
0.44593588,0.720513
0.5272185,0.8467063
0.6144668,0.88155645
0.65398955,0.87424874
0.6912752,0.8741401
0.7158837,0.89607304
0.6987323,0.8911749
0.6524981,0.86671764
0.6070097,0.82706094
0.5801641,0.8030059
0.5809098,0.81893486
0.6219239,0.8403598
0.6763609,0.8556743
0.6674124,0.857211
0.6144668,0.79173625
0.5406413,0.6746654
0.48098433,0.5887601
0.4161074,0.49836525
0.34451902,0.43190578
0.29306486,0.30695394
0.29008204,0.28317976
0.3079791,0.279965
0.31021625,0.2782926
0.38255033,0.30750036
0.5697241,0.43796155
0.7069351,0.5566114
0.75540644,0.63933027
0.7576435,0.66199726
0.7912006,0.66719425
0.79567486,0.6729034
0.7986577,0.65112126
0.76435494,0.6024788
0.7367636,0.56109035
0.7076808,0.5368551
0.7061894,0.56582016
0.73900074,0.60950196
0.7867263,0.6476473
0.75838923,0.6559033
0.6800895,0.60623235
0.5943326,0.518144
0.5272185,0.44156396
0.4414616,0.37347314
0.37136465,0.31265756
0.32960477,0.34808356
0.30201343,0.3279782
0.29604772,0.3304715
0.305742,0.34121352
0.3176734,0.40111238
0.4354959,0.57338035
0.54287845,0.698894
0.6495153,0.7569814
0.69052947,0.7566105
0.7114094,0.75391686
0.72632366,0.7553916
0.69500375,0.7364782
0.64727813,0.6987831
0.5764355,0.65219545
0.57270694,0.62782145
0.5607755,0.65107983
0.6144668,0.69027966
0.64802384,0.7315723
0.6577181,0.7381988
0.59880686,0.6731118
0.5294556,0.5785642
0.45637584,0.49270594
0.38329604,0.42158356
