true,forecasted
0.65520334,0.65691555
0.6492103,0.6526337
0.6518427,0.6538163
0.66394085,0.67424726
0.72353536,0.7156098
0.8426123,0.8328983
0.92449874,0.9092835
0.91464096,0.9275915
0.9026549,0.92928165
0.89122885,0.92306757
0.8834995,0.9053298
0.85986334,0.880749
0.85303015,0.8712609
0.8619917,0.8681302
0.86412007,0.8725183
0.8744259,0.88439655
0.9156492,0.91307545
0.90831184,0.90921426
0.87851465,0.872181
0.8430604,0.8309091
0.7959001,0.77884567
0.7141257,0.7192961
0.66494906,0.6574772
0.6131959,0.6140955
0.6035062,0.6192926
0.6067548,0.61541265
0.6107875,0.6164794
0.6246219,0.63583404
0.67872745,0.67988324
0.81841606,0.80182046
0.90052646,0.89052373
0.8999664,0.90962243
0.89929426,0.90495676
0.8869721,0.89253056
0.86860085,0.8695995
0.8256973,0.8401084
0.8319144,0.83064497
0.81908816,0.82566667
0.8231209,0.82850313
0.84591687,0.84632987
0.89453346,0.88407576
0.88327545,0.8814132
0.83549905,0.8452546
0.80755013,0.8068774
0.7545088,0.75107616
0.68780106,0.68895173
0.61566037,0.6275636
0.5905119,0.5848392
0.5844629,0.5823183
0.55881035,0.5772386
0.5616108,0.57685417
0.57936597,0.59308827
0.61974907,0.6371972
0.74269074,0.7523417
0.82973003,0.8385024
0.8194242,0.85731
0.81275904,0.8494144
0.8154475,0.8385351
0.8004929,0.8208066
0.7881707,0.79260695
0.77769685,0.7824503
0.76666296,0.7761092
0.7771928,0.7747698
0.78318584,0.7892524
0.8387476,0.8223791
0.83096224,0.81586087
0.8030133,0.77660507
0.7540607,0.7361837
0.71575,0.6791893
0.64696985,0.61911035
0.5953848,0.55735594
0.5600986,0.5152846
0.5522012,0.5157515
0.5438557,0.51102525
0.55494565,0.51120263
0.562451,0.52912587
0.60781896,0.5731308
0.7373698,0.6954228
0.8214406,0.79075086
0.8272656,0.81519157
0.8211045,0.80791485
0.8079982,0.79586506
0.77192783,0.7744346
0.73708975,0.7430341
0.7238714,0.7276689
0.70393187,0.71751916
0.71054107,0.71449566
0.7347933,0.7346806
0.7773608,0.7774925
0.78268176,0.7815009
0.74638736,0.73957497
0.69474626,0.6953282
0.642097,0.64729244
0.60490644,0.5987096
0.5704044,0.5477861
0.5471043,0.5052712
0.5318696,0.5125518
0.5204436,0.50327826
0.51730704,0.49919838
0.5213398,0.5077192
0.5327098,0.5198533
0.55757815,0.5783176
0.6087151,0.6299391
0.636272,0.66552573
0.6745827,0.6842837
0.6896494,0.68964005
0.68096787,0.6762721
0.6714462,0.6566076
0.67424667,0.6419358
0.6503305,0.63109255
0.6492103,0.6343562
0.6750868,0.6601863
0.71614206,0.70924187
0.69777083,0.72525764
0.6688137,0.692364
0.6329114,0.6550166
0.5960569,0.6146754
0.54004705,0.57382417
0.516971,0.5300674
0.4932228,0.49690688
0.47552368,0.48896107
0.4727232,0.4788924
0.46790636,0.47872216
0.48325306,0.48509347
0.4869497,0.495652
0.50935364,0.53979427
0.53898287,0.56934327
0.57006836,0.59667605
0.608155,0.6349719
0.6388484,0.6543443
0.6487062,0.65440375
0.653299,0.6392238
0.6471939,0.6325263
0.6537471,0.6275319
0.6624846,0.63856345
0.68214405,0.67020684
0.7284082,0.7042923
0.74392295,0.7146039
0.7202868,0.69490725
0.6823121,0.66383266
0.6357119,0.61226064
0.59124005,0.55786127
0.5554498,0.5076596
0.5138344,0.46785897
0.51137,0.48950413
0.50649714,0.48282313
0.511258,0.48306686
0.52458835,0.49793118
0.56906015,0.535575
0.6801837,0.65995795
0.7472275,0.7613464
0.76335835,0.7818474
0.7693514,0.7757983
0.77993727,0.7753055
0.7780889,0.7659907
0.78307384,0.75116515
0.7788731,0.7449608
0.7627422,0.74470794
0.76610285,0.75426865
0.77652067,0.765671
0.8024532,0.7933564
0.7863224,0.78241104
0.75014,0.74133325
0.7134536,0.70577973
0.66601324,0.65031826
0.5984093,0.58681226
0.5267167,0.52123344
0.5140585,0.47274888
0.49131846,0.4791588
0.4749636,0.47122484
0.47473955,0.4696871
0.4932228,0.48527712
0.52318805,0.5190292
0.6454576,0.6357419
0.733057,0.72860587
0.7471155,0.74903077
0.75142825,0.74685174
0.7491879,0.74604905
0.73843396,0.7362479
0.7208469,0.72226906
0.7109891,0.71602416
0.71334153,0.715131
0.71793437,0.7246086
0.72409546,0.7375711
0.7683432,0.77292514
0.77797693,0.77604735
0.7560211,0.74447215
0.7170382,0.7095206
0.67424667,0.65908366
0.6068108,0.6006413
0.5551137,0.540421
0.51775515,0.49294043
0.49591127,0.49517223
0.49949592,0.48827672
0.50599307,0.48591965
0.5279489,0.50140387
0.57740563,0.5390215
0.66959786,0.65864515
0.76431054,0.75013554
0.76386243,0.76745135
0.73434526,0.75838375
0.732721,0.7502836
0.732721,0.7349438
0.71115714,0.714645
0.70555615,0.70641184
0.6823121,0.7030428
0.68214405,0.7108178
0.69239384,0.7235901
0.7504201,0.7706528
0.75014,0.7763252
0.7142937,0.7469333
0.6912737,0.71330386
0.62876666,0.664152
0.579254,0.60447913
0.51881933,0.54107934
0.5068332,0.49475718
0.4960233,0.4896275
0.4926067,0.48427165
0.4880699,0.48597813
0.5040887,0.5050746
0.54251146,0.54256195
0.6584519,0.65521836
0.76923937,0.74132144
0.76800716,0.7625285
0.761454,0.75848
0.75322056,0.7544559
0.7432508,0.7415433
0.7379299,0.72075295
0.7309846,0.714241
0.72465557,0.7101279
0.710205,0.71531296
0.721407,0.7252972
0.75882155,0.76203954
0.7659908,0.7639351
0.73496133,0.7329969
0.7057242,0.69278914
0.66517305,0.63930905
0.61566037,0.5815594
0.55998653,0.5212069
0.52750087,0.4778487
0.5082334,0.47622606
0.49759158,0.47099245
0.48650163,0.47197127
0.51775515,0.48844546
0.57959,0.5254145
0.69116163,0.6404679
0.7551249,0.7279991
0.7596057,0.75243586
0.7628543,0.7553844
0.783802,0.7518579
0.7693514,0.7365256
0.7546768,0.7143731
0.74269074,0.70450604
0.71670216,0.69723815
0.69855493,0.69810915
0.71474177,0.71135354
0.7491879,0.7363373
0.74129045,0.7369922
0.7033718,0.7010068
0.66158843,0.6580507
0.6155483,0.61252916
0.5620029,0.5685057
0.5260446,0.52123916
0.4699227,0.47860134
0.45709646,0.4787605
0.45547217,0.4709852
0.45939285,0.46650553
0.46051306,0.4749902
0.47339532,0.48134378
0.51853925,0.5308977
0.5439677,0.57492983
0.59056795,0.61509776
0.61784476,0.6399069
0.63055897,0.6429223
0.62316567,0.628194
0.6113476,0.60845864
0.5937605,0.5970713
0.57757366,0.587427
0.5829506,0.5925834
0.6159964,0.61984307
0.6725104,0.6703267
0.664837,0.6917832
0.6385124,0.65868485
0.6031141,0.62316537
0.56726784,0.5850038
0.5387028,0.5515954
0.4972555,0.51427656
0.4629775,0.48213482
0.45423993,0.47007588
0.4522236,0.4610616
0.4504313,0.45888174
0.44964713,0.4683367
0.45754454,0.47407678
0.47305927,0.506091
0.4960793,0.5233669
0.5336619,0.5609006
0.579254,0.59826934
0.5977932,0.6131431
0.6041783,0.61185926
0.59908146,0.5981872
0.59000784,0.5945718
0.58771145,0.5878719
0.59359246,0.59943783
0.6215974,0.62472373
0.6898174,0.6674124
0.698891,0.69292796
0.67749524,0.6691069
0.64478546,0.6357484
0.58496696,0.5911764
0.5505769,0.5442034
0.5065532,0.49710172
0.48504537,0.4642837
0.47574773,0.4711186
0.47182703,0.46575755
0.47697994,0.46760863
0.5075613,0.48424655
0.5600986,0.52523583
0.68841714,0.64507824
0.75747734,0.7323156
0.7739442,0.7573852
0.7721519,0.7611378
0.76716703,0.7585813
0.76744705,0.7496961
0.7659908,0.73212576
0.7551249,0.728191
0.74974793,0.7309605
0.75086814,0.74605215
0.7658788,0.76488096
0.8060939,0.8027868
0.8035734,0.80854976
0.78537023,0.7746304
0.7449311,0.7426421
0.6885292,0.6955539
0.6358239,0.6384413
0.59152013,0.57704556
0.5532654,0.5310371
0.5421194,0.53621745
0.53170156,0.53204215
0.53618234,0.5355893
0.5656996,0.5558424
0.6221575,0.5999368
0.72756803,0.72080916
0.81320715,0.8039506
0.8199283,0.82138807
0.8163997,0.8194948
0.82261676,0.80912757
0.8076621,0.79196477
0.78783464,0.76732314
0.77909714,0.7579526
0.77797693,0.7554827
0.79623616,0.7637923
0.8016131,0.77895266
0.84754115,0.8217319
0.85314214,0.8379148
0.8157276,0.81242853
0.78374594,0.77607757
0.7262238,0.72802055
0.67542285,0.6683615
0.63039094,0.6078689
0.59124005,0.5624824
0.5729808,0.5706713
0.57578135,0.5668895
0.5828386,0.566788
0.602106,0.58575535
0.6429372,0.6275322
0.7809454,0.7448434
0.8497816,0.8238975
0.85258204,0.8386203
0.84070796,0.8357882
0.83387476,0.82559144
0.8170718,0.80886936
0.7976924,0.78498983
0.78604233,0.77734876
0.7764087,0.7745813
0.79057914,0.7803713
0.8137672,0.79176253
0.857735,0.8321934
0.86904895,0.84459865
0.84580487,0.8223836
0.81908816,0.78943104
0.761398,0.74121314
0.70594823,0.68094826
0.659124,0.62060535
0.62658226,0.5767485
0.6180128,0.5993191
0.6117397,0.59629405
0.6118517,0.597746
0.6377282,0.6207143
0.67587095,0.6645848
0.8025653,0.78581315
0.87352973,0.8714087
0.8684328,0.8874404
0.85134983,0.8796985
0.8307382,0.8629353
0.8141593,0.8418825
0.78223366,0.810431
0.75770134,0.79986227
0.7529965,0.79231715
0.77304804,0.79187024
0.76453453,0.80403835
0.81158286,0.85810375
0.82659346,0.8754362
0.81718385,0.85067123
0.784082,0.8138941
0.7282402,0.7586274
0.67245436,0.698981
0.6176207,0.6366106
0.57589334,0.59149146
0.56715584,0.57393545
0.56233895,0.5700423
0.55595386,0.5696431
0.5710765,0.5918788
0.64120084,0.6302379
0.75322056,0.74387944
0.8113588,0.8199155
0.8305142,0.8448832
0.8282738,0.8425885
0.83040214,0.82883966
0.8137672,0.80424505
0.8001008,0.77522194
0.7677831,0.75813794
0.75473285,0.74026865
0.7471715,0.726138
0.7549569,0.7335525
0.79965276,0.7728981
0.82099247,0.79070425
0.7923154,0.7609926
0.7475076,0.720414
0.68494457,0.6825961
0.65604347,0.6426945
0.6237258,0.5967208
0.58944774,0.56028795
0.59560883,0.58040905
0.59728914,0.5752413
0.591016,0.5697234
0.60025764,0.5807712
0.62193346,0.5887248
0.6555394,0.6400774
0.6800717,0.6850765
0.7096449,0.732242
0.7373698,0.7568837
0.7265599,0.7604697
0.6970987,0.7452837
0.67738324,0.7248417
0.6664613,0.7104002
0.65901196,0.70016354
0.65755576,0.6987463
0.6786714,0.72428215
0.7408424,0.77464235
0.75994176,0.7951088
0.732945,0.75789696
0.71390164,0.72561204
0.6751428,0.68739706
0.653523,0.65009284
0.62260556,0.6092742
0.59768116,0.5793724
0.5946007,0.58091605
0.5960569,0.5758575
0.5987454,0.57696444
0.6066428,0.5878945
0.6235017,0.5924036
0.647698,0.62957275
0.6787835,0.6526188
0.69967514,0.6970138
0.7377058,0.73652595
0.7352414,0.7514324
0.72252715,0.7443409
0.70079535,0.7250776
0.6719503,0.7205236
0.66382885,0.7175331
0.6593481,0.719612
0.6885292,0.74250937
0.7375938,0.7848506
0.78621036,0.8212551
0.78329784,0.8010496
0.76324636,0.7751876
0.71995074,0.72873837
0.6795116,0.6833462
0.659236,0.637856
0.6415369,0.6071334
0.64982635,0.6210497
0.6482581,0.61898184
0.6450095,0.62405115
0.6623726,0.6505887
0.7000112,0.69730794
0.82480115,0.8164038
0.9159852,0.8925997
0.9264591,0.9111991
0.91912174,0.9074991
0.9016467,0.8946848
0.8745939,0.8743529
0.8483253,0.84519994
0.8289459,0.83274984
0.82978606,0.82369864
0.81483144,0.82131183
0.81320715,0.82885236
0.87028116,0.868484
0.88153917,0.87938696
0.86860085,0.8516435
0.8225608,0.81466466
0.7743923,0.7640544
0.7350734,0.7034931
0.6900414,0.64268756
0.6636048,0.60106385
0.6407528,0.6240033
0.6311191,0.622437
0.6464658,0.6286981
0.6714462,0.6492406
0.732721,0.6947394
0.86972106,0.81778735
0.93211603,0.9079287
0.9451103,0.928448
0.93200403,0.9412754
0.9275793,0.94464326
0.9186737,0.93547636
0.9112804,0.9167707
0.90646356,0.91350055
0.89694184,0.9216881
0.908928,0.92888224
0.92125016,0.94732064
0.9649378,0.9728762
0.9846533,0.9841505
0.97513163,0.95974654
0.9482469,0.9272391
0.90377504,0.86602616
0.8507897,0.8028977
0.81331915,0.74008584
0.7631903,0.6949837
0.778425,0.7106582
0.7757365,0.71134233
0.78167355,0.7126371
0.8096785,0.7289666
0.858183,0.77675605
0.97300327,0.900477
1.034502,0.9857937
1.0450319,0.9975258
1.0291251,1.0014253
1.0138904,0.99364054
0.9857735,0.97600883
0.95311975,0.9480845
0.93872523,0.93956614
0.91116834,0.9397496
0.9028789,0.93311656
0.9130727,0.93962485
0.97989243,0.9737201
1.0039207,0.9916607
0.97927636,0.9748798
0.94163775,0.9475797
0.90069455,0.8872016
0.83605915,0.820923
0.7892909,0.7529223
0.727176,0.7070693
0.7223591,0.7257854
0.73216087,0.72312564
0.73843396,0.721619
0.7509802,0.74465203
0.79074717,0.7835744
0.8910048,0.8955212
0.93939734,0.9689948
0.9523916,0.985599
0.94242185,0.9776839
0.9174415,0.9614545
0.892125,0.93688554
0.86725664,0.9037378
0.8436205,0.8846637
0.82424104,0.8702318
0.8306822,0.8542602
0.8301221,0.85333616
0.87549007,0.9027871
0.90310293,0.9231904
0.89055675,0.9014715
0.8505097,0.8652496
0.7925955,0.8092978
0.7371457,0.7495433
0.69132966,0.69029206
0.6745827,0.6473613
0.67626303,0.6412219
0.6752548,0.6400436
0.6801837,0.6402661
0.69967514,0.6611823
0.7416825,0.7029902
0.83835554,0.8141723
0.9164893,0.89020723
0.9198499,0.9121728
0.91172844,0.9105028
0.89912623,0.8950498
0.88025093,0.86860794
0.85538256,0.8334992
0.8373474,0.81430125
0.80671,0.79721326
0.8057578,0.77672076
0.81169486,0.7826913
0.8426123,0.81958354
0.8663605,0.83725196
0.8399238,0.8080243
0.78705055,0.76819056
0.7417945,0.72002834
0.70662034,0.67379665
0.6676935,0.6287528
0.6105074,0.58742464
0.590792,0.6080617
0.58888763,0.60253817
0.59191215,0.60193187
0.6037863,0.61039346
0.6163325,0.62216145
0.66080433,0.67037517
0.6823681,0.70718205
0.72308725,0.7435058
0.75501287,0.7612359
0.74974793,0.7595279
0.73652965,0.7424398
0.7210709,0.71689224
0.68774503,0.69504035
0.66338074,0.68182063
0.67805535,0.66864455
0.6982749,0.68507904
0.7379859,0.74024665
0.77758485,0.77803373
0.7433068,0.75310296
0.70718044,0.72174233
0.6641089,0.6760222
0.6359359,0.6387775
0.601994,0.5998637
0.57074046,0.5684534
0.562731,0.5588238
0.55729806,0.55061775
0.55948246,0.5572867
0.562731,0.56671727
0.5757253,0.57433194
0.59124005,0.61209005
0.6143161,0.6228498
0.636272,0.6502165
0.6679736,0.6852796
0.6698779,0.70043385
0.6658452,0.69484216
0.64736193,0.67293584
0.64478546,0.66263986
0.6417049,0.6527765
0.6465778,0.64579284
0.65710765,0.66106826
0.70393187,0.7023839
0.7390501,0.75346303
0.7346253,0.7489806
0.7012434,0.7221206
0.6555394,0.67393047
0.6086031,0.62826437
0.5772376,0.5831839
0.56659573,0.5488435
0.56390727,0.5650434
0.5574101,0.5603976
0.5584183,0.5690442
0.57197267,0.5885614
0.64080876,0.6238611
0.74213064,0.72071445
0.80206114,0.796254
0.81836003,0.81752086
0.8121429,0.81486166
0.8111908,0.8129642
0.8132631,0.79824966
0.80374146,0.77830374
0.79085916,0.76494133
0.77993727,0.758508
0.7756245,0.7558383
0.7834099,0.76565665
0.8137112,0.80473757
0.83113027,0.81657255
0.8143273,0.7902307
0.76442254,0.7534152
0.70477206,0.69848484
0.65408313,0.63729453
0.5943766,0.57397527
0.54553604,0.5358471
0.5374706,0.54008967
0.5254285,0.53664696
0.52279603,0.54067796
0.5435197,0.5583176
0.59331244,0.59876716
0.7097009,0.71233606
0.7869385,0.80023533
0.7865464,0.81253797
0.7737762,0.80278707
0.761398,0.79438734
0.7592136,0.78010505
0.75014,0.7597252
0.7340652,0.74861753
0.7221911,0.74358296
0.7276801,0.74404705
0.7205108,0.75453115
0.7630783,0.7932972
0.7849221,0.8069564
0.77853703,0.78309804
0.7305926,0.74860245
0.67021394,0.69197404
0.613364,0.6306572
0.56469136,0.56693864
0.5300773,0.5251139
0.52582055,0.5221674
0.5148986,0.51688457
0.5153467,0.5166731
0.5440798,0.53648275
0.6061947,0.572617
0.70650834,0.6820641
0.7768567,0.7644388
0.79141927,0.7819566
0.77976924,0.7700818
0.77170384,0.7625221
0.7464434,0.7490967
0.72924834,0.73353183
0.7245435,0.7217233
0.73048055,0.7139281
0.73882604,0.71293217
0.73417723,0.71897715
0.76856726,0.76137793
0.7901311,0.77258474
0.7848101,0.7444127
0.7453792,0.7091674
0.6894814,0.66047335
0.6204772,0.60371757
0.57869387,0.54348075
0.53551024,0.50456655
0.5288451,0.5136609
0.5253165,0.50810164
0.5297412,0.50760883
0.53455806,0.52793413
0.5892797,0.5628035
0.67424667,0.67158747
0.75719726,0.7549689
0.77248794,0.77562976
0.77596056,0.76968557
0.77864903,0.7676085
0.7683432,0.7588117
0.75652516,0.7440263
0.75154024,0.7354355
0.7436989,0.73143315
0.74554724,0.7321222
0.7506441,0.7363395
0.76554275,0.77881384
0.77170384,0.79280627
0.7738322,0.7685145
0.72952837,0.7334525
0.6764871,0.6795733
0.61039543,0.6208569
0.55987453,0.55890846
0.516859,0.516569
0.5070012,0.50638497
0.49333483,0.50223106
0.49126247,0.50291723
0.50677717,0.52206564
0.556794,0.5579338
0.66013217,0.6711766
0.73311305,0.7533514
0.755685,0.77551395
0.75389266,0.7717348
0.7450431,0.7636832
0.7398342,0.7451746
0.72487956,0.7219616
0.71490985,0.7062473
0.6926739,0.69344556
0.69160974,0.68249583
0.69956315,0.6846725
0.73266494,0.7202294
0.76055783,0.737514
0.7340652,0.7121534
0.68847317,0.6742418
0.6451215,0.6300206
0.5879915,0.5842161
0.55236924,0.5359704
0.5085135,0.49624676
0.50498486,0.4995386
0.4932228,0.4945583
0.49171054,0.49293345
0.49747956,0.5040302
0.51909935,0.51402134
0.539823,0.5721163
0.57510924,0.6243334
0.6208693,0.6634915
0.64736193,0.6826468
0.6459057,0.6839442
0.642097,0.6678925
0.6170046,0.6475066
0.60468245,0.6331111
0.59796125,0.6207815
0.5949367,0.6146933
0.60770696,0.6292836
0.6503305,0.6756375
0.68158394,0.70448494
0.6726784,0.679941
0.6221575,0.64698607
0.5799261,0.6046281
0.54788846,0.56616604
0.5211157,0.5267078
0.48510137,0.49405557
0.49171054,0.48323536
0.4898622,0.47476766
0.49311078,0.47595698
0.49579927,0.48683465
0.49428698,0.49283782
0.5062171,0.5203692
0.5206676,0.5318962
0.5564019,0.564937
0.5891677,0.60068464
0.6029461,0.61133456
0.6058026,0.60761994
0.6000896,0.590654
0.59863335,0.58215034
0.5897278,0.57229054
0.59168816,0.57354355
0.6092752,0.58996314
0.64534557,0.6315371
0.68214405,0.6659633
0.66629326,0.65062976
0.6316792,0.6181385
0.596673,0.5678671
0.5477764,0.52187735
0.5130503,0.4779324
0.49691945,0.4448337
0.48672566,0.45578718
0.47910833,0.44945621
0.4846533,0.4524839
0.50487286,0.46747977
0.5391509,0.503052
0.6434972,0.61632526
0.71636605,0.70403975
0.7490198,0.72669023
0.7533886,0.72821164
0.7392741,0.72988415
0.73882604,0.72084016
0.7130055,0.7054982
0.7072925,0.69985425
0.7016355,0.6995482
0.69284195,0.70635
0.6907136,0.71200114
0.7120533,0.73813546
0.7459393,0.7414743
0.72375935,0.71122307
0.6683096,0.6754955
0.61101156,0.6196269
0.5539375,0.5600786
0.50028,0.49841678
0.45362383,0.45148432
0.4504873,0.4479155
0.45894477,0.44204655
0.46034503,0.44247824
0.4802285,0.4574852
0.5149546,0.49333325
0.6247339,0.60561585
0.7111012,0.6911322
0.72420746,0.7113155
0.72431946,0.71391654
0.7294724,0.71660864
0.73871404,0.70886004
0.7140137,0.69691205
0.7117733,0.6926609
0.6937381,0.69492316
0.69558644,0.70575106
0.70611626,0.71822625
0.7407864,0.7442157
0.75882155,0.753479
0.7522124,0.72949725
0.7012994,0.6953903
0.64960235,0.64599013
0.58961576,0.5891337
0.5366865,0.5317026
0.50476086,0.48759645
0.505713,0.4947991
0.49277472,0.49324727
0.48930213,0.49684417
0.50196034,0.5170163
0.55309737,0.55873513
0.6630447,0.6748183
0.74459505,0.7576784
0.7572533,0.76916283
0.7620701,0.75981253
0.7609499,0.7478149
0.7450431,0.7317421
0.70953286,0.709972
0.6920578,0.70154035
0.675927,0.6959706
0.6726784,0.69743526
0.6841044,0.7055597
0.71378964,0.7504643
0.7408984,0.7799932
0.7398902,0.76779777
0.71171725,0.73592204
0.66517305,0.68801
0.62120533,0.6300673
0.58619916,0.5711119
0.55332136,0.532027
0.551361,0.53876
0.5462642,0.53683835
0.5436317,0.5395586
