true,forecasted
0.65520334,0.62380797
0.6492103,0.6116182
0.6518427,0.60686505
0.66394085,0.62640214
0.72353536,0.6887174
0.8426123,0.8167939
0.92449874,0.87809247
0.91464096,0.9168161
0.9026549,0.9247283
0.89122885,0.9012538
0.8834995,0.9019523
0.85986334,0.8760939
0.85303015,0.8623181
0.8619917,0.8628288
0.86412007,0.8541325
0.8744259,0.9055157
0.9156492,0.9119556
0.90831184,0.9075139
0.87851465,0.87485963
0.8430604,0.82193244
0.7959001,0.79389733
0.7141257,0.7235545
0.66494906,0.6638565
0.6131959,0.6305571
0.6035062,0.58644474
0.6067548,0.5794591
0.6107875,0.57326335
0.6246219,0.5883523
0.67872745,0.64782155
0.81841606,0.76702565
0.90052646,0.83087355
0.8999664,0.8647021
0.89929426,0.8702458
0.8869721,0.8494355
0.86860085,0.8477518
0.8256973,0.82961553
0.8319144,0.8136542
0.81908816,0.8152844
0.8231209,0.8101678
0.84591687,0.8544656
0.89453346,0.86275774
0.88327545,0.8610167
0.83549905,0.831103
0.80755013,0.7821947
0.7545088,0.7516422
0.68780106,0.68658346
0.61566037,0.62828106
0.5905119,0.59382284
0.5844629,0.5474865
0.55881035,0.53694266
0.5616108,0.52952504
0.57936597,0.5464226
0.61974907,0.606707
0.74269074,0.71897364
0.82973003,0.7818922
0.8194242,0.814688
0.81275904,0.82034385
0.8154475,0.79560435
0.8004929,0.7995269
0.7881707,0.78127915
0.77769685,0.7671672
0.76666296,0.7637287
0.7771928,0.760234
0.78318584,0.8031519
0.8387476,0.809676
0.83096224,0.8053685
0.8030133,0.77569157
0.7540607,0.7275843
0.71575,0.69372034
0.64696985,0.63247186
0.5953848,0.56679416
0.5600986,0.5387722
0.5522012,0.5070713
0.5438557,0.49652988
0.55494565,0.48917255
0.562451,0.5046787
0.60781896,0.5559405
0.7373698,0.6648114
0.8214406,0.75342256
0.8272656,0.77406573
0.8211045,0.779202
0.8079982,0.76355696
0.77192783,0.7700578
0.73708975,0.7574944
0.7238714,0.7541954
0.70393187,0.7453816
0.71054107,0.75379235
0.7347933,0.7740031
0.7773608,0.79437107
0.78268176,0.7927297
0.74638736,0.76521736
0.69474626,0.71943444
0.642097,0.68217343
0.60490644,0.6196024
0.5704044,0.56457925
0.5471043,0.5248438
0.5318696,0.49564758
0.5204436,0.4848145
0.51730704,0.4778941
0.5213398,0.48248538
0.5327098,0.514297
0.55757815,0.60607624
0.6087151,0.67901033
0.636272,0.70274997
0.6745827,0.7108551
0.6896494,0.69780654
0.68096787,0.69899094
0.6714462,0.6876449
0.67424667,0.6797514
0.6503305,0.67613333
0.6492103,0.68350136
0.6750868,0.71221715
0.71614206,0.72884226
0.69777083,0.73437554
0.6688137,0.71272486
0.6329114,0.6761386
0.5960569,0.6421287
0.54004705,0.5915125
0.516971,0.54084426
0.4932228,0.50687635
0.47552368,0.48775232
0.4727232,0.47179753
0.46790636,0.46430555
0.48325306,0.4686617
0.4869497,0.49792153
0.50935364,0.58631283
0.53898287,0.6593103
0.57006836,0.6839509
0.608155,0.6922282
0.6388484,0.6809394
0.6487062,0.68261087
0.653299,0.6709621
0.6471939,0.66343796
0.6537471,0.6610026
0.6624846,0.6667852
0.68214405,0.6983252
0.7284082,0.7128735
0.74392295,0.71381396
0.7202868,0.6948805
0.6823121,0.6576008
0.6357119,0.6242806
0.59124005,0.5749971
0.5554498,0.5204136
0.5138344,0.49079958
0.51137,0.47564757
0.50649714,0.4505061
0.511258,0.4440479
0.52458835,0.463034
0.56906015,0.516088
0.6801837,0.6233325
0.7472275,0.7191234
0.76335835,0.7369215
0.7693514,0.74434054
0.77993727,0.7279725
0.7780889,0.7419098
0.78307384,0.7243048
0.7788731,0.72964394
0.7627422,0.71547955
0.76610285,0.72393143
0.77652067,0.74406546
0.8024532,0.76074415
0.7863224,0.7507381
0.75014,0.72526735
0.7134536,0.67707354
0.66601324,0.6400189
0.5984093,0.5753251
0.5267167,0.5114804
0.5140585,0.47781172
0.49131846,0.48286763
0.4749636,0.45915747
0.47473955,0.45200205
0.4932228,0.47678366
0.52318805,0.52880645
0.6454576,0.64281726
0.733057,0.74866515
0.7471155,0.76705873
0.75142825,0.774498
0.7491879,0.75661504
0.73843396,0.7749642
0.7208469,0.7561967
0.7109891,0.7672916
0.71334153,0.74651617
0.71793437,0.7620928
0.72409546,0.7731706
0.7683432,0.7986074
0.77797693,0.7908346
0.7560211,0.761
0.7170382,0.70956033
0.67424667,0.6732848
0.6068108,0.60061824
0.5551137,0.54170007
0.51775515,0.5025928
0.49591127,0.4919858
0.49949592,0.475534
0.50599307,0.46977952
0.5279489,0.4933969
0.57740563,0.5490346
0.66959786,0.6608461
0.76431054,0.7469438
0.76386243,0.7703577
0.73434526,0.7741225
0.732721,0.7543549
0.732721,0.76513857
0.71115714,0.74841464
0.70555615,0.7486249
0.6823121,0.7347677
0.68214405,0.74441874
0.69239384,0.764358
0.7504201,0.784507
0.75014,0.7801757
0.7142937,0.7514454
0.6912737,0.70228726
0.62876666,0.66560996
0.579254,0.597787
0.51881933,0.53981143
0.5068332,0.5040591
0.4960233,0.49149013
0.4926067,0.4732238
0.4880699,0.4682801
0.5040887,0.49228486
0.54251146,0.5491112
0.6584519,0.66017836
0.76923937,0.73962814
0.76800716,0.76420593
0.761454,0.7679566
0.75322056,0.7499981
0.7432508,0.75682336
0.7379299,0.7404816
0.7309846,0.73620903
0.72465557,0.7262102
0.710205,0.7325901
0.721407,0.75824815
0.75882155,0.7745349
0.7659908,0.7663563
0.73496133,0.73933977
0.7057242,0.69111747
0.66517305,0.65567267
0.61566037,0.58915174
0.55998653,0.5278353
0.52750087,0.4955043
0.5082334,0.4650375
0.49759158,0.44636083
0.48650163,0.44189146
0.51775515,0.46648183
0.57959,0.5173699
0.69116163,0.62636626
0.7551249,0.7159044
0.7596057,0.732501
0.7628543,0.73772216
0.783802,0.7249727
0.7693514,0.73369277
0.7546768,0.7187965
0.74269074,0.71844494
0.71670216,0.7064173
0.69855493,0.7183292
0.71474177,0.73267746
0.7491879,0.7540559
0.74129045,0.7483634
0.7033718,0.7227747
0.66158843,0.6782366
0.6155483,0.6422964
0.5620029,0.5769219
0.5260446,0.52136916
0.4699227,0.48227206
0.45709646,0.46580952
0.45547217,0.45473298
0.45939285,0.45090723
0.46051306,0.46074626
0.47339532,0.4888211
0.51853925,0.5778669
0.5439677,0.6426876
0.59056795,0.66599035
0.61784476,0.6722207
0.63055897,0.66141266
0.62316567,0.66000974
0.6113476,0.6501565
0.5937605,0.6385504
0.57757366,0.6373298
0.5829506,0.6460549
0.6159964,0.6715293
0.6725104,0.6892819
0.664837,0.6959224
0.6385124,0.67856234
0.6031141,0.6442474
0.56726784,0.61302567
0.5387028,0.5624262
0.4972555,0.5173049
0.4629775,0.48143414
0.45423993,0.4703241
0.4522236,0.45672488
0.4504313,0.4531478
0.44964713,0.46357134
0.45754454,0.4975295
0.47305927,0.58632755
0.4960793,0.6439114
0.5336619,0.6687906
0.579254,0.67413723
0.5977932,0.66311526
0.6041783,0.6593345
0.59908146,0.6488414
0.59000784,0.6323197
0.58771145,0.6354098
0.59359246,0.63757586
0.6215974,0.6714445
0.6898174,0.6821402
0.698891,0.6843078
0.67749524,0.6678067
0.64478546,0.6329306
0.58496696,0.6014426
0.5505769,0.5535244
0.5065532,0.5011444
0.48504537,0.47105733
0.47574773,0.48059702
0.47182703,0.46504554
0.47697994,0.46046618
0.5075613,0.4853851
0.5600986,0.5334297
0.68841714,0.6437688
0.75747734,0.73629713
0.7739442,0.7516644
0.7721519,0.7545037
0.76716703,0.747987
0.76744705,0.75103796
0.7659908,0.73912984
0.7551249,0.7355776
0.74974793,0.7282127
0.75086814,0.74029344
0.7658788,0.75256234
0.8060939,0.77574813
0.8035734,0.77343863
0.78537023,0.7484018
0.7449311,0.7041725
0.6885292,0.67229354
0.6358239,0.60647076
0.59152013,0.5549302
0.5532654,0.51030505
0.5421194,0.53925574
0.53170156,0.53266704
0.53618234,0.5266568
0.5656996,0.5523474
0.6221575,0.60747707
0.72756803,0.72365403
0.81320715,0.7974453
0.8199283,0.82529914
0.8163997,0.825142
0.82261676,0.81127197
0.8076621,0.8086384
0.78783464,0.79503673
0.77909714,0.7820294
0.77797693,0.77947044
0.79623616,0.7843659
0.8016131,0.8115787
0.84754115,0.8291698
0.85314214,0.831273
0.8157276,0.80112725
0.78374594,0.75298643
0.7262238,0.724975
0.67542285,0.6565272
0.63039094,0.60250455
0.59124005,0.5625855
0.5729808,0.551468
0.57578135,0.54642755
0.5828386,0.5403499
0.602106,0.5622945
0.6429372,0.61907053
0.7809454,0.73538953
0.8497816,0.8023234
0.85258204,0.83163154
0.84070796,0.83325875
0.83387476,0.8168106
0.8170718,0.81378406
0.7976924,0.7982153
0.78604233,0.78265435
0.7764087,0.7820105
0.79057914,0.7831657
0.8137672,0.8166856
0.857735,0.8295572
0.86904895,0.8329041
0.84580487,0.80228955
0.81908816,0.7554583
0.761398,0.72736347
0.70594823,0.6619204
0.659124,0.60575354
0.62658226,0.5673244
0.6180128,0.57633936
0.6117397,0.57153153
0.6118517,0.56768215
0.6377282,0.587409
0.67587095,0.6480376
0.8025653,0.7694343
0.87352973,0.83320135
0.8684328,0.8672601
0.85134983,0.8695606
0.8307382,0.8496895
0.8141593,0.8456741
0.78223366,0.82713336
0.75770134,0.8140385
0.7529965,0.8124253
0.77304804,0.8113644
0.76453453,0.85010284
0.81158286,0.8629513
0.82659346,0.86474717
0.81718385,0.8330627
0.784082,0.7831709
0.7282402,0.75394607
0.67245436,0.684364
0.6176207,0.63055164
0.57589334,0.59277844
0.56715584,0.54683626
0.56233895,0.54295146
0.55595386,0.5389528
0.5710765,0.5545875
0.64120084,0.61106086
0.75322056,0.7242252
0.8113588,0.78657705
0.8305142,0.81310296
0.8282738,0.8170911
0.83040214,0.80094594
0.8137672,0.7960637
0.8001008,0.7805441
0.7677831,0.7630645
0.75473285,0.764758
0.7471715,0.76328725
0.7549569,0.7989568
0.79965276,0.809439
0.82099247,0.81425446
0.7923154,0.7858846
0.7475076,0.7436331
0.68494457,0.7124542
0.65604347,0.6531807
0.6237258,0.5992621
0.58944774,0.56029046
0.59560883,0.5595719
0.59728914,0.5499344
0.591016,0.54609406
0.60025764,0.5427613
0.62193346,0.5602618
0.6555394,0.6527638
0.6800717,0.706544
0.7096449,0.7397349
0.7373698,0.7542558
0.7265599,0.74223393
0.6970987,0.73703945
0.67738324,0.71986735
0.6664613,0.7056119
0.65901196,0.7113193
0.65755576,0.7114624
0.6786714,0.7568912
0.7408424,0.76990396
0.75994176,0.78088033
0.732945,0.7624848
0.71390164,0.72955674
0.6751428,0.7032002
0.653523,0.65567046
0.62260556,0.6161221
0.59768116,0.58006227
0.5946007,0.57626534
0.5960569,0.564195
0.5987454,0.5608587
0.6066428,0.55230343
0.6235017,0.56583333
0.647698,0.65823483
0.6787835,0.71624225
0.69967514,0.7493937
0.7377058,0.76663005
0.7352414,0.75538695
0.72252715,0.7502529
0.70079535,0.73099655
0.6719503,0.7207753
0.66382885,0.7256686
0.6593481,0.725958
0.6885292,0.77335817
0.7375938,0.78659636
0.78621036,0.7992148
0.78329784,0.7808602
0.76324636,0.74779505
0.71995074,0.722721
0.6795116,0.6748933
0.659236,0.63708025
0.6415369,0.59967536
0.64982635,0.5942184
0.6482581,0.5849285
0.6450095,0.584218
0.6623726,0.586087
0.7000112,0.6437331
0.82480115,0.75652415
0.9159852,0.8106248
0.9264591,0.84163
0.91912174,0.849169
0.9016467,0.83277196
0.8745939,0.82297665
0.8483253,0.80368197
0.8289459,0.7861377
0.82978606,0.7952446
0.81483144,0.7825397
0.81320715,0.8356171
0.87028116,0.83783823
0.88153917,0.83745277
0.86860085,0.8147272
0.8225608,0.7713039
0.7743923,0.7386492
0.7350734,0.6829689
0.6900414,0.6294226
0.6636048,0.5943116
0.6407528,0.6172324
0.6311191,0.60761994
0.6464658,0.59361017
0.6714462,0.60939324
0.732721,0.65393466
0.86972106,0.78112686
0.93211603,0.89317983
0.9451103,0.9147444
0.93200403,0.9248357
0.9275793,0.9199244
0.9186737,0.9236936
0.9112804,0.90790397
0.90646356,0.9056456
0.89694184,0.9043724
0.908928,0.9126117
0.92125016,0.93339497
0.9649378,0.95607716
0.9846533,0.9579345
0.97513163,0.9243958
0.9482469,0.87206924
0.90377504,0.85186696
0.8507897,0.7775193
0.81331915,0.7249296
0.7631903,0.67095596
0.778425,0.66420656
0.7757365,0.6530583
0.78167355,0.6493232
0.8096785,0.6537324
0.858183,0.71246135
0.97300327,0.84453976
1.034502,0.9196802
1.0450319,0.95262414
1.0291251,0.96727216
1.0138904,0.94680107
0.9857735,0.9481198
0.95311975,0.9197179
0.93872523,0.91326845
0.91116834,0.9157584
0.9028789,0.9063317
0.9130727,0.9544572
0.97989243,0.9634188
1.0039207,0.9637986
0.97927636,0.9332313
0.94163775,0.88223875
0.90069455,0.8517319
0.83605915,0.7834226
0.7892909,0.73368114
0.727176,0.68989825
0.7223591,0.6583735
0.73216087,0.64807695
0.73843396,0.64730823
0.7509802,0.64987814
0.79074717,0.7164006
0.8910048,0.8448612
0.93939734,0.8979971
0.9523916,0.9389487
0.94242185,0.9520167
0.9174415,0.9224113
0.892125,0.92199486
0.86725664,0.8913632
0.8436205,0.88010794
0.82424104,0.8831279
0.8306822,0.8662711
0.8301221,0.9280301
0.87549007,0.9293471
0.90310293,0.92657715
0.89055675,0.89717674
0.8505097,0.84622645
0.7925955,0.8110487
0.7371457,0.7460253
0.69132966,0.6915821
0.6745827,0.6590917
0.67626303,0.5876089
0.6752548,0.58272505
0.6801837,0.57803893
0.69967514,0.58113515
0.7416825,0.6375404
0.83835554,0.7513158
0.9164893,0.8146328
0.9198499,0.8439476
0.91172844,0.853083
0.89912623,0.833326
0.88025093,0.8302106
0.85538256,0.81130844
0.8373474,0.7967767
0.80671,0.80011284
0.8057578,0.79299664
0.81169486,0.83757144
0.8426123,0.8441072
0.8663605,0.84713537
0.8399238,0.81967753
0.78705055,0.77689403
0.7417945,0.7414316
0.70662034,0.68510216
0.6676935,0.63072044
0.6105074,0.59464425
0.590792,0.56690705
0.58888763,0.561253
0.59191215,0.5566828
0.6037863,0.55019796
0.6163325,0.57775337
0.66080433,0.6733294
0.6823681,0.7299814
0.72308725,0.76269436
0.75501287,0.7760633
0.74974793,0.7576431
0.73652965,0.7551667
0.7210709,0.7370543
0.68774503,0.72573584
0.66338074,0.72667146
0.67805535,0.72601926
0.6982749,0.77032614
0.7379859,0.78337264
0.77758485,0.7953405
0.7433068,0.7726351
0.70718044,0.7381013
0.6641089,0.70408976
0.6359359,0.65660566
0.601994,0.61301595
0.57074046,0.57978666
0.562731,0.55106384
0.55729806,0.5439588
0.55948246,0.5369042
0.562731,0.532387
0.5757253,0.5536511
0.59124005,0.64490396
0.6143161,0.7081411
0.636272,0.7387763
0.6679736,0.75135016
0.6698779,0.7347286
0.6658452,0.7347098
0.64736193,0.7177132
0.64478546,0.7083724
0.6417049,0.7074581
0.6465778,0.7103256
0.65710765,0.7501809
0.70393187,0.7638261
0.7390501,0.77874935
0.7346253,0.75574225
0.7012434,0.72167236
0.6555394,0.6906623
0.6086031,0.6441581
0.5772376,0.59841913
0.56659573,0.56507874
0.56390727,0.55654293
0.5574101,0.5491487
0.5584183,0.5404546
0.57197267,0.54778755
0.64080876,0.6020104
0.74213064,0.7071742
0.80206114,0.77414244
0.81836003,0.8029858
0.8121429,0.806291
0.8111908,0.78970885
0.8132631,0.78505516
0.80374146,0.77242273
0.79085916,0.75560784
0.77993727,0.75978523
0.7756245,0.75464654
0.7834099,0.79664963
0.8137112,0.8025453
0.83113027,0.80367523
0.8143273,0.77765334
0.76442254,0.7329075
0.70477206,0.6997417
0.65408313,0.64526993
0.5943766,0.58173084
0.54553604,0.55232215
0.5374706,0.53712684
0.5254285,0.5227513
0.52279603,0.51419896
0.5435197,0.53056335
0.59331244,0.58642733
0.7097009,0.69978666
0.7869385,0.7899088
0.7865464,0.81619203
0.7737762,0.8220283
0.761398,0.7994013
0.7592136,0.81026536
0.75014,0.7916442
0.7340652,0.7934369
0.7221911,0.7802355
0.7276801,0.78642416
0.7205108,0.81259364
0.7630783,0.83008546
0.7849221,0.8290259
0.77853703,0.79735047
0.7305926,0.7456928
0.67021394,0.71039474
0.613364,0.64245635
0.56469136,0.5811005
0.5300773,0.54653585
0.52582055,0.52274
0.5148986,0.50713587
0.5153467,0.49861643
0.5440798,0.5156219
0.6061947,0.57092524
0.70650834,0.6821999
0.7768567,0.76976484
0.79141927,0.79440665
0.77976924,0.80033433
0.77170384,0.77870214
0.7464434,0.78976864
0.72924834,0.77206093
0.7245435,0.7711905
0.73048055,0.7604306
0.73882604,0.7657368
0.73417723,0.79170525
0.76856726,0.8072478
0.7901311,0.8048238
0.7848101,0.77526075
0.7453792,0.7256611
0.6894814,0.6895659
0.6204772,0.6241719
0.57869387,0.5624773
0.53551024,0.5291091
0.5288451,0.5124781
0.5253165,0.49404192
0.5297412,0.4856877
0.53455806,0.50497544
0.5892797,0.5578106
0.67424667,0.6712567
0.75719726,0.76774776
0.77248794,0.7893677
0.77596056,0.79644644
0.77864903,0.7791311
0.7683432,0.790909
0.75652516,0.77327067
0.75154024,0.77641076
0.7436989,0.76396155
0.74554724,0.77279425
0.7506441,0.7934295
0.76554275,0.81216955
0.77170384,0.8069907
0.7738322,0.7778992
0.72952837,0.7274961
0.6764871,0.69398904
0.61039543,0.62494916
0.55987453,0.56430537
0.516859,0.52719617
0.5070012,0.49981755
0.49333483,0.48671824
0.49126247,0.481253
0.50677717,0.4992635
0.556794,0.5531907
0.66013217,0.6622149
0.73311305,0.74481446
0.755685,0.765234
0.75389266,0.7701521
0.7450431,0.75342804
0.7398342,0.7586628
0.72487956,0.7433465
0.71490985,0.73896146
0.6926739,0.73094493
0.69160974,0.73730636
0.69956315,0.7605284
0.73266494,0.77654964
0.76055783,0.77610856
