true,forecasted
0.47547615,0.5341215
0.5434013,0.5543916
0.43603572,0.56613314
0.4100792,0.54281306
0.42946234,0.57214814
0.540536,0.5882495
0.67099273,0.689546
0.73251307,0.7328014
0.7473453,0.7362784
0.75594133,0.745725
0.7451542,0.73099184
0.6994775,0.684282
0.6888589,0.683873
0.6532951,0.6688864
0.6355975,0.6639502
0.6362717,0.68743867
0.6613855,0.731797
0.71936625,0.7297082
0.6775662,0.6681782
0.5944716,0.58197963
0.5277263,0.53702873
0.51424235,0.5202489
0.47294793,0.49648425
0.47261083,0.5074769
0.56834656,0.49057984
0.5643014,0.5105052
0.55048037,0.5158172
0.51306254,0.49611592
0.4242373,0.54087746
0.52587223,0.5880885
0.66509354,0.7042413
0.74431145,0.7615058
0.7636946,0.77649695
0.7834148,0.7859216
0.77835834,0.774122
0.73790663,0.73387295
0.74346876,0.7368345
0.72105175,0.7203084
0.7070622,0.71319485
0.69897187,0.7257847
0.7111074,0.7495003
0.7347042,0.7521713
0.67655486,0.6898525
0.59396595,0.6090525
0.5240182,0.5559897
0.50244397,0.5295193
0.45862126,0.4911034
0.426597,0.51004946
0.4552503,0.49009338
0.471431,0.50839937
0.4825552,0.5168211
0.45541885,0.4866525
0.43468735,0.521355
0.54306424,0.5673276
0.67318386,0.6740567
0.74414295,0.7310417
0.76554865,0.74603474
0.7739761,0.7517298
0.76285183,0.7467595
0.72273725,0.7047028
0.7207146,0.70335084
0.6961065,0.6890905
0.67234117,0.6772635
0.6642508,0.68679005
0.6880162,0.7062886
0.7264453,0.7179879
0.67486936,0.6773564
0.59565145,0.6047743
0.5260408,0.55720735
0.5059835,0.5326711
0.49890444,0.49598986
0.4436204,0.49788803
0.44395754,0.49754646
0.43435025,0.51602715
0.5053093,0.5214314
0.48744312,0.4910959
0.43755266,0.5252727
0.54188436,0.5667242
0.6676218,0.6635068
0.7481881,0.7135574
0.7601551,0.72309214
0.76318896,0.72374046
0.74363726,0.71798813
0.70723075,0.676322
0.70200574,0.6704434
0.6704871,0.65183187
0.6386314,0.63611144
0.6217765,0.6546642
0.6480701,0.69384634
0.70385975,0.7001089
0.6613855,0.65043515
0.58048207,0.5787547
0.51525366,0.5369966
0.5017698,0.5178626
0.47901568,0.48896566
0.4532277,0.48732847
0.51137704,0.4982863
0.50783753,0.51041037
0.48896006,0.5061221
0.43367606,0.48849255
0.44463173,0.48051524
0.40249452,0.45441705
0.37518963,0.4424742
0.42996797,0.47157916
0.47867858,0.51348954
0.49873587,0.52081376
0.48997134,0.51890075
0.5388505,0.5374079
0.5669981,0.54098666
0.55739087,0.53365165
0.545761,0.51889443
0.52452385,0.5390734
0.50665766,0.57386684
0.56211025,0.5902421
0.5455924,0.56206393
0.49199393,0.49944195
0.42373168,0.47635543
0.45036238,0.46872553
0.5081746,0.45669144
0.48019552,0.46794116
0.5270521,0.512558
0.53076017,0.527435
0.5139053,0.5286973
0.49317378,0.51353204
0.4759818,0.5115174
0.44918254,0.46440738
0.43603572,0.44712093
0.42036068,0.46389574
0.4614866,0.5045068
0.47159952,0.5177441
0.5145795,0.50433636
0.5636272,0.51689917
0.5776167,0.50170934
0.54137874,0.49324575
0.4710939,0.48429933
0.44918254,0.5117018
0.4601382,0.53021157
0.5250295,0.5357429
0.4894657,0.53011876
0.4331704,0.4920057
0.38884208,0.47382063
0.3858082,0.45956355
0.41395584,0.4536716
0.45390192,0.46283573
0.4707568,0.47172028
0.47648746,0.4891874
0.47851002,0.49579874
0.4825552,0.4933653
0.53564805,0.5398856
0.5133996,0.5766341
0.6329007,0.6835632
0.7136356,0.7456618
0.735884,0.7702595
0.7449857,0.79113317
0.7333558,0.7728902
0.6964436,0.7526869
0.6932412,0.7613922
0.67301536,0.7479865
0.64604753,0.73333895
0.6507669,0.7435836
0.6635766,0.7627257
0.73217595,0.7621894
0.6885218,0.70008576
0.60896677,0.6182517
0.554357,0.56593776
0.53969324,0.5471322
0.5029496,0.5273
0.49165684,0.5503996
0.57070625,0.5342188
0.55975056,0.5519537
0.5467723,0.56045353
0.53733355,0.53838956
0.5329513,0.5855456
0.5843587,0.62660974
0.6957694,0.71886164
0.7550986,0.7604982
0.75745827,0.76035464
0.74667114,0.76526207
0.7247598,0.73096466
0.6826226,0.6952755
0.6832968,0.68537945
0.657846,0.66578805
0.63155234,0.65552473
0.6345862,0.66538066
0.64958704,0.7036027
0.7277937,0.7403292
0.68936455,0.69847083
0.6162144,0.61865425
0.5622788,0.5665605
0.55216587,0.53611815
0.518119,0.5091185
0.47968987,0.53589195
0.47817293,0.5360056
0.4877802,0.55307186
0.4759818,0.5560842
0.42794538,0.53395826
0.459464,0.57611775
0.57154894,0.6208559
0.6863307,0.7068148
0.7584696,0.7537075
0.772122,0.7558627
0.7790325,0.7574441
0.7647059,0.7308705
0.7156582,0.68902403
0.7050396,0.6838193
0.6688016,0.66148776
0.63964266,0.65349936
0.6317209,0.6521159
0.65683466,0.67033446
0.7404349,0.7230275
0.70385975,0.7037426
0.6374515,0.62730104
0.56278443,0.57569367
0.5369965,0.549937
0.50278103,0.51140094
0.47985843,0.52719843
0.48070115,0.49060175
0.48137537,0.49847525
0.481881,0.5135484
0.4710939,0.46801025
0.4549132,0.50065804
0.54761505,0.5930849
0.6694758,0.68547726
0.7468397,0.734306
0.7756615,0.74244213
0.8021237,0.760858
0.7958874,0.75619054
0.76251477,0.70713097
0.75813246,0.70806336
0.73318726,0.6963438
0.7094219,0.67642605
0.7021743,0.66996545
0.6913872,0.6779151
0.73723245,0.70165205
0.6929041,0.66962564
0.609641,0.5986466
0.5329513,0.56064546
0.5145795,0.5186361
0.45912692,0.47031885
0.4249115,0.44064915
0.43485588,0.4419254
0.45154223,0.4539044
0.4496882,0.45827535
0.38766223,0.44173455
0.4031687,0.47085455
0.5272206,0.5528371
0.6329007,0.6599243
0.7090848,0.71776474
0.7360526,0.72631896
0.75391877,0.7322558
0.74481714,0.728181
0.69678074,0.6763425
0.69105005,0.67785573
0.6635766,0.6622599
0.6364403,0.6344373
0.60660714,0.64401805
0.62801284,0.67666495
0.66863304,0.6964531
0.6259902,0.6410601
0.5600876,0.56602335
0.50497216,0.5226747
0.47379068,0.49844426
0.43805832,0.46642223
0.38749367,0.45945725
0.3890106,0.4427196
0.38311142,0.457325
0.37417832,0.4458611
0.34872746,0.42336082
0.33271533,0.41901582
0.33102983,0.397227
0.43064216,0.39321482
0.41951796,0.43065584
0.47851002,0.47942743
0.5125569,0.4996542
0.51356816,0.52178097
0.54137874,0.5373992
0.526715,0.53607464
0.5157593,0.53173524
0.49115118,0.51602423
0.46806002,0.5304822
0.5145795,0.5404586
0.556211,0.5495696
0.53547955,0.54161406
0.47379068,0.49231994
0.42676556,0.47088677
0.42743975,0.46411338
0.43704703,0.43260157
0.41361874,0.45814893
0.46789145,0.4243836
0.47244227,0.43384677
0.48306084,0.43175536
0.4736221,0.41466057
0.4358672,0.41026095
0.40434855,0.3936018
0.41227037,0.3917146
0.41682118,0.41952175
0.4045171,0.45892787
0.43536153,0.4705572
0.4598011,0.48328027
0.5012641,0.4783812
0.49620765,0.46168643
0.46688017,0.45399767
0.45676723,0.45435992
0.44378898,0.48250607
0.47210518,0.50292945
0.5412102,0.53758985
0.51997304,0.5475295
0.47294793,0.49086815
0.43030506,0.45899186
0.42305747,0.43771714
0.3962582,0.40484625
0.4147986,0.43285888
0.41260746,0.45987803
0.44884545,0.47328743
0.481881,0.48334885
0.44547448,0.4641751
0.44547448,0.51151735
0.5145795,0.5657846
0.633912,0.6714685
0.7161638,0.73399407
0.7347042,0.75122595
0.7480196,0.77087957
0.75054777,0.7647786
0.7023428,0.7261601
0.70554525,0.72693765
0.71700656,0.7145166
0.68127424,0.70187104
0.6502612,0.70669866
0.6485758,0.7090744
0.7057138,0.73268366
0.6597,0.69952023
0.57593125,0.61862725
0.5058149,0.56378704
0.5000843,0.53220266
0.46468902,0.48905367
0.44951963,0.4984976
0.5085117,0.4785553
0.51879317,0.48484075
0.52149,0.48604572
0.4855891,0.4658661
0.52587223,0.51117545
0.5664925,0.58533305
0.668296,0.67229277
0.75981796,0.7228449
0.78526884,0.73591137
0.7854374,0.75173914
0.8061689,0.73022497
0.71599525,0.69560164
0.7129614,0.694876
0.706388,0.6803133
0.68228555,0.66778827
0.6856565,0.67618203
0.6838025,0.7035265
0.73959213,0.74795556
0.69340974,0.70163745
0.621945,0.6173954
0.58806676,0.5643265
0.54255855,0.5263691
0.5133996,0.48226583
0.46721727,0.5075712
0.48929715,0.50684655
0.5312658,0.5177908
0.52924323,0.5211482
0.5172762,0.49421442
0.5139053,0.54281
0.5931232,0.6117709
0.6957694,0.7115287
0.76318896,0.76198864
0.7797067,0.76861334
0.7935277,0.7786582
0.78425753,0.7605497
0.75762683,0.7115924
0.76622283,0.7071376
0.7429631,0.69002646
0.73032194,0.6802535
0.7350413,0.68150264
0.7099275,0.7029592
0.75290745,0.74135363
0.7205461,0.7136123
0.6504298,0.640499
0.58081913,0.5837212
0.5440755,0.5446109
0.52452385,0.49825212
0.47783583,0.5092998
0.48204955,0.5242783
0.5019383,0.5347209
0.51761335,0.5361189
0.52384967,0.50715727
0.5069948,0.55064875
0.59969664,0.62233144
0.71818644,0.7347372
0.7987527,0.79025
0.82858586,0.8036443
0.85049725,0.81154084
0.8508343,0.7996161
0.8090342,0.7528761
0.8295972,0.75139654
0.811731,0.7336265
0.7930221,0.714365
0.7854374,0.7136459
0.7866172,0.7277672
0.79083097,0.7511728
0.7485252,0.7282146
0.66610485,0.6569152
0.58638126,0.6066999
0.56902075,0.57358605
0.5230069,0.5278478
0.5059835,0.5254025
0.5068262,0.52507436
0.51929885,0.5407183
0.5184561,0.54166347
0.4569358,0.5166505
0.47968987,0.5544915
0.5936289,0.64850265
0.71936625,0.7657071
0.8044834,0.8196933
0.83381087,0.83365947
0.8538682,0.835555
0.84544075,0.8175998
0.81881005,0.77229947
0.8243722,0.7710886
0.79453903,0.75211835
0.8024608,0.72257084
0.77077365,0.720995
0.7584696,0.74686146
0.7815608,0.75759435
0.73487276,0.72244966
0.65160966,0.6472614
0.5862127,0.59199053
0.583853,0.5599378
0.5609304,0.5183585
0.5157593,0.51029664
0.53733355,0.52873576
0.5447497,0.53669214
0.5514917,0.53728163
0.5019383,0.50974417
0.49485925,0.48357147
0.44614866,0.48110825
0.43957525,0.48061192
0.49755603,0.5156562
0.5440755,0.557948
0.55772793,0.56063354
0.55941343,0.5587144
0.5727288,0.5651426
0.57323444,0.57178295
0.5474465,0.5622517
0.54137874,0.53774154
0.5698635,0.55052924
0.5720546,0.58812094
0.61874264,0.6204996
0.6000337,0.60032153
0.5348053,0.539992
0.476656,0.5049519
0.47935277,0.49385083
0.47749874,0.4715344
0.56902075,0.4682386
0.5686836,0.52912545
0.55975056,0.5315076
0.5460981,0.5273747
0.52806336,0.5117133
0.51238835,0.50071996
0.49991572,0.46643227
0.490477,0.47527108
0.523344,0.5122391
0.58419013,0.56718975
0.62986684,0.576336
0.6411596,0.58214617
0.66610485,0.5984145
0.6452048,0.6053829
0.6126749,0.594362
0.590595,0.58099675
0.58183044,0.6125484
0.5489634,0.6335261
0.6313838,0.63374215
0.6428451,0.6204136
0.5944716,0.5670274
0.58941513,0.5361608
0.60947245,0.51914793
0.5867184,0.5030917
0.59211195,0.53230166
0.61469746,0.6110972
0.6271701,0.6223196
0.6273386,0.63042253
0.5995281,0.5987756
0.6248104,0.64430714
0.6532951,0.6886819
0.775493,0.8148937
0.8526884,0.88316256
0.8595989,0.9147026
0.86920613,0.93996656
0.84021574,0.913228
0.80836004,0.9057675
0.83161974,0.9219556
0.85117143,0.91280353
0.8334738,0.8919217
0.8287544,0.8947367
0.8011124,0.9185637
0.85993594,0.9020257
0.84375525,0.8442685
0.7596494,0.7644357
0.6954323,0.7072545
0.6802629,0.67836624
0.65127254,0.6500801
0.6184055,0.65727305
0.6923984,0.6712307
0.6740266,0.6716938
0.6600371,0.66876847
0.6340806,0.63818586
0.59582,0.6765686
0.7163324,0.74808216
0.83027136,0.8521585
0.89870214,0.9082599
0.91134334,0.9400491
0.9046014,0.9654847
0.86954325,0.9213364
0.8449351,0.92051315
0.85167706,0.93026876
0.8284173,0.913448
0.9039272,0.8834392
0.81746167,0.87070006
0.8017866,0.8769782
0.86549807,0.88644767
0.8439238,0.8521147
0.76976234,0.77465886
0.703017,0.724818
0.69172424,0.69034994
0.6607113,0.6526374
0.69897187,0.6689933
0.72897357,0.68459594
0.7073993,0.6908988
0.68683636,0.71012706
0.6524524,0.66362387
0.695938,0.7033576
0.73318726,0.7575125
