true,forecasted
0.47547615,0.5157925
0.5434013,0.5066726
0.43603572,0.5094144
0.4100792,0.5063684
0.42946234,0.5341515
0.540536,0.60116136
0.67099273,0.693952
0.73251307,0.76160204
0.7473453,0.76932406
0.75594133,0.78012663
0.7451542,0.7843704
0.6994775,0.73783726
0.6888589,0.7324609
0.6532951,0.70593214
0.6355975,0.690907
0.6362717,0.70757216
0.6613855,0.7333862
0.71936625,0.76569617
0.6775662,0.7150465
0.5944716,0.63498193
0.5277263,0.5914515
0.51424235,0.56797606
0.47294793,0.51370996
0.47261083,0.49134523
0.56834656,0.5244366
0.5643014,0.512718
0.55048037,0.5200249
0.51306254,0.50596267
0.4242373,0.5172141
0.52587223,0.5651931
0.66509354,0.6541747
0.74431145,0.72302717
0.7636946,0.7367696
0.7834148,0.74870366
0.77835834,0.7638386
0.73790663,0.7245465
0.74346876,0.71234125
0.72105175,0.69331294
0.7070622,0.68177027
0.69897187,0.7017439
0.7111074,0.7227146
0.7347042,0.7540412
0.67655486,0.7033997
0.59396595,0.63100016
0.5240182,0.58401597
0.50244397,0.57276094
0.45862126,0.5198447
0.426597,0.4990729
0.4552503,0.53142524
0.471431,0.5173546
0.4825552,0.52470785
0.45541885,0.5118341
0.43468735,0.5294314
0.54306424,0.58434516
0.67318386,0.6734376
0.74414295,0.7412317
0.76554865,0.74976134
0.7739761,0.76414365
0.76285183,0.7737226
0.72273725,0.73129773
0.7207146,0.71987545
0.6961065,0.6992745
0.67234117,0.6850362
0.6642508,0.70805407
0.6880162,0.73155016
0.7264453,0.7628387
0.67486936,0.7140098
0.59565145,0.63796806
0.5260408,0.5916729
0.5059835,0.57904387
0.49890444,0.52086604
0.4436204,0.49855977
0.44395754,0.51638997
0.43435025,0.5074936
0.5053093,0.51545167
0.48744312,0.4998575
0.43755266,0.51649207
0.54188436,0.5602972
0.6676218,0.6372274
0.7481881,0.7001226
0.7601551,0.7090783
0.76318896,0.72355473
0.74363726,0.73092574
0.70723075,0.6967869
0.70200574,0.681706
0.6704871,0.6662481
0.6386314,0.65084356
0.6217765,0.6773816
0.6480701,0.7029255
0.70385975,0.7307907
0.6613855,0.6874525
0.58048207,0.61607945
0.51525366,0.56931084
0.5017698,0.55865467
0.47901568,0.5076518
0.4532277,0.48003465
0.51137704,0.4859103
0.50783753,0.4860821
0.48896006,0.5016486
0.43367606,0.46532255
0.44463173,0.45972982
0.40249452,0.45799333
0.37518963,0.5041322
0.42996797,0.55521876
0.47867858,0.5772337
0.49873587,0.5922114
0.48997134,0.6100907
0.5388505,0.5986402
0.5669981,0.5693339
0.55739087,0.5745857
0.545761,0.5602984
0.52452385,0.59763175
0.50665766,0.6193762
0.56211025,0.6388843
0.5455924,0.6047686
0.49199393,0.55877316
0.42373168,0.50362784
0.45036238,0.5128546
0.5081746,0.47913513
0.48019552,0.44513613
0.5270521,0.46483535
0.53076017,0.4646798
0.5139053,0.4770884
0.49317378,0.44496202
0.4759818,0.4500906
0.44918254,0.44929695
0.43603572,0.4774659
0.42036068,0.5171539
0.4614866,0.53638136
0.47159952,0.55408126
0.5145795,0.55944437
0.5636272,0.5542906
0.5776167,0.52066094
0.54137874,0.5306089
0.4710939,0.5093068
0.44918254,0.55537885
0.4601382,0.57558346
0.5250295,0.5899239
0.4894657,0.5647147
0.4331704,0.5222881
0.38884208,0.4746009
0.3858082,0.4781965
0.41395584,0.4451457
0.45390192,0.4057776
0.4707568,0.52193314
0.47648746,0.51121503
0.47851002,0.5206719
0.4825552,0.50328237
0.53564805,0.5086125
0.5133996,0.54890925
0.6329007,0.64148086
0.7136356,0.7103859
0.735884,0.72165287
0.7449857,0.7363139
0.7333558,0.75504225
0.6964436,0.7196888
0.6932412,0.70524037
0.67301536,0.6895209
0.64604753,0.67981267
0.6507669,0.69844383
0.6635766,0.7190686
0.73217595,0.75055075
0.6885218,0.6989617
0.60896677,0.62989926
0.554357,0.5779058
0.53969324,0.57252496
0.5029496,0.5210148
0.49165684,0.5037526
0.57070625,0.5675908
0.55975056,0.54988223
0.5467723,0.5655574
0.53733355,0.54158574
0.5329513,0.55659777
0.5843587,0.6085587
0.6957694,0.7059207
0.7550986,0.7759605
0.75745827,0.77258587
0.74667114,0.7930143
0.7247598,0.8032872
0.6826226,0.757306
0.6832968,0.7468656
0.657846,0.7256323
0.63155234,0.71234375
0.6345862,0.73996276
0.64958704,0.77201766
0.7277937,0.80959105
0.68936455,0.75853753
0.6162144,0.6787174
0.5622788,0.6206365
0.55216587,0.6193965
0.518119,0.5530231
0.47968987,0.53016853
0.47817293,0.5461556
0.4877802,0.5313116
0.4759818,0.54470205
0.42794538,0.52389425
0.459464,0.5412175
0.57154894,0.59140754
0.6863307,0.6770923
0.7584696,0.73866475
0.772122,0.7396618
0.7790325,0.75928766
0.7647059,0.7651022
0.7156582,0.7219037
0.7050396,0.7117401
0.6688016,0.69300556
0.63964266,0.67563516
0.6317209,0.7069925
0.65683466,0.7355886
0.7404349,0.7708697
0.70385975,0.72273314
0.6374515,0.64958125
0.56278443,0.5960469
0.5369965,0.5896226
0.50278103,0.52914345
0.47985843,0.5028939
0.48070115,0.5167403
0.48137537,0.49644905
0.481881,0.49289197
0.4710939,0.49921745
0.4549132,0.5344505
0.54761505,0.6147612
0.6694758,0.70020354
0.7468397,0.7664659
0.7756615,0.7780908
0.8021237,0.78832144
0.7958874,0.78657424
0.76251477,0.73638934
0.75813246,0.7282352
0.73318726,0.70202035
0.7094219,0.6790754
0.7021743,0.70586115
0.6913872,0.71724814
0.73723245,0.7449964
0.6929041,0.6997481
0.609641,0.61510575
0.5329513,0.5930101
0.5145795,0.5589112
0.45912692,0.49171385
0.4249115,0.46949756
0.43485588,0.47809923
0.45154223,0.4773008
0.4496882,0.47355968
0.38766223,0.4764588
0.4031687,0.5029693
0.5272206,0.5676293
0.6329007,0.65728325
0.7090848,0.7239835
0.7360526,0.75037175
0.75391877,0.7493134
0.74481714,0.7582274
0.69678074,0.71663034
0.69105005,0.7115502
0.6635766,0.68558323
0.6364403,0.6724563
0.60660714,0.68040437
0.62801284,0.6984845
0.66863304,0.7259623
0.6259902,0.67413837
0.5600876,0.5994452
0.50497216,0.56075895
0.47379068,0.5296908
0.43805832,0.48956165
0.38749367,0.4706372
0.3890106,0.442429
0.38311142,0.44846797
0.37417832,0.45634368
0.34872746,0.43126112
0.33271533,0.43062827
0.33102983,0.43247953
0.43064216,0.4696379
0.41951796,0.512821
0.47851002,0.54858625
0.5125569,0.5566038
0.51356816,0.5716734
0.54137874,0.562962
0.526715,0.53559726
0.5157593,0.54118454
0.49115118,0.52487195
0.46806002,0.55703914
0.5145795,0.57068914
0.556211,0.5861016
0.53547955,0.55240446
0.47379068,0.5139883
0.42676556,0.46711707
0.42743975,0.46428674
0.43704703,0.44228825
0.41361874,0.4088083
0.46789145,0.46353456
0.47244227,0.468384
0.48306084,0.48576617
0.4736221,0.44553274
0.4358672,0.43906215
0.40434855,0.4260221
